序号,产品类别,产品名称,品牌,产品规格/型号,生产厂家,使用对象年龄,使用对象性别,使用时是否有成人看护,是否有成人对其进行安全教育,是否能够认识到产品存在危害,第一次使用该产品或类似产品,使用环境,使用方式,爆炸危害,产品存在的二级危害因素,产品存在的三级危害因素,导致的伤害,伤害事件发生的时间,备注（事件概述）,事件链接
20,日用杂品,热水袋,无,无,无,不限年龄段,男女均可使用,否,是,是,否,低温环境,可合理预见的误使用,电气危害,电气爆炸,过热,烫伤,,一名5岁女孩放在被窝里的热水袋爆裂，全身35%被烫伤，属特重度烫伤。,
21,家用电器及电器附件,电暖器,无,无,无,不限年龄段,男女均可使用,否,是,是,否,正常使用环境,正确的使用方式,高/低温物质危害,高温物质危害,高温表面,烧伤,,7岁男童靠着取暖器看电视，突然觉得腿部一阵灼热，裤子竟然烧了起来。,
22,家用电器及电器附件,电吹风,无,无,无,不限年龄段,男女均可使用,否,是,是,否,正常使用环境,正确的使用方式,电气危害,触电危害,过热,烧伤,,一男子把电吹风放在被子里吹暖风，高温运作的电吹风将被子引燃，导致其被烧成了重伤。,
23,文教体育用品,书写笔,无,无,无,不限年龄段,男女均可使用,否,否,否,否,正常使用环境,正确的使用方式,机械危害,形状和表面性能危害,小零件,呼吸道阻塞,,十堰一名8岁女童误吞笔帽卡住支气管，反复咳嗽病引发肺部炎症，险造成气管阻塞。,
24,信息技术产品,移动电源,无,无,无,不限年龄段,男女均可使用,否,是,是,否,正常使用环境,正确的使用方式,电气危害,触电危害,漏电,财产损失,,南昌昌北国际机场一辆即将飞往泰国的航班上，因一名乘客携带充电宝登机，导致机舱起火，航班延误一小时。,
25,信息技术产品,移动电源,无,无,无,不限年龄段,男女均可使用,否,是,是,否,正常使用环境,可合理预见的误使用,电气危害,触电危害,漏电,财产损失,,青岛一市民将充电宝放在挎包中，未使用却发生自燃。,
26,交通工具及相关产品,电动自行车,无,无,无,14～60岁,男女均可使用,否,是,是,否,正常使用环境,正确的使用方式,电气危害,电气爆炸,散热不良,财产损失,,江西南昌街头一辆电动车在行驶途中突然发生火灾，起火的电动车瞬间引燃了后座的大量废纸壳，现场浓烟滚滚。,
27,信息技术产品,手机充电器,无,无,无,不限年龄段,男女均可使用,否,是,是,否,正常使用环境,正确的使用方式,电气危害,触电危害,漏电,烧伤,,清江浦区蓝岳学府小区一居民家因手机充电器燃烧引发大火，一人被烧伤。,
28,交通工具及相关产品,电动自行车,无,无,无,14～60岁,男女均可使用,否,是,是,否,正常使用环境,正确的使用方式,电气危害,电气爆炸,过热,财产损失,,郑州一小区发生火灾，火灾原因是17楼一住户在屋内给电动车充电引起。,
29,儿童用品,磁力珠玩具,无,无,无,14岁及以下,男女均可使用,是,是,是,否,正常使用环境,可合理预见的误使用,警示标识缺失,形状和表面性能危害,光滑表面,胃肠道穿孔或阻塞,,8岁男孩误吞50多颗直径约8毫米的钢珠和6枚直径约6毫米的吸铁石，造成肠壁坏死。,
30,家用电器及电器附件,电热水袋,无,无,无,不限年龄段,男女均可使用,否,是,是,否,低温环境,正确的使用方式,电气危害,电气爆照,过热,财产损失,,正在充电的热水袋突然爆炸，在热水袋发热装置的一侧，爆裂出一条大约20厘米长的口子。,
31,家用电器及电器附件,电热毯,无,无,无,不限年龄段,男女均可使用,否,是,是,否,低温环境,正确的使用方式,电气危害,触电危害,漏电,财产损失,,无锡一户电热毯起火引发火灾。,
32,日用杂品,暖宝宝,无,无,无,不限年龄段,男女均可使用,否,是,否,否,低温环境,正确的使用方式,高/低温物质危害,低温物质危害,低温表面,烫伤,,株洲一女子睡觉时把暖宝宝贴在了内衣上，另一面直接与皮肤接触，导致背部烫伤。,
33,家用电器及电器附件,电热水袋,无,无,无,不限年龄段,男女均可使用,否,是,是,否,低温环境,正确的使用方式,电气危害,电气爆照,过热,烫伤,,长沙市民将热水袋放在床边充电，突然，这个总共没用过几次的热水袋突然爆炸了。,
34,家用电器及电器附件,电热毯,无,无,无,不限年龄段,男女均可使用,否,是,是,否,低温环境,正确的使用方式,电气危害,触电危害,漏电,财产损失,,铜陵一住户离开家时因忘拔电热毯引发火灾。,
35,儿童用品,磁力珠玩具,无,无,无,14岁及以下,男女均可使用,是,是,是,否,正常使用环境,可合理预见的误使用,警示标识缺失,形状和表面性能危害,光滑表面,胃肠道穿孔或阻塞,,3岁男童误吞36枚磁珠，导致胃壁肠壁均有穿孔，危及生命。,
36,家用电器及电器附件,洗衣机,无,无,无,不限年龄段,男女均可使用,否,是,是,否,高湿环境,正确的使用方式,电气危害,电气爆炸,漏电,财产损失,,北京市西城区徐女士家中正在洗被套的洗衣机发生了爆炸，玻璃被震碎。,
37,交通工具及相关产品,电动自行车,无,无,无,14～60岁,男女均可使用,否,是,是,否,正常使用环境,正确的使用方式,电气危害,电气爆炸,过热,财产损失,,长沙市雨花区鑫天佳园小区5栋架空层处，一排正在充电的电动车突然起火，7辆电动车瞬间被烧成骨架。,
38,家用电器及电器附件,电暖器,无,无,无,不限年龄段,男女均可使用,否,是,是,否,正常使用环境,正确的使用方式,电气危害,触电危害,过热,烧伤,,电暖器引燃被子，一家9口人严重被烧伤。,
39,儿童用品,玩具枪,无,无,无,14岁及以下,男女均可使用,是,是,是,否,正常使用环境,可合理预见的误使用,机械危害,形状和表面性能危害,小零件,射伤,,河源有个小孩的眼睛被玩具枪打到，眼部伤情较为严重。,
40,家用电器及电器附件,燃气热水器,无,无,无,14～60岁,男女均可使用,否,是,是,否,正常使用环境,正确的使用方式,无机毒物危害,有毒气体危害,一氧化碳,中毒,,无锡一户人家，疑似因洗澡时通风不畅，屋内的四人出现燃气中毒症状。,
41,儿童用品,玩具手串,无,无,无,14岁及以下,男女均可使用,是,是,否,否,正常使用环境,正确的使用方式,机械危害,形状和表面性能危害,小零件,呼吸道阻塞,,毫州一9岁女童将塑料珠吸入了气管，堵住了整个气道。,
42,家用电器及电器附件,电热毯,无,无,无,不限年龄段,男女均可使用,否,是,是,否,低温环境,正确的使用方式,电气危害,触电危害,漏电,财产损失,,武汉一居民因家中电热毯发生短路导致火灾，两名八旬老人被困。,
43,儿童用品,玩具枪,无,无,无,14岁及以下,男女均可使用,是,是,是,否,正常使用环境,可合理预见的误使用,机械危害,形状和表面性能危害,小零件,射伤,,家住海州区万得园小区的9岁男孩小江在玩耍玩具枪时，一颗塑料子弹射出后，将伙伴的脸部击中导致受伤。,
44,信息技术产品,手机,无,无,无,不限年龄段,男女均可使用,否,否,否,否,正常使用环境,正确的使用方式,电气危害,电气爆炸,过热,财产损失,,手机连上电脑后突然发生自燃。,
45,信息技术产品,手机,无,无,无,不限年龄段,男女均可使用,否,否,否,否,正常使用环境,正确的使用方式,电气危害,电气爆炸,过热,财产损失,,广州海珠区沙园三街南一住宅民房6楼发生火灾。经调查， 事故原因是一名男子在家中床上充电引起。,
46,信息技术产品,激光笔,无,无,无,不限年龄段,男女均可使用,否,是,是,否,正常使用环境,正确的使用方式,辐射危害,射线辐射危害,激光辐射,视力受损,,男子买激光笔给孩子当玩具，孩子玩耍激光笔时光束照到了电暖片上，光线反射到男子的右眼，造成其视力严重下降。,
47,家用电器及电器附件,冰箱,无,无,无,不限年龄段,男女均可使用,否,否,否,否,正常使用环境,正确的使用方式,电气危害,电气爆炸,短路,财产损失,,广州市越秀区建设六马路青菜岗一民房发生火灾，着火面积约15平方米，主要燃烧床、被子等日常用品，起火原因初步认定为冰箱短路导致。,
48,交通工具及相关产品,电动自行车,无,无,无,14～60岁,男女均可使用,否,是,是,否,正常使用环境,正确的使用方式,电气危害,电气爆炸,短路,财产损失,,一名男子骑着电动车在行驶过程中，突然车座下冒烟，随后电动车烧了起来。据分析可能是因为线路短路或者漏电导致的。,
49,家用电器及电器附件,电暖器,无,无,无,不限年龄段,男女均可使用,否,是,是,否,正常使用环境,正确的使用方式,电气危害,触电危害,过热,财产损失,,南宁一小区住户家中发生火灾，起火位置在客厅，电视、空调、沙发等已被烧毁，可能是未关的电暖器引燃布艺沙发所致。,
50,交通工具及相关产品,电动自行车,无,无,无,14～60岁,男女均可使用,否,是,是,否,正常使用环境,正确的使用方式,电气危害,电气爆炸,铁芯发热,财产损失,,柳州一小区两辆电动自行车、一辆电动三轮车燃起大火，还波及到停在旁边的一辆轿车，起火的几辆电动车均未充电。,
51,文教体育用品,跑步机,无,无,无,不限年龄段,男女均可使用,否,是,是,否,正常使用环境,可合理预见的误使用,机械危害,形状和表面性能危害,部件空隙或开口,卡伤,,天津滨海新区一名小女孩在家中跑步机附近玩耍，不慎将腿部卡到跑步机前部盖板处。,
52,家具及建筑装饰装修材料,玻璃餐桌,无,无,无,不限年龄段,男女均可使用,否,是,是,否,正常使用环境,正确的使用方式,机械危害,形状和表面性能危害,锐利边缘,划伤,,餐桌上的玻璃转盘碎裂，客人手被割伤。,
53,家用电器及电器附件,洗衣机,无,无,无,不限年龄段,男女均可使用,否,是,是,否,高湿环境,正确的使用方式,电气危害,触电危害,漏电,卡伤,,山东枣庄一小女孩玩耍时被卡在洗衣机的甩水桶里。,
54,日用杂品,气球,无,无,无,不限年龄段,男女均可使用,否,否,是,否,正常使用环境,正确的使用方式,爆炸危害,气相爆炸危害,爆炸性气体,烧伤,,在陕西一家KTV，有人携带氢气球乘坐电梯，氢气球突然爆炸，6人被烧伤。,
55,儿童用品,磁力珠玩具,无,无,无,14岁及以下,男女均可使用,是,是,是,否,正常使用环境,可合理预见的误使用,警示标识缺失,形状和表面性能危害,光滑表面,胃肠道穿孔或阻塞,,4岁男童误吞20颗磁力珠，这些磁力珠互相吸引，造成男童肠穿孔。,
56,家用电器及电器附件,空调扇,无,无,无,不限年龄段,男女均可使用,否,否,否,否,正常使用环境,正确的使用方式,电气危害,触电危害,漏电,财产损失,,南昌市民通过网络广告购买的空调扇，买回来第二天便自燃烧毁了。,
57,家用电器及电器附件,燃气灶,无,无,无,14～60岁,男女均可使用,否,是,是,否,高温环境,可合理预见的误使用,机械危害,形状和表面性能危害,锐利边缘,财产损失,,荆门一市民家中正在准备午饭，燃气灶爆炸，玻璃渣四溅，台面一片狼藉。,
58,家用电器及电器附件,电暖器,无,无,无,不限年龄段,男女均可使用,否,是,是,否,正常使用环境,正确的使用方式,电气危害,触电危害,过热,财产损失,,信阳一市民离开家时未关电暖器，电暖气引燃客厅内可燃物，客厅被烧成废墟。,
59,儿童用品,磁力珠玩具,无,无,无,14岁及以下,男女均可使用,是,是,是,否,正常使用环境,可合理预见的误使用,警示标识缺失,形状和表面性能危害,光滑表面,胃肠道穿孔或阻塞,,7岁男童误吞11粒磁铁玩具，造成肠梗阻。,
60,家用电器及电器附件,暖风机,无,无,无,不限年龄段,男女均可使用,否,是,是,否,正常使用环境,正确的使用方式,电气危害,电气爆炸,过热,财产损失,,九江一市民晚上睡觉前在大厅的暖风机未关，把旁边沙发家具引发的起火。,
61,家用电器及电器附件,抽油烟机,无,无,无,不限年龄段,男女均可使用,否,是,否,否,正常使用环境,正确的使用方式,电气危害,电气爆炸,短路,财产损失,,抽油烟机深夜发生爆炸，屋子里布满烟尘。,
62,文教体育用品,电动平衡车,无,无,无,不限年龄段,男女均可使用,否,是,是,否,正常使用环境,可合理预见的误使用,机械危害,动能危害,移动状态撞击,财产损失,,杭州一家三口外出看电影，走的时候忘记把使用了两三年的两轮平衡车充电电源拔除，结果导致火灾。,
63,家用电器及电器附件,燃气热水器,无,无,无,14～60岁,男女均可使用,否,是,是,否,正常使用环境,正确的使用方式,无机毒物危害,有毒气体危害,一氧化碳,中毒,,武汉居民沈女士一家3口在密闭的房间内洗澡，均出现一氧化碳煤气中毒症状，命悬一线。,
64,家用电器及电器附件,电热毯,无,无,无,不限年龄段,男女均可使用,否,是,是,否,低温环境,正确的使用方式,电气危害,触电危害,漏电,烫伤,,55岁的刘女士插着电热毯边制热边睡觉，未料电热毯突然短路闪出电火花引燃被子，导致其双脚特别是左脚严重烧烫伤。,
65,卫生用品,鞋面防水剂,无,无,无,不限年龄段,男女均可使用,否,是,否,否,正常使用环境,正确的使用方式,有机毒物,有毒杂环类化合物,化学危害,中毒,,成都23岁梁先生使用鞋面防水剂清洁鞋子时，突然剧烈咳嗽呼吸急促。随后，他被朋友送入医院，被诊断为“氟化合物中毒”,
66,家用电器及电器附件,电热毯,无,无,无,不限年龄段,男女均可使用,否,是,是,否,低温环境,正确的使用方式,电气危害,触电危害,漏电,财产损失,,住户离开家时忘记关掉床上正在工作的电热毯，导致家中发生火灾。,
67,家具及建筑装饰装修材料,淋浴房,无,无,无,不限年龄段,男女均可使用,否,否,否,否,高湿环境,正确的使用方式,机械危害,形状和表面性能危害,锐利边缘,财产损失,,扬州一住户家中卫生间玻璃凌晨4点突然发生爆裂，玻璃碎块撒落在地面上。,
68,交通工具及相关产品,电动自行车,无,无,无,14～60岁,男女均可使用,否,是,是,否,正常使用环境,正确的使用方式,电气危害,电气爆炸,过热,财产损失,,法华镇路上一小区发生一起火灾事故，起火原因疑为电瓶车在充电时发生起火。,
69,家用电器及电器附件,燃气灶,无,无,无,14～60岁,男女均可使用,否,是,是,否,高温环境,可合理预见的误使用,电气危害,电气爆炸,过热,炸伤,,芜湖市民做晚饭时，抽油烟机突然发生爆炸，导致其脸部被划伤、腿部淤青，厨房的家具被毁坏，窗玻璃被震碎等情况。售后服务人员上门查看后认为是燃气灶爆炸导致的抽油烟机被震碎。消费者认为是燃气灶的质量问题，售后、商家认为燃气灶质量没问题，是消费者使用不当。,
70,家用电器及电器附件,空调,无,无,无,不限年龄段,男女均可使用,否,否,否,否,正常使用环境,正确的使用方式,电气危害,触电危害,漏电,财产损失,,合肥市华山路与长沙路交口在建小区葛洲坝中国府空调外机失火。,
71,交通工具及相关产品,电动自行车,无,无,无,14～60岁,男女均可使用,否,是,是,否,正常使用环境,正确的使用方式,电气危害,电气爆炸,散热不良,财产损失,,3月12日下午，开封市天马广场一电动车行驶中突然起火，冒出滚滚浓烟。,
72,交通工具及相关产品,电动自行车,无,无,无,14～60岁,男女均可使用,否,是,是,否,正常使用环境,正确的使用方式,电气危害,电气爆炸,铁芯发热,财产损失,,南宁市印务中心对面的绿园小区电车棚发生火灾，火势蔓延极快。仅20分钟，棚内所有电动车被烧毁，还有十几部汽车也被烤烂车灯或车尾、车头盖，损失惨重。,
73,交通工具及相关产品,电动自行车,无,无,无,14～60岁,男女均可使用,否,是,是,否,正常使用环境,正确的使用方式,电气危害,电气爆炸,铁芯发热,财产损失,,郑州中岳大厦小区东车棚电动车失火，有居民称，大概40辆电动车被烧火势顺楼向上，烧裂多户居家玻璃。,
74,交通工具及相关产品,电动自行车,无,无,无,14～60岁,男女均可使用,否,是,是,否,正常使用环境,正确的使用方式,电气危害,电气爆炸,过热,财产损失,,西安城北一小区发生电动车充电引发的火灾，三辆电动车被烧毁，部分住宅窗户及外挂空调机箱被烧坏。,
75,儿童用品,玩具车,无,无,无,14岁及以下,男女均可使用,是,是,否,否,正常使用环境,正确的使用方式,机械危害,形状和表面性能危害,部件空隙或开口,卡伤,,一名2岁男童在家中玩玩具车时，不小心把手指卡进玩具车的轮子里。,
76,交通工具及相关产品,电动自行车,无,无,无,14～60岁,男女均可使用,否,是,是,否,正常使用环境,正确的使用方式,电气危害,电气爆炸,过热,财产损失,,开封市一小区突发大火，着火点在三楼外两个单元中间。火灾是由于电动车违规停放在楼梯间进行充电引起，加上楼梯间的“烟囱”效应，火势迅速蔓延，两三分钟就从3楼烧到了顶楼17楼。,
77,交通工具及相关产品,电动自行车电池,无,无,无,14～60岁,男女均可使用,否,是,是,否,正常使用环境,正确的使用方式,电气危害,电气爆炸,过热,财产损失,,起火原因是业主将电动车手提式电瓶拿回家充电，引发发生火灾。,
78,儿童用品,磁力珠玩具,无,无,无,14岁及以下,男女均可使用,是,是,是,否,正常使用环境,可合理预见的误使用,警示标识缺失,形状和表面性能危害,光滑表面,胃肠道穿孔或阻塞,,内蒙古一名2岁女童误吞了18颗磁力珠，险造成胃穿孔。,
79,儿童用品,磁力珠玩具,无,无,无,14岁及以下,男女均可使用,是,是,是,否,正常使用环境,可合理预见的误使用,警示标识缺失,形状和表面性能危害,光滑表面,胃肠道穿孔或阻塞,,周口一名男童吞下了13颗磁力珠，珠子在体内连成一个“镯子”，并造成肠穿孔。,
80,交通工具及相关产品,电动自行车,无,无,无,14～60岁,男女均可使用,否,是,是,否,正常使用环境,正确的使用方式,电气危害,电气爆炸,过热,财产损失,,小区一辆电动车疑似在充电时发生自燃，并引燃了一旁的其他几辆电动车。,
81,家用电器及电器附件,插线板,无,无,无,不限年龄段,男女均可使用,否,是,是,否,正常使用环境,可合理预见的误使用,电气危害,触电危害,短路,烧伤,,插线板老化引起房屋起火，3岁女童被烧伤。,
82,家用电器及电器附件,电热护腰,无,无,无,不限年龄段,男女均可使用,否,是,是,否,正常使用环境,正确的使用方式,电气危害,电气爆照,过热,财产损失,,上海一小区住户家中的一个护腰正在充电、充电过程中发生起火。,
83,家用电器及电器附件,纽扣电池,无,无,无,14岁及以下,男女均可使用,否,是,是,否,正常使用环境,正确的使用方式,机械危害,形状和表面性能危害,小零件,胃肠道穿孔或阻塞,,乐山一名不满一岁的幼儿误吞一枚直径约2公分大的纽扣电池，卡在了食管入口处。 ,
84,交通工具及相关产品,电动自行车,无,无,无,14～60岁,男女均可使用,否,是,是,否,正常使用环境,正确的使用方式,电气危害,电气爆炸,过热,财产损失,,瑞安安阳街道一民房突发大火，一时间楼内浓烟滚滚，而“元凶”竟是该住户在屋内违规充电的电动车。,
85,交通工具及相关产品,电动自行车,无,无,无,14～60岁,男女均可使用,否,是,是,否,正常使用环境,正确的使用方式,电气危害,电气爆炸,铁芯发热,财产损失,,上海一辆电动车停放在路口时起火自燃。,
86,交通工具及相关产品,电动自行车,无,无,无,14～60岁,男女均可使用,否,是,是,否,正常使用环境,正确的使用方式,电气危害,电气爆炸,过热,财产损失,,三亚一辆正在充电的电动车突然起火，18人被困。,
87,家用电器及电器附件,燃气热水器,无,无,无,14～60岁,男女均可使用,否,是,是,否,正常使用环境,正确的使用方式,无机毒物危害,有毒气体危害,一氧化碳,中毒,,南宁一名女子洗澡时出现一氧化碳中毒。,
88,家具及建筑装饰装修材料,淋浴房,无,无,无,不限年龄段,男女均可使用,否,否,否,否,高湿环境,正确的使用方式,机械危害,形状和表面性能危害,锐利边缘,划伤,,泉州一酒店浴室玻璃门突然碎裂，造成房客身上多处划伤。,
89,家用电器及电器附件,洗衣机,无,无,无,不限年龄段,男女均可使用,否,是,是,否,高湿环境,正确的使用方式,电气危害,触电危害,漏电,卡伤,,一名3岁的女童在玩耍时，跳进自家放在卫生间里洗衣机的滚桶里，被紧紧卡住。,
90,儿童用品,磁力珠玩具,无,无,无,14岁及以下,男女均可使用,是,是,是,否,正常使用环境,可合理预见的误使用,警示标识缺失,形状和表面性能危害,光滑表面,胃肠道穿孔或阻塞,,一名1岁半的男童误吞了14颗磁力珠，造成肠管多处穿孔，部分膀胱肌层也遭压迫受损。,
91,家用电器及电器附件,电暖宝,彩虹牌,无,无,不限年龄段,男女均可使用,否,是,是,否,低温环境,正确的使用方式,高/低温物质危害,高温物质危害,高温表面,烫伤,,衡阳市民董小姐向三湘都市报记者投诉称，在正常使用“彩虹牌”电热饼过程中，全身有3处被烫伤。,
92,家用电器及电器附件,电热毯,无,无,无,不限年龄段,男女均可使用,否,是,是,否,低温环境,正确的使用方式,电气危害,触电危害,漏电,财产损失,,淮安一小区居民家打开电热毯后离开，因温度过高引发大火。,
93,交通工具及相关产品,电动自行车,无,无,无,14～60岁,男女均可使用,否,是,是,否,正常使用环境,正确的使用方式,电气危害,电气爆炸,过热,财产损失,,黄埔区沙浦村一男子夜里醒来发现自家大厅电动车充电位置有明火。因火势太大，男子只能报火警。很快消防员赶到将大火扑灭。,
94,儿童用品,磁力珠玩具,无,无,无,14岁及以下,男女均可使用,是,是,是,否,正常使用环境,可合理预见的误使用,警示标识缺失,形状和表面性能危害,光滑表面,胃肠道穿孔或阻塞,,8岁男童误吞4颗磁力珠，差点胃穿孔大出血，危及生命。,
95,信息技术产品,手机,无,无,无,不限年龄段,男女均可使用,否,否,否,否,正常使用环境,正确的使用方式,电气危害,电气爆炸,过热,财产损失,,天津一市民把手机放在外套口袋里发生自燃，衣服被烧坏，口袋里的手表和车钥匙也有不同程度损坏。,
96,家用电器及电器附件,洗衣机,无,无,无,不限年龄段,男女均可使用,否,是,是,否,高湿环境,正确的使用方式,电气危害,触电危害,漏电,卡伤,,一名3岁小男孩腰部以下被卡在洗衣机甩干桶内。,
97,儿童用品,蘑菇钉板,无,无,无,14岁及以下,男女均可使用,是,是,否,否,正常使用环境,正确的使用方式,机械危害,形状和表面性能危害,锐利边缘,划伤,,中牟一名1岁11个月的孩子，在家玩玩具的时候，摔倒时不小心“蘑菇钉”钉板扎在了头上。,
98,儿童用品,磁力珠玩具,无,无,无,14岁及以下,男女均可使用,是,是,是,否,正常使用环境,可合理预见的误使用,警示标识缺失,形状和表面性能危害,光滑表面,胃肠道穿孔或阻塞,,佛冈一名一岁多的小男孩误吞了六颗巴克球，2颗卡在食道引起呕吐，4颗在胃肠险造成肠穿孔。,
99,交通工具及相关产品,电动自行车,无,无,无,14～60岁,男女均可使用,否,是,是,否,正常使用环境,正确的使用方式,电气危害,电气爆炸,过热,财产损失,,一辆电动车在楼道充电时发生自燃，引发单元楼火灾。,
100,家用电器及电器附件,空调,无,无,无,不限年龄段,男女均可使用,否,否,否,否,正常使用环境,正确的使用方式,电气危害,触电危害,漏电,财产损失,,南通一市民家中空调外机突然自燃，幸亏邻居发现报警，消防队赶来才把火扑灭。,
101,儿童用品,磁力珠玩具,无,无,无,14岁及以下,男女均可使用,是,是,是,否,正常使用环境,可合理预见的误使用,警示标识缺失,形状和表面性能危害,光滑表面,财产损失,,一名韩城的3岁小男孩误吞了7颗磁力珠，造成胃肠12处穿孔。,
102,交通工具及相关产品,电动自行车,无,无,无,14～60岁,男女均可使用,否,是,是,否,正常使用环境,正确的使用方式,电气危害,电气爆炸,散热不良,财产损失,,一名男子驾驶一辆电动自行车行驶过程中，突然车辆冒烟，随即起火，短短几分钟内烧毁。,
103,交通工具及相关产品,电动三轮车,无,无,无,14～60岁,男女均可使用,否,是,是,否,正常使用环境,正确的使用方式,电气危害,电气爆炸,过热,财产损失,,南京市民康女士在家给电动三轮车的电瓶充电时，电瓶突然在夜里爆炸引起了火灾，家中损失惨重。,
