序号,月报期数,产品分类（月报）,日期,召回数量,产品名称,标题,召回原因,危害源,危害情况,区域,链接,,,,,,,
,1,儿童用品,2020/1/19,105,儿童服装,【北京】东林嘉合（北京）体育用品有限公司主动召回缺陷产品,该款产品因绳带项目存在不符合国家标准中保障人身安全要求的情形，属于缺陷产品。 ,绳带,,,http://dpac.samr.gov.cn/xfpzh/xfpgnzh/202001/t20200119_89007.html,,,,,,,
,1,家具及建筑装饰装修材料,2020/1/19,6,防盗安全门,【重庆】重庆巴蜀新科门业有限公司召回防盗安全门,钢质板材厚度、尺寸公差与间隙和主锁舌伸出有效长度不符合标准要求，可能导致消费者生命财产安全受到危害，存在安全隐患。,板材厚度、尺寸公差与间隙、主锁舌伸出有效长度,安全隐患,,http://dpac.samr.gov.cn/xfpzh/xfpgnzh/202001/t20200119_89009.html,,,,,,,
,1,家用电器及电器附件,2020/1/19,300,饮水机,【重庆】丰都县兴义镇吉源电器厂召回冷热饮水机,存在电源连接和外部软线项目不符合相关国家标准。该缺陷的存在容易造成火灾和触电风险。,电源连接和外部软线,火灾、触电,,http://dpac.samr.gov.cn/xfpzh/xfpgnzh/202001/t20200119_89008.html,,,,,,,
,1,家用电器及电器附件,2020/1/19,38,取暖器,【重庆】重庆浩正电器有限公司召回室内加热器（取暖器）,本次召回范围内的室内加热器（取暖器）存在非正常工作、电源连接和外部软线、接地措施项目不符合相关国家标准。该缺陷的存在容易造成火灾和触电风险。,电源连接和外部软线、接地措施,火灾、触电,,http://dpac.samr.gov.cn/xfpzh/xfpgnzh/202001/t20200119_89012.html,,,,,,,
,1,家用电器及电器附件,2020/1/19,150,取暖器,【重庆】重庆市成渝电器有限公司召回多功能取暖器和室内加热器,本次召回范围内的多功能取暖器和室内加热器存在输入功率和电流、电源连接和外部软线、接地措施项目不符合相关国家标准。该缺陷的存在容易造成火灾和触电风险。,输入功率和电流、电源连接和外部软线、接地措施,火灾、触电,,http://dpac.samr.gov.cn/xfpzh/xfpgnzh/202001/t20200119_89010.html,,,,,,,
,1,其他,2020/1/19,16,稻麦脱粒机,【重庆】重庆发创机械有限公司召回稻麦脱粒机,本次召回范围内的稻麦脱粒机存在喂入装置和紧固件项目不符合相关国家标准。该缺陷的存在容易造成消费者机械损伤风险。,喂入装置和紧固件,机械损伤,,http://dpac.samr.gov.cn/xfpzh/xfpgnzh/202001/t20200119_89011.html,,,,,,,
,1,家用电器及电器附件,2020/1/19,200,取暖器,【重庆】重庆涵佳蕾电器有限公司召回室内加热器,本次召回范围内的室内加热器存在输入功率和电流、电源连接和外部软线、接地措施项目不符合相关国家标准。该缺陷的存在容易造成火灾和触电风险。,输入功率和电流、电源连接和外部软线、接地措施,火灾、触电,,http://dpac.samr.gov.cn/xfpzh/xfpgnzh/202001/t20200119_89013.html,,,,,,,
,2,家用电器及电器附件,2020/2/17,621,热泵热水机,【上海】东芝开利空调销售（上海）有限公司召回部分自然冷媒二氧化碳热泵热水机,因产品的室外机安装环境不当等有可能造成室外机底盘积水，引起压缩机外壳腐蚀，有极少数外机变形，将来有可能造成人身伤害。,安装设计,,,http://dpac.samr.gov.cn/xfpzh/xfpgnzh/202002/t20200220_89462.htmlhttp://dpac.samr.gov.cn/xfpzh/xfpgnzh/202002/t20200220_89462.html,,,,,,,
,2,家用电器及电器附件,2020/2/25,20000,电热水器,广东长虹日电科技有限公司召回部分电热水壶,由于部分壶嘴和出水口存在锐利边缘，可能在使用和清洁过程中存在划伤皮肤的安全隐患,壶嘴和出水口存在锐利边缘,,,http://dpac.samr.gov.cn/xfpzh/xfpgnzh/202002/t20200225_89544.html,,,,,,,
,3,电子信息,2020/3/3,10000,充电器,【安徽】天长市宏光电子有限责任公司召回部分宏光品牌充电器,由于在生产过程中输入功率和电流，外壳机械强度不达标，可能存在漏电的安全隐患。,外壳机械强度、输入功率和电流,漏电,,http://dpac.samr.gov.cn/xfpzh/xfpgnzh/202003/t20200305_89729.html,,,,,,,
,3,电子信息,2020/3/3,10100,充电器,【安徽】天长市科宇电器有限公司召回部分科宇之星品牌充电器,由于在生产过程中外壳机械强度不达标，可能存在漏电的安全隐患。,外壳机械强度,漏电,,http://dpac.samr.gov.cn/xfpzh/xfpgnzh/202003/t20200305_89730.html,,,,,,,
,3,电子信息,2020/3/3,11000,充电器,【安徽】天长市龙源电子有限公司召回部分龙源泉三代品牌充电器,由于在生产过程中镭射喷码的输出电压范围，导致检测时发现输入功率和电流不在标注的范围内，可能误导消费者，产生一定的安全隐患。,输入功率和电流,安全隐患,,http://dpac.samr.gov.cn/xfpzh/xfpgnzh/202003/t20200305_89731.html,,,,,,,
,3,电子信息,2020/3/3,10100,充电器,【安徽】天长市秦栏镇通洋电子厂召回部分电动车充电器,由于在生产过程中使用了机械强度不足的外壳，可能存在外壳破损造成漏电的安全隐患。,外壳机械强度,漏电,,http://dpac.samr.gov.cn/xfpzh/xfpgnzh/202003/t20200305_89733.html,,,,,,,
,3,电子信息,2020/3/3,11800,充电器,【安徽】天长市秦栏镇宝盛电子厂召回部分电动车充电器,由于在生产过程中使用了机械强度不足的外壳，可能存在外壳破损造成漏电的安全隐患，因检验人员疏忽贴错标识牌。,外壳机械强度,漏电,,http://dpac.samr.gov.cn/xfpzh/xfpgnzh/202003/t20200305_89732.html,,,,,,,
,3,电子信息,2020/3/3,15000,充电器,【安徽】天长市森林电器科技有限公司召回部分森林荣耀品牌充电器,由于在生产过程中外壳机械强度不达标，可能存在漏电的安全隐患。,外壳机械强度,漏电,,http://dpac.samr.gov.cn/xfpzh/xfpgnzh/202003/t20200305_89734.html,,,,,,,
,3,电子信息,2020/3/3,10200,充电器,【安徽】天长市时来电子科技有限公司召回部分荣炳派正富品牌充电器,由于在生产过程中外壳机械强度不达标，可能存在漏电的安全隐患。,外壳机械强度,漏电,,http://dpac.samr.gov.cn/xfpzh/xfpgnzh/202003/t20200305_89735.html,,,,,,,
,3,电子信息,2020/3/3,10000,充电器,【安徽】天长市天玛电子有限责任公司召回部分马上行品牌充电器,由于在生产过程中外壳机械强度不达标，可能存在漏电的安全隐患。,外壳机械强度,漏电,,http://dpac.samr.gov.cn/xfpzh/xfpgnzh/202003/t20200305_89737.html,,,,,,,
,3,电子信息,2020/3/3,12000,充电器,【安徽】天长市天良电子厂召回部分天启通品牌充电器,由于在生产过程中喷码标识不合格，可能存在影响消费者判断的安全隐患。,标识,安全隐患,,http://dpac.samr.gov.cn/xfpzh/xfpgnzh/202003/t20200305_89736.html,,,,,,,
,3,电子信息,2020/3/3,10060,充电器,【安徽】天长市鑫鹏电子厂召回部分电动车充电器,由于在生产过程中使用了机械强度不足的外壳，可能存在外壳破损造成漏电的安全隐患。,外壳机械强度,漏电,,http://dpac.samr.gov.cn/xfpzh/xfpgnzh/202003/t20200305_89739.html,,,,,,,
,3,电子信息,2020/3/3,10500,充电器,【安徽】天长市同富电子科技有限公司召回部分众华蕊品牌充电器,由于在生产过程中外壳机械强度不达标，可能存在漏电的安全隐患。,外壳机械强度,漏电,,http://dpac.samr.gov.cn/xfpzh/xfpgnzh/202003/t20200305_89738.html,,,,,,,
,3,电子信息,2020/3/3,8000,充电器,【安徽】天长市恒久电子厂召回部分电动车充电器,由于在生产过程中使用了机械强度不足的外壳，可能存在外壳破损造成漏电的安全隐患。,机械强度,漏电,,http://dpac.samr.gov.cn/xfpzh/xfpgnzh/202003/t20200305_89740.html,,,,,,,
,3,家具及建筑装饰装修材料,2020/3/4,90335,三斗抽屉柜,【上海】宜家（中国）投资有限公司召回库伦三斗抽屉柜,"如果该产品不按照产品安装说明书使用产品所附带的上墙件将抽屉柜正确地上墙固定，在特殊情况下，抽屉柜理论上存在倾倒的可能性,存在安全隐患。",上墙固定装置,安全隐患,,http://dpac.samr.gov.cn/xfpzh/xfpgnzh/202003/t20200305_89725.html,,,,,,,
,3,儿童用品,2020/3/6,105,儿童雨衣,【上海】海贝殷优（上海）商贸有限公司召回（部分）雨衣,当服装平铺至最大尺寸时有突出的绳圈，在儿童穿着和使用过程中可能被其他物件钩住或者挂住，造成安全隐患。,绳带,钩住,,http://dpac.samr.gov.cn/xfpzh/xfpgnzh/202003/t20200306_89751.html,,,,,,,
,3,文教体育,2020/3/10,319,单板滑雪板固定器,【上海】迪脉(上海)企业管理有限公司召回单板滑雪板固定器,此产品在使用过程中底座存在断裂的可能性，给使用者造成安全隐患。,底座机械强度,安全隐患,,http://dpac.samr.gov.cn/xfpzh/xfpgnzh/202003/t20200311_89904.html,,,,,,,
,3,家用电器及电器附件,2020/3/13,28,地暖垫,【江苏】无锡得宝居家科技有限公司召回暖大师牌（NDS-50*60）地暖垫,产品发热膜耐热和耐燃项不达标，在非正常工作的情况下，局部过热可能导致产品变形甚至起火，存在安全风险。,耐热性、耐燃性,起火,,http://dpac.samr.gov.cn/xfpzh/xfpgnzh/202003/t20200313_89934.html,,,,,,,
,3,家具及建筑装饰装修材料,2020/3/16,1500,双层床 　,【广东】深圳市万兴科实业发展有限公司召回部分双层床 　,本次召回范围内的双层床，由于上铺安全栏板高度不足，可能存在跌落风险。,上铺安全栏板高度,跌落,,http://dpac.samr.gov.cn/xfpzh/xfpgnzh/202003/t20200319_90002.html,,,,,,,
,3,儿童用品,2020/3/18,2906,儿童安全座椅,【上海】思童嘉商贸（上海）有限公司召回部分汽车安全座椅,基座在汽车内结合使用并且发生强烈碰撞时，存在与基座分离的可能性，造成安全隐患。,基座分离,安全隐患,,http://dpac.samr.gov.cn/xfpzh/xfpgnzh/202003/t20200319_90001.html,,,,,,,
,3,家具及建筑装饰装修材料,2020/3/19,364,台灯,【江苏】南京汉德森科技股份有限公司召回汉德森牌（5W）LED TABLE LAMP台灯,1、未标记产品型号、未标记Ⅲ类灯具符号，可能导致消费者触电2、灯具以最不利位置置于水平面时，灯具倾倒，可能引起不可预见的伤害。,标签标识、稳定性,触电,,http://dpac.samr.gov.cn/xfpzh/xfpgnzh/202003/t20200319_90001.html,,,,,,,
,3,家具及建筑装饰装修材料,2020/3/20,2662,LED灯,【江苏】南京汉德森科技股份有限公司召回汉德森牌（2.5寸）LED格润筒灯,1、外包装上无Y型连接警告语，无“非,标签标识、对触及带电部件的防护、控制装置输出、输出电压、电缆截面积,触电、火灾,,http://dpac.samr.gov.cn/xfpzh/xfpgnzh/202003/t20200324_90126.html,,,,,,,
,3,其他,2020/3/20,696,发电机,嘉陵-本田发动机有限公司召回EU22iT发电机,在雨水环境使用时发电机的变频器AC输出接头有可能发生短路，存在变频器和接头损坏或者外盖燃烧的安全隐患。,短路,燃烧,,http://dpac.samr.gov.cn/xfpzh/xfpgnzh/202003/t20200319_90016.html,,,,,,,
,3,电子信息,2020/3/23,3,移动电源,【江苏】无锡市国英新能源科技有限公司召回炽锋牌（PY-X7）移动电源,产品外壳的防火性能未达到要求，当产品内部发生短路或者其他原因出现燃烧时，在极端情况下可能产生火灾，存在安全隐患。,防火性能,火灾,,http://dpac.samr.gov.cn/xfpzh/xfpgnzh/202003/t20200323_90119.html,,,,,,,
,3,电子信息,2020/3/23,12,移动电源,【江苏】无锡市国英新能源科技有限公司召回炽锋牌（NDY-02-AD）移动电源,产品外壳的防火性能未达到要求，当产品内部发生短路或者其他原因出现燃烧时，在极端情况下可能产生火灾，存在安全隐患。,防火性能,火灾,,http://dpac.samr.gov.cn/xfpzh/xfpgnzh/202003/t20200324_90122.html,,,,,,,
,3,电子信息,2020/3/23,9,移动电源,【江苏】无锡市国英新能源科技有限公司召回炽锋牌（X7）移动电源,产品外壳的防火性能未达到要求，当产品内部发生短路或者其他原因出现燃烧时，在极端情况下可能产生火灾，存在安全隐患。,防火性能,火灾,,http://dpac.samr.gov.cn/xfpzh/xfpgnzh/202003/t20200324_90121.html,,,,,,,
,3,日用杂品,2020/3/25,9,银项链 ,【江苏】无锡九方文化发展有限公司召回KAWAII牌（时升-0005）银项链镂空三角,产品中镉元素超标，存在镉中毒的安全隐患。,镉元素,中毒,,http://dpac.samr.gov.cn/xfpzh/xfpgnzh/202003/t20200325_90148.html,,,,,,,
,4,家具及建筑装饰装修材料,2020/3/25,5,鞋柜,【山西】山西九品家具有限公司召回部分鞋柜产品,未墙体进行固定，存在倾倒的风险，可能会对儿童的人身安全造成严重伤害。,稳定性,受伤,,http://dpac.samr.gov.cn/xfpzh/xfpgnzh/202003/t20200326_90154.html,,,,,,,
,4,家具及建筑装饰装修材料,2020/3/27,408,吸顶灯,【福建】艾笛森（厦门）光电科技有限公司召回部分吸顶灯产品,外部接线与内部接线项目不符合国家标准要求。由于产品导线没有固定装置，极端情况下导线可能会被扯出，导致触电的情况发生。,外部接线与内部接线、导线没有固定装置,触电,,http://dpac.samr.gov.cn/xfpzh/xfpgnzh/202003/t20200327_90190.html,,,,,,,
,4,儿童用品,2020/3/27,696,儿童服装,【福建】福建省泉州南琦鞋业有限公司召回部分童户外长裤产品,由于腰部绳带过长，儿童在玩耍过程中绳带可能会被外物卡住，造成勒伤儿童的情况发生，具有一定的安全隐患。,绳带,勒伤,,http://dpac.samr.gov.cn/xfpzh/xfpgnzh/202003/t20200327_90191.html,,,,,,,
,4,家用电器及电器附件,2020/3/27,4000,电灭蚊器,【福建】福州弘晟联创电器有限公司召回部分灭蚊灯,由于对触及带电部件的防护、工作温度下的泄漏电流和电气强度、电源连接和外部软线项目不符合国家标准要求，使用过程中存在电流泄露造成触电的风险，具有一定的安全隐患。,触及带电部件的防护、电流和电气强度泄漏、电源连接和外部软线,安全隐患,,http://dpac.samr.gov.cn/xfpzh/xfpgnzh/202003/t20200327_90192.html,,,,,,,
,4,儿童用品,2020/3/27,126,儿童服装,【福建】晋江市贝迪熊贸易有限公司召回部分哈迪小熊两用合同套,由于绳带长度不符合国家标准要求，儿童玩耍时可能会被勒伤，具有一定的安全隐患。,绳带,勒伤,,http://dpac.samr.gov.cn/xfpzh/xfpgnzh/202003/t20200327_90193.html,,,,,,,
,4,儿童用品,2020/3/27,1650,童鞋,【福建】泉州哈迈隆体育用品有限公司召回部分毛毛虫童鞋产品,由于邻苯二甲酸酯不符合国家标准要求，可能会对儿童的身体器官等部位造成伤害，具有一定的安全隐患。,邻苯二甲酸酯,受伤,,http://dpac.samr.gov.cn/xfpzh/xfpgnzh/202003/t20200327_90195.html,,,,,,,
,4,儿童用品,2020/3/27,120,童鞋,【福建】晋江市大黄蜂体育用品有限公司召回部分中童框子鞋产品,由于邻苯二甲酸酯不符合国家标准要求，可能会对儿童的身体器官等部位造成伤害，具有一定的安全隐患。,邻苯二甲酸酯,受伤,,http://dpac.samr.gov.cn/xfpzh/xfpgnzh/202003/t20200327_90194.html,,,,,,,
,4,儿童用品,2020/3/27,1992,童鞋,【福建】锐铭运动用品（厦门）有限公司召回部分轮滑鞋产品,刹车头与地面距离项目不符合国家标准要求。由于产品刹车头平面离地最小距离小于10mm，导致产品不能有效制动，极端情况下使用者可能会出现摔伤的情况发生，存在一定的安全隐患。,刹车头与地面距离,安全隐患,,http://dpac.samr.gov.cn/xfpzh/xfpgnzh/202003/t20200327_90196.html,,,,,,,
,4,儿童用品,2020/3/27,120,儿童服装,【福建】石狮市华达家服饰有限公司召回部分运动服装,由于帽绳长度不符合国家标准要求，儿童玩耍时可能会被勒伤，具有一定的安全隐患。,绳带,勒伤,,http://dpac.samr.gov.cn/xfpzh/xfpgnzh/202003/t20200327_90197.html,,,,,,,
,4,儿童用品,2020/3/30,9,儿童服装,【上海】上海杰帝梵服饰有限公司召回童装休闲裤,儿童在穿着过程中绳带过长可能导致被缠绕、绊倒，存在安全隐患。,绳带,勒伤,,http://dpac.samr.gov.cn/xfpzh/xfpgnzh/202003/t20200330_90305.html,,,,,,,
,4,家用电器及电器附件,2020/3/31,3000,电热水器,【江苏】昆山市展邦电器有限公司召回萨尔玛（FEH32）储水式电热水器,由于其电源线可以推入器具，使内部布线受到应力，导致电源线可能触碰到电热元件而受热，引起绝缘下降或者失效，造成器具外壳带电，存在触电危险。,电源线受热,触电,,http://dpac.samr.gov.cn/xfpzh/xfpgnzh/202003/t20200331_90377.html,,,,,,,
,4,家用电器及电器附件,2020/4/7,50,电热水壶,【上海】上海华生电器有限公司召回部分华生牌电热水壶,由于产品检测对接地措施项目不符合GB4706.1-2005/GB4706.19-2008（家用和类似用途电器的安全）的要求，电源线地线过短，当对载流线和地线同时拉紧时，地线会脱落，可能造成消费者触电的人身伤害。,对接地措施不合要求、电源线地线过短,触电,,http://dpac.samr.gov.cn/xfpzh/xfpgnzh/202004/t20200408_90545.html,,,,,,,
,4,家用电器及电器附件,2020/4/7,120,落地扇,【上海】上海华生电器有限公司召回部分华生牌落地扇,由于产品检测对触及带电部件的防护项目不符合GB4706.1-2005（家用和类似用途电器的安全，第一部分通用要求）、GB4706.27-2008（家用和类似用途电器的安全，风扇的特殊要求）的要求，存在对触及带电部件的防护不够及机械危害，对消费者可能造成触电或手割伤等人身伤害。,触及带电部件的防护不够、机械危害,触电、割伤,,http://dpac.samr.gov.cn/xfpzh/xfpgnzh/202004/t20200408_90546.html,,,,,,,
,4,其他,2020/4/9,5000,口罩,【安徽】全椒锐诺劳保用品制造有限公司召回部分一次性熔喷布防护口罩,是由于过滤效率低于国家相关标准要求，对消费者呼吸安全起不到应有的保护作用。,过滤效率,起不到保护作用,,http://dpac.samr.gov.cn/xfpzh/xfpgnzh/202004/t20200413_90589.html,,,,,,,
,4,儿童用品,2020/4/10,36000,儿童床围栏,【山东】临沂高新区亲安母婴用品中心召回儿童床围栏,产品存在儿童可触及范围内的开口和间隙存在夹住手指的安全隐患、标识和使用说明告知不清等不合理危险。,开口和间隙、标签标识,安全隐患,,http://dpac.samr.gov.cn/xfpzh/xfpgnzh/202004/t20200417_90667.html,,,,,,,
,4,电子信息,2020/4/10,896,无线接收发射器,【广东】广州市笛美音响设备有限公司召回部分Line6 Relay G10系列吉他无线系统(无线接收发射器),在极少数情况下会发生内部短路，导致电池失常（“热失控”），可能存在过热起火的安全隐患。,短路,起火,,http://dpac.samr.gov.cn/xfpzh/xfpgnzh/202004/t20200413_90600.html,,,,,,,
,4,其他,2020/4/21,1800,口罩,【安徽】六安市荣恩防护用品有限公司召回部分非医用一次性使用口罩,过滤效率低于国家相关标准要求，对消费者呼吸安全起不到应有的保护作用。 ,过滤效率,起不到保护作用,,http://dpac.samr.gov.cn/xfpzh/xfpgnzh/202004/t20200423_90876.html,,,,,,,
,4,其他,2020/4/23,2000,口罩,【安徽】安徽康莱药业有限公司召回部分一次性口罩,产品过滤效率低于国家相关标准要求，对消费者呼吸安全起不到应有的保护作用。,过滤效率,起不到保护作用,,http://dpac.samr.gov.cn/xfpzh/xfpgnzh/202004/t20200423_90884.html,,,,,,,
,4,其他,2020/4/23,1300,口罩,【安徽】安徽金贝冠药业有限公司召回部分一次性使用口罩,产品过滤效率低于国家相关标准要求，对消费者呼吸安全起不到应有的保护作用。 ,过滤效率,起不到保护作用,,http://dpac.samr.gov.cn/xfpzh/xfpgnzh/202004/t20200423_90885.html,,,,,,,
,4,交通用具,2020/4/24,125,电动自行车,天津比德文科技有限公司召回部分电动自行车,在极端情况下可能发生消费者手持金属物（如钥匙，铁丝等）误触电动自行车车身充电口正负极，导致与充电线路相连的蓄电池短路，存在手指被电灼伤的安全隐患。,手持金属物误接触,短路、灼伤,,http://dpac.samr.gov.cn/xfpzh/xfpgnzh/202004/t20200424_90912.html,,,,,,,
,4,儿童用品,2020/4/24,180991,儿童散步车,迈古贸易（上海）有限公司召回部分儿童散步车,由于产品的原始设计理念为轻便简洁、便于携带，导致驻车装置和束缚装置缺失，极端情况下，可能会自动滑行，存在摔倒、碰撞的风险，给儿童带来不可预见的伤害。,驻车装置和束缚装置缺失,摔伤,,http://dpac.samr.gov.cn/xfpzh/xfpgnzh/202004/t20200424_90913.html,,,,,,,
,5,儿童用品,2020/4/26,600,童车,【安徽】安徽酷豆丁儿童用品有限公司召回部分伞车,经法定检验检测机构，该批次产品不符合《国家儿童推车安全要求规(GB14748-2006)》标准稳定性项目的有关要求(按5.11稳定性测试条款测试时，当车辆面向斜坡向上放置、靠背调节至最平躺位置时，车辆向后翻倒，不符合标准GB14748-2006第4.8条款的要求)。靠背档位处于最低档如不能大于150°时，如将婴儿车放置大于12°斜坡路面，且无人看护的情况下有后翻的风险，在使用过程中，可能造成儿童有摔伤的危险，极端情况下，可能发生危及生命的危险。,稳定性,摔伤,,http://dpac.samr.gov.cn/xfpzh/xfpgnzh/202004/t20200427_90945.html,,,,,,,
,5,其他,2020/4/26,1500,一次性非医用口罩,【安徽】绩溪县旭聪医疗用品有限公司召回（型号20200309）一次性非医用口罩,"该批次一次性非医用口罩上部的固定金属铁丝由于过长，为10.5厘米，在折叠后容易外露出来，戳伤佩戴者皮肤,有可能危及消费者健康安全。",固定金属铁丝过长,危害健康,,http://dpac.samr.gov.cn/xfpzh/xfpgnzh/202004/t20200427_90951.html,,,,,,,
,5,其他,2020/4/26,110,一次性使用口罩,【安徽】淮北金立然新能源科技有限公司召回部分一次性使用口罩,公司在自查时发现，批次为“2020.4.15.1”的一次性使用口罩产品耳带不牢固，戴上后易脱落，对消费者呼吸安全起不到应有的保护作用。,耳带不牢固,起不到保护作用,,http://dpac.samr.gov.cn/xfpzh/xfpgnzh/202004/t20200427_90953.html,,,,,,,
,5,日用杂品,2020/4/26,48,戒指,【江苏】连云港达夫卡有限公司召回MCK牌（JZ1742858MB）戒指,由于戒指中的有害元素镍的含量过高，导致消费者佩戴该款戒指时，可能会对身体健康造成一定影响。 ,镍含量,危害健康,,http://dpac.samr.gov.cn/xfpzh/xfpgnzh/202004/t20200426_90920.html,,,,,,,
,5,日用杂品,2020/4/26,28,项链,【江苏】连云港达夫卡有限公司召回MCK牌（X00977011）项链,由于项链中的有害元素铅的含量过高，导致消费者佩戴该款项链时，可能会对身体健康造成一定影响。 ,铅含量,危害健康,,http://dpac.samr.gov.cn/xfpzh/xfpgnzh/202004/t20200426_90921.html,,,,,,,
,5,儿童用品,2020/4/27,8,婴儿床,【江苏】沭阳桑尼伯瑞婴童用品有限公司召回麦车车牌（MC618）木制婴儿床,1、床头两端可挂住链条，当儿童佩戴项链或类似物件时，可能导致儿童勒伤或窒息。2、床护栏间隙较大，可能造成儿童腿部夹伤等伤害。3、旁板和床头内部高度过低，当婴儿趴在床栏上，或者跳跃时可能会翻出床外，导致跌落。4、没有关于床垫厚度的选择说明，消费者选择厚度不合适的床垫，可能会导致婴儿玩耍时从床内翻落。,床头两端可挂住链条、床护栏间隙较大、旁板和床头内部高度过低、选择说明,勒伤、窒息、夹伤,,http://dpac.samr.gov.cn/xfpzh/xfpgnzh/202004/t20200428_90987.html,,,,,,,
,5,儿童用品,2020/4/28,8,童床,【江苏】沭阳桑尼伯瑞婴童用品有限公司召回彩梦熊牌（MC676）带工字摇篮双层童床,由于没有关于床垫厚度的选择说明，消费者选择厚度不合适的床垫，可能会导致婴儿从床内翻落。,选择说明,翻落,,http://dpac.samr.gov.cn/xfpzh/xfpgnzh/202004/t20200428_90988.html,,,,,,,
