序号,产品类别,产品名称,使用对象年龄,使用对象性别,使用环境,使用方式,召回产品存在的一级危害因素,召回产品存在的二级级危害因素,召回产品存在的三级级危害因素,是否符合我国标准或者出口国标准,可能导致的伤害类型,发布国家,发布日期,通报原因
18,家用电器及电器附件,直发器,14岁~60岁,男女均可使用,高温环境,正确的使用方式,电气危害,触电危害,漏电,是,电击,中国,2016/1/8,与可触及的金属部件所接触的带电部件缺少加强绝缘，可能导致电击。
19,日用杂品,新奇打火机,14岁~60岁,男女均可使用,高温环境,正确的使用方式,高低温物质危害,高温物质危害,明火,是,火灾,中国,2016/1/8,打火机对儿童具有吸引力。儿童可能拿来把玩，引起火灾。
20,日用杂品,新奇打火机,14岁~60岁,男女均可使用,高温环境,正确的使用方式,高低温物质危害,高温物质危害,明火,是,火灾,中国,2016/1/8,打火机对儿童具有吸引力。儿童可能拿来把玩，引起火灾。
21,信息技术产品,旅行充电器,14岁~60岁,男女均可使用,正常使用环境,正确的使用方式,无机毒物危害,有毒重金属及其化合物危害,铅及其化合物,是,环保,中国,2016/1/8,某些不能触及的部件（电插头及印制电路板上的焊料）含有铅（测得占重高达84.0%）以及镉（测得占重高达1.10%）。
22,信息技术产品,平板电脑,不限年龄段,男女均可使用,正常使用环境,正确的使用方式,电气危害,触电危害,漏电,是,电击,中国,2016/1/8,一次电路上的连接器除焊接外没有任何其他的防意外断开保护。松动的电线在电源电压下可能因此触碰到可接触的二次电路。绝缘材料不足以抵抗其承受的热应力，可能变形使得带电部件可接触。
23,信息技术产品,移动电源,不限年龄段,男女均可使用,正常使用环境,正确的使用方式,电气危害,触电危害,漏电,是,电击,中国,2016/1/8,连接部件的两个管脚可被插进墙上的电源插座内。儿童可能误用该产品，将连接器插入墙上的电源插座内，从而受到电击
24,信息技术产品,游戏手柄,不限年龄段,男女均可使用,正常使用环境,正确的使用方式,无机毒物危害,有毒重金属及其化合物危害,其它,是,环保,中国,2016/1/8,电线的塑料材料含有占重高达1.9%的短链氯化石蜡（SCCPs）。目前禁止在市面上销售和使用含有SCCPs物质，因为SCCPs持续存在于环境中，低浓度即对水生生物有毒性，并且可在野生生物及人体内蓄积，对环境存在污染的危险。 此外，印制电路板上的某些焊料含有铅（测得值高达45.0%）。
25,儿童用品,玩具钥匙,37个月~96个月,男女均可使用,正常使用环境,正确的使用方式,机械危害,形状和表面性能危害,小零件,是,哽噎,中国,2016/1/11,塑料钥匙环上的钥匙可能被儿童吞咽，从而引发窒息危险。
26,家具及建筑装饰装修材料,Swingasan®吊椅和支架,不限年龄段,男女均可使用,正常使用环境,正确的使用方式,机械危害,潜在能量危害,机械强度,是,摔倒,中国,2016/1/12,椅子的悬挂处可能断裂，或在使用过程中支架可能会不稳固，有引发坠落的危险。
27,家具及建筑装饰装修材料,吊椅和支架,不限年龄段,男女均可使用,正常使用环境,正确的使用方式,机械危害,潜在能量危害,机械强度,是,坠落,中国,2016/1/12,椅子的悬挂处可能断裂，或在使用过程中支架可能会不稳固，有引发坠落的危险。
28,信息技术产品,可充电锂离子电池组,14岁~60岁,男女均可使用,正常使用环境,正确的使用方式,电气危害,电气爆炸,过热,是,火灾,中国,2016/1/12,该电池组会过热，可能造成火灾危险。
29,儿童用品,玩具鼓和鼓槌套,37个月~96个月,男女均可使用,正常使用环境,正确的使用方式,机械危害,形状和表面性能危害,小零件,是,窒息,中国,2016/1/14,鼓槌槌尖的橡胶球是可分离或被拧开的，对有窒息的危险。
30,食品相关产品,咖啡杯,不限年龄段,男女均可使用,正常使用环境,正确的使用方式,高低温物质危害,高温物质危害,高温表面,是,火灾,中国,2016/1/14,咖啡杯虽印有“微波/洗碗机用安全”，但实际上并不适合用于微波炉。如果放入微波炉，咖啡杯边缘的金属漆灰引起火化，有引发火灾的危险。
31,儿童用品,带有婴儿推车及摇铃的玩偶,36个月及以下,男女均可使用,正常使用环境,正确的使用方式,机械危害,形状和表面性能危害,小零件,是,哽咽，受伤,中国,2016/1/15,摇铃容易破裂，产生的小部件可被幼童放入口中，导致哽噎。而且，玩具婴儿推车容易垮塌，存在受伤的风险。
32,儿童用品,毛绒玩具,37个月~96个月,男女均可使用,正常使用环境,正确的使用方式,机械危害,形状和表面性能危害,小零件,是,哽咽,中国,2016/1/15,玩具带有的小部件（眼睛和鼻子）容易脱落。幼童可能将其放入口中，导致哽噎。
33,儿童用品,毛绒玩具布袋,37个月~96个月,男女均可使用,正常使用环境,正确的使用方式,机械危害,形状和表面性能危害,小零件,是,哽咽,中国,2016/1/15,布袋后背的拉链容易被移除。幼童可能将其放入口中，导致哽噎。
34,儿童用品,奇异服装配件,8岁~14岁,男女均可使用,正常使用环境,正确的使用方式,无机毒物危害,有毒重金属及其化合物危害,铜及其化合物,是,化学,中国,2016/1/15,产品释放过量的铜（测得值：35400mg/kg）。接触过高水平的铜会引起恶心、呕吐和/或腹痛，以及肾脏和肝脏损伤。
35,儿童用品,蛇形口哨,8岁~14岁,男女均可使用,正常使用环境,正确的使用方式,机械危害,形状和表面性能危害,小零件,是,哽咽,中国,2016/1/15,口哨容易脱落。幼童可能将其放入口中，导致窒息。
36,儿童用品,玩具电话,37个月~96个月,男女均可使用,正常使用环境,正确的使用方式,机械危害,形状和表面性能危害,小零件,是,哽咽,中国,2016/1/15,听筒与电话连线上的两个绿色小块容易脱落。幼童可能将这些小部件放入口中，导致哽噎。
37,儿童用品,玩具弓箭套装,37个月~96个月,男女均可使用,正常使用环境,正确的使用方式,机械危害,形状和表面性能危害,小零件,是,哽咽,中国,2016/1/15,箭上的吸盘容易脱落。若儿童将其放入口中，吸盘可能会堵塞呼吸道。
38,家具及建筑装饰装修材料,激光灯,不限年龄段,男女均可使用,高温环境,正确的使用方式,辐射危害,射线辐射危害,激光辐射,是,视力受损,中国,2016/1/15,使用说明缺少有关安全使用的信息。因此，激光可能对使用者的眼睛造成永久性伤害。
39,家具及建筑装饰装修材料,可调节办公椅,不限年龄段,男女均可使用,正常使用环境,正确的使用方式,机械危害,潜在能量危害,机械强度,是,受伤,中国,2016/1/15,椅子稳定性与强度不足。椅子可能会因此在使用的时候倾倒或断裂，使得使用者受伤。
40,家具及建筑装饰装修材料,孔明灯,不限年龄段,男女均可使用,高温环境,正确的使用方式,高低温物质危害,高温物质危害,明火,是,火灾,中国,2016/1/15,孔明灯带有开放式的燃烧物和金属丝线。若孔明灯掉落至地或在空中碰撞到其他物体，可能引起火灾。
41,日化,肥皂泡制造设备用液体,14岁~60岁,男女均可使用,正常使用环境,正确的使用方式,致病微生物危害,原核细胞微生物危害,其它,是,微生物,中国,2016/1/15,液体含有大量的好氧细菌。由于液体可能通过气雾的形式被吸入和接触到眼睛，存在感染的风险。
42,日化,人造雾制造设备用液体,不限年龄段,男女均可使用,正常使用环境,正确的使用方式,致病微生物危害,原核细胞微生物危害,其它,是,微生物,中国,2016/1/15,液体含有大量的好氧细菌。由于液体可能通过气雾的形式被吸入和接触到眼睛，存在感染的风险。
43,文教体育用品,冰上曲棍球头盔,14岁~60岁,男女均可使用,低温环境,正确的使用方式,机械危害,动能危害,移动状态撞击,是,受伤,中国,2016/1/15,由于减震能力不足，头盔不能提供适当的保护。而且，头盔的扣带容易松开。在受到冲击时，这可能导致头部受伤。
44,家具及建筑装饰装修材料,鞍形吧台椅,不限年龄段,男女均可使用,正常使用环境,正确的使用方式,机械危害,潜在能量危害,机械强度,是,摔倒,中国,2016/1/19,椅腿很脆弱，可能断裂，从而导致消费者摔下而造成受伤风险。
45,家具及建筑装饰装修材料,吧台凳和收银凳,不限年龄段,男女均可使用,正常使用环境,正确的使用方式,机械危害,潜在能量危害,机械强度,是,跌落,中国,2016/1/19,凳腿可能断裂，有跌落的危险。
46,信息技术产品,音乐灯光同步控制系统,不限年龄段,男女均可使用,正常使用环境,正确的使用方式,高低温物质危害,高温物质危害,高温表面,是,火灾,中国,2016/1/19,产品可能过量负载或过热，有引起火灾的危险。
47,日用杂品 ,Cheryl’s铝制铃铛装饰品,不限年龄段,男女均可使用,正常使用环境,正确的使用方式,机械危害,形状和表面性能危害,锐利边缘,是,割伤,中国,2016/1/20,镂空图形有锋利的金属边缘，有割伤消费者的危险。
48,儿童用品,儿童平衡自行车,36岁及以下,男女均可使用,正常使用环境,正确的使用方式,机械危害,动能危害,飞行物体撞击,是,割伤,中国,2016/1/21,在轮胎充气不足的情况下，轮圈会开裂，塑料圈会被震飞，导致消费者被划伤的危险。
49,儿童用品,儿童推车和儿童推车座椅,47岁及以下,男女均可使用,正常使用环境,正确的使用方式,机械危害,形状和表面性能危害,小零件,是,哽噎,中国,2016/1/21,儿童可能咬掉并吞入把手软垫的一块泡沫，有引发窒息的危险。
50,儿童用品,婴儿推车及其替换座椅车,36个月及以下,男女均可使用,正常使用环境,正确的使用方式,机械危害,形状和表面性能危害,填充物,是,窒息,中国,2016/1/21,如果小孩咬了婴儿推车的前侧扶手杆，扶手干里面的泡沫填充物可能脱落，有窒息的危险。
51,儿童用品,儿童服装,19岁及以下,男女均可使用,正常使用环境,正确的使用方式,机械危害,形状和表面性能危害,绳索及类似物,是,受伤,中国,2016/1/22,腰部区域带有自由端的未固定拉绳可能造成使用者受伤。
52,儿童用品,风筝,8岁~14岁,男女均可使用,正常使用环境,正确的使用方式,无机毒物危害,有毒酸碱类危害,盐酸,是,化学,中国,2016/1/22,盖在风筝骨架上的塑料膜含有邻苯二酸二-(2-乙基己基)（DEHP）（测得占重14%），邻苯二甲酸盐会对儿童健康构成伤害，有可能损害生殖系统。此外，塑料膜上还含有邻苯二甲酸二异壬酯（DINP）（测得占重12%)。
53,儿童用品,绘画套装,37个月~96个月,男女均可使用,正常使用环境,正确的使用方式,致病微生物危害,原核细胞微生物危害,其它,是,微生物,中国,2016/1/22,绿色颜料中的需氧嗜温性细菌总量过高，并且检测到有绿脓杆菌。由于溶液可能接触到口、手和眼睛，存在感染上传染病的风险。
54,儿童用品,玩具滑板车,8岁~14岁,男女均可使用,正常使用环境,正确的使用方式,机械危害,潜在能量危害,机械稳定性,是,受伤,中国,2016/1/22,滑板车稳定性不足；儿童可能会失去平衡和跌倒。
55,儿童用品,玩具滑板车,8岁~14岁,男女均可使用,正常使用环境,正确的使用方式,机械危害,形状和表面性能危害,部件空隙或开口,是,卡压，受伤,中国,2016/1/22,活动部件之间的可触及空隙可能导致儿童的手指被夹住。此外，转向杆容易断裂或脱离，导致儿童跌倒或受到伤害，并且塑料把手的两端容易被移除，可能导致儿童跌倒从而受伤。
56,儿童用品,玩具滑板车,8岁~14岁,男女均可使用,正常使用环境,正确的使用方式,机械危害,潜在能量危害,机械强度,是,受伤,中国,2016/1/22,转向杆容易在儿童骑乘玩具滑板车时塌下，可能导致儿童跌倒受伤。
57,儿童用品,玩具警械套装,8岁~14岁,男女均可使用,正常使用环境,正确的使用方式,无机毒物危害,有毒酸碱类危害,盐酸,是,化学,中国,2016/1/22,玩具含有邻苯二甲酸(2-乙基已基)酯(DEHP)（测得占重20%）和邻苯二甲酸二正丁酯(DBP)（测量得占重0.4%）。 这种邻苯二甲酸盐对儿童健康有害，可能会对生殖系统造成伤害。
58,纺织品及服装鞋帽 ,工作鞋,60岁以上,男女均可使用,振动、撞击等不稳定环境,正确的使用方式,有机毒物,有毒芳香稠环类化合物,其它,是,化学,中国,2016/1/22, 鞋子接触皮肤的部分含有富马酸二甲酯 (DMF) (测量值：2.87mg/kg）。该物质具有强刺激性，接触皮肤后容易引发皮肤炎。
59,纺织品及服装鞋帽 ,工作鞋,60岁以上,男女均可使用,振动、撞击等不稳定环境,正确的使用方式,有机毒物,有毒芳香稠环类化合物,其它,是,化学,中国,2016/1/22,鞋子接触皮肤的部分含有富马酸二甲酯 (DMF)(测量值：51.22mg/kg）。该物质具有强刺激性，接触皮肤后容易引发皮肤炎。
60,家具及建筑装饰装修材料,挡风玻璃遮阳板,不限年龄段,男女均可使用,高温环境,正确的使用方式,机械危害,潜在能量危害,弹性组件失控,是,受伤,中国,2016/1/22,遮阳板可能变形，使得扭曲驾驶者的视野失真，从而导致交通事故。
61,家具及建筑装饰装修材料,卤素聚光灯,不限年龄段,男女均可使用,高温环境,正确的使用方式,电气危害,触电危害,漏电,是,电击,中国,2016/1/22,产品的塑料壳体容易破裂，有渗水风险。
62,家具及建筑装饰装修材料,梯子,不限年龄段,男女均可使用,正常使用环境,正确的使用方式,机械危害,潜在能量危害,机械稳定性,是,受伤,中国,2016/1/22,梯脚容易脱落。而且梯子没有足够的抗负载能力，这可能导致梯子断裂。最后，踩踏板的空间太小，平台与扶手之间的距离也太小。这些都会导致使用者跌落和受伤。
63,家用电器及电器附件,电源供应器,14岁及以下,男女均可使用,正常使用环境,正确的使用方式,电气危害,触电危害,短路,是,电击,中国,2016/1/22,电绝缘不足，可能发生短路，使用者可能因此受到电击。
64,其他 ,指甲护理套装,14岁~60岁,女,正常使用环境,正确的使用方式,有机毒物,有毒杂环类化合物,其它,是,化学,中国,2016/1/22,美甲胶水含有三氯甲烷(测得占重高达5.25%)。高剂量的三氯甲烷确有可能会引起皮肤刺激，人体若吸入或吞食三氯甲烷会损害身体健康。
65,日用杂品,缎带手环,不限年龄段,男女均可使用,正常使用环境,正确的使用方式,无机毒物危害,有毒重金属及其化合物危害,镉及其化合物,是,化学,中国,2016/1/22,产品含镉和铅（测量分别占重高达47%和0.22%）。镉对人体健康有害，由于其会在体内积聚，可能损害器官和（或）致癌。接触镉也对人体健康有害。
66,信息技术产品,USB电源,不限年龄段,男女均可使用,正常使用环境,正确的使用方式,电气危害,触电危害,短路,是,电击,中国,2016/1/22,电绝缘不足，可能发生短路，使用者可能因此受到电击。
67,家具及建筑装饰装修材料,LED灯具,不限年龄段,男女均可使用,高温环境,正确的使用方式,电气危害,触电危害,过热,是,火灾，电击，烧伤,中国,2016/1/27,灯具可能会过热导致灯管打跑，引发火灾、烧伤和触电危险。
68,家具及建筑装饰装修材料,豆袋椅,不限年龄段,男女均可使用,正常使用环境,正确的使用方式,机械危害,形状和表面性能危害,小零件,是,哽噎,中国,2016/1/28,豆袋椅没有一个永久性的拉链，孩子可能会打开椅套，摄入豆袋椅中填充的泡沫珠，造成窒息危险。
69,家具及建筑装饰装修材料,浴室地垫,不限年龄段,男女均可使用,高湿环境,正确的使用方式,机械危害,潜在能量危害,压力空间失控,是,摔倒,中国,2016/1/28,地垫下方的4个吸盘可能无法防止打滑，会对使用者造成摔倒的危险。
70,家具及建筑装饰装修材料,浴室地毯,不限年龄段,男女均可使用,高湿环境,正确的使用方式,机械危害,潜在能量危害,压力空间失控,是,滑倒,中国,2016/1/28,地毯的四个吸盘不能防滑，有造成消费者滑倒的危险。
71,食品相关产品,玻璃食品储存盒,不限年龄段,男女均可使用,正常使用环境,正确的使用方式,机械危害,形状和表面性能危害,锐利边缘,是,受伤,中国,2016/1/28,玻璃盒子可能被意外地打破，有造成伤害的危险。
72,食品相关产品,玻璃食物储存盒,不限年龄段,男女均可使用,正常使用环境,正确的使用方式,机械危害,形状和表面性能危害,锐利边缘,是,受伤,中国,2016/1/28,玻璃储存盒可能会意外破裂，造成受伤危险。
73,食品相关产品,不锈钢炊具,不限年龄段,男女均可使用,正常使用环境,正确的使用方式,机械危害,潜在能量危害,弹性组件失控,是,受伤,中国,2016/1/28,覆盖在炊具铆钉上的金属圆帽可能会突然弹出并击中用户，造成受伤危险。
74,儿童用品,两件套儿童服装,8岁~14岁,男女均可使用,正常使用环境,正确的使用方式,机械危害,形状和表面性能危害,绳索及类似物,是,受伤，勒毙,中国,2016/1/29,兜帽和裤子上带有自由端的拉绳分别容易导致使用者勒毙或受伤。
75,儿童用品,木制玩具,8岁~14岁,男女均可使用,正常使用环境,正确的使用方式,机械危害,形状和表面性能危害,小零件,是,哽噎,中国,2016/1/29,红色木制触角容易松脱，幼童可能将其放入口中，引发哽噎。
76,儿童用品,木制玩具,8岁~14岁,男女均可使用,正常使用环境,正确的使用方式,机械危害,形状和表面性能危害,小零件,是,哽噎,中国,2016/1/29,黄色屋顶木块上的红球容易脱落，可能对幼童构成哽噎的风险。
77,儿童用品,木制玩具,8岁~14岁,男女均可使用,正常使用环境,正确的使用方式,机械危害,形状和表面性能危害,小零件,是,哽噎,中国,2016/1/29,金属丝轮圈容易从玩具狮子上松脱，使得穿在轮圈上的木制小珠子脱落。幼童有可能将其放入口中，引发哽噎。
78,儿童用品,塑料恐龙形状玩具,8岁~14岁,男女均可使用,正常使用环境,正确的使用方式,无机毒物危害,有毒酸碱类危害,盐酸,是,化学,中国,2016/1/29, 塑料恐龙含有邻苯二甲酸(2-乙基已基)酯（DEHP）(测得占重0.45%），这种邻苯二甲酸盐不利儿童身体健康，有可能损害生殖系统。
79,儿童用品,塑料娃娃,37个月~96个月,男女均可使用,正常使用环境,正确的使用方式,无机毒物危害,有毒酸碱类危害,盐酸,是,化学,中国,2016/1/29,塑料娃娃的头部含有邻苯二甲酸(2-乙基已基)酯（DEHP）(测得占重19.35%），这种邻苯二甲酸盐不利儿童身体健康，有可能损害生殖系统。
80,儿童用品,玩具滑板鞋,8岁~14岁,男女均可使用,正常使用环境,正确的使用方式,机械危害,潜在能量危害,机械强度,是,受伤,中国,2016/1/29,当儿童骑该滑板车时，转向杆容易断裂这可能导致儿童跌倒受伤。此外，车把两端的塑料扶手容易松脱：在摔倒的情况下，若儿童摔落至车把上，缺少塑料扶手可能导致儿童因穿孔而受伤。
81,儿童用品,玩具直升机,8岁~14岁,男女均可使用,正常使用环境,正确的使用方式,机械危害,形状和表面性能危害,小零件,是,哽噎,中国,2016/1/29,玩具直升机的小轮子容易松脱，幼童可能将其放入口中，导致哽噎。
82,儿童用品,折叠婴儿手推车雨罩,36个月及以下,男女均可使用,正常使用环境,正确的使用方式,无机毒物危害,有毒酸碱类危害,盐酸,是,化学，环保,中国,2016/1/29,透明塑料部分含有邻苯二甲酸(2-乙基已基)酯（DEHP）(测得占重16.8%），这种邻苯二甲酸盐不利儿童身体健康，有可能损害生殖系统。并且，透明塑料部分还含有0.73%(按重量计)的短链氯化石蜡(SCCPs)。市场上禁止销售和使用含有SCCPs的产品。SCCPs在自然环境中持续存在，即使低浓度的SCCPs对水生生物也具有毒性，并且可在野生生物及人体内蓄积，对环境存在污染的危险。
83,纺织品及服装鞋帽 ,女鞋,不限年龄段,女,正常使用环境,正确的使用方式,有机毒物,有毒芳香稠环类化合物,其它,是,化学,中国,2016/1/29,产品含有富马酸二甲酯 (DMF)(测量值：鞋内底部分为0.118mg/kg，鞋面部分0.129mg/kg）。当DMF与皮肤接触时，会引起皮肤刺激，是一种强烈的皮肤致敏物。已经接收到一例关于过敏性接触皮炎的报告。
84,家具及建筑装饰装修材料,浴室防滑垫,不限年龄段,男女均可使用,高湿环境,正确的使用方式,无机毒物危害,有毒重金属及其化合物危害,镉及其化合物,是,环保,中国,2016/1/29,由于PVC包装材料含有镉(测得占重高达0.042%)，此包装对环境构成风险。
85,家用电器及电器附件,空气压缩机,14岁~60岁,男女均可使用,正常使用环境,正确的使用方式,高低温物质危害,高温物质危害,高温气体,是,烧伤,中国,2016/1/29,空气压缩机运行时，出气口温度会变得过高，可能导致使用者被烧伤。
86,家用电器及电器附件 ,交流电源线,14岁~60岁,男女均可使用,正常使用环境,正确的使用方式,电气危害,电气爆炸,过热,是,火灾、电击,中国,2016/2/2,电源线过热造成火灾或电击危险。
87,家用电器及电器附件 ,旋风式直立吸尘器,14岁~60岁,男女均可使用,正常使用环境,正确的使用方式,电气危害,触电危害,漏电,是,电击,中国,2016/2/2,吸尘器的电源插头会从吸尘器上脱落，而另一端仍插在电源插座中，此时吸尘器会处于不通电状态。脱落的电源插头由于仍与电源连接从而会造成电击危险。
88,信息技术产品,计算机电源线,14岁~60岁,男女均可使用,正常使用环境,正确的使用方式,电气危害,电气爆炸,过热,是,火灾,中国,2016/2/2,电源线可能过热，存在发生火灾的危险。
89,儿童用品,玩具卡车,8岁~14岁,男女均可使用,正常使用环境,正确的使用方式,电气危害,电气爆炸,短路,是,火灾、烧伤,中国,2016/2/4,玩具卡车的遥控器可能发生短路，导致过热，存在引发火灾和烧伤的危险。
90,儿童用品,婴儿摇铃,36个月及以下,男女均可使用,正常使用环境,正确的使用方式,机械危害,形状和表面性能危害,小零件,是,哽噎,中国,2016/2/4,装饰婴儿摇铃每一侧中小球可能掉出，从而对幼童造成窒息危险。
91,家用电器及电器附件,便携式风扇取暖器,14岁~60岁,男女均可使用,高温环境,正确的使用方式,高低温物质危害,高温物质危害,高温表面,是,火灾,中国,2016/2/4,取暖器可能过热，存在引发火灾的危险。
92,家用电器及电器附件,暖风机,14岁~60岁,男女均可使用,高温环境,正确的使用方式,高低温物质危害,高温物质危害,高温表面,是,火灾,中国,2016/2/4,暖风机可能会因为过热从而引发火灾危险。
93,家用电器及电器附件,烧烤炉,14岁~60岁,男女均可使用,高温环境,正确的使用方式,高低温物质危害,高温物质危害,明火,是,火灾,中国,2016/2/4,烧烤炉的火室可以扩大，使两个中心烧烤炉的点火器会从燃烧室的位置上脱离，从而导致气体无法被引导至燃烧器上，这有可能引起火灾。
94,儿童用品,带刺软球,8岁~14岁,男女均可使用,正常使用环境,正确的使用方式,机械危害,形状和表面性能危害,小零件,是,哽噎,中国,2016/2/5,发出短促而尖厉声音的小型发声装置容易从塑料球上掉落。幼童可能将其放入口中，导致哽噎。
95,儿童用品,儿童短裤,17岁及以下,男女均可使用,正常使用环境,正确的使用方式,机械危害,形状和表面性能危害,绳索及类似物,是,受伤,中国,2016/2/5,由于腰部带有未固定的拉绳，该产品存在受伤的风险。
96,儿童用品,儿童服装套装,20岁及以下,男女均可使用,正常使用环境,正确的使用方式,机械危害,形状和表面性能危害,绳索及类似物,是,勒毙,中国,2016/2/5,颈部带有自由端的拉绳可能成为儿童各种活动中的羁绊，可能形成绳圈导致儿童勒毙。
97,儿童用品,儿童长裤,64岁及以下,男女均可使用,正常使用环境,正确的使用方式,机械危害,形状和表面性能危害,绳索及类似物,是,受伤,中国,2016/2/5,腰部未固定的拉绳可能成为儿童各种活动中的羁绊，导致受伤。
98,儿童用品,发声塑料娃娃,37个月~96个月,男女均可使用,正常使用环境,正确的使用方式,无机毒物危害,有毒重金属及其化合物危害,铅及其化合物,是,化学，哽噎,中国,2016/2/5,电子发声盒可直接被接触，并且电池盒盖容易被移除，使得纽扣电池壳可被接触，并可能被儿童误吞，导致胃肠道损伤或哽噎。 此外，娃娃头发别有含尖锐端点的卡钉，存在儿童受伤的风险。
99,儿童用品,女童夹克,37个月~96个月,女,正常使用环境,正确的使用方式,机械危害,形状和表面性能危害,绳索及类似物,是,,中国,2016/2/5,颈部的拉绳可能成为儿童各种活动中的羁绊，导致勒毙。 勒毙
