序号,产品类别,产品名称,使用对象年龄,使用对象性别,使用环境,使用方式,召回产品存在的一级危害因素,召回产品存在的二级级危害因素,召回产品存在的三级级危害因素,是否符合我国标准或者出口国标准,可能导致的伤害类型,发布国家,发布日期,通报原因
14,家具及建筑装饰装修材料,（灯泡的）灯座,不限年龄段,男女均可使用,正常使用环境,正确的使用方式,电气危害,触电危害,漏电,,电击,欧盟,2018/1/5,防触电保护不足，用户可能在插入灯泡时触摸到带电部件。
15,日用杂品,装手机的臂环,不限年龄段,男女均可使用,正常使用环境,正确的使用方式,有机毒物,有毒有机氯化物,有机氯化物,,环保,欧盟,2018/1/5,黑色塑料含有短链氯化石蜡（SCCPs）（测得占重0.5%）。目前禁止在市面上销售和使用含有SCCPs物品。因为SCCPs持续存在于环境中，低浓度即对水生生物有毒性，并且可在野生生物及人体内蓄积，对人体健康和环境存在危险。
16,日用杂品,弹性行李带,不限年龄段,男女均可使用,正常使用环境,正确的使用方式,机械危害,形状和表面性能危害,绳索及类似物,,受伤,欧盟,2018/1/5,在拉紧时弹性带容易与钩环分离。这使弹性带反弹打中用户或固定负荷跌落，导致伤亡事故。
17,日用杂品,烟花,不限年龄段,男女均可使用,正常使用环境,正确的使用方式,爆炸危害,固相爆炸危害,固体爆炸性物质,,烧伤 受伤,欧盟,2018/1/5,烟花在使用过程中可能会落到人身上，造成伤害或烧伤。
18,纺织品及服装鞋帽,皮革手套,不限年龄段,男女均可使用,正常使用环境,正确的使用方式,无机毒物危害,有毒重金属及其化合物,铬及其化合物,,化学,欧盟,2018/1/5,皮革含铬（VI）量过高（测量值达270 mg/kg）。铬（VI）是致敏物质，可能引发过敏反应。
19,纺织品及服装鞋帽,雨帽,不限年龄段,男女均可使用,正常使用环境,正确的使用方式,有机毒物,有毒有机氯化物,有机氯化物,,环保,欧盟,2018/1/5,雨帽含有短链氯化石蜡（SCCPs）（测得占重4.3%）。因为SCCPs持续存在于环境中，低浓度即对水生生物有毒性，并且可在野生生物及人体内蓄积，对人体健康和环境存在危险。
20,纺织品及服装鞋帽,游泳拖鞋,不限年龄段,男女均可使用,正常使用环境,正确的使用方式,有机毒物,有毒有机氯化物,有机氯化物,,环保,欧盟,2018/1/5,游泳拖鞋的带子含有短链氯化石蜡（SCCPs）（测得占重0.8%）。目前禁止在市面上销售和使用含有SCCPs物品。因为SCCPs持续存在于环境中，低浓度即对水生生物有毒性，并且可在野生生物及人体内蓄积，对人体健康和环境存在危险。
21,纺织品及服装鞋帽,游泳拖鞋,不限年龄段,男女均可使用,正常使用环境,正确的使用方式,有机毒物,有毒有机氯化物,有机氯化物,,环保,欧盟,2018/1/5,游泳拖鞋的上面部分含有短链氯化石蜡（SCCPs）（测得占重0.45%）。目前禁止在市面上销售和使用含有SCCPs物品。因为SCCPs持续存在于环境中，低浓度即对水生生物有毒性，并且可在野生生物及人体内蓄积，对人体健康和环境存在危险。
22,儿童用品,拆换式儿童高脚椅,36个月及以下,男女均可使用,正常使用环境,正确的使用方式,机械危害,潜在能量危害,低机械强度,,跌落,美国,2018/1/9,该椅子的前腿可能从座位中分离，造成儿童摔落受伤。
23,信息技术产品,手机充电器,不限年龄段,男女均可使用,正常使用环境,正确的使用方式,电气危害,触电危害,漏电,,电击,欧盟,2018/1/12,初级电路和次级电路间的电气间隙和爬电距离太小，可接触部分可能会因此变得带电。
24,信息技术产品,USB充电器,不限年龄段,男女均可使用,正常使用环境,正确的使用方式,电气危害,触电危害,漏电,,电击,欧盟,2018/1/12,电气绝缘不足，初级电路和易被接触的次级电路之间的电气间隙/爬电距离太小，可接触部分可能会变得带电。
25,儿童用品,玩具折叠式手推车,14岁及以下,男女均可使用,正常使用环境,正确的使用方式,有机毒物,有毒芳香稠环类化合物,其它,,受伤,欧盟,2018/1/12,锁定装置不能正常工作。玩具折叠式手推车在使用时可能因此倒塌而造成孩子的手指被压住。
26,儿童用品,毛绒玩具,14岁及以下,男女均可使用,正常使用环境,正确的使用方式,机械危害,形状和表面性能危害,小零件,,呛噎,欧盟,2018/1/12,玩具的眼睛部分容易松落。小孩子可能会把这些小部件放入口中而导致呛噎。
27,儿童用品,化装舞会用胡须,14岁及以下,男女均可使用,正常使用环境,正确的使用方式,高/低温物质危害,高温物质危害,明火,,烧伤,欧盟,2018/1/12,胡须是高度易燃的，如果着火，孩子脸部会被烧伤。
28,儿童用品,塑料娃娃,14岁及以下,男女均可使用,正常使用环境,正确的使用方式,有机毒物,有毒芳香稠环类化合物,其它,,化学,欧盟,2018/1/12,蓝头发洋娃娃的塑料材料含有邻苯二酸二-(2-乙基己基)酯（DEHP）（测得占重33.3%），这种邻苯二甲酸盐可能危害儿童健康，导致生殖系统损伤。
29,儿童用品,塑料娃娃,14岁及以下,男女均可使用,正常使用环境,正确的使用方式,有机毒物,有毒芳香稠环类化合物,其它,,化学,欧盟,2018/1/12,娃娃的塑料材料含有邻苯二酸二-(2-乙基己基)酯（DEHP）（测得占重33.6%），这种邻苯二甲酸盐可能危害儿童健康，导致生殖系统损伤。
30,儿童用品,奶嘴夹,36个月及以下,男女均可使用,正常使用环境,正确的使用方式,机械危害,形状和表面性能危害,小零件,,窒息,欧盟,2018/1/12,奶嘴夹紧固件没有足够的通风孔。儿童在把玩奶嘴时可能会把奶嘴夹紧固件放入口中，导致卡住和窒息。
31,儿童用品,奶嘴夹,36个月及以下,男女均可使用,正常使用环境,正确的使用方式,机械危害,形状和表面性能危害,小零件,,呛噎,欧盟,2018/1/12,奶嘴夹紧固件容易断裂，产生小部件。幼童可能会把其放入口中，导致呛噎。
32,儿童用品,化装舞会用服装,14岁及以下,男女均可使用,正常使用环境,正确的使用方式,高/低温物质危害,高温物质危害,明火,,烧伤,欧盟,2018/1/12,假发在被火焰点燃的情况下无法自行熄灭，儿童可能会因此烧伤。
33,家具及建筑装饰装修材料,灯串,不限年龄段,男女均可使用,正常使用环境,正确的使用方式,电气危害,触电危害,漏电,,电击,欧盟,2018/1/12,可接触的电线只有基本绝缘层，如果绝缘层损坏，带电导体就会变得易被接触。
34,日用杂品,雪花球摆件,不限年龄段,男女均可使用,正常使用环境,正确的使用方式,高/低温物质危害,高温物质危害,明火,,火灾,美国,2018/1/12,光线折射在球体上，可能会引起相接触的或附近物体烧焦或熔化，存在火灾的风险。
35,儿童用品,迷你摩托车,14岁及以下,男女均可使用,正常使用环境,正确的使用方式,机械危害,形状和表面性能危害,锐利边缘,,"烧伤, 受伤",欧盟,2018/1/12,骑行时支撑架可能触及地面。没有限速装置，转向系统也不充分，会使骑车者失去对摩托车的控制而摔倒。此外，支撑架的固定点、脚踏板和热接触面的边角很锋利。
36,电子信息,数码相机墙插式电源适配器,不限年龄段,男女均可使用,正常使用环境,正确的使用方式,电气危害,触电危害,漏电,,触电,美国,2018/1/16,该墙插式电源适配器插头有开裂、断裂或分离以及残留在墙上的可能，使得带电触点暴露在外，存在触电的风险。
37,家具装饰装修材料,酒吧凳,不限年龄段,男女均可使用,正常使用环境,正确的使用方式,机械危害,潜在能量危害,低机械强度,,跌落,美国,2018/1/18,该产品的凳座底部可能松动或脱落，存在使用者跌落的风险。
38,服装纺织产品,羽绒被,不限年龄段,男女均可使用,正常使用环境,正确的使用方式,致病微生物危害,真核细胞微生物危害,,,霉菌感染,美国,2018/1/18,该产品有可能存在霉菌，存在导致人类呼吸道感染或免疫系统的其他感染，肺部受损或其他霉菌感染的风险。
39,儿童用品,塑料娃娃,14岁及以下,男女均可使用,正常使用环境,正确的使用方式,有机毒物,有毒芳香稠环类化合物,其它,,化学,欧盟,2018/1/19,娃娃头部的塑料材料含有邻苯二酸二-(2-乙基己基)酯（DEHP）（测得占重20.8%），这种邻苯二甲酸盐可能危害儿童健康，导致生殖系统损伤。
40,儿童用品,磁性玩具,14岁及以下,男女均可使用,正常使用环境,正确的使用方式,机械危害,形状和表面性能危害,小零件,,呛噎,欧盟,2018/1/19,玩具上的小部件很容易脱落，幼童可能把它们放入口中而导致呛噎。
41,儿童用品,塑料娃娃,14岁及以下,男女均可使用,正常使用环境,正确的使用方式,有机毒物,有毒芳香稠环类化合物,其它,,"化学, 环保",欧盟,2018/1/19,娃娃的塑料材料含有邻苯二酸二-(2-乙基己基)酯（DEHP）（测得占重28.5%）和邻苯二甲酸二丁酯（DBP）（测得占重1.73%），这种邻苯二甲酸盐可能危害儿童健康，导致生殖系统损伤。此外，它还含有邻苯二甲酸二异壬酯（DINP）（测得占重0.81%）。 娃娃的塑料材料含有短链氯化石蜡（SCCPs）（测得占重0.19%）。禁止在市面上销售和使用含有SCCPs物品。因为SCCPs持续存在于环境中，低浓度即对水生生物有毒性，并且可在野生生物及人体内蓄积，对人体健康和环境存在危险。
42,儿童用品,塑料娃娃,14岁及以下,男女均可使用,正常使用环境,正确的使用方式,有机毒物,有毒芳香稠环类化合物,其它,,化学,欧盟,2018/1/19,娃娃的塑料材料含有邻苯二酸二-(2-乙基己基)酯（DEHP）（测得占重26.7%）和邻苯二甲酸二丁酯（DBP）（测得占重0.29 %），这种邻苯二甲酸盐可能危害儿童健康，导致生殖系统损伤。此外，它还含有邻苯二甲酸二异壬酯（DINP）（测量值0.79%的重量）。
43,儿童用品,塑料娃娃,14岁及以下,男女均可使用,正常使用环境,正确的使用方式,有机毒物,有毒芳香稠环类化合物,其它,,化学,欧盟,2018/1/19,娃娃的塑料材料含有邻苯二酸二-(2-乙基己基)酯（DEHP）（测得占重0.2%），这种邻苯二甲酸盐可能危害儿童健康，导致生殖系统损伤。
44,儿童用品,塑料娃娃,14岁及以下,男女均可使用,正常使用环境,正确的使用方式,有机毒物,有毒芳香稠环类化合物,其它,,化学,欧盟,2018/1/19,娃娃的塑料材料含有邻苯二酸二-(2-乙基己基)酯（DEHP）（测得占重25.4%）和邻苯二甲酸二丁酯（DBP）（测得占重0.06 %），这种邻苯二甲酸盐可能危害儿童健康，导致生殖系统损伤。此外，它还含有邻苯二甲酸二异壬酯（DINP）（测量值0.26%的重量）。
45,儿童用品,蹦床,14岁及以下,男女均可使用,正常使用环境,正确的使用方式,警示标识缺失,警示标识缺失,警示标识缺失,,受伤,欧盟,2018/1/19,蹦床衬垫内相邻两减震件材料之间的距离太大，相关安全信息和警告不够。用户不知悉安全使用产品所必需了解的信息，可能会在蹦床没有减震的部分上面摔倒而受伤。
46,儿童用品,塑料娃娃,14岁及以下,男女均可使用,正常使用环境,正确的使用方式,有机毒物,有毒芳香稠环类化合物,其它,,化学,欧盟,2018/1/19,娃娃的塑料材料含有邻苯二酸二-(2-乙基己基)酯（DEHP）（测得占重35.2%）和邻苯二甲酸二丁酯（DBP）（测得占重0.01 %），这种邻苯二甲酸盐可能危害儿童健康，导致生殖系统损伤。此外，它还含有邻苯二甲酸二异壬酯（DINP）（测量值0.006%的重量）。
47,儿童用品,塑料娃娃,14岁及以下,男女均可使用,正常使用环境,正确的使用方式,有机毒物,有毒芳香稠环类化合物,其它,,化学,欧盟,2018/1/19,娃娃的塑料材料含有邻苯二酸二-(2-乙基己基)酯（DEHP）（测得占重16.6%），这种邻苯二甲酸盐可能危害儿童健康，导致生殖系统损伤。
48,儿童用品,塑料娃娃,14岁及以下,男女均可使用,正常使用环境,正确的使用方式,有机毒物,有毒芳香稠环类化合物,其它,,化学,欧盟,2018/1/19,娃娃的塑料材料含有邻苯二酸二-(2-乙基己基)酯（DEHP）（测得占重22.5%），这种邻苯二甲酸盐可能危害儿童健康，导致生殖系统损伤。
49,儿童用品,奇异服装,14岁及以下,男女均可使用,正常使用环境,正确的使用方式,机械危害,形状和表面性能危害,小零件,,呛噎,欧盟,2018/1/19,该产品含有容易脱落的小部件或纤维填料，幼童可能会将其放入口中而导致呛噎。
50,儿童用品,化装舞会面具,14岁及以下,男女均可使用,正常使用环境,正确的使用方式,高/低温物质危害,高温物质危害,明火,,烧伤,欧盟,2018/1/19,面具是高度易燃的，如果着火，佩戴者可能会烧伤脸部。
51,儿童用品,塑料娃娃,14岁及以下,男女均可使用,正常使用环境,正确的使用方式,有机毒物,有毒芳香稠环类化合物,其它,,化学,欧盟,2018/1/19,娃娃头部的塑料材料含有邻苯二酸二-(2-乙基己基)酯（DEHP）（测得占重22.9%），这种邻苯二甲酸盐可能危害儿童健康，导致生殖系统损伤。
52,儿童用品,塑料娃娃,14岁及以下,男女均可使用,正常使用环境,正确的使用方式,有机毒物,有毒芳香稠环类化合物,其它,,化学,欧盟,2018/1/19,娃娃的塑料材料含有邻苯二酸二-(2-乙基己基)酯（DEHP）（测得占重30.2%），这种邻苯二甲酸盐可能危害儿童健康，导致生殖系统损伤。
53,儿童用品,塑料娃娃,14岁及以下,男女均可使用,正常使用环境,正确的使用方式,有机毒物,有毒芳香稠环类化合物,其它,,化学,欧盟,2018/1/19,娃娃的塑料材料含有邻苯二酸二-(2-乙基己基)酯（DEHP）（测得占重27.5%），这种邻苯二甲酸盐可能危害儿童健康，导致生殖系统损伤。
54,儿童用品,塑料娃娃,14岁及以下,男女均可使用,正常使用环境,正确的使用方式,有机毒物,有毒芳香稠环类化合物,其它,,化学,欧盟,2018/1/19,娃娃的塑料材料含有邻苯二酸二-(2-乙基己基)酯（DEHP）（测得占重11.5%），这种邻苯二甲酸盐可能危害儿童健康，导致生殖系统损伤。
55,儿童用品,用于出牙嚼器的书,14岁及以下,男女均可使用,正常使用环境,正确的使用方式,有机毒物危害,其它,其它,,化学,欧盟,2018/1/19,此产品的纤维材料含有阻燃剂磷酸三（2-氯丙基）酯（TCPP）（测量值：22950毫克/公斤）。TCPP由于其致癌性和急性毒性而对儿童有害。
56,儿童用品,奇异服装,14岁及以下,男女均可使用,正常使用环境,正确的使用方式,机械危害,其它,其它,,呛噎,欧盟,2018/1/19,由于某些接缝的没缝好，纤维填充材料变得易被接触，幼童可能将其放入口中而导致呛噎。
57,家用电器及电器附件,吹风机,不限年龄段,男女均可使用,正常使用环境,正确的使用方式,电气危害,触电危害,漏电,,电击,欧盟,2018/1/19,插头的额定电流不够，电吹风所产生的电流会损坏插头，使带电部件容易被接触到。
58,家用电器及电器附件,遥控插头,不限年龄段,男女均可使用,正常使用环境,正确的使用方式,电气危害,触电危害,漏电,,"电击, 火灾",欧盟,2018/1/19,保险丝无法正常工作，过载时产品会过热，导致塑料外壳熔化。这可能导致火灾或使带电部件暴露在外。
59,家用电器及电器附件,LED电源供应器,不限年龄段,男女均可使用,正常使用环境,正确的使用方式,电气危害,触电危害,漏电,,电击,欧盟,2018/1/19,电气绝缘不足，初级电路和次级电路之间的电气间隙/爬电距离太小，将导致用户触电。
60,家用电器及电器附件,杀虫灯,不限年龄段,男女均可使用,正常使用环境,正确的使用方式,电气危害,触电危害,漏电,,电击,欧盟,2018/1/19,用户很容易接触到灯的高压格板。用户可能会触摸这些可触及的部件而遭受电击。
61,家用电器及电器附件,毛发修剪器,不限年龄段,男女均可使用,正常使用环境,正确的使用方式,电气危害,电气爆炸,过热,,火灾,欧盟,2018/1/19,修剪器的锂电池可能会过度充电，电池过度充电会导致热散逸和火灾。
62,家用电器及电器附件,LED灯,不限年龄段,男女均可使用,正常使用环境,正确的使用方式,无机毒物危害,无机氰化物危害,氯化氢,,环保,欧盟,2018/1/19,一些塑料或橡胶元件含有短链氯化石蜡（SCCPs）（测得占重1.1%）。禁止在市面上销售和使用含有SCCPs物品。 因为SCCPs持续存在于环境中，低浓度即对水生生物有毒性，并且可在野生生物及人体内蓄积，对人体健康和环境存在危险。
63,日用杂品,烟花,不限年龄段,男女均可使用,正常使用环境,正确的使用方式,爆炸危害,固相爆炸危害,固体爆炸性物质,,"烧伤, 火灾",欧盟,2018/1/19,发射器不稳定，可能朝错误的方向射击，造成损伤或烧伤。在某些情况下，燃烧的碎片从烟花中脱落。
64,日用杂品,烟花,不限年龄段,男女均可使用,正常使用环境,正确的使用方式,爆炸危害,固相爆炸危害,固体爆炸性物质,,"烧伤, 火灾",欧盟,2018/1/19,从烟花点燃到爆炸之间的时间太短。
65,日用杂品,烟花,不限年龄段,男女均可使用,正常使用环境,正确的使用方式,爆炸危害,固相爆炸危害,固体爆炸性物质,,"烧伤, 受伤",欧盟,2018/1/19,该产品在使用时不稳定，可能脱落。点火保险丝烧得很快，用户可能会因此受伤或烧伤。
66,纺织品及服装鞋帽,高反光性背心,不限年龄段,男女均可使用,正常使用环境,正确的使用方式,机械危害,潜在能量危害,机械强度,,受伤,欧盟,2018/1/19,背心的光反射能力不足，因此，在能见度低的情况下，用户不足以被明显看见。
67,日用杂品,指尖陀螺钥匙扣,不限年龄段,男女均可使用,正常使用环境,正确的使用方式,机械危害,形状和表面性能危害,小零件,,窒息,美国,2018/1/24,该钥匙扣的指尖陀螺中心可能会松动或脱落，存在窒息的风险。
68,儿童用品,婴幼儿便携手机,37个月~96个月,男女均可使用,正常使用环境,正确的使用方式,机械危害,潜在能量危害,低机械强度,,受伤,美国,2018/1/25,固定手机至婴儿床围杆的夹钳可能断裂，导致手机跌落，对婴儿床中的婴幼儿造成伤害。
69,儿童用品,大象手鼓,14岁及以下,男女均可使用,正常使用环境,正确的使用方式,机械危害,形状和表面性能危害,小零件,,窒息,美国,2018/1/25,该大象手鼓的耳朵上可能断裂脱落，存在儿童窒息的风险。
70,家具装饰装修材料,折叠床五金配件组,37个月以下,男女均可使用,正常使用环境,正确的使用方式,机械危害,潜在能量危害,低机械强度,,受伤、死亡,美国,2018/1/25,用于固定木制墙壳到墙壁嵌钉的五金配件不能提供足够的支撑力，有严重的倾翻和陷困风险，可能导致儿童受伤或死亡。
71,儿童用品,女童服饰套装,14岁及以下,女,正常使用环境,正确的使用方式,机械危害,形状和表面性能危害,绳索及类似物,,受伤,欧盟,2018/1/26,在服装背后的拉绳可能会成为幼童各种活动中的羁绊，从而导致幼童受伤。
72,儿童用品,女童服饰套装,14岁及以下,女,正常使用环境,正确的使用方式,机械危害,形状和表面性能危害,小零件,,呛噎,欧盟,2018/1/26,小装饰物很容易脱落，幼童可能会将其放入口中而导致呛噎。
73,儿童用品,奇异服装,14岁及以下,男女均可使用,正常使用环境,正确的使用方式,机械危害,形状和表面性能危害,小零件,,呛噎,欧盟,2018/1/26,此产品包含着许多容易拆卸的小部件（如眼睛）。幼童可能会将这些小部件放入口中而导致呛噎。
74,儿童用品,毛绒玩具,14岁及以下,男女均可使用,正常使用环境,正确的使用方式,机械危害,形状和表面性能危害,小零件,,"化学, 呛噎",欧盟,2018/1/26,即使不用任何工具，电池仓也很容易被打开，使里面的钮扣电池易被接触。孩子们可能会把电池放入口中并吞咽，对胃肠道造成损害。
75,儿童用品,挤压玩具,14岁及以下,男女均可使用,正常使用环境,正确的使用方式,机械危害,形状和表面性能危害,小零件,,"化学, 呛噎",欧盟,2018/1/26,即使不用任何工具，电池仓也很容易被打开，使里面的钮扣电池易被接触。孩子们可能会把电池放入口中并吞咽，对胃肠道造成损害。
76,儿童用品,塑料娃娃,14岁及以下,男女均可使用,正常使用环境,正确的使用方式,有机毒物,有毒芳香稠环类化合物,其它,,化学,欧盟,2018/1/26,娃娃的塑料材料含有邻苯二酸二-(2-乙基己基)酯（DEHP）（测得占重16.3%），这种钮扣电池可能危害儿童健康，导致生殖系统损伤。
77,儿童用品,塑料娃娃,14岁及以下,男女均可使用,正常使用环境,正确的使用方式,有机毒物,有毒芳香稠环类化合物,其它,,化学,欧盟,2018/1/26,娃娃的塑料材料含有邻苯二酸二-(2-乙基己基)酯（DEHP）（测得占重12%），这种邻苯二甲酸盐可能危害儿童健康，导致生殖系统损伤。
78,儿童用品,塑料娃娃,14岁及以下,男女均可使用,正常使用环境,正确的使用方式,有机毒物,有毒芳香稠环类化合物,其它,,化学,欧盟,2018/1/26,娃娃头部的塑料材料含有邻苯二酸二-(2-乙基己基)酯（DEHP）（测得占重11.4%），这种邻苯二甲酸盐可能危害儿童健康，导致生殖系统损伤。
79,儿童用品,塑料娃娃,14岁及以下,男女均可使用,正常使用环境,正确的使用方式,有机毒物,有毒芳香稠环类化合物,其它,,化学,欧盟,2018/1/26,娃娃的塑料材料含有邻苯二酸二-(2-乙基己基)酯（DEHP）（测得占重10.4%），这种邻苯二甲酸盐可能危害儿童健康，导致生殖系统损伤。
80,儿童用品,塑料娃娃,14岁及以下,男女均可使用,正常使用环境,正确的使用方式,有机毒物,有毒芳香稠环类化合物,其它,,化学,欧盟,2018/1/26,娃娃的塑料材料含有邻苯二酸二-(2-乙基己基)酯（DEHP）（测得占重10%），这种邻苯二甲酸盐可能危害儿童健康，导致生殖系统损伤。
81,儿童用品,塑料娃娃,14岁及以下,男女均可使用,正常使用环境,正确的使用方式,有机毒物,有毒芳香稠环类化合物,其它,,化学,欧盟,2018/1/26,娃娃的塑料材料含有邻苯二酸二-(2-乙基己基)酯（DEHP）（测得占重12.1%），这种邻苯二甲酸盐可能危害儿童健康，导致生殖系统损伤。
82,儿童用品,塑料玩具,14岁及以下,男女均可使用,正常使用环境,正确的使用方式,有机毒物,有毒芳香稠环类化合物,其它,,化学,欧盟,2018/1/26,玩具的塑料材料含有邻苯二酸二-(2-乙基己基)酯（DEHP）（测得占重5.5%），这种邻苯二甲酸盐可能危害儿童健康，导致生殖系统损伤。
83,儿童用品,塑料娃娃,14岁及以下,男女均可使用,正常使用环境,正确的使用方式,有机毒物,有毒芳香稠环类化合物,其它,,化学,欧盟,2018/1/26,娃娃的塑料材料含有邻苯二酸二-(2-乙基己基)酯（DEHP）（测得占重14.8%），这种邻苯二甲酸盐可能危害儿童健康，导致生殖系统损伤。
84,儿童用品,塑料娃娃,14岁及以下,男女均可使用,正常使用环境,正确的使用方式,有机毒物,有毒芳香稠环类化合物,其它,,化学,欧盟,2018/1/26,蓝头发娃娃的塑料材料含有邻苯二酸二-(2-乙基己基)酯（DEHP）（测得占重26.8%），这种邻苯二甲酸盐可能危害儿童健康，导致生殖系统损伤。
85,儿童用品,塑料娃娃,14岁及以下,男女均可使用,正常使用环境,正确的使用方式,有机毒物,有毒芳香稠环类化合物,其它,,化学,欧盟,2018/1/26,娃娃的塑料材料含有邻苯二酸二-(2-乙基己基)酯（DEHP）（测得占重5.2%），这种邻苯二甲酸盐可能危害儿童健康，导致生殖系统损伤。
86,儿童用品,塑料娃娃,14岁及以下,男女均可使用,正常使用环境,正确的使用方式,有机毒物,有毒芳香稠环类化合物,其它,,化学,欧盟,2018/1/26,蓝头发娃娃的塑料材料含有邻苯二酸二-(2-乙基己基)酯（DEHP）（测得占重15.2%），这种邻苯二甲酸盐可能危害儿童健康，导致生殖系统损伤。
87,儿童用品,发条玩具鼠,14岁及以下,男女均可使用,正常使用环境,正确的使用方式,机械危害,形状和表面性能危害,小零件,,呛噎,欧盟,2018/1/26,玩具发条的手柄很容易脱落，幼童可能会把这一小部件放入口中而导致呛噎。
88,儿童用品,小洋娃娃,14岁及以下,男女均可使用,正常使用环境,正确的使用方式,有机毒物,有毒芳香稠环类化合物,其它,,化学,欧盟,2018/1/26,娃娃的塑料材料含有邻苯二酸二-(2-乙基己基)酯（DEHP）（测得占重12%），这种邻苯二甲酸盐可能危害儿童健康，导致生殖系统损伤。
89,儿童用品,塑料娃娃,14岁及以下,男女均可使用,正常使用环境,正确的使用方式,有机毒物,有毒芳香稠环类化合物,其它,,化学,欧盟,2018/1/26,娃娃的塑料材料含有邻苯二酸二-(2-乙基己基)酯（DEHP）（测得占重20.1%），这种邻苯二甲酸盐可能危害儿童健康，导致生殖系统损伤。
