标题,投诉对象,投诉要求,投诉内容,投诉时间,投诉链接,投诉进度
淘宝真我手机官方旗舰店真我大师探索版疑似翻新机,realme手机,退一赔三,手机于2021年8月11日发现2020年2月13日的视频。手机于2021年7月28日收到并激活，但手机的激活日期正好为8月11日，疑似翻新机。联系了真我官方客服专员，他们并没有合理的解释，一再强调是账号同步问题，本人于7月28日第一次注册真我账号，手机号用了四五年，且前两年（包括2020年）用的都是华为，不可能存在账号同步的问...,2021-08-14,https://tousu.sina.com.cn/complaint/view/17354441439/,已回复
乱扣费，不通知,手机优化大师,退款,乱扣费，才看到订单，并没有使用过软件，请退款,2021-09-01,https://tousu.sina.com.cn/complaint/view/17354731451/,处理中
手机在没有下载任何软件也没同意任何东西的情况下直接扣费了,手机优化大师,"退款,赔偿",手机优化大师是个什么东西都不知道，也没下载，也没同意任何东西，就直接给我扣费267元，真是莫名其妙，强烈要求退费投诉,2021-09-04,https://tousu.sina.com.cn/complaint/view/17354786958/,处理中
莫名其妙扣款，在不知情的情况下扣会员费。退款,手机优化大师,"退款,下架产品",2021/09/04 08:44:25时莫名其妙收到微信通知扣款。让我搞得一头雾水。不经同意扣费给本身心里造成很没安全感。要求退还扣费金额,2021-09-04,https://tousu.sina.com.cn/complaint/view/17354779026/,处理中
莫名扣我钱，我要求给我退款，,手机优化大师,"退款,赔偿",在我不知道的情况下扣我手机里的的钱，我需要退款，,2021-09-04,https://tousu.sina.com.cn/complaint/view/17354782902/,处理中
系统长时间不更新,realme手机,3天之内推送新系统,系统出现诸多bug，官方不做出任何解决方法，上一次更新还是两个月前。,2021-08-29,https://tousu.sina.com.cn/complaint/view/17354685626/,已回复
不知情的情况下扣268,手机优化大师,退款,没有显示要扣除费用，但是手机优化自动扣费268，还从花呗扣除,2021-09-02,https://tousu.sina.com.cn/complaint/view/17354741709/,处理中
故意拖欠退货款，欺骗消费者,realme手机,立即退回手机款,2021.8.24欢太商城下单一台REALME 真我GT大师探索版，25号收到手机，26号七天无理由退回。快递显示对方仓库28号上午9点08收到手机，咨询客服一直都是说1-2个工作日退回手机款，直到今天2021.9.1号都未收到到退款。,2021-09-01,https://tousu.sina.com.cn/complaint/view/17354727943/,已回复
激活时间比购买时间早，怀疑是二手机。,realme手机,"道歉,换货",购买时是7月15号，然后我购买后一个月查询激活时间是6月3号。,2021-08-27,https://tousu.sina.com.cn/complaint/view/17354655103/,已回复
下载软件突然扣费,手机优化大师,退款,弹出了广告，下载软件后莫名其妙扣费，我都没有自己开会员,2021-09-06,https://tousu.sina.com.cn/complaint/view/17354806623/,处理中
莫名其妙自动被扣269元,手机优化大师,退款,在完全不知情的情况下扣费，app已经删除要求退费，而且上面显示试用期3天，我并没有用超过3天。,2021-09-06,https://tousu.sina.com.cn/complaint/view/17354806393/,处理中
手机优化大师恶意扣费268元,手机优化大师,极速退款,手机优化大师app使用前没有明确告知会扣费，扣费之前也沒有提醒,2021-09-08,https://tousu.sina.com.cn/complaint/view/17354842527/,处理中
手机优化大师-相册优化管家乱收费,手机优化大师,退款,当时免费试用三天之后未经同意，于9月11号直接扣费268元,2021-09-14,https://tousu.sina.com.cn/complaint/view/17354941862/,处理中
手机优化大师,手机优化大师,退款,可以我不小心点到自动扣费，关键是我用不到，希望给我退款,2021-09-16,https://tousu.sina.com.cn/complaint/view/17354971554/,处理中
行迹手机定位虚假收费,行迹手机定位,退款,定位不准确，且联系不到客服，私人账号虚假收费,2021-09-13,https://tousu.sina.com.cn/complaint/view/17354926390/,待分配
人脸识别显示前置摄像头被占用，,realme手机,解决无法人脸识别问题,人脸识别前置摄像头显示被占用，无法用前置摄像头拍照录像，打开前置摄像头就会黑屏闪退等,2021-09-06,https://tousu.sina.com.cn/complaint/view/17354804414/,已回复
非本人操作下单的 莫名其妙又扣款,手机优化大师,退款,要求退款 怎么才能退钱 给个说法 给个建议,2021-09-11,https://tousu.sina.com.cn/complaint/view/17354890714/,处理中
从未订阅也没安装过次软件 就被不知情订阅并扣费,手机优化大师,"退款,作出处罚",手机优化大师在我完全不知情的情况下给我定了季度高级会员，并从我微信零钱里面自动扣除268元。我现在要求立即退款，停止服务，并停止一切不法行为。,2021-09-11,https://tousu.sina.com.cn/complaint/view/17354887204/,处理中
手机优化大师自动续费,手机优化大师,退款,我下来看了哈，要支付286我就卸载了，今天看到给我自动续费了,2021-09-13,https://tousu.sina.com.cn/complaint/view/17354922812/,处理中
realme虚假宣传，不处理问题，社区反馈的问题直接屏蔽或者隐藏，工程师敷衍了事,realme手机,务必解决，不能敷衍,realme宣传65W闪充，从0%到100%只需要37分钟，本人实测，最高63W且在3-5秒后迅速降到30W，大部分时候都稳定在30W附近，在充电到80%以上，电流再次下降，功率在10-20W，在充电90%以上，电流降到100毫安附近。最重要的是涓流时间，从100%到充电完成的这段时间耗时异常，高达20多分钟。本人频繁向realme客服反馈闪充问题，...,2021-09-01,https://tousu.sina.com.cn/complaint/view/17354731309/,已回复
七天无理由退换货联网激活后不给退货,realme手机,商家不给消费者退货,本人于9月9号在Realme天猫旗舰店购买的一部手机，真我GT.大师探索版，12 256的版本！使用一天感觉用着不合适，所以打算七天无理由退货，谁知道申请了退货，商家把我拒绝了！说是联网后，手机是绝对不可以退货的！但是我在下单购买的时候没有看到七天无理由退货包含是联网激活后不可以退货的！商家把不支持无理由退货的规...,2021-09-12,https://tousu.sina.com.cn/complaint/view/17354910948/,已回复
无提醒情况下乱扣费,手机优化大师,退款,在不知情情况下扣费268元 完全是骗人发现很多人投诉这个情况,2021-09-15,https://tousu.sina.com.cn/complaint/view/17354965773/,处理中
realme商品在保修期内，用户没有任何人为因素导致屏幕开胶不给予保修（发烫）,realme手机,"道歉,作出处罚,维修,更换全新原厂屏幕",联系真我客服态度消极，完全忽视消费者权益，他们不保修，要我出三百多，更换屏幕，手机根本没有其他问题，我已经和揽收快递师傅联系核实我手机是否存在人为不可逆的行为。并没有，快递师傅也有揽收照片,2021-09-12,https://tousu.sina.com.cn/complaint/view/17354914720/,已回复
没写过要收费直接收388,cleaner手机管家,退款,不知情的情况下扣取了我388，我都不知道这个软件,2021-09-12,https://tousu.sina.com.cn/complaint/view/17354915644/,已完成
magic助手在未通知本人的情况下自动扣费,Magic手机助手,"退款,赔偿,作出处罚",本人最近发现5月17日有一笔未经过本人同便扣掉298元给magic助手，查遍全网都找不到magic助手官方电话联系方式，现诉求是退回全部款项。,2021-09-02,https://tousu.sina.com.cn/complaint/view/17354739493/,处理中
真我GT neo手机质量差内屏黑屏,realme手机,换机 维修,手机在兜里放着拿出来后竟然屏幕黑了，外屏完好，内屏初中黑印，2000多的手机质量尽然这样太虚假宣传了，现在开机没有屏幕显示，俗称游戏手机质量竟然这么差太欺骗消费者了，需要黑猫给予惩罚。,2021-08-27,https://tousu.sina.com.cn/complaint/view/17354644778/,已回复
我的手机因充不了电在realme官网寄修但至今已过了10天还未寄回至今下落不明。,realme手机,"道歉,维修,寄回",本人于8月13日由顺丰寄出手机，据顺丰显示其维修人员唐翔已于8月14日签收。等到8月15日16:29其发来消息表示我的手机RMX3142已经维修完成并给出寄回单号SF1320680523***，但经本人查询也过问了顺丰客服此单号详细信息为空白。此后几日我都有询问过客服但都未得到准确的答复。于8月18日客服打电话给我说因我要求等我联系他...,2021-08-23,https://tousu.sina.com.cn/complaint/view/17354581865/,已回复
系统更新问题,realme手机,3天内系统更新,x50pro系统长时间不更新，询问客服也是会催促的，然后每次都没有结果。,2021-08-22,https://tousu.sina.com.cn/complaint/view/17354568749/,已完成
没写过要收费直接收388,cleaner手机管家,退款,不知情的情况下扣取了我388，我都不知道这个软件,2021-09-12,https://tousu.sina.com.cn/complaint/view/17354915644/,已完成
magic助手在未通知本人的情况下自动扣费,Magic手机助手,"退款,赔偿,作出处罚",本人最近发现5月17日有一笔未经过本人同便扣掉298元给magic助手，查遍全网都找不到magic助手官方电话联系方式，现诉求是退回全部款项。,2021-09-02,https://tousu.sina.com.cn/complaint/view/17354739493/,处理中
真我GT neo手机质量差内屏黑屏,realme手机,换机 维修,手机在兜里放着拿出来后竟然屏幕黑了，外屏完好，内屏初中黑印，2000多的手机质量尽然这样太虚假宣传了，现在开机没有屏幕显示，俗称游戏手机质量竟然这么差太欺骗消费者了，需要黑猫给予惩罚。,2021-08-27,https://tousu.sina.com.cn/complaint/view/17354644778/,已回复
我的手机因充不了电在realme官网寄修但至今已过了10天还未寄回至今下落不明。,realme手机,"道歉,维修,寄回",本人于8月13日由顺丰寄出手机，据顺丰显示其维修人员唐翔已于8月14日签收。等到8月15日16:29其发来消息表示我的手机RMX3142已经维修完成并给出寄回单号SF1320680523***，但经本人查询也过问了顺丰客服此单号详细信息为空白。此后几日我都有询问过客服但都未得到准确的答复。于8月18日客服打电话给我说因我要求等我联系他...,2021-08-23,https://tousu.sina.com.cn/complaint/view/17354581865/,已回复
系统更新问题,realme手机,3天内系统更新,x50pro系统长时间不更新，询问客服也是会催促的，然后每次都没有结果。,2021-08-22,https://tousu.sina.com.cn/complaint/view/17354568749/,已完成
手机清理大师乱扣费，扣了348在我不清楚的情况下扣的，又没有道德,手机清理大师,退款,手机清理大师乱扣费，还是在我不清楚的情况下扣的，请给退款，谢谢,2021-08-24,https://tousu.sina.com.cn/complaint/view/17354595710/,待分配
系统不维护欺骗消费者,realme手机,3天内系统更新,系统不进行升级维护，说好的上周更新到今天还是没有更新包，,2021-08-30,https://tousu.sina.com.cn/complaint/view/17354697783/,已完成
激活时间比购买时间早，怀疑是二手机。,realme手机,"道歉,换货",购买时是7月15号，然后我购买后一个月查询激活时间是6月3号。,2021-08-27,https://tousu.sina.com.cn/complaint/view/17354655103/,已回复
下载软件突然扣费,手机优化大师,退款,弹出了广告，下载软件后莫名其妙扣费，我都没有自己开会员,2021-09-06,https://tousu.sina.com.cn/complaint/view/17354806623/,处理中
莫名其妙自动被扣269元,手机优化大师,退款,在完全不知情的情况下扣费，app已经删除要求退费，而且上面显示试用期3天，我并没有用超过3天。,2021-09-06,https://tousu.sina.com.cn/complaint/view/17354806393/,处理中
莫名扣费 不知道怎么回事 半夜看眼手机 发现扣了268 自己什么都没弄,手机优化大师,退款,不知道为啥扣费 自己什么都没弄 也没用过优化大师 我查百度发现好多人都扣过费,2021-08-29,https://tousu.sina.com.cn/complaint/view/17354674295/,处理中
不予退款,手机定位他迹,退款,该app页面没有明显提示需要双方同意才可以使用，第一次下载该软件打开首页面就是输入对方手机号，然后就会弹出充会员提示，误导我开通会员后才发现不能使用，发现后第一时间联系客服解决，结果是不予退款。我对该软件误导开会员，开会员后的功能十分不满意，请求退款。,2021-08-23,https://tousu.sina.com.cn/complaint/view/17354593806/,已完成
realmeX50pro停止更新,realme手机,马上更新,已经两个月没更新系统了，这手机买来才一年 ，就停更了 ，只顾新机发布 不优化系统 ，一堆bug不修复 ，用户体验极差,2021-08-29,https://tousu.sina.com.cn/complaint/view/17354680509/,已完成
手机打开其他软件忽然弹出手机优化大师下载此软件后不知情下扣款268,手机优化大师,"退款,解释,作出处罚",打开万年历软件，自动弹出优化大师，不下载此软件手机无法返回，所以就下载了，结果不知情下扣费268元,2021-09-08,https://tousu.sina.com.cn/complaint/view/17354837869/,处理中
早上一起来就看到自动扣费268 打电话也打不通 我希望把钱退回来 这个软件真的可,手机优化大师,退款,乱收费 撒子软件 太可怕咯，我希望把我钱退回来 朋友们不要再下载这么害怕的软件 几块钱能接受 你们看268啊 真的太可怕了,2021-09-05,https://tousu.sina.com.cn/complaint/view/17354792025/,处理中
手机系统升级导致手机出现质量问题,realme手机,因为官方系统原因导致,我在升级完最近系统的不到一天时间，手机realmex的前置摄像头不能打开一直呗占用,2021-09-11,https://tousu.sina.com.cn/complaint/view/17354895539/,已回复
手机定位他迹软件欺骗用后,手机定位他迹,退款,手机定位他迹软件，页面显示购买会员可以输入他人手机查看他人的定位，用户须知最后一项打勾也是只有一行字，不点开根本无法知道需和对方加好友，对方通过，才可以查定位，当你购买了对员才发现，存在欺骗，希望退款,2021-09-13,https://tousu.sina.com.cn/complaint/view/17354930446/,待分配
组了活动价格的云手机使用未达效果不给退款,多多云手机,退款,打开多多云手机app组机，为了达到游戏效果租了个服务一个月68，使用后游戏启动不了，与客服要求退款 一口拒绝然后说事先有测试提示 测试后付款是不给退款 我问客服测试体验在哪里，他给我说的还是需要下单租几天而且不是我定的这款租机款项肯定体验不到，现在租的玩不了游戏，客服要么不给回答，要么就是换新客服重新走...,2021-09-04,https://tousu.sina.com.cn/complaint/view/17354779772/,待分配
手机优化大师强制下载，强迫收费,手机优化大师,退款,在我不知情的情况下多次跳出手机优化大师的广告，后来嫌烦就下载了，下载后没有进行任何操作就自动于2021年7月28号自动扣款268元，涉嫌欺诈和强制扣费行为，我现在要求他退款于我，否则我将去人民法院提起诉讼，坚决维护自身权益。,2021-09-15,https://tousu.sina.com.cn/complaint/view/17354955791/,处理中
前几天偶然看见了这个软件就下载了 发现没什么用立马删除了 今天凌晨扣了我388元,cleaner手机管家,"退款,下架产品",前几天偶然在头条上看见了这个软件就下载了 发现没什么用立马删除了 今天凌晨扣了我388元,2021-09-15,https://tousu.sina.com.cn/complaint/view/17354956021/,待分配
X50Pro两个月不更新系统，反馈bug也不修复 抛弃消费者,realme手机,"退款,赔偿,道歉",请问Realme 还打算卖手机吗？Realme X50 Pro都2个月不更新系统了！一大堆BUG叫用户怎么用？难道你们只管GT？Realme X50 Pro做为你们最贵的旗舰就当垃圾扔了？那谁还敢买Realme的产品？想买Realme的，去x50pro社区看看去年4000块钱的旗舰已经被抛弃了，系统不更新，充电28w，耗电贼快，只需要一年，过气旗舰不如狗，大家...,2021-08-30,https://tousu.sina.com.cn/complaint/view/17354688851/,已回复
完整照片恢复出来效果差，还不是完整的,手机照片恢复助手,退款,从咨询开始一直说软件问题，说恢复效果差就是软件扫描的结果就是这样，然后我不小心删除的是完整照片，只有半截，一直就一句扫描就是这样的,2021-08-22,https://tousu.sina.com.cn/complaint/view/17354572972/,待分配
欢太商城虚假引导导致不佳购物体验，退款无保障并且缓慢,realme手机,欢太商城立即退款,一开始京东没抢到，所以跑去欢太商城抢了一台（RM210818166912825***），欢太商城和京东渠道都在内宣传标着8月25日开售，所以发货肯定是25日往后。然后后来京东我抢到了一台（因为京东福利比欢太上的好，送耳机还有分期），没退欢太商城上的款，想着京东付尾款前退了。没想到24日下午就发货了，这一发货，直接导致我无法...,2021-08-25,https://tousu.sina.com.cn/complaint/view/17354621190/,已完成
自动扣费,手机优化大师,退款,不明不白的点了一下就扣了268元.现在要求退款,2021-08-25,https://tousu.sina.com.cn/complaint/view/17354623238/,处理中
欺诈消费者,realme手机,修复充电慢的问题,买的时候说是65W快充，结果现在被限制的只有十几瓦。我们花了三千多块钱是为了买65瓦快充的，不是十几瓦。图片有手机工程模式测试充电速度的截图，只剩16瓦的充电速度,2021-08-29,https://tousu.sina.com.cn/complaint/view/17354686601/,已回复
乱收费，不经同意,手机优化大师,退款,未经过本人同意擅自收费，且此产品为使用过。,2021-09-01,https://tousu.sina.com.cn/complaint/view/17354731837/,处理中
618期间在淘宝realme官方旗舰店购买了8台手机，补偿的8个耳机迟迟不发货,realme手机,"道歉,改善服务,解释,发货,补发赠品",618期间在淘宝realme官方旗舰店购买了8台手机，没有过几天就已经在没有涨价的情况，开始赠送他们店铺在售的价值99元一个的耳机，做为消费者，在短短几天内就被商家割了韭菜很不满意，随后联系了店铺，要求补偿的8个耳机，因为是两个订单，所以单独联系了两个客服，一个客服让我28号去登记，另一个客服当时就登记好了。对...,2021-08-21,https://tousu.sina.com.cn/complaint/view/17354554648/,已完成
手机优化大师恶意扣费，要求退款,手机优化大师,退款,我在不知情的情况下，被自动扣费，此行为太恶劣了，太坑人了，要求退款。,2021-09-01,https://tousu.sina.com.cn/complaint/view/17354727381/,处理中
手机优化大师在我不知情情况下扣款,手机优化大师,退款,手机优化大师在我不知情情况下扣款申请退款处理,2021-09-01,https://tousu.sina.com.cn/complaint/view/17354724920/,处理中
下载手机定位他迹软件付款之后，联系不到客服，定位好友发短信收不到信息，定位不了他,手机定位他迹,退款,下载手机定位他迹软件付款之后，联系不到客服，定位好友发短信收不到信息，定位不了他人位子，所以说是假的骗人的软件需要退款,2021-09-03,https://tousu.sina.com.cn/complaint/view/17354760138/,待分配
误开了一个会员找不到会员取消界面,文档手机版APP,退款,前几天下载了一个准备改个东西的 界面显示要开会员可以试用3天本想着当时改好就不用了 准备取消会员的时候怎么找都找不到界面 会员中心啥的都没有 买了以后就没法取消 这APP太黑了 会员中心点都点不开,2021-09-03,https://tousu.sina.com.cn/complaint/view/17354761595/,待分配
手机恢复大师,手机恢复大师,退款,下载软件 手机恢复大师 去恢复微信聊天记录 下载后 支付78元 APP没有提示我需要用到 电脑 也没有提示到 手机说话有备份功能,2021-09-03,https://tousu.sina.com.cn/complaint/view/17354762564/,待分配
欺诈消费者系统不更新客服不处理,realme手机,"道歉,作出处罚,补发赠品",软件断流闪退，充电限制，发热异常，客服不处理，拖更停更，一堆bug从去年持续到今年不修复，社区一直在反馈，更新也没有修复，现在已经两三个月没有更新了，社区也没人管，问客服手机怎么回事客服就说让寄修，新机一直更新新系统，去年旗舰机的x50pro就没人管了,2021-08-31,https://tousu.sina.com.cn/complaint/view/17354703989/,已回复
手机优化大师自动续费会员,手机优化大师,"退款,改善服务,修改宣传内容",在试用期三天过后没有任何通知自动扣款，且存在误导消费者行为,2021-08-31,https://tousu.sina.com.cn/complaint/view/17354707347/,处理中
两次不明原因收费536元，尽快退款，取消其服务,手机优化大师,退款,手机优化大师在我不知情的情况下给我定了三个月的高级会员，我完全不需要这样的服务！要求退款，停止服务！今天才发现有两次扣款合计536元 ，Apple专员让我找软件公司解决，Apple 公司的apple Store 应由Apple公司解决，求帮助，谢谢,2021-09-12,https://tousu.sina.com.cn/complaint/view/17354906722/,处理中
realme x手机更新系统后导致前置摄像头无法使用,realme手机,赔偿，维修,本人的realme x手机于近期更新realme ui2.0后，前置摄像头立刻无法使用，且一个月过去后官方仍未发表声明，也并未提供新的版本包修复此问题，论坛有许多人出现同样情况，若此现象为软件升级导致的硬件损坏，用户有权得到一个合理的解释。,2021-08-29,https://tousu.sina.com.cn/complaint/view/17354677074/,已回复
非本人使用在其他手机上订阅，涉嫌强制消费。因此选择退款,手机优化大师,退款,非本人操作在其他苹果设备上订阅，未提示有任何订阅信息，结果扣费了一查才显示。且是3天免费订阅之后自动订阅半年会员（268元）。涉嫌强制消费、欺骗消费者，因此选择退款。,2021-09-12,https://tousu.sina.com.cn/complaint/view/17354915989/,处理中
手机优化大师APP,手机优化大师,退款,8月27日我的手机游戏上显示手机内存已满请下载手机优化大师帮助清理，我就下载了当吋误点了免费试用的活动，三天后我的手机自动扣除了我268元，我好气愤，手机优化大师这是完全的期骗、期诈行为，霸王条款，希望能通过这个黑猫投诉平台来还我们消费者的权益。,2021-09-06,https://tousu.sina.com.cn/complaint/view/17354806206/,处理中
手机优化大师在不知情情况下扣费,手机优化大师,退款,今天突然微信被扣了268块钱，一查是什么手机优化大师扣的，好像是什么季度高级会员，但是这些完全是在本人不知情的情况下发生，而且网上也有很多人被这样胡乱扣钱，本人觉得这触犯了我的权益，请求退款！,2021-09-07,https://tousu.sina.com.cn/complaint/view/17354833016/,处理中
手机优化大师乱扣费,手机优化大师,退款,手机里面没有下载任何软件，也没同意订购的，怎么会乱扣费,2021-09-05,https://tousu.sina.com.cn/complaint/view/17354789292/,处理中
软件无用，没有客服联系，没有退款渠道。客服联系不上。存在诱导消费。,手机定位他迹,退款,此软件需要两个人同时付费使用，协议中提到可以退费，但是需要扣除服务费。此软件没有任何退费渠道，也没有客服可以联系。存在诱导消费。,2021-09-09,https://tousu.sina.com.cn/complaint/view/17354868559/,待分配
手机优化大师，要求取消扣款，页面没有客服，没有取消页面,手机优化大师,"下架产品,修改宣传内容",说免费三天，然后现在一直要扣款268，页面没有客户，也取消不了，手机优化大师,2021-09-10,https://tousu.sina.com.cn/complaint/view/17354879869/,处理中
无法及时修复bug,realme手机,能够及时修复bug,有一些bug一直没有修复好，如实体按键延迟，从安卓11刚开始就存在. 更新越来越慢且敷衍，每次更新不仅修复的东西今，还出现一些新的bug。 c24版本很多软件的运行过程中会经常失触，抓log反映了几个月了也没修复,2021-08-29,https://tousu.sina.com.cn/complaint/view/17354683617/,已完成
淘宝天猫realme官方旗舰店不退款不给予处理,realme手机,"退款,解释",没发货之前都叫卖家改地址了，在没发货之前我把新的电话号码和新的地址都发给卖家了，卖家没有改地址电话号码，搞错了电话号码，被别人在微信小程序转寄到上海签收收了快递，客服介入也退不了款，还不给予退款。目前为止没有得到维权，以去当地消费者协会投诉寻求帮助未果,2021-09-11,https://tousu.sina.com.cn/complaint/view/17354892215/,已回复
"""秒懂手机""安卓刷机软件付了会员无法使用又联系不上客服",秒懂手机,退款,使用(秒懂手机软件)刷机的时候需要开通会员开了会员还是用不了，随后联系微信公众号也联系不到微信客服，过程中微信公众号自动回复助手发了一条需要开通12.9元的会员特权上面写有一对一客服！我付了12.9元后还是联系不到客服瞬间感觉被骗了,2021-09-14,https://tousu.sina.com.cn/complaint/view/17354947047/,待分配
手机优化大师相册管家,手机优化大师,退款,在我本人没同意支付的情况下就带扣本人268元希望如数退款,2021-09-16,https://tousu.sina.com.cn/complaint/view/17354975207/,处理中
手机质量问题，要求退货退款。,realme手机,手机质量问题,在realme天猫旗舰店买的手机，不到两个星期时间，音量键失灵偶尔按了没反应。在天猫客服投诉，一直说七天以后不能退款。明明就是手机质量问题不让退款，简直就是霸王条款。,2021-08-15,https://tousu.sina.com.cn/complaint/view/17354462025/,已回复
