标题,投诉对象,投诉要求,投诉内容,投诉时间,投诉链接,投诉进度
特价口罩气味刺鼻，疑似回收口罩,抖音短视频,"赔偿,道歉,下架产品",于2021.8.8日在抖音账号：贝好优品（商铺:贝好精选）直播中发现此款KF94口罩。觉得比较适合家庭使用，于是花费29.9元购买，共5包。此价格远低于市场价格，但是并未怀疑。8.15日收到口罩之后，拆开一片发现气味刺鼻。通风晾过三天后，气味并未减弱。联系对方退款。对方拒不承认是口罩质量问题。还要我方运费自理。,2021/8/28,https://tousu.sina.com.cn/complaint/view/17354662493/,已完成
在抖音平台上商家三兄弟供应链2店买东西乱扣钱要求退款,抖音短视频,"退款,赔偿",在抖音上看见广告卖口罩，买了口罩绑了卡半夜扣钱，还查不到任何的订单信息，什么都看不到，买的口罩订单号也查不到，虚假信息，要求把钱退回来，给我个合理的解释！,2021/9/13,https://tousu.sina.com.cn/complaint/view/17354917130/,已完成
买的口罩东西不负家货,拼多多客户服务,退款,我买的是3D口罩，他给我发成最普通的口罩 小静家的杂店,2021/8/16,https://tousu.sina.com.cn/complaint/view/17354469957/,处理中
泰康保险未经同意被投保,泰康保险集团,退保,进商场没戴口罩扫码送口罩，结果扫完被投保，未经同意被投保,2021/8/4,https://tousu.sina.com.cn/complaint/view/17354311802/,已完成
几天前在快手上购买了60元的3D立体口罩320个今天收到货了结果是普通口罩300,快手小客服,"退款,赔偿,解释,道歉",您好！我前几天在快手平台上购买了60的3D立体口罩320个，今天收到口罩打开一看是普通口罩而且还少20个，和客服说话也不回电话打不通 所以才找您给解决这个问题，,2021/8/17,https://tousu.sina.com.cn/complaint/view/17354487797/,已回复
买的口罩东西不负家货,拼多多客户服务,退款,我买的是3D口罩，他给我发成最普通的口罩 小静家的杂店,2021/8/16,https://tousu.sina.com.cn/complaint/view/17354469957/,处理中
商家:优品生活严选。1604774241532126***,快手小客服,赔偿,广告订单说的是3D立体口罩，结果发来的是次品普通口罩，还有异味,2021/8/17,https://tousu.sina.com.cn/complaint/view/17354491592/,已回复
京东售卖假口罩,京东客服,赔偿,8月1日在京东买了号称"中国运动员同款口罩"，昨天看到奥运品牌方发布的声明，奥运口罩不对外买，且没有授权任何厂商制造，京东上面的奥运口罩何来？找客服，客服说京东都是正品？昨日收到口罩，口罩质量差，也不可能是正品，要求按照消费者权益保护法赔偿。,2021/8/8,https://tousu.sina.com.cn/complaint/view/17354359332/,已回复
康婴园牌儿童口罩生产标准不符合国家标准,阿里客服,"退款,赔偿,作出处罚,下架产品,修改宣传内容",给弟弟（6岁）在网上买的口罩，发现里面有的口罩是脏的，然后就感觉不对劲，后来又查了查，他们家店里销售的口罩的生产标准是gb/t32610不适用于儿童口罩，而他们售卖的是儿童口罩，当时没太在意，后来弟弟带上去和普通口罩带上去的感觉不一样，有头晕现象，然后就来请求贵平台能够替我们讨回公道，谢谢。国家规定GB/T326...,2021/9/13,https://tousu.sina.com.cn/complaint/view/17354921092/,处理中
小静家的杂店,快手小客服,"退款,赔偿,作出处罚",在快手平台购买的口罩链接明明是3D立体口罩，但是店家发过来的却是普通口罩！联系客服也没有人回复，打电话也不接！,2021/8/21,https://tousu.sina.com.cn/complaint/view/17354558945/,已回复
奥运会专用口罩,阿里客服,赔偿,8.5号t淘特网购买了奥运会口罩，收到货口罩发现三无产品口罩什么都没有，然后进行着商家协商态度不好假冒伪劣商品 两个不一样的,2021/8/14,https://tousu.sina.com.cn/complaint/view/17354438028/,处理中
纪兵医用口罩独立包装,美团网客服小美,"退款,作出处罚",美团优选小程序购买的一次性医用口罩 之前买回来忘记查看执行标准了 今天就拿出来看了一眼还特地找了医用口罩防护标准号对照表 这个订单购买的口罩外包装根本没有执行标准号 还有其他订单的口罩执行标准号也不符合医用口罩标准 是没有防护措施的 也就是说现在疫情还存在的情况下美团优选售卖的口罩戴了跟没戴一样 没有...,2021/8/15,https://tousu.sina.com.cn/complaint/view/17354460503/,已完成
商家卖假口罩！质量贼差,阿里客服,"退款,赔偿,作出处罚",买口罩的时候发现了奥运口罩，然后就下单了 到货后发现口罩外包装没有中文标签，没有生产日期和保质期！！这样的口罩能安全吗？？口罩上全是工业塑胶的味道 非常的刺鼻！ 后来又在短视频上刷到了说卖奥运口罩的商家都是假冒伪劣产品！找淘宝客服 根本无人解决，说电话回访 一直没有人打电话。对淘宝是真的失望了，在此我...,2021/8/12,https://tousu.sina.com.cn/complaint/view/17354420362/,处理中
未收到货物，5天了都还没有处理，不给退款,京东客服,"退款,开发票",在京东上面买的口罩（中联（湖北）大药房旗舰店），买买了两种口罩，一种是200个口罩34.9元，另一种是独立包装的200只装，一个是39.9，买了3个，一共就是600只口罩，金额:119.7，8月3号的下单，8月6号快递小哥通知我快递到了，我取回来发现只有200口罩，没有独立包装的口罩，问客服她说有两个快递，于是我又下去取，并没...,2021/8/11,https://tousu.sina.com.cn/complaint/view/17354396213/,已完成
口罩太贵,美宜佳,"解释,赔偿",美宜佳这么厉害，口罩两块钱？别人店铺最多才卖一块钱再说了你这个口罩又不是那种很厉害的，一次性口罩。,2021/8/5,https://tousu.sina.com.cn/complaint/view/17354322072/,已完成
商家发虚假广告，收到的东西和广告里不一样，卖家是优品生活严选,快手小客服,退款,卖家广告里是三层立体口罩，发来的只是普通口罩，和卖家联系一直不回复,2021/8/19,https://tousu.sina.com.cn/complaint/view/17354522569/,已回复
平台监控司机，未经同意。调取视频，查看个人隐私,滴滴出行客服,"赔偿,道歉,作出处罚,改善服务,解释,恢复账号",15号说我未戴口罩，封一天我带了他说没带。因为。嗯，叫戴口罩拍照，我也拍了。然后他人脸识别是戴口罩说有遮挡物不能用，然后我就摘掉口罩识别，然后他就说我没戴口罩封禁我一天15号封的。然后16号11:45解封的。我没有出车，也没有接单。只是开我租的车出去拿个快递。我没有戴口罩，然后他平台又检测出来，我多次未戴口...,2021/8/16,https://tousu.sina.com.cn/complaint/view/17354480569/,已回复
商家广告宣传3D口罩，结果发来货是普通口罩,快手小客服,"退款,道歉,作出处罚",商家虚假宣传，广告宣传3D口罩。结果发来货是普通口罩，联系客服，一直不回复,2021/8/26,https://tousu.sina.com.cn/complaint/view/17354641626/,已回复
购买到了假冒伪劣口罩,拼多多客户服务,"赔偿,道歉,作出处罚,恢复账号",在拼多多买到了假冒伪劣的奥运口罩 商家营业执照看不到 拼多多官方无法联系 也不出示口罩商家营业执照,2021/9/3,https://tousu.sina.com.cn/complaint/view/17354754687/,处理中
饿了么医药新人专享口罩拒不发货,饿了么客户关怀,发货,买的口罩标明的八月十号到八月十二号送到，结果现在都八月二十二号还一直没有配送，不想退款，想要口罩,2021/8/22,https://tousu.sina.com.cn/complaint/view/17354577283/,已回复
要求金牛电商退货退款，货已经发给你了，但是被拒收了，,快手小客服,"退款,赔偿,道歉",我拍的是立体式的口罩，金牛电商给发的普通蓝色口罩，而且质量太差，不能用，要求给退款,2021/8/24,https://tousu.sina.com.cn/complaint/view/17354609045/,已回复
客服不给处理,京东客服,"退款,赔偿,道歉,作出处罚",在京东买了一件东京奥运会同款口罩，但是到货后我看新闻说不允许商家在任何平台打着奥运会口罩的旗号售卖，说东京奥运会口罩是给奥运会员佩戴的，他们这样的属于违法行为，然后我想到我买到了这样的口罩，就去投诉，但是商家不搭理我，客服也不给处理，现在我申请补偿500元，希望你们能给我个合理的答复,2021/8/15,https://tousu.sina.com.cn/complaint/view/17354464002/,已回复
虚假宣传，广告卖的3d立体口罩，寄过来是普通蓝色口罩,快手小客服,"退款,修改宣传内容",虚假宣传，广告卖的3d立体口罩，寄过来是普通蓝色口罩，发信息给卖家不理人,2021/8/15,https://tousu.sina.com.cn/complaint/view/17354462432/,已回复
疫情期间滴滴平台乘客佩戴口罩出示健康码 平台不作为,滴滴出行,恢复账号,9月6日10：02分接到 车城超市到火车站 订单 乘客上车未佩戴口罩我提现乘客佩戴口罩 乘客说没有口罩 让我带他去另一个地方拿口罩去了那没有又说再去另外地方拿口罩到了 我就说大概要多久时间久可能等不了您，乘客下车就开始辱骂我还扬言说要打我，后面我说你打我试试 之后平台就判我有责任扣我服务分， 难道政府要...,2021/9/11,https://tousu.sina.com.cn/complaint/view/17354889432/,已回复
发货不符，应该是立体口罩，发成了一次性口罩,快手小客服,"退款,赔偿,道歉,解释,发货",发货不符，应该是立体口罩，发成了一次性的口罩，而且客服不回复，没有解决方案,2021/8/22,https://tousu.sina.com.cn/complaint/view/17354567410/,已回复
买了口罩；没有退款入口；人家不想要了；还不能退款,穗康,退款,买了口罩，我不想要了；还不能退款；商家又不处理；还要直接发口罩到我那里；我拒收了；还不退款,2021/9/2,https://tousu.sina.com.cn/complaint/view/17354742156/,处理中
虚假宣传，客服不处理,快手小客服,"退款,赔偿,道歉,作出处罚,解释,退货,修改宣传内容",我在快手直播间买了100个3D立体白色口罩，结果商家发了不足100个的普通白色口罩，联系客服客服不回信息,2021/8/22,https://tousu.sina.com.cn/complaint/view/17354574436/,已回复
淘宝云舒屋旗舰店,阿里客服,"退款,赔偿,道歉,作出处罚",我在他家买的口罩，一直没用，今天打开一看，比其他的口罩都要小，我让他退货，他不退，我要求赔偿，这是虚假宣传,2021/8/26,https://tousu.sina.com.cn/complaint/view/17354630237/,处理中
因口罩的卫生质量问题，要求阿里健康大药房赔偿500元,阿里健康客户服务,赔偿,口罩里有蚊子，是在口罩里面，用指甲刮擦无法挂掉。这明显是生产中就在里面的。,2021/8/28,https://tousu.sina.com.cn/complaint/view/17354660902/,处理中
卖家出售假货，抖音客服不作为,抖音短视频,"退款,赔偿,作出处罚",8月5号在抖音平台购买了奥运会口罩，最近疫情严重，为了不时之需，屯一些口罩，到货发现口罩没有合格证，怀疑买到了假货，去询问卖家，卖家承认高仿，卖家也没有奥委会授权出售专用口罩，侵犯了国旗法，以及没有生产卫生许可证！,2021/8/16,https://tousu.sina.com.cn/complaint/view/17354468198/,已回复
买的儿童口罩不符合国家标准客服处理不到位,抖音短视频,赔偿,在抖音买的口罩 我本来有一个优惠卷 不知道为什么自己使用了 然后金额本来是6块的 买到的儿童口罩标准GB/T 38880-2020这个标准不符合儿童口罩的标准 GB/T32610-2016这个口罩标准是不适用于与儿童的，该标准有明文规定 要求退1赔3 不满500按500元处理,2021/9/9,https://tousu.sina.com.cn/complaint/view/17354866481/,已完成
该司机非法营运,高德地图客户服务团队,退款,该司机非法营运，疫情期间不佩戴口罩，我上车告诉司机戴好口罩，他不光不戴，而且还辱骂我。,2021/8/17,https://tousu.sina.com.cn/complaint/view/17354478486/,已回复
奥运口罩,阿里客服,赔偿,奥运官方已经说了外面没有卖，他说是正品。。。。,2021/9/9,https://tousu.sina.com.cn/complaint/view/17354866773/,处理中
卖家卖假口罩,阿里客服,"退款,赔偿,下架产品",本人于七八月五日购买淘宝旗舰店生产的国旗口罩，后于收到货经朋友之口了解到该口罩为假货，要求下架商品并做出根据《消费者权益保护法》规定退一赔三。,2021/8/17,https://tousu.sina.com.cn/complaint/view/17354490080/,处理中
金牛电商绝对是骗人的，,快手小客服,退款,在他家买的口罩，说是3D口罩，收到货结果都是一次性普通口罩，又买的小孩子玩的东西，回来都坏了，我联系商家，人家质量说不管，我说给他退回去，商量承担运费，人家直接说自己自理运费，金牛电商绝对是骗子,2021/8/21,https://tousu.sina.com.cn/complaint/view/17354559917/,已回复
落花衣舍折扣馆,阿里客服,"赔偿,下架产品",买的奥运口罩发货地不是北京，是浙江，搜索后显示买的奥运口罩都是假的，不会有卖的，而且已读不回复,2021/8/10,https://tousu.sina.com.cn/complaint/view/17354393451/,处理中
口罩质量有问题,拼多多客户服务,退款,口罩那边的线一弄弄就断了，十个已经坏了五六个了,2021/8/28,https://tousu.sina.com.cn/complaint/view/17354656156/,处理中
劣质口罩,拼多多客户服务,赔偿,商家说是仓库不仔细导致的但是我买了三包三包都是一样的再怎么不仔细不可能都一样吧在平台上面卖劣质产品商家态度还一副无所谓的样子,2021/8/15,https://tousu.sina.com.cn/complaint/view/17354453105/,处理中
快团团客服不予以确切答复,拼多多客户服务,退款,8.7号在多多买菜上面买了5盒口罩，因为压坏了，所以8.8号就申请退货，口罩已交给司机，商家就是不给退款，说司机没收到,2021/8/14,https://tousu.sina.com.cn/complaint/view/17354446392/,处理中
乘客不戴口罩，司机取消订单被判有责,滴滴出行客服,撤销有责判决,当时情况是这样，这个订单是半夜十二点多派饭给我，我当时在经常等单地方等单，因为最近疫情反复，所以特别注意乘客佩戴口罩问题，当时半夜没什么人在街上，我看到该乘客时候就注意到他没戴口罩，但是为了确认是否我接单乘客，我拨打电话，看到他接了，所以下车跟他沟通疫情期间需要佩戴口罩才能乘车的规定，乘客表示他...,2021/8/14,https://tousu.sina.com.cn/complaint/view/17354446417/,已完成
从昨天晚上就和金牛电商的客服联系到今天客服根本就不理人,快手小客服,"退款,退货",虚假宣传儿童口罩，收到的口罩和他宣传的完全不一样 你们可以看看他宣传的是什么口罩，发过来的有是什么样子的，一共就19.9不到20块钱，就是可服的态度太气人了，给他们联系根本就不理人,2021/8/12,https://tousu.sina.com.cn/complaint/view/17354414510/,已完成
商家卖奥运口罩 官方实锤假货 客服不处理,天猫,"退款,赔偿,作出处罚,下架产品",因生活所需在淘宝天猫商城生命源爱之道旗舰店购买奥运口罩，到货发现其口罩质量好差，同时看到官方发布奥运口罩不得销售，都是假冒伪劣产品，商家还在趁疫情赚黑心钱，一定要严惩这种售假口罩的商家，按照消法55条要求赔偿。,2021/8/12,https://tousu.sina.com.cn/complaint/view/17354419440/,处理中
京东商城 初医生昂王专卖店 在全国疫情最严重的地区发货口罩,京东客服,"退款,赔偿,道歉,作出处罚,改善服务,解释",在 京东商城 初医生昂王专卖店 购买口罩 发货地是扬州 扬州是目前全国疫情较为严重的地区之一 我购买口罩的初衷是为了防疫 口罩在扬州仓库 经过了什么样的人之手完全未知 客服也只是敷衍了事,2021/8/13,https://tousu.sina.com.cn/complaint/view/17354436548/,已完成
奥运口罩,拼多多客户服务,"赔偿,下架产品",拼多多上买了两个奥运口罩 要求赔偿。。,2021/8/13,https://tousu.sina.com.cn/complaint/view/17354435978/,处理中
假冒伪劣产品,阿里客服,"退款,赔偿",盗用奥运会口罩销售，口罩版权官方未授权私自盗版严重侵权,2021/8/8,https://tousu.sina.com.cn/complaint/view/17354366257/,处理中
奥运口罩,拼多多客户服务,"赔偿,下架产品",拼多多上买了两个奥运口罩 要求赔偿。。,2021/8/13,https://tousu.sina.com.cn/complaint/view/17354435978/,处理中
假货不处理,拼多多客户服务,"退款,赔偿",8月7日我在拼多多看到一款名为奥运会同款口罩，于是我就购买了该款口罩，到货后发现口罩质量很差，我在网上看见说奥运会口罩不可以出售，在平台上出售的同款口罩都是假冒伪劣的，我购买的商品写着承诺假一赔十，现在客服就一直以退货退款方式解决，这就是所谓的假一赔十？客服就是这样敷衍顾客的？,2021/8/11,https://tousu.sina.com.cn/complaint/view/17354406139/,处理中
快手广告看到，卖的是三D立体口罩，收到货是普通口罩,快手小客服,"退款,作出处罚",8月10号在快手上买的口罩，宣传的是三D立体口罩，收到货是几分钱一个的普通口罩，找商家退货，商家不给退货，还说退货运费要买家承担。联系快手客服介入，三天了还没有处理消息，退货的时候才知道是金牛电商卖的东西。,2021/8/20,https://tousu.sina.com.cn/complaint/view/17354545260/,已完成
阿里健康大药房售卖口罩质量严重不合格,阿里客服,"退款,赔偿,道歉,作出处罚,改善服务",阿里健康大药房售卖的界面医疗口罩，一盒50袋，购买200个，前期使用80个口罩中有三分之一的口罩边与包装袋塑封在一起，无法拆开不好使用，找客服回应，客服从赔偿三分之一的退款金额到优惠5元到只退款剩余口罩，从承认口罩质量问题到完全否认质量问题，完全不问及消费者的诉求，不断自己更改处理结果，虽然涉及金额不大...,2021/8/23,https://tousu.sina.com.cn/complaint/view/17354584212/,处理中
京东奥运同款口罩,京东客服,"退款,赔偿,道歉",我于8月7日在京东店铺，购买了口罩，收到货之后，发现该产品跟奥运会的是同款，但是据我所知，北京朋来药业有限公司发布了一篇声明，声明中说明奥运口罩没有对外销售（详情见附件）。于是怀疑我买到的是假冒伪劣的口罩，并且该口罩并没有合格证明。是假冒伪劣的“三无”口罩。找商家理论，商家不理睬而且还把商品下架了，...,2021/8/16,https://tousu.sina.com.cn/complaint/view/17354467701/,已回复
抖音美美精选染号店店铺出售假货,巨量引擎,"赔偿,作出处罚,撤销处罚,下架产品",本人于2021年8月4日在抖音刷视频，看见这个口罩奥运同款，询问客服后说是医用口罩，就下单了，到货发现做工粗糙，根本达不到医用口罩的要求，经过了解发现为假货，该口罩仅供奥运运动员使用，根本就没有出售过，口罩质量不符合国家标准，于此提出此次投诉要求明察，卖家清清楚楚承诺假一赔三，现在却联系不上，该商品侵...,2021/8/15,https://tousu.sina.com.cn/complaint/view/17354462801/,已完成
司机不戴口罩,哈啰出行客服,作出处罚,2021.8.14下单两次出行，司机都没有戴口罩，疫情当下，这样给顾客带来很大的危险性，何况自己是司机，接触什么样的顾客都有。,2021/8/14,https://tousu.sina.com.cn/complaint/view/17354441146/,已完成
奥运口罩虚假宣传,阿里客服,赔偿,8.5号我在淘特网购买了奥运会口罩看到运动员口罩很好看所以买了，到货之后哦发现寄过来2个口罩没有然后包装三无，这种假冒伪劣商品找商家问情况然后协商不成功把我拉黑逃避问题，然后通过北京朋来通知发现口罩并没有在网络进行销售这款奥运会口罩，我认为我的消费者权益法收到侵犯，1无合格证无法保证我的人身安全疫情当...,2021/8/14,https://tousu.sina.com.cn/complaint/view/17354438010/,处理中
售卖假冒伪劣产品,拼多多客户服务,赔偿,在拼多多购买到奥运口罩根据中央发布消息，所有售卖的奥运同款口罩皆为假冒伪劣产品,2021/8/6,https://tousu.sina.com.cn/complaint/view/17354341452/,处理中
假冒伪劣产品,拼多多客户服务,赔偿,在拼多多购买到奥运口罩根据中央发布新闻，所有售卖奥运同款口罩皆为假冒伪劣产品,2021/8/6,https://tousu.sina.com.cn/complaint/view/17354341471/,处理中
商品与实物不符假货,阿里客服,"赔偿,消费者权益保护法55",我于2021年8月4日凌晨00:30分我在淘宝上看到他销售的口罩。有优惠卷。就觉得挺划得来。因为最近疫情也有点严重。就买了打算放在家里备用。况且说的是一次性医用口罩。到货后发现和他的事物不符。还有好多受害者也说不一样。毕竟都是因为疫情才买口罩。都想要质量好的。医用口罩。但是到货后不是。这要是戴出去了。 没有...,2021/8/8,https://tousu.sina.com.cn/complaint/view/17354365814/,处理中
商家提供假货,阿里客服,赔偿,我在淘宝中购买了中国奥运会同款口罩 咋晚发货这个口罩是假的这个奥运口罩不支持购买要求退一赔三客服已读不回根据国家法律我可以要求退一赔三不满500的按照500计算,2021/8/7,https://tousu.sina.com.cn/complaint/view/17354355297/,处理中
在京东购买的奥运会口罩，收到后发现是假货，,京东客服,"退款,赔偿,道歉,作出处罚,解释",在京东购买的奥运会口罩，收到后印有国旗标志和奥运五环标志，但是口罩合格证仅标注一次性口罩，（非医用），每个口罩都是价值30元一个的，这么贵我冤大头吗？花费这么贵买个一次性的口罩。合格证没有任何证明这是奥运会专用口罩，经查询《国旗法》第二十条　国旗及其图案不得用作商标、授予专利权的外观设计和商业广告...,2021/8/11,https://tousu.sina.com.cn/complaint/view/17354405522/,已回复
买到了假口罩,拼多多客户服务,"退款,赔偿,解释",奥运会口罩是正品，但是收到货之后，捐赠口罩方和新闻联播辟谣，说在线上线下卖的奥运会口罩均为假冒伪劣产品，可以向12315进行投诉举报，拼多多涉嫌卖假货假冒伪劣商品 《消费者权益保护法》第五十四条 依法经有关行政部门认定为不合格的商品，消费者要求退货的，经营者应当负责退货。 第五十五条 经营者提供商品或者服...,2021/8/9,https://tousu.sina.com.cn/complaint/view/17354375026/,处理中
奥运口罩,拼多多客户服务,"退款,赔偿,下架产品",假冒伪劣产品奥运会提供口罩为官方使用不在市面进行出售,2021/8/6,https://tousu.sina.com.cn/complaint/view/17354336125/,处理中
要求平台同意退货！,阿里客服,"退款,赔偿,道歉,改善服务,退货",我买了200个口罩！到货50个！多次建议商家未能处理！总说给查看！而且口罩包装简陋！就用个黑色防水袋包装！也没有任何商家的发货单！现在疫情当下！喔我很怀疑是假货！试想疫情防控当下不把握好口罩质量关有躲糟糕,2021/8/7,https://tousu.sina.com.cn/complaint/view/17354348075/,处理中
司机不戴口罩,花小猪打车官方客服,"退款,解释道歉,赔偿",司机不戴口罩，造成极大疫情传播风险，要求不但退款，而且还要对我承担的风险进行赔偿。,2021/8/8,https://tousu.sina.com.cn/complaint/view/17354359309/,已完成
商家发错货，申请退货退款。货返回商家拒收。不给予处理！,快手小客服,退款,在金牛电商拍下3D口罩，收到的全部是普通口罩后申请退货退款，货已返回但商家拒收。现在客服不回复也不接电话,2021/8/25,https://tousu.sina.com.cn/complaint/view/17354613571/,已回复
卖假货的,拼多多客户服务,赔偿,市面上没有零到三岁口罩执行标准 没有任何人能造出来 市面上 任何人都不能制造出来 所以没有0-3口罩执行标准 所以他是假货,2021/8/24,https://tousu.sina.com.cn/complaint/view/17354609841/,处理中
让悟空保下家,悟空保,"停止骚扰,道歉赔偿/解释,处罚,下架产品",在不知情的情况下，进地铁站领口罩就弹出一元的保险信息，我以为一元是口罩钱，然后次月就扣我一百元，现在微信都这样，等于抢钱吗,2021/8/14,https://tousu.sina.com.cn/complaint/view/17354448064/,已完成
假的奥运口罩,阿里客服,"退款,道歉,作出处罚",卖假货，每次申请退款就一直拖着，第三天拒绝，隔了好久好不容易同意退货了，然后我快递已经发出到了商家那边！商家拒绝了，说我数量不对，数量根本没问题，然后隔了两天客服打电话说不能作为假冒品牌同意您的退货，等两天快递自动退回到我这里,2021/9/6,https://tousu.sina.com.cn/complaint/view/17354814539/,处理中
有赞精选卖假冒伪劣产品,有赞服务指南,赔偿,我在2021年8月25号时候在有赞精选app买了一个名为标题的奥运会同款口罩，是假货，北京朋来制药有限公司奥运会口罩制造商和新闻辟谣在线上线下出售的奥运会同款口罩均为假冒伪劣商品，国旗法商标，奥林匹克商标。 我需要有赞精选app赔偿我的损失,2021/8/27,https://tousu.sina.com.cn/complaint/view/17354658188/,已回复
买的是立体白色口罩，发的是普通蓝色口罩,快手小客服,"退款,赔偿,道歉,解释,退货",店家发的货与图片毫不相干。卖货客服不负责任，店家不付退货运费的责任,2021/8/13,https://tousu.sina.com.cn/complaint/view/17354432017/,已完成
防疫政策下向疫情地区发送破损口罩并且不予处理,阿里健康,"退款,赔偿,道歉","①事情起因:我在天猫商城购买了10只装口罩,共买了20包,回来拆开后,发现有七包口罩已经打开过了,其它的有不同程度的开口 ②事情经过:我联系过了商家,商家打太极,拖延处理,最后只给补偿部分,典型的商家问题,用户买单,并且我看商品评价,发现有存在店大欺客的现象 ③投诉原因:一个是维护自己的权益不受损害,更多的还是因为愤怒,...",2021/8/17,https://tousu.sina.com.cn/complaint/view/17354484740/,处理中
京东袋鼠医生买的口罩发黄，无法使用,京东客服,"退款,赔偿",在京东袋鼠医生买的口罩，回来之后口罩内侧发黄，一包里面10个，几乎一般都是发黄无法使用。疫情期间大家都在家隔离封闭区快递无法发货，店家不承认质量问题要求必须退货才可以退款。疫情期间袋鼠医生卖这种以次充好有质量问题的口罩，口罩包装上连个执行标准都没有，客服态度恶劣。,2021/8/16,https://tousu.sina.com.cn/complaint/view/17354478376/,已完成
