	日期	事件标题	区域	消费品名称	涉及的消费品数量	伤害事件	消费品一级类别	消费品二级类别	链接	伤害类型	严重程度	消费品危害类型	消费品一级危害类型	消费品二级危害类型	消费者年龄	消费者受教育程度	消费者职业	健康状况	消费品问题部件	尺寸	绳索及类似物	不透气	填充物	锐利边缘	部件空隙或开口	尖角	光滑表面	粗糙表面	小零件	昼夜	温度	湿度	海拔	稳定性	腐蚀性	速度	腐蚀物	坎坷	爬坡	下坡	地面摩擦	斜坡	楼梯	灰尘	静电	辐射	警示标识缺失	高温表面	高温液体	高温气体	低温表面	低温液体	低温气体	明火	[高低]电压	过热	漏电	短路	接触不良	铁芯发热	散热不良	稳定性噪音危害	变动性噪音危害	脉冲性噪音危害	爆炸性气体	爆炸性粉尘	爆炸性喷雾	聚合爆炸	蒸发爆炸	液体混合爆炸	爆炸性化合物	固体爆炸性物质	爆炸性气体	旋转部件牵扯	飞行物体撞击	移动部件挤压	机械稳定性	机械强度	弹性组件失控	压力空间失控	热辐射危害	激光辐射	紫外线辐射	X光线辐射	高频电磁辐射	低频电磁辐射	甲醛	乙醛	丙烯醛	其它有毒醛类	蒽类化合物	菲类化合物	芘类化合物	其它有毒芳香稠环类化合物类	N-杂环化合物	S-杂环化合物	O-杂环化合物	其它有毒杂环类化合物	有机氟化物	有机氯化物	有机溴化物	其它有毒有机氯化物	一氧化氮	一氧化碳	氯气	臭氧	氯化氢	硫化氢	其它有毒气体	砷	镉	铬	铜	汞	镍	铅	其它有毒重金属及其化合物	硫酸	盐酸	氢氧化钠	其它有毒酸碱类物	氢氰酸	氰化钾	氰化氢	其它无机氰化物	尘螨	蛔虫卵	绦虫卵	其它寄生虫危害	甲肝病毒	甲型流感病毒	轮状病毒	禽流感病毒	其它原生微生物危害	皮肤癣真菌	着色真菌	孢子丝菌	新生隐球菌	假丝酵母菌	曲霉	毛霉	卡氏肺孢菌	其它真核细胞微生物危害	大肠杆菌	沙门氏菌	副溶血性弧菌	金黄色葡萄球菌	腊样芽孢肝菌	其它原核细胞微生物危害
10	2021-09-04	我要求平台退款	空	手机优化大师	1	手机优化大师未经过我本人同意，私自在我绑定的银行卡里扣了两次268元	信息技术产品	空	https://tousu.sina.com.cn/complaint/view/17354781132/	空	0	空	空	空	空	空	空	空	空	空	无	否	无	无	无	无	否	否	空	空	空	空	空	是	否	空	无	无	无	无	空	否	否	否	否	否	否	无	无	无	无	无	无	无	否	否	否	否	否	否	否	无	无	无	否	无	无	无	无	无	无	无	否	否	否	否	是	否	否	否	否	无	无	无	否	否	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无
11	2021-09-04	手机优化大师	空	空	1	没有下载过这个软件，恶意捆绑下载，恶意扣费	空	空	https://tousu.sina.com.cn/complaint/view/17354781741/	空	0	空	空	空	空	空	空	空	空	空	无	否	无	无	无	无	否	否	空	空	空	空	空	是	否	空	无	无	无	无	空	否	否	否	否	否	否	无	无	无	无	无	无	无	否	否	否	否	否	否	否	无	无	无	否	无	无	无	无	无	无	无	否	否	否	否	是	否	否	否	否	无	无	无	否	否	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无
12	2021-09-04	手机优化大师这个软件存在欺诈行为，进行扣费	空	手机优化大师	1	因为家人都使用了苹果手机，我的父亲年龄也比较大，不小心误点了手机优化大师免费试用，但是试用试用期后他们默认进行会员续费，但是偏偏给默认的续费是金钱数额最大的一个选项，9月4日下午两点半在我毫不知情的轻快下对我进行了会员续期扣费，我这才发现，希望平台给处理这笔交易，我的意愿是给我取消这个交易，进行退...	信息技术产品	空	https://tousu.sina.com.cn/complaint/view/17354784055/	空	0	空	空	空	空	空	空	空	空	空	无	否	无	无	无	无	否	否	空	白天	空	空	空	是	否	空	无	无	无	无	空	否	否	否	否	否	否	无	无	无	无	无	无	无	否	否	否	否	否	否	否	无	无	无	否	无	无	无	无	无	无	无	否	否	否	否	是	否	否	否	否	无	无	无	否	否	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无
13	2021-09-07	手机优化大师，在我不知道的时候扣除了我268元钱，我要求退款	空	空	1	你们不能这样做人，如果不赶紧退款，我会一直投诉你们	空	空	https://tousu.sina.com.cn/complaint/view/17354831861/	空	0	空	空	空	空	空	空	空	空	空	无	否	无	无	无	无	否	否	空	空	空	空	空	是	否	空	无	无	无	无	空	否	否	否	否	否	否	无	无	无	无	无	无	无	否	否	否	否	否	否	否	无	无	无	否	无	无	无	无	无	无	无	否	否	否	否	是	否	否	否	否	无	无	无	否	否	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无
14	2021-08-26	下载后没用，几天后就卸载了，自己也没按订阅，就自动扣费了。	空	空	1	下载后没用，几天后就卸载了，自己也没按订阅，就自动扣费了。	空	空	https://tousu.sina.com.cn/complaint/view/17354642401/	空	0	空	空	空	空	空	空	空	空	空	无	否	无	无	无	无	否	否	空	空	空	空	空	是	否	空	无	无	无	无	空	否	否	否	否	否	否	无	无	无	无	无	无	无	否	否	否	否	否	否	否	无	无	无	否	无	无	无	无	无	无	无	否	否	否	否	是	否	否	否	否	无	无	无	否	否	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无
15	2021-08-23	不明扣费	空	空	1	我父亲不会下载任何软件的人，在5.23号被莫名扣了298，在8.23二次扣费时他才反应过来，需要你们给出一个合理解释	空	空	https://tousu.sina.com.cn/complaint/view/17354583160/	空	0	空	空	空	空	空	空	空	空	空	无	否	无	无	无	无	否	否	空	空	空	空	空	是	否	空	无	无	无	无	空	否	否	否	否	否	否	无	无	无	无	无	无	无	否	否	否	否	否	否	否	无	无	无	否	无	无	无	无	无	无	无	否	否	否	否	是	否	否	否	否	无	无	无	否	否	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无
16	2021-09-15	手机优化大师-相册优化管家，恶意收费	空	空	1	下载后并没有特意去订阅，莫名其妙收到扣款通知	空	空	https://tousu.sina.com.cn/complaint/view/17354952515/	空	0	空	空	空	空	空	空	空	空	空	无	否	无	无	无	无	否	否	空	空	空	空	空	是	否	空	无	无	无	无	空	否	否	否	否	否	否	无	无	无	无	无	无	无	否	否	否	否	否	否	否	无	无	无	否	无	无	无	无	无	无	无	否	否	否	否	是	否	否	否	否	无	无	无	否	否	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无
17	2021-09-15	我要退款	空	空	1	不知道客服咋联系 在网上查的有这个软件 所以下了这个希望有用	空	空	https://tousu.sina.com.cn/complaint/view/17354955929/	空	0	空	空	空	空	空	空	空	空	空	无	否	无	无	无	无	否	否	空	空	空	空	空	是	否	空	无	无	无	无	空	否	否	否	否	否	否	无	无	无	无	无	无	无	否	否	否	否	否	否	否	无	无	无	否	无	无	无	无	无	无	无	否	否	否	否	是	否	否	否	否	无	无	无	否	否	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无
18	2021-09-09	扣款订单详情是手机优化大师软件	空	手机优化大师	1	这款手机优化大师软件扣款实际和他详情描述不符，都是乱扣用户费用，我们要求他退款，快点退款，不然我天天投诉	信息技术产品	空	https://tousu.sina.com.cn/complaint/view/17354856150/	空	0	空	空	空	空	空	空	空	空	空	无	否	无	无	无	无	否	否	空	空	空	空	空	是	否	空	无	无	无	无	空	否	否	否	否	否	否	无	无	无	无	无	无	无	否	否	否	否	否	否	否	无	无	无	否	无	无	无	无	无	无	无	否	否	否	否	是	否	否	否	否	无	无	无	否	否	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无
19	2021-09-10	骗子公司	空	空	1	优化大师有欺诈乱收费、完全是不知道的情况下扣费呀、大骗子公司、严查无良心商家	空	空	https://tousu.sina.com.cn/complaint/view/17354883009/	空	0	空	空	空	空	空	空	空	空	空	无	否	无	无	无	无	否	否	空	空	空	空	空	是	否	空	无	无	无	无	空	否	否	否	否	否	否	无	无	无	无	无	无	无	否	否	否	否	否	否	否	无	无	无	否	无	无	无	无	无	无	无	否	否	否	否	是	否	否	否	否	无	无	无	否	否	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无
20	2021-09-12	未下载手机优化大师却自动扣费	空	手机优化大师	1	本人使用苹果手机未安装手机优化大师，昨夜忽然显示购买手机优化大师季度会员并自动扣费268元，十分困惑并气愤，希望商家可以原款退回。	信息技术产品	空	https://tousu.sina.com.cn/complaint/view/17354902000/	空	0	空	空	空	空	空	空	空	空	空	无	否	无	无	无	无	否	否	空	夜间	空	空	空	是	否	空	无	无	无	无	空	否	否	否	否	否	否	无	无	无	无	无	无	无	否	否	否	否	否	否	否	无	无	无	否	无	无	无	无	无	无	无	否	否	否	否	是	否	否	否	否	无	无	无	否	否	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无
21	2021-09-16	下载之前写着三天试用再收费 实则订阅了就收费 也没有大字体明说怎么回事	空	空	1	三天试用订阅就收费 也没有具体说明 哄骗消费者	空	空	https://tousu.sina.com.cn/complaint/view/17354977145/	空	0	空	空	空	空	空	空	空	空	空	无	否	无	无	无	无	否	否	空	空	空	空	空	是	否	空	无	无	无	无	空	否	否	否	否	否	否	无	无	无	无	无	无	无	否	否	否	否	否	否	否	无	无	无	否	无	无	无	无	无	无	无	否	否	否	否	是	否	否	否	否	无	无	无	否	否	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无
22	2021-08-14	手机中框裂了其他地方完好无损不给保修	空	空	1	手机其他地方完好无损一点损伤没有中框裂了在保不给我保修	空	空	https://tousu.sina.com.cn/complaint/view/17354442187/	空	0	空	空	空	空	空	空	空	空	空	无	否	无	无	无	无	否	否	空	空	空	空	空	是	否	空	无	无	无	无	空	否	否	否	否	否	否	无	无	无	无	无	无	无	否	否	否	否	否	否	否	无	无	无	否	无	无	无	无	无	无	无	否	否	否	否	是	否	否	否	否	无	无	无	否	否	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无
23	2021-08-14	淘宝真我手机官方旗舰店真我大师探索版疑似翻新机	空	空	1	手机于2021年8月11日发现2020年2月13日的视频。手机于2021年7月28日收到并激活，但手机的激活日期正好为8月11日，疑似翻新机。联系了真我官方客服专员，他们并没有合理的解释，一再强调是账号同步问题，本人于7月28日第一次注册真我账号，手机号用了四五年，且前两年（包括2020年）用的都是华为，不可能存在账号同步的问...	空	空	https://tousu.sina.com.cn/complaint/view/17354441439/	空	0	空	空	空	空	空	空	空	空	空	无	否	无	无	无	无	否	否	空	空	空	空	空	是	否	空	无	无	无	无	空	否	否	否	否	否	否	无	无	无	无	无	无	无	否	否	否	否	否	否	否	无	无	无	否	无	无	无	无	无	无	无	否	否	否	否	是	否	否	否	否	无	无	无	否	否	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无
24	2021-08-13	realme售后无法完成其所承诺的服务	空	e 	1	本人于今年1.8日在京东REALME真我官方旗舰店购买一部realme x7pro，经官网查询得知真我手机可在当地oppo售后中心进行售后或保养，于是在今年8.12日前往本地oppo售后中心进行免费贴膜（真我官网承诺一年可以免费进行4次手机贴膜），但是当到达oppo售后中心后，却被工作人员告知无法进行免费贴膜，只能付费，我认为这构成...	交通工具及相关产品	空	https://tousu.sina.com.cn/complaint/view/17354427596/	空	0	空	空	空	空	空	空	空	空	空	无	否	无	无	无	无	否	否	空	空	空	空	空	是	否	空	无	无	无	无	空	否	否	否	否	否	否	无	无	无	无	无	无	无	否	否	否	否	否	否	否	无	无	无	否	无	无	无	无	无	无	无	否	否	否	否	是	否	否	否	否	无	无	无	否	否	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无
25	2021-08-23	我的手机因充不了电在realme官网寄修但至今已过了10天还未寄回至今下落不明。	空	空	1	本人于8月13日由顺丰寄出手机，据顺丰显示其维修人员唐翔已于8月14日签收。等到8月15日1629其发来消息表示我的手机RMX3142已经维修完成并给出寄回单号SF1320680523***，但经本人查询也过问了顺丰客服此单号详细信息为空白。此后几日我都有询问过客服但都未得到准确的答复。于8月18日客服打电话给我说因我要求等我联系他...	空	空	https://tousu.sina.com.cn/complaint/view/17354581865/	空	0	空	空	空	空	空	空	空	空	空	无	否	无	无	无	无	否	否	空	空	空	空	空	是	否	空	无	无	无	无	空	否	否	否	否	否	否	无	无	无	无	无	无	无	否	否	否	否	否	否	否	无	无	无	否	无	无	无	无	无	无	无	否	否	否	否	是	否	否	否	否	无	无	无	否	否	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无
26	2021-08-24	手机清理大师乱扣费，扣了348在我不清楚的情况下扣的，又没有道德	空	手机清理大师	1	手机清理大师乱扣费，还是在我不清楚的情况下扣的，请给退款，谢谢	信息技术产品	空	https://tousu.sina.com.cn/complaint/view/17354595710/	空	0	空	空	空	空	空	空	空	空	空	无	否	无	无	无	无	否	否	空	空	空	空	空	是	否	空	无	无	无	无	空	否	否	否	否	否	否	无	无	无	无	无	无	无	否	否	否	否	否	否	否	无	无	无	否	无	无	无	无	无	无	无	否	否	否	否	是	否	否	否	否	无	无	无	否	否	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无
27	2021-08-22	系统更新问题	空	空	1	x50pro系统长时间不更新，询问客服也是会催促的，然后每次都没有结果。	空	空	https://tousu.sina.com.cn/complaint/view/17354568749/	空	0	空	空	空	空	空	空	空	空	空	无	否	无	无	无	无	否	否	空	空	空	空	空	是	否	空	无	无	无	无	空	否	否	否	否	否	否	无	无	无	无	无	无	无	否	否	否	否	否	否	否	无	无	无	否	无	无	无	无	无	无	无	否	否	否	否	是	否	否	否	否	无	无	无	否	否	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无
