序号,事件标题,日期,链接,数据来源,投诉对象,投诉要求,投诉内容,投诉进度
25,电动座椅打不开 客服承诺报销费用 要求报销118元 以及赔偿100元,2021-10-19,https://tousu.sina.com.cn/complaint/view/17355495533/,投诉,小刀电动车官方,"赔偿解释,道歉,费用赔偿",在小刀骑行旗舰店购买的电动车48V12A 3C 拼装轮胎后发现座椅打不开，联系客服发视频说要我捅一下就开了，我试了两天，然后实在打不开，客服承诺报销费用，我说可以，叫师傅维修，打开后发现，里面的钢丝绳是脱落的，根本就不符合出厂质检的标准，对我造成了时间上和精神上的损失，要求商家报销118元费用 同时补偿100元,处理中
26,新日电动车断电问题,2021-10-21,https://tousu.sina.com.cn/complaint/view/17355517765/,投诉,新日电动车,退款,充满电，骑行不到2公里，5格电掉到0，反复重启又恢复一点，反复重启再骑。已送新日维修2次仍然没办法解决，希望退货,处理中
27,虚假宣传，偷梁换柱，问题车,2021-10-06,https://tousu.sina.com.cn/complaint/view/17355290116/,投诉,绿源电动车,"赔偿解释,改善服务,维修",2021年5月11日晚购买，看的是小龟王那款，店主推荐的是48v 24a 400瓦电机这款，骑了3天，跟老板反馈动力太小，老板答复国标车就是这样。还有就是这个零时支架松动，造成翻车。左边车把中控喇叭接触不良，维修要收80，昨天400客服说可以免费修，今天的400客服跟店主一样，以各种理由拒绝维修。我们现在跟爱玛合作的同款电...,已完成
28,京东小刀售后不作为，让消费者自己解决问题，赔付金额也不到位,2021-10-30,https://tousu.sina.com.cn/complaint/view/17355654942/,投诉,小刀电动车官方,赔偿解释,去年双十一在京东买的小刀电动，今年10月底突然不能用了，找客服，客服让用充电器做了一个实验，最后告诉我说应该是电池坏了，让我换电池，结果小刀自己不给我换，让我直接找电池厂家换电池，我的钱是给了小刀，不是给电池厂家，不过我也去了，拎着很重的电池自费去了很偏僻的电池厂家售后，换了电池，结果电池装上以后...,处理中
29,保险已经理赔成功，台铃拒不赔偿,2021-10-28,https://tousu.sina.com.cn/complaint/view/17355620578/,投诉,台铃电动车,费用赔偿,今年有在台铃购买了一辆电动车并且购买了台铃的保险，7月车被盗后，通过理赔程序，保险已经受理并通过了理赔申请，但是台铃原门店已经破产，无法通过原店铺自提车辆，保险公司有反馈给台铃总部更换门店，每周打一个电话催促保险通知厂家，从国庆前反馈到月底依旧没有台铃官方的人联系和反馈，希望台铃官方能积极回应,处理中
30,扫的风雨同行智慧出行的电动车，还没到，车子没电了，我还推在指定地点，额外扣30元,2021-10-28,https://tousu.sina.com.cn/complaint/view/17355615582/,投诉,风雨同行扫码电动车,退款,今天从民族大道上扫了一转电动车（风雨同行智慧出行）骑到龙城路车子断电了，我就按照地图上的归还点推了蛮远，其间一直在计费，到了指定地点我点了还车，扣除车费外还额外扣了30元，太不公平了,待分配
31,电动车买了4个月左右，实测上路公里数和商家提供续航里程不一样,2021-10-22,https://tousu.sina.com.cn/complaint/view/17355529690/,投诉,爱玛电动车,"赔偿解释,道歉,改善服务",在5月份的时候，在菏泽市鄄城县买了一辆爱玛爱度电动车，当时说的续航里程是在45-50km，后期也咨询了官方，正常续航就是这些，在8月份的时候，充满电跑完，发现只跑了32km，当时就觉得有问题，因为是我自己骑的，再加上天气还是在热的时候，电池是巅峰状态，所以在十月份的时候就放到店里提出帮忙检测一下电池有没有问题...,已回复
32,扫的风雨同行智慧出行的电动车，还没到，车子没电了，我还推在指定地点，额外扣30元,2021-10-28,https://tousu.sina.com.cn/complaint/view/17355615582/,投诉,风雨同行扫码电动车,退款,今天从民族大道上扫了一转电动车（风雨同行智慧出行）骑到龙城路车子断电了，我就按照地图上的归还点推了蛮远，其间一直在计费，到了指定地点我点了还车，扣除车费外还额外扣了30元，太不公平了,待分配
33,绿源电动车启动连续三次自费维修，故障依然不断,2021-10-27,https://tousu.sina.com.cn/complaint/view/17355611739/,投诉,绿源电动车,"召回,维修",在杭州购买绿源电动车中高端车型V5型号，不到一年时间，一键启动坏了，自己联系绿源售后购买配件进行了更换，现在一键启动又坏了，在绿源官方旗舰店找不到配件，让我联系现场实体店，我又联系绿源实体店，到现场后告之没有配件，也维修不了，因为没电了我推回家，绿源号称有一键求援，30分钟响应，24小时救援，我申请了...,已回复
34,台铃电单车电机故障，保修卡说保修24个月，门店说12个月。欺诈消费者。,2021-11-02,https://tousu.sina.com.cn/complaint/view/17355709198/,投诉,台铃电动车,"维修,延保",我于2020年8月30在布吉台铃专卖店买了一台电单车，型号是TDTC68Z。11月2日下班骑行中电机故障。我到专卖店处，他们说已过保，维修要400。我看车子说明书上说的电机保修24个月，而购车发票才12个月，明显的欺诈消费者。电机故障是质量问题并非人为，保修期也搞欺诈。,处理中
35,商家虚假宣传欺诈顾客，电动车车问题后推卸责任具体售后。,2021-09-30,https://tousu.sina.com.cn/complaint/view/17355207942/,投诉,新日电动车,"道歉,费用赔偿,召回,维修,退款,延保",1、电动车电池宣传可续航45公里，但实际也只能跑20来公里，差距太大，商家推诿说受冬天影响，就算是受天气影响，这差的也太多了。 2、电动车质量出问题了，先是各种拖延不给解决售后问题，后接口说超一年拒绝售后，欺骗客户不给售后，大势宣传的质保3年，寿命保5年，欺诈客户。,处理中
36,新日电动车标明一周内无理由退货，结果店家不给退,2021-09-29,https://tousu.sina.com.cn/complaint/view/17355192365/,投诉,新日电动车,"赔偿解释,退款",在新日电动车买了个电动车，第二天早晨骑回家发现家门口的一个小坡根本上不去，找他退货他说退不了，后面协商了说是换一个，他说当天下午就能到，下午去找他他又说得等几天，跟它协商说退货那店员态度特别强硬，直接说不能退款，但是它们墙上贴着一周无理由退货，现在又不给退把消费者逗着玩呢,处理中
37,车子钥匙接触不良，车子链条不动,2021-10-11,https://tousu.sina.com.cn/complaint/view/17355359623/,投诉,新日电动车,"赔偿解释,道歉,改善服务,维修,延保",商家态度恶劣，服务态度奇差无比，车子售后就不管了，说要拆链条，既然不要链条的那车子原本要安装链条干嘛呢,处理中
38,京东新日官方旗舰店虚假宣传,2021-10-08,https://tousu.sina.com.cn/complaint/view/17355315560/,投诉,新日电动车,"赔偿解释,道歉,改善服务",我在京东新日电动车官方旗舰店，买了一辆电动车，型号是GF6，宣传的是支持快充，和京东新日客服确实支持快充要另外快充充电器，车子到手后我要买快充充电器了，但是他们一直说他们店没有快充充电器配件，让我去新日官方和线下门店问问，我去了线下没有买到 ，我又问了新日官方客服，官方那边告诉我GF6车子不支持快充所以...,处理中
39,爱玛电动车（兰雁大道店）,2021-10-07,https://tousu.sina.com.cn/complaint/view/17355306798/,投诉,爱玛电动车,"道歉,改善服务,解释,守候态度太差",一个小毛病 让等了一个小时 早就去排队了 已老板说法 先修挣钱的 让我们等着 我想不应该按排队先后来吗？,已完成
40,京东绿源电动车官方旗舰店第一名返现附加不合理规则,2021-10-14,https://tousu.sina.com.cn/complaint/view/17355417787/,投诉,绿源电动车,"退款,原价退款/恢复活动",10月3日在京东绿源电动车官方旗舰店下单一辆电瓶车，当天有第一名下单返1000元的活动，特意提前咨询客服怎么参与活动，只告知第一名返1000元，并不详细说明活动规则，实际上附加了好几条规则，特别是付款0-3秒订单直接取消活动资格，直接导致我的订单不仅不参加返现活动，赠品都没有，公布活动名单客服直接回复0-3秒订单...,已回复
41,配件损坏要求更换,2021-10-24,https://tousu.sina.com.cn/complaint/view/17355565619/,投诉,新日电动车,更换配件,购买一个多月配件损坏，维修后影响外观并存在安全隐患,处理中
42,小刀店里买的威橙的充电器坏了不给修,2021-10-25,https://tousu.sina.com.cn/complaint/view/17355582771/,投诉,小刀电动车官方,"道歉,费用赔偿,退款",前几个月买的坏了不给修说不是他家的我买完一个小时内都拍了照片的他说不是他家的说我的充电器被换过的我一直都在用他说被换过咋可能他说你看后面的日期18年的我我我说你们给的时候就是这样的反正他就是不认账我没办法就再买了一个我还要充电的我给你们发图片看下18年的谁的这样新 地址是张家港市德积镇护草港布丁酒店马...,处理中
43,绿源电动车虚假宣传，续航问题，电瓶问题不给更换,2021-10-20,https://tousu.sina.com.cn/complaint/view/17355502263/,投诉,绿源电动车,"赔偿解释,费用赔偿,退款",3690元在绿源购买了电动车，不到4个月30公里都跑不了，找到店家，店子以检测为由不给更换电瓶，也不给解决办法，态度恶劣。,已回复
44,购买爱玛电动车盗抢险，车辆被盗后多次拒绝理赔,2021-10-27,https://tousu.sina.com.cn/complaint/view/17355601785/,投诉,爱玛电动车,"赔偿解释,道歉,费用赔偿",今年七月份购买爱玛电动车，并且购买了他们推销的自身公司的保险。后来车辆被盗，已经报警并且公安机关立案。该公司多次以材料为理由驳回申请。客服承诺的开具相关材料实现理赔，电话询问后，告知我政策改了，态度极其恶劣。公安机关开具所有手续后，理赔直接一直拖延显示审核。,处理中
45,买车时不让试骑直接安装电瓶，车子轴承出现问题不调换不维修让磨合，车子没有减震效果,2021-10-27,https://tousu.sina.com.cn/complaint/view/17355565174/,投诉,爱玛电动车,"退款,赔偿,作出处罚,退货,换货",买车时不让试骑直接安装电瓶，车子轴承出现问题不调换不维修让磨合；车子没有减震效果，几次强调都没有得到明确答复，处理方式就是放车气。,处理中
46,新买绿源旗舰店电动车锂电池出现裂痕官方不处理,2021-10-03,https://tousu.sina.com.cn/complaint/view/17355249178/,投诉,绿源电动车,"费用赔偿,退款,换新",九月十三号购买冲过一回电，6小时不敢冲满！十月三号半路显示屏熄灭，可能没电推回家后提起电池发现电池出现裂痕 这是明显质量问题，厂里选择发外壳让我自己找维修店处理？？这太危险完全不把安全当回事,已回复
47,台铃电动车售后慢,2021-10-01,https://tousu.sina.com.cn/complaint/view/17355219378/,投诉,台铃电动车,维修,我于今年9 月28日到台铃电动车售后要维修电动车，当时的一个师傅说需要另外一个修车师傅拿配件来，到了之后联系我。我就留下电话号码等着联系我。到第二天也没联系，我就到售后问了一下，对方说那个师傅还没来，来了就联系你，你先回去吧。到现在过了三天了，都没有人联系我说维修。,处理中
48,商家提供的合格证与电动车外观不符,2021-09-29,https://tousu.sina.com.cn/complaint/view/17355183852/,投诉,台铃电动车,"费用赔偿,退款",由于近日我地方交警部门要求电动车绿牌的要上正式牌照（黄牌或蓝牌），于是要求广大电动车主收集齐全车辆相关资料到车管所更换牌照，我就拿了我台铃电动车的资料和骑着电动车去车管所，结果车管所扫描我合格证上的二维码发现显示出来的车辆与我实际的车辆外观不一致，交警叔叔告诉我这个合格证是假的。联想起之前买车的...,已回复
49,绿源速充乱扣费,2021-09-28,https://tousu.sina.com.cn/complaint/view/17355165696/,投诉,绿源电动车,退款,绿源速充乱扣费从8月一号开始每月扣费25元我根本没用过车,已完成
50,台铃v30广告宣传能连接app但实际购买车辆没有这一功能，要求提供这一功能,2021-10-18,https://tousu.sina.com.cn/complaint/view/17355470573/,投诉,台铃电动车,提供应有的设备功能,"我于国庆节期间在广州花都花城路台铃店以旧换新购买台铃v30电动车,台铃官网宣传能连接app，因相信其宣传 在实体店购买后电动车有点故障所以未在店绑定。回去后想根据操作连接却发现没有此功能，与广告宣传不符。",处理中
51,电瓶车外壳无故严重损裂,2021-10-20,https://tousu.sina.com.cn/complaint/view/17355501619/,投诉,爱玛电动车,"赔偿解释,维修,延保",2020年11月8号购买爱玛电动车，在今年9月初份发现电瓶车外壳严重裂痕，车轮上面的外壳盖，车身多处裂缝；找了店铺卖家一直说解决但到10月20号未有任何回应，投诉到爱玛官方客服也一直未回应，现在车身裂缝越来越严重,处理中
52,绿源电动车有问题不维修不理人,2021-10-17,https://tousu.sina.com.cn/complaint/view/17355455283/,投诉,绿源电动车,换新或退款,我7.31号买车，南京还是疫情刚刚好转的时间准备买个车留着上班，买了inno7，说是可以用手机APP开关电，只到了9.22号APP就用不了了，一直让我打电话，一直到现在10.15没人和我联系，打了电话客服说有人给我处理好了。但是现在既没人给我打电话处理，我APP也用不了，就让我一直等，还在保修期内。客服也爱理不理的不处理事...,已回复
53,爱玛电动车电池质保问题存在问题,2021-10-13,https://tousu.sina.com.cn/complaint/view/17355396916/,投诉,爱玛电动车,"赔偿解释,延保",于2019年9月份买的，去年有出现过电池充不满，骑一会儿就没电有反应过，但因为疫情没有过去，今年又出现过这种情况，过去检测，说电池坏了，电池膨胀，今天说因为充爆，反正各种说法，问正常充一次需要多久，刚刚开始都不正面回答 购买电动车的时候经销商那边的销售员也没交代怎么保养电池，注意安全事项等等 而且当初说...,已回复
54,刚买一周出现问题。电动车电池虚标，伪劣。要求售后电池无法物流。存在套路消费者。,2021-10-24,https://tousu.sina.com.cn/complaint/view/17355557655/,投诉,上海凤凰电动车,"退款,赔偿,作出处罚",购买电动车起了两次就坏了，检查为电池伪劣。商家通过客户无法退回电池套路消费者,处理中
55,爱玛官方售后恶意不执行三包法,2021-10-20,https://tousu.sina.com.cn/complaint/view/17355511610/,投诉,爱玛电动车,按照三包凭证执行,本人父亲于2020年2月22日在茂名市茂南区爱玛电动车加盟店购买了一辆爱玛电动车，该车于2021年10月19日行车过程中突然断电，经维修人员检测判断为电池问题。于是本人于2021年10月20日前往茂名市鳌头镇爱玛加盟店，但是该店工作人员咨询了爱玛官方售后客服以及他们的领导后，告知我们该车电池已经过保，三包期起止日期为电...,处理中
56,虚假宣传,2021-10-23,https://tousu.sina.com.cn/complaint/view/17355544323/,投诉,绿源电动车,"赔偿,修改宣传内容",宣传页上说该品牌绿源电动车续航高达80公里，实际充满电只能跑40多公里，要求该商家赔偿经济损失，并修改宣传,已回复
57,买车的时候承诺三年内可换新电池，现在又变成两年内，超过两年不换,2021-09-25,https://tousu.sina.com.cn/complaint/view/17355124958/,投诉,爱玛电动车,更换新的电动车电池,2019年8月5日去买车的时候店家承诺三年内可免费更换新的电池，两年一个月（2021年9月）的时候去换电池，店家说是两年内可以换电池，并且换的不是新的，是二次使用的电池，说之前卖车的口误了，说已经超过两年，没办法更换，拒不解决。有录音，店里老板承认，卖车的时候是承诺三年，但是当时说错了。,处理中
58,霸王条款保修期不保修,2021-10-24,https://tousu.sina.com.cn/complaint/view/17355562410/,投诉,爱玛电动车,维修,保修期内不保修。购买的电动车在保修期内因无法充电，到售后网点保修，被告知因为久不使用导致亏电不在保修范围内被要求自费更换电池。实际上保修条款里面明确不存电属于保修范围内，保修条款里面也没有告知亏电为排除项目。要求按照保修规定给予免费保修,处理中
59,爱玛电动车配件质量差且不保修，损害消费者权益,2021-10-10,https://tousu.sina.com.cn/complaint/view/17355349186/,投诉,爱玛电动车,"道歉,改善服务",爱玛电动车随车配置电瓶外壳质量太差，一个多月损坏，找客服投诉，既不保修也不改善,已回复
60,高端绿源电动车启动连续三次失灵，自费维修三次，现在第四次又又失灵，忍无可忍投诉,2021-10-29,https://tousu.sina.com.cn/complaint/view/17355633658/,投诉,绿源电动车,"召回,维修",在杭州购买绿源电动车中高端车型V5型号，不到一年时间，一键启动坏了，自己联系绿源售后购买配件进行了更换，不到半年一键启动又坏了，花费110官方维修好。现在又又不到半年又又坏了，在绿源官方旗舰店找不到配件，让我联系现场实体店，我又联系绿源实体店，到现场后告之没有配件，也维修不了，因为没电了我推回家，绿源...,已回复
61,买车的时候承诺三年内可换新电池，现在又变成两年内，超过两年不换,2021-09-25,https://tousu.sina.com.cn/complaint/view/17355124958/,投诉,爱玛电动车,更换新的电动车电池,2019年8月5日去买车的时候店家承诺三年内可免费更换新的电池，两年一个月（2021年9月）的时候去换电池，店家说是两年内可以换电池，并且换的不是新的，是二次使用的电池，说之前卖车的口误了，说已经超过两年，没办法更换，拒不解决。有录音，店里老板承认，卖车的时候是承诺三年，但是当时说错了。,处理中
62,绿源速充乱扣费,2021-09-28,https://tousu.sina.com.cn/complaint/view/17355165696/,投诉,绿源电动车,退款,绿源速充乱扣费从8月一号开始每月扣费25元我根本没用过车,已完成
63,电瓶车外壳无故严重损裂,2021-10-20,https://tousu.sina.com.cn/complaint/view/17355501619/,投诉,爱玛电动车,"赔偿解释,维修,延保",2020年11月8号购买爱玛电动车，在今年9月初份发现电瓶车外壳严重裂痕，车轮上面的外壳盖，车身多处裂缝；找了店铺卖家一直说解决但到10月20号未有任何回应，投诉到爱玛官方客服也一直未回应，现在车身裂缝越来越严重,处理中
64,绿源电动车有问题不维修不理人,2021-10-17,https://tousu.sina.com.cn/complaint/view/17355455283/,投诉,绿源电动车,换新或退款,我7.31号买车，南京还是疫情刚刚好转的时间准备买个车留着上班，买了inno7，说是可以用手机APP开关电，只到了9.22号APP就用不了了，一直让我打电话，一直到现在10.15没人和我联系，打了电话客服说有人给我处理好了。但是现在既没人给我打电话处理，我APP也用不了，就让我一直等，还在保修期内。客服也爱理不理的不处理事...,已回复
65,虚假宣传,2021-10-23,https://tousu.sina.com.cn/complaint/view/17355544323/,投诉,绿源电动车,"赔偿,修改宣传内容",宣传页上说该品牌绿源电动车续航高达80公里，实际充满电只能跑40多公里，要求该商家赔偿经济损失，并修改宣传,已回复
66,爱玛官方售后恶意不执行三包法,2021-10-20,https://tousu.sina.com.cn/complaint/view/17355511610/,投诉,爱玛电动车,按照三包凭证执行,本人父亲于2020年2月22日在茂名市茂南区爱玛电动车加盟店购买了一辆爱玛电动车，该车于2021年10月19日行车过程中突然断电，经维修人员检测判断为电池问题。于是本人于2021年10月20日前往茂名市鳌头镇爱玛加盟店，但是该店工作人员咨询了爱玛官方售后客服以及他们的领导后，告知我们该车电池已经过保，三包期起止日期为电...,处理中
67,爱玛电动车电池质保问题存在问题,2021-10-13,https://tousu.sina.com.cn/complaint/view/17355396916/,投诉,爱玛电动车,"赔偿解释,延保",于2019年9月份买的，去年有出现过电池充不满，骑一会儿就没电有反应过，但因为疫情没有过去，今年又出现过这种情况，过去检测，说电池坏了，电池膨胀，今天说因为充爆，反正各种说法，问正常充一次需要多久，刚刚开始都不正面回答 购买电动车的时候经销商那边的销售员也没交代怎么保养电池，注意安全事项等等 而且当初说...,已回复
68,爱玛电动车配件质量差且不保修，损害消费者权益,2021-10-10,https://tousu.sina.com.cn/complaint/view/17355349186/,投诉,爱玛电动车,"道歉,改善服务",爱玛电动车随车配置电瓶外壳质量太差，一个多月损坏，找客服投诉，既不保修也不改善,已回复
