序号,事件标题,日期,链接,数据来源,投诉对象,投诉要求,投诉内容,投诉进度
16,博世欺诈消费者，将坏旧机器作为新机器两次送上门，行为滑稽，服务态度恶劣，投诉无门,2021-08-26,https://tousu.sina.com.cn/complaint/view/17354642660/,投诉,博世家电,"取缔不良商家,退/换新机,改善服务,赔偿解释,延保",您好，本人投诉博世公司欺诈消费者，事情经过如下 1.本人于2021年8月18日于天猫“博世官方旗舰店”购入博世洗烘干一体滚筒全自动洗衣机 一台（型号Bosch/博世 WNA154U00W ） 2.物流配送于8.22日中午上门，送来机器后离开，当天本人联系博世客服要求上门安装，8.22下午博世售后派人安装，打开包装后，发现是坏的机器，...,处理中
17,维修师傅上门态度恶劣 反而修坏乱要价 客服不理睬,2021-09-22,https://tousu.sina.com.cn/complaint/view/17355064422/,投诉,啄木鸟家电,退款,9.19号在平台约了师傅上门维修床有异响 师傅把床垫掀开后，把床板垫框换了个面拧了几下螺丝就说收了200块。然后晚上发现换面后整个床一侧塌下去，自己还要去垫东西打电话叫他再来维修他说自己修不了，投诉客服之后，师傅又开始频繁拨打骚扰电话。客服反馈也一直用自动回复敷衍。,已完成
18,恶意收费，要求退款,2021-10-11,https://tousu.sina.com.cn/complaint/view/17355364097/,投诉,啄木鸟家电,维修,洗衣机滚筒不转动，说是启动器问题，其实就是电容之类出现问题，换一个只要20块钱左右。不到半个小时就修好了，却收了238.9元。打着维修的幌子骗钱，就算随便在外面找一个师傅修理加上上门费什么的80元顶天了。,已完成
19,啄木鸟维修，只换了1个20元的水阀，收价288，漫天要价。,2021-10-16,https://tousu.sina.com.cn/complaint/view/17355451800/,投诉,啄木鸟家电,"取缔不良商家,改善服务,赔偿解释",在美团看到啄木鸟维修，宣传的是大平台，价格透明，30起。家里有个洗菜盆的出水有点小，于是在啄木鸟维修下了单，维修师傅过来一看，把水龙头和水阀拆下来说需要水阀坏了，需要换，然后我问水阀多少钱，说材料费才20一个，人工费比较贵，修好要288.着急用就没纠结，但是这种收费真的是漫天要价，只换个水阀，不到10分钟...,已完成
20,啄木鸟家庭维修，维修员误判故障并对冰箱原部件进行损坏焊接，未将机器恢复原样,2021-09-19,https://tousu.sina.com.cn/complaint/view/17355028575/,投诉,啄木鸟家电,"赔偿,维修",冰箱故障是冷藏不制冷，噪音大，不停机。啄木鸟维修员没有检查出冰箱真正出现的问题，说是缺氟了，但是加氟后并没有让冰箱正常运行。且未告知我们会对原部件进行焊接，擅自对冰箱主要原件进行焊接，三次上门后没有能力解决问题。我们联系厂家维修，但因啄木鸟维修员对原部件进行多处焊接处理，导致在保范围内的原部件不...,已回复
21,乱收费，乱报价！,2021-09-16,https://tousu.sina.com.cn/complaint/view/17354967429/,投诉,啄木鸟家电,赔偿解释,我于9月5号，通过啄木鸟平台维修一台电饭锅，维修技师上门后拆开机器，检测报价主板586元配件费用，因为这个电饭锅不值这个主板价格我选择拒绝维修，我通过飞利浦售后得知这个产品价格150元，啄木鸟平台足足溢价3.9倍,已完成
22,卡萨帝冰箱用了不到一年冷藏温度38度降不下来,2021-09-24,https://tousu.sina.com.cn/complaint/view/17355105861/,投诉,卡萨帝高端家电,退/换新机,9月22号的晚上打开冰箱，发现放在冷藏室的可乐爆了，爆的整个冰箱都是可乐，很愕然为什么好端端的可乐放在冷藏会爆呢看了一下面板的温度显示冰箱温度是38度，然后还发现放在冰箱的饮料和水果都结了冰，之后马上联系销售网点派了售后上门检测，检测说是面板坏了要换，然后隔天来换了面板还是显示38度，售后说要拆机换传...,已完成
23,啄木鸟维修私自拿走配件不交回,2021-09-22,https://tousu.sina.com.cn/complaint/view/17355067627/,投诉,啄木鸟家电,"退款,赔偿,维修,配件交回",5月修的空调，维修费700元，6月初又出现故障了，说空调出现其他的故障，又加收了100元，没修好就拿回来，后来说拆配件回去配，到现在没有修好，配件也没拿回来。,处理中
24,工作人员虚开发票 玩忽职守,2021-10-12,https://tousu.sina.com.cn/complaint/view/17355383527/,投诉,啄木鸟家电,"道歉,改善服务,开发票",订单号2643138501818195*** 服务产品阳台防水补漏 投诉的具体内容负责对此工程开发票的郑州金水区部门主管（该工作人员自称）虚开发票，玩忽职守。 事情经过 一、2021年10月2日完成阳台防水补漏工程，价格3400元，足额支付。当场强调要尽快开发票，王师傅记下开发票的房东姓名和电话号码，说回去就可以开，让...,已完成
25,啄木鸟家电拿走家电5天，经手维修工失联，催促克服多次无果,2021-10-12,https://tousu.sina.com.cn/complaint/view/17355391064/,投诉,啄木鸟家电,"改善服务,赔偿解释,维修进度，尽快回复,立即回复",9月底预约啄木鸟家电维修电视，维修人员现场打开电视检查后说需要更换配件，三天后带配件上门维修时又以电视屏幕有问题需要带走电视维修，约三天可修好送回。至今六天过去，没有任何消息，经手维修工电话打不通，失联，催促客服多次无果，目前电视机在哪里维修进度怎么样，一无所知。希望得到详细回复，并尽快修好并送...,处理中
26,啄木鸟家庭维修师傅天价收费,2021-10-01,https://tousu.sina.com.cn/complaint/view/17355221013/,投诉,啄木鸟家电,"取缔不良商家,赔偿解释,退回多收费用",通淋浴房下水道，一瓶药水300元，用了7瓶跟我要了2100元，加100上门费，2200元我已经通过微信转账。因9月29日晚上11点家里有老小不想纠缠，且先生不在家，感觉自己与身高目测180cm的维修师傅较劲力量悬殊，所以先给了费用。30日上班咨询了单位法务，确认2200元不符合正常认知的通下水道收费标准，建议报警。后通过微信联...,已完成
27,胡乱收费，几十元的服务收520元,2021-09-29,https://tousu.sina.com.cn/complaint/view/17355188931/,投诉,啄木鸟家电,"改善服务,赔偿解释,延保",胡乱收费。几十元的服务收520元，客服置之不理。,处理中
28,维修费及材料费高于市场价太多,2021-10-06,https://tousu.sina.com.cn/complaint/view/17355289166/,投诉,啄木鸟家电,"退款,解释",本人于2021年10月6日通过美团找到啄木鸟家庭维修联系其上门维修马桶漏水问题。啄木鸟工程师上门后就指导进行了计价，整个过程中仅拧了一颗马桶跟水管的螺母以及水箱里的一颗大螺丝，而这就需要166元的人工费，进出水阀的材料费在该平台价格也虚高，需要130元一套，对比了同款的材料，五金店却只需要40块钱。特此投诉。同...,已完成
29,换了个空气开关，材料花钱买，换了手续费要189块钱！,2021-10-16,https://tousu.sina.com.cn/complaint/view/17355450935/,投诉,啄木鸟家电,赔偿解释,换空气开关操作费要189块钱，太贵了，接受不了,已回复
30,维修不成功。把我机器弄坏了,2021-10-14,https://tousu.sina.com.cn/complaint/view/17355421934/,投诉,啄木鸟家电,"退货退款,维修,赔偿解释",本人在8月7日在啄木鸟小程序上下单了一个电热水器维修。本身是因为沐浴头开关水压小才联系的上门维修，过来告知因为水管的走线什么不好，就算把电热水器水龙头开关修好了后期也是会出现同样问题，上门师傅说可以帮我们把根本问题解决，然后我才同意了花更多钱更改水路，可更改水路之后我电热水器就一直漏水，而且是越漏...,已回复
31,西门子进口洗碗机配件缺失,2021-09-30,https://tousu.sina.com.cn/complaint/view/17355200350/,投诉,西门子家电客户服务,"维修,改善服务",今年3月份更换的碗篮，使用不够五个月出现爆皮生锈的情况，申报西门子维修，却回复无法配备原厂配件，换了另一种不好用的碗篮给我，客服一直说原厂的配件已经不再生产，但是售卖中的新机器却能够继续沿用原厂配件，进口商品的配件供应问题暴露无遗。要求西门子提供原厂配件替换，维护消费者合法权益。,已回复
32,啄木鸟维修，只换了1个20元的水阀，收价288，漫天要价。,2021-10-16,https://tousu.sina.com.cn/complaint/view/17355451800/,投诉,啄木鸟家电,"取缔不良商家,改善服务,赔偿解释",在美团看到啄木鸟维修，宣传的是大平台，价格透明，30起。家里有个洗菜盆的出水有点小，于是在啄木鸟维修下了单，维修师傅过来一看，把水龙头和水阀拆下来说需要水阀坏了，需要换，然后我问水阀多少钱，说材料费才20一个，人工费比较贵，修好要288.着急用就没纠结，但是这种收费真的是漫天要价，只换个水阀，不到10分钟...,已完成
33,恶意收费，要求退款,2021-10-11,https://tousu.sina.com.cn/complaint/view/17355364097/,投诉,啄木鸟家电,维修,洗衣机滚筒不转动，说是启动器问题，其实就是电容之类出现问题，换一个只要20块钱左右。不到半个小时就修好了，却收了238.9元。打着维修的幌子骗钱，就算随便在外面找一个师傅修理加上上门费什么的80元顶天了。,已完成
34,云米互联网冰箱一年多系统瘫痪,2021-09-20,https://tousu.sina.com.cn/complaint/view/17355043979/,投诉,云米全屋互联网家电,"维修,改善服务",2020年3月14日线下渠道购买云米互联网冰箱21 Face，21年9月中旬系统崩溃了，冰箱是要用二十年的产品，老人的冰箱都超过二十年了，作为一个新时代的智能冰箱，如果软件系统这么不稳定，就不叫智能冰箱，就只是一个冰箱。一年就坏的软件系统，是智能还是给客户添麻烦呢客服上门要收费。作为一个智能冰箱，软件系统不稳...,已回复
35,购买一年四个月的冰箱门体油漆起泡脱落,2021-09-30,https://tousu.sina.com.cn/complaint/view/17355204289/,投诉,云米全屋互联网家电,维修,近期在使用冰箱里突然发现门框边沿油漆有起泡掉漆的现象，联系云米客服回复我说是正常磨损，后又以过保为由拒绝。请问怎样的磨损是可以让油漆起泡脱落的这难道不是质量问题吗我希望云米方能承认其冰箱质量问题，提供免费维修。,已回复
36,维修师傅上门态度恶劣 反而修坏乱要价 客服不理睬,2021-09-22,https://tousu.sina.com.cn/complaint/view/17355064422/,投诉,啄木鸟家电,退款,9.19号在平台约了师傅上门维修床有异响 师傅把床垫掀开后，把床板垫框换了个面拧了几下螺丝就说收了200块。然后晚上发现换面后整个床一侧塌下去，自己还要去垫东西打电话叫他再来维修他说自己修不了，投诉客服之后，师傅又开始频繁拨打骚扰电话。客服反馈也一直用自动回复敷衍。,已完成
37,云米指纹锁安装售后服务态度差 投诉客服装死上门安装问题不解决,2021-10-09,https://tousu.sina.com.cn/complaint/view/17355334264/,投诉,云米全屋互联网家电,"赔偿,道歉,改善服务,换货,维修",2021年828第一次上门安装，安装过程中工人回复以缺向导片配件为由终止安装，并约定第二次安装时间。中间间隔一个月第二次9月安装，又以配件问题导致无法安装为由再次延期安装。时至今日联系售后各种推脱。服务态度差。故投诉,已回复
38,安装问题，机器脱落，无法使用,2021-10-07,https://tousu.sina.com.cn/complaint/view/17355308998/,投诉,云米全屋互联网家电,退货退款,云米洗衣机上门安装，安在了空心砖墙上，用了2次机器脱落无法使用，由于安装条件受限制，无法继续使用机器，现已经超出无理由退货时限，但当时如果安装告诉我这里不适合安装，当时我就会选择退货，不会产生后续这么多麻烦，现在云米客服，京东客服互相推诿，9月23号联系售后，到现在也不解决问题，只是拖延，而且欺骗消费者,已回复
39,啄木鸟家庭维修，维修员误判故障并对冰箱原部件进行损坏焊接，未将机器恢复原样,2021-09-19,https://tousu.sina.com.cn/complaint/view/17355028575/,投诉,啄木鸟家电,"赔偿,维修",冰箱故障是冷藏不制冷，噪音大，不停机。啄木鸟维修员没有检查出冰箱真正出现的问题，说是缺氟了，但是加氟后并没有让冰箱正常运行。且未告知我们会对原部件进行焊接，擅自对冰箱主要原件进行焊接，三次上门后没有能力解决问题。我们联系厂家维修，但因啄木鸟维修员对原部件进行多处焊接处理，导致在保范围内的原部件不...,已回复
40,工作人员虚开发票 玩忽职守,2021-10-12,https://tousu.sina.com.cn/complaint/view/17355383527/,投诉,啄木鸟家电,"道歉,改善服务,开发票",订单号2643138501818195*** 服务产品阳台防水补漏 投诉的具体内容负责对此工程开发票的郑州金水区部门主管（该工作人员自称）虚开发票，玩忽职守。 事情经过 一、2021年10月2日完成阳台防水补漏工程，价格3400元，足额支付。当场强调要尽快开发票，王师傅记下开发票的房东姓名和电话号码，说回去就可以开，让...,已完成
41,啄木鸟维修太贵了，还诱导消费！,2021-10-12,https://tousu.sina.com.cn/complaint/view/17355390583/,投诉,啄木鸟家电,退回不合理款项,家里灯一会黑一会亮，觉着是哪里接触不良。在美团上找到了一家维修的店，上门服务的是穿着啄木鸟工作服的工作人员。维修工还没开始检查，就诱导我们下单，下单原因点选的是跳闸，金额为189元（可能他一口就想收这个价位吧）。但我们实际的问题是需要电路检修。之后他用了十分钟，检修了内外空气开关的电路，发现是室外的...,已回复
42,啄木鸟家庭维修乱收费,2021-10-16,https://tousu.sina.com.cn/complaint/view/17355449715/,投诉,啄木鸟家电,退款,家里墙上的插座突然没电了，在美团找的一家维修店，中午工作人员跟我打电话说下午4点过来，结果等到五点才来了两个人，一个穿着啄木鸟的工作服，一个啥也没穿。维修工还没检查就直接说189元，维修工拆开插座检测了一下电，然后说让我看看是不是跳闸了，结果是厨房屋里的插座跳闸了，合上闸后。他就收拾东西挺着急的往外...,已完成
43,维修人员不专业，再事先没有任何告知的情况下胡乱收费并不给解释,2021-10-04,https://tousu.sina.com.cn/complaint/view/17355267631/,投诉,啄木鸟家电,"退货退款,改善服务,赔偿解释,延保",9月29日在京东下单了热水器上门维修，派单给啄木鸟。9月30号中午12点左右先来了一个维修人员，什么都不懂，工具也没带。私自转单给了詹姓师傅，该师傅事先仅告知118元的情况下更换了漏电开关后，要求支付194元。且不肯提供具体收费标准。加上30元的京东预付款，共支付224元。后查询啄木鸟公众号，该类维修价格129元。要...,已完成
44,啄木鸟家庭维修管家，胡乱收费乱装系统,2021-09-18,https://tousu.sina.com.cn/complaint/view/17355018257/,投诉,啄木鸟家电,退货退款,因为是晚上，电脑重置了然后我就点了啄木鸟，然后师傅上门后，重装系统178然后我不装就问我要60路飞，然后我最终装结果给我装个g版ie浏览器啥都有，师傅也不专业居然叫我用360，你们这服务，这专业度178，不想叫他装还要叫我给60，关键又装不好，驱动驱动没装全，显卡驱动没设置很无语,已完成
45,博世家电上门说可以安装，购买后又反馈无法安装,2021-08-26,https://tousu.sina.com.cn/complaint/view/17354623336/,投诉,博世家电,"退货退款,赔偿解释",我家厨房想要安装一台十二套洗碗机，看中博世大品牌和服务口碑，但不确认家里是否可以安装，所以在8/4联系南京直营店（虎踞南路2-3号）销售人员 侯爱琴（微信名 对依斜阳），销售人员告知需要先上门测量确认是否可以安装后再购买十二套洗碗机。我联系博世400客服电话，安排8/17上门测量确认安装是否可以安装，8/17 上门...,已回复
46,啄木鸟家庭维修坑蒙拐骗，用劣质产品蒙骗客户,2021-09-28,https://tousu.sina.com.cn/complaint/view/17355175529/,投诉,啄木鸟家电,"退货退款,赔偿解释",8月17日我通过啄木鸟家庭维修小程序约了工程师上门维修电脑不开机的问题，工程师在维修期间建议我们把主机里的硬件都更换一遍，故听从全部更换，除了硬盘未换，此次收取费用1400元。一个月未到电脑开始出现蓝屏现象，9月15日我又联系了客服要求再次返修，由于上次的工程师离职，此次返修更换了一个工程师，上来就说是硬...,处理中
47,1匹空调不制冷，维修费竟然高达479元,2021-09-20,https://tousu.sina.com.cn/complaint/view/17355047467/,投诉,啄木鸟家电,退还部分维修费用,1.美团上已经买了个维修券，上门后还要收费 2.简单一个不制冷，上门后说空调压缩机电容坏了，维修需要310，又说没有氟利昂了，加了一半氟利昂，居然收了150。和外面维修100多点比起来，吃香太难看了垃圾 3.维修时间是下午1731，却收了深夜加急费60元。 价格缺少监管，漫天要价,已完成
48,维修人员损坏东西没人处理,2021-09-23,https://tousu.sina.com.cn/complaint/view/17355083185/,投诉,啄木鸟家电,"赔偿,维修",1.师傅不报价。在电梯里面广告预约了啄木鸟维修来更换家里卫生间暖气片，师傅打电话，我问他多少钱，他说上门看了才能报价，他上门看了以后，我问他需要多少钱，他说拆下来看难弄不难弄才能报价，后来直到更换完，我问他多少钱，他要150，饿哦说之前的师傅给我换了两个而且是挨着地面的比这个大也比这个难换多了也没有15...,已完成
49,假冒方太燃气灶,2021-10-05,https://tousu.sina.com.cn/complaint/view/17355270355/,投诉,啄木鸟家电,"退货退款,赔偿解释,下架产品",9月28日啄木鸟家电上门维修，师傅说原有的燃气灶修了不值，声称可以换一个方太FOTILE燃气灶（实为假冒的“世纪方太FOTNLTE”），取走旧燃气灶并收取800元费用。事后沟通，预约电话踢皮球不解决问题。假冒伪劣产品性质恶劣，涉及到厨房及燃气安全，要求退货退款并道歉,已完成
50,啄木鸟家电维修电路后 电费异常 两个月用了1200多的电费,2021-10-09,https://tousu.sina.com.cn/complaint/view/17355329694/,投诉,啄木鸟家电,赔偿解释,家里的电路请啄木鸟来修 自从维修后 家里的电费异常的高 8、9、10月份 电费用了1245元 尤其是9月几乎没有用电 却交了接近600元的电费 找啄木鸟投诉后 一直没人上门 于是重新请了一个电工 来检查电路后说 之前的电工线接错了 导致有一个回路一直在空转 于是电一直在流失 现在投诉啄木鸟家电 操作不当导致经济损失 且事后...,已完成
51,啄木鸟家电微修 恶意收费,2021-10-11,https://tousu.sina.com.cn/complaint/view/17355364675/,投诉,啄木鸟家电,赔偿,洗衣机滚筒不转动，说是启动器问题，其实就是电容之类出现问题，换一个只要20块钱左右。不到半个小时就修好了，却收了238.9元。打着维修的幌子骗钱，就算随便在外面找一个师傅修理加上上门费什么的80元顶天了。,已回复
52,啄木鸟报价不合理，只调试排水就收费200元,2021-09-28,https://tousu.sina.com.cn/complaint/view/17355178311/,投诉,啄木鸟家电,退款，杜绝乱收费,洗衣机不排水，所以线上找了一家，预约家电维修，是啄木鸟平台的，师傅到家看了看洗衣机，说排水阀牵引力度不够，说要换零件，到平台报价器 里下单，报价器显示279（心里一咯噔，这真有些贵呀）问能不能优惠，说会给30元优惠但是后来又说零件不用换了，说再给优惠，总共优惠79元， 最后支付了200元。以前也叫师傅修过...,已完成
53,啄木鸟家庭维修坑蒙拐骗，用劣质产品蒙骗客户,2021-09-28,https://tousu.sina.com.cn/complaint/view/17355175529/,投诉,啄木鸟家电,"退货退款,赔偿解释",8月17日我通过啄木鸟家庭维修小程序约了工程师上门维修电脑不开机的问题，工程师在维修期间建议我们把主机里的硬件都更换一遍，故听从全部更换，除了硬盘未换，此次收取费用1400元。一个月未到电脑开始出现蓝屏现象，9月15日我又联系了客服要求再次返修，由于上次的工程师离职，此次返修更换了一个工程师，上来就说是硬...,处理中
54,1匹空调不制冷，维修费竟然高达479元,2021-09-20,https://tousu.sina.com.cn/complaint/view/17355047467/,投诉,啄木鸟家电,退还部分维修费用,1.美团上已经买了个维修券，上门后还要收费 2.简单一个不制冷，上门后说空调压缩机电容坏了，维修需要310，又说没有氟利昂了，加了一半氟利昂，居然收了150。和外面维修100多点比起来，吃香太难看了垃圾 3.维修时间是下午1731，却收了深夜加急费60元。 价格缺少监管，漫天要价,已完成
55,维修人员损坏东西没人处理,2021-09-23,https://tousu.sina.com.cn/complaint/view/17355083185/,投诉,啄木鸟家电,"赔偿,维修",1.师傅不报价。在电梯里面广告预约了啄木鸟维修来更换家里卫生间暖气片，师傅打电话，我问他多少钱，他说上门看了才能报价，他上门看了以后，我问他需要多少钱，他说拆下来看难弄不难弄才能报价，后来直到更换完，我问他多少钱，他要150，饿哦说之前的师傅给我换了两个而且是挨着地面的比这个大也比这个难换多了也没有15...,已完成
56,啄木鸟家电维修电路后 电费异常 两个月用了1200多的电费,2021-10-09,https://tousu.sina.com.cn/complaint/view/17355329694/,投诉,啄木鸟家电,赔偿解释,家里的电路请啄木鸟来修 自从维修后 家里的电费异常的高 8、9、10月份 电费用了1245元 尤其是9月几乎没有用电 却交了接近600元的电费 找啄木鸟投诉后 一直没人上门 于是重新请了一个电工 来检查电路后说 之前的电工线接错了 导致有一个回路一直在空转 于是电一直在流失 现在投诉啄木鸟家电 操作不当导致经济损失 且事后...,已完成
57,假冒方太燃气灶,2021-10-05,https://tousu.sina.com.cn/complaint/view/17355270355/,投诉,啄木鸟家电,"退货退款,赔偿解释,下架产品",9月28日啄木鸟家电上门维修，师傅说原有的燃气灶修了不值，声称可以换一个方太FOTILE燃气灶（实为假冒的“世纪方太FOTNLTE”），取走旧燃气灶并收取800元费用。事后沟通，预约电话踢皮球不解决问题。假冒伪劣产品性质恶劣，涉及到厨房及燃气安全，要求退货退款并道歉,已完成
58,啄木鸟家庭维修,2021-10-08,https://tousu.sina.com.cn/complaint/view/17355320682/,投诉,啄木鸟家电,"退款,改善服务,解释",一直不提供装修产品的品牌价格，即使投诉也一直没有来电反馈。每次只有短信，说会联系。都只是自己去联系他们。,已回复
59,马桶疏通当天疏通 过两天发现还是堵 客服没有什么解决方法让我继续花钱维修,2021-09-19,https://tousu.sina.com.cn/complaint/view/17355024955/,投诉,啄木鸟家电,退款,马桶疏通当天疏通 过两天发现还是堵 客服没有什么解决方法让我继续花钱维修,已完成
60,只是想换个灯泡，结果最后付了314,2021-09-16,https://tousu.sina.com.cn/complaint/view/17354985611/,投诉,啄木鸟家电,退款,刚开始只是想换个灯泡，在美团上看到啄木鸟可以换灯泡，然后打了客服电话，客服说让师傅联系我们，然后师傅上门后，让我们扫微信啄木鸟小程序，然后就出现了那个249的下单内容，没有具体说是什么钱，我们当时看到这个价格也问了师傅，他说是公司设定这个价格，然后他检测了一下，电路没有问题，那个账单还是249，后来换...,已完成
61,七月份在云米天猫旗舰店购买的洗衣机，八月底初次使用发现洗衣机内桶撞击,2021-10-05,https://tousu.sina.com.cn/complaint/view/17355268955/,投诉,云米全屋互联网家电,"换货,维修",七月份在云米天猫旗舰店购买的洗衣机，八月底使用时发现洗衣机内桶撞击非常严重，九月一号联系云米售后和天猫客服，说是48小时解决回复，到现在十月份都没解决，云米售后的维修人员也上门来鉴定过是机器有问题，但云米迟迟不解决问题，也不给换机，说已超过换机时限,已回复
