序号,事件标题,日期,链接,数据来源,投诉对象,投诉要求,投诉内容,投诉进度
36,商家不给退款,2021-11-01,https://tousu.sina.com.cn/complaint/view/17355693755/,投诉,realme手机,退款,购买商品不要了 没发货 找商家不给退款 一直推诿,已完成
37,恶意催收 已还完利息与本金,2021-09-26,https://tousu.sina.com.cn/complaint/view/17355139528/,投诉,手机贷,"停止骚扰,道歉赔偿/解释,处罚,调整利率,下架产品",以前在手机贷借了5800，到账只有4900，砍了9007的服务费。分了6期还。每期还了1000多，还了5期已还完本金利息。还天天恶意骚扰，立即停止。,处理中
38,realme手机品控差,2021-10-10,https://tousu.sina.com.cn/complaint/view/17355356981/,投诉,realme手机,免费修理手机,买了realme X一年半 每次更新都有新故障 这次更新以后前置摄像头直接坏了 黑屏不显示图像 已经过了保修期 但是这明显质量问题不应该客户负责吧,已回复
39,面部识别解锁的时候，显示摄像头被占用。拍照时升降摄像头无法使用。,2021-10-09,https://tousu.sina.com.cn/complaint/view/17355342747/,投诉,realme手机,麻烦联系我尽快解决,正常使用的情况下，突然发现面部识别解锁没办法显示摄像头被占用。然后相机拍照，前置摄像头也无法使用。摄像头升起来之后没办法拍照，屏幕是黑的。,已回复
40,升降摄像头达不到宣传标准,2021-10-13,https://tousu.sina.com.cn/complaint/view/17355402866/,投诉,realme手机,免费维修手机,更新系统后，人脸解锁手机手机的时候提示摄像头被占用，进入拍照应用，无法切换至前置摄像头，在设置中的应用程序中清除所有相机数据后仍无法解决；将手机重启后再打开相机尝试操作同样无法解决。在某度，搜索realme x 前置，全是关于前置摄像头无法使用词条。 希望官方给予统一处理方案，有些已经等待长达几个月，是软...,已回复
41,抖音realme手机旗舰店退款与实际不符,2021-11-01,https://tousu.sina.com.cn/complaint/view/17355685590/,投诉,realme手机,退款,本人在抖音realme手机旗舰店买了一部gt大师探索版，定金付了100元，尾款2741元，合计2841元，后家里老人嫌贵，想换一部便宜一点的，就想先退了再换个，结果退款只退了2741，还有100元没给退，退款订单上显示2841元已经全额退还买家，买家实际上只收到了2741，在联系该店客服无果的情况下，无奈上黑猫平台，请平台监督，...,已完成
42,乱扣费手机优化大师,2021-10-04,https://tousu.sina.com.cn/complaint/view/17355254909/,投诉,手机优化大师,退款,2021年10月2号下载手机优化大师乱收费,处理中
43,手机恢复大师收了我的钱没有恢复出一条数据，反而还说恢复数据需要另外收费,2021-10-21,https://tousu.sina.com.cn/complaint/view/17355518948/,投诉,手机恢复大师,"退款,作出处罚",手机恢复大师收了我的钱没有恢复出一条数据。图片显示的是什么,待分配
44,垃圾软件，恶意扣费,2021-10-19,https://tousu.sina.com.cn/complaint/view/17355488357/,投诉,手机优化大师,退款,在不知情的情况下，自动续费，事后说什么0元试用3天，后面自动续费268元，完全就是欺骗消费者，以这种手段赚钱，流氓软件，网上搜一下，已经这么多人被骗，就没有人能管管吗？,处理中
45,百度看视频提现一个月都不到账,2021-10-05,https://tousu.sina.com.cn/complaint/view/17355281043/,投诉,手机百度,百度提现一个月都不到,百度看视频提现了30元一个月了也不到账 联系客服 也没人处理,已回复
46,提示摄像头被占用，前置摄像头用不了,2021-10-05,https://tousu.sina.com.cn/complaint/view/17355278825/,投诉,realme手机,15天内解锁,本来用的好好的，也没磕着碰着突然就用不了，说是前置摄像头被占用，而且切到前置摄像头之后连后置摄像头都切不回去了，现在前置摄像头完全用不了,已回复
47,文档手机版无故扣费,2021-10-07,https://tousu.sina.com.cn/complaint/view/17355297771/,投诉,文档手机版,退款,我前天在App上下载了这个手机版文档，当时没有看到有关扣费的通知，只说适用三天，用了一下想写稿子结果却无法编辑，我就卸载了，大约三天后我就收到了扣费通知，298元，如果我无法得到退款我将在其他平台继续投诉直到得到处理。,待分配
48,升级安卓11之后指纹面部解锁不能用,2021-10-26,https://tousu.sina.com.cn/complaint/view/17355595826/,投诉,realme手机,立刻修复,升级到安卓11以后指纹面部解锁不能用 安卓10好好的 退回安卓10也好好的 还有升级到安卓11之后用手机流量上网卡的要死 图片都加载不出来 反馈几个月了都不解决,已回复
49,手机优化大师在不知情的情况下乱收费,2021-10-08,https://tousu.sina.com.cn/complaint/view/17355310580/,投诉,手机优化大师,"退款,作出处罚",我没下载过手机优化大师这个软件 在我不知道的情况下自己给我订了一个续费会员 也在2021.7.6日没有任何信息通知下自动扣了我268元 本人毫不知情 希望商家能出来给个解释并退款,处理中
50,点错了麻烦退款给我！,2021-10-12,https://tousu.sina.com.cn/complaint/view/17355378355/,投诉,手机定位他迹,退款,我儿子未成年拿我手机付钱下载了手机定位他迹。请客服退我钱。,待分配
51,面部解锁解不了微信支付宝扫码不行相机的像素也有影响有那种老式电视机的那种雪花点点,2021-10-24,https://tousu.sina.com.cn/complaint/view/17355556953/,投诉,realme手机,摄像头被占用黑屏闪退,有时候相机还闪退后置摄像头摄像模糊不清。,已回复
52,realmeGT大师探索版 系统更新不及时,2021-10-19,https://tousu.sina.com.cn/complaint/view/17355493127/,投诉,realme手机,"更新系统,履行承诺",realmeGT大师探索版 系统更新不及时 作为在realme产品中旗舰的产品 在系统更新方面 无法按时完成更新 在官方论坛 官方在2021.09.30发布的关于realme系统更新的公告中 明确表示上市6个月内的手机 在每个月都会有一次更新 但是现在距离realme上一次更新gt大师探索版系统已经过去1个月的时间 现在仍没有任何新系统的通知 问...,已回复
53,电池使用异常，,2021-10-16,https://tousu.sina.com.cn/complaint/view/17355444039/,投诉,realme手机,免费更换电池,本人去年11月购买了一部realme X7pro的手机，目前一年都不到，电池一天需要充五六次电，去售后检测说没问题，还要求我自费,已回复
54,2021.10.18突然用不了前置摄像头，意思是如果需要维修需要自费。,2021-10-19,https://tousu.sina.com.cn/complaint/view/17355482296/,投诉,realme手机,可以正常使用前置,正常使用手机的情况下，人脸解锁手机手机的时候提示摄像头被占用，进入拍张应用，切换到前置，直接闪退，偶尔出现用微信扫一扫，无法进行扫码，摄像头画面是黑的。联系客服，按照提示（如果您有遇到类似情况，请您长按相机APP，点击应用信息-存储情况-清除数据；并将手机重启后再打开相机尝试。）操作，仍无法解决。在官...,已完成
55,系统bug,2021-10-31,https://tousu.sina.com.cn/complaint/view/17355675655/,投诉,realme手机,"改善服务,抓紧回复,修复",内存不知道去哪里，清理也清理不出来，客服说话跟没说一样，什么破系统整天烦人 我就想问，我清理的内存到底去哪了？为什么就是，为什么就是清不出来？ 上次就是这样，清视频内存，删除后，实际内存还是那些，这个系统，都多少年没更新有用的东西了？整天不干正事，就知道发布心机，更新一些花里胡哨的功能,已回复
56,保修期内更换一次屏幕，后半年内又出现问题，售后不给保修,2021-11-01,https://tousu.sina.com.cn/complaint/view/17355688058/,投诉,realme手机,更换屏幕,2020年1月末购买手机2021年一月手机出现屏幕距离感应失效，去售后更换新屏幕并告知屏幕延保一年，今年十月份手机屏幕又出现相同问题，咨询售后给的答复是更换屏幕后延保180天，和当初承诺不符，原保修网点已不存在，无法找到证据，官方给的答复就是不给免费更换。现要求按原承诺更换手机屏幕。,已回复
57,在抖音软件，用户为realme手机旗舰店购买手机，要求退货退款,2021-10-02,https://tousu.sina.com.cn/complaint/view/17355230396/,投诉,realme手机,退货退款,我家妹妹才10岁无意间在抖音购买了一个realme手机，我发现时候才三天，手机没有坏。根据我国民法通测，是可以退的。未成年人哪来的消费能力，现在商家不给退款，说什么七天无理由激活了，但是我妹妹是未成年人啊,已回复
58,自动切换上网卡,2021-10-02,https://tousu.sina.com.cn/complaint/view/17355228388/,投诉,realme手机,承担责任,昨天10.1号凌晨十二点左右，莫名其妙自动给我切换了上网卡，我一直用的是卡二的联通卡上网，卡一接电话，然后手机卡10.1号的时候就自己莫名其妙没了信号，然后过了一会又有回来，然后就没搭理(期间不知道已经换了上网卡)，然后直到10.2号凌晨4.30左右才认真看到移动发来的流量通知才知道被换了上网卡,已回复
59,realmeX 手机前置摄像头被占用，无法人脸识别解锁，拍照功能无法使用,2021-09-27,https://tousu.sina.com.cn/complaint/view/17355148361/,投诉,realme手机,手机免费维修,正常使用手机的情况下，人脸解锁手机手机的时候提示摄像头被占用，进入拍照应用，切换到前置，仍然后摄像头工作，点击人像模式直接闪退，偶尔出现用微信视频聊天无图像，在设置中的应用程序中清除所有相机数据后仍无法解决；将手机重启后再打开相机尝试操作同样无法解决。在官方社区，仅搜索“摄像头被占用”关键字，有200...,已完成
60,手机贷天天发短信恐吓我和朋友，每天一条,2021-09-28,https://tousu.sina.com.cn/complaint/view/17355173157/,投诉,手机贷,"停止骚扰,道歉赔偿/解释,下架产品",一开始下载趣花分期，下款8100元，但到帐，又要退回去700元，每期还1495.24，共还6期，已经还了2期，现在协商还要我4千多，我说下个月还，他不肯，必须马上还，那我这样等下个月再说，没想到，天天发信息到我朋友那里搔扰他们，而且这软件又没有APP，万一我还了，直接拉黑我该怎么办，必须给我一答复，还钱可以，但只能...,处理中
61,系统升级完成后几乎立刻导致前置摄像头无法使用。,2021-09-25,https://tousu.sina.com.cn/complaint/view/17355129704/,投诉,realme手机,恢复前摄正常使用,一开始是人脸识别显示摄像头被占用，微信拍照时也显示摄像头被占用，随后使用机器自带照相也无法使用前置摄像头。上网搜索，发现许多用户都出现类似情况。要求厂商提供解决方案，或免费维修。,已完成
62,虚假宣传,2021-09-25,https://tousu.sina.com.cn/complaint/view/17355120345/,投诉,realme手机,赔偿,欢太商城上面的realme gt neo 2参数写着5.1，但是问客服告知5.2，故意夸大参数，导致已经购买激活，希望尽快联系处理,已完成
63,电话短信骚扰通讯录,2021-09-27,https://tousu.sina.com.cn/complaint/view/17355135558/,投诉,手机贷,"停止骚扰,道歉赔偿/解释,处罚",因网贷逾期，本人暂无稳定工作收入，网贷催收公司三天两头频繁给我和亲朋好友父母打电话发短信威胁恐吓，严重影响本人正常生活和人际关系及名誉,处理中
64,购买天猫超市realme手机发现质量问题不给退款，诉求退货退款,2021-09-24,https://tousu.sina.com.cn/complaint/view/17355103754/,投诉,realme手机,退款,收货后第二天9月19日开机后发现屏幕左上角有蓝色阴影，联系天猫超市客服让我自己线下检修并提供报告，沟通后同意寄回仓库他们检修，9月22日退货，9月23日直接以激活过拒签退回，9月24日仍在沟通中，希望尽快解决问题,已完成
65,手机漏电严重。,2021-09-25,https://tousu.sina.com.cn/complaint/view/17355123949/,投诉,realme手机,质量问题换新机,本人于2021年5月27在欢太商城购买型号为真我X7PRO至尊版8+128G，目前使用过程出现非正常现象的严重掉电。充满电，亮屏3分钟，已经掉电7%，手机发热严重，已经无法正常使用，请黑猫警长给予帮助，帮我协调此事，谢谢。,已回复
66,前摄像头被占用,2021-09-21,https://tousu.sina.com.cn/complaint/view/17355056940/,投诉,realme手机,尽快处理,前摄像头被占用，怎么也用不了，重启手机也不管用,已完成
67,授权维修站检修损坏顾客屏幕后不负责，小病大修,2021-09-23,https://tousu.sina.com.cn/complaint/view/17355090127/,投诉,realme手机,免费更换屏幕总成,我一部realmeX7 PRO手机因电池后盖破裂导致电池稍许有点鼓包去授权送修站更换了官方电池（129元）后发现拿回来之后指纹，充电异常，掉电迅速，送修更换电池前无这些故障，随后我寄修去官方售后，官方售后说我指纹异常，主板变形，环境光功能（光感）异常导致的充放电故障。拒绝保修，要自费维修，我方觉得不划算就打算放...,已回复
68,买的手机质量问题不给换货维修,2021-09-20,https://tousu.sina.com.cn/complaint/view/17355044703/,投诉,realme手机,赔偿,明显手机是劣质品，突然自己屏幕花了，售后说是我压坏的，我除了玩游戏按屏幕就没压过。手机没有任何受压痕迹，我让售后出具受力检测报告没有，出具屏幕生产质量报告也没有。劣质屏幕容易坏，在这骗维修费。,已回复
69,realme X手机 前置升降镜头无法人脸解锁，提示被占用，也无法拍照,2021-09-22,https://tousu.sina.com.cn/complaint/view/17355067664/,投诉,realme手机,可以正常使用前摄,正常使用手机的情况下，人脸解锁手机手机的时候提示摄像头被占用，进入拍张应用，切换到前置，直接闪退，偶尔出现用微信扫一扫，无法进行扫码，摄像头画面是黑的。联系客服，按照提示（如果您有遇到类似情况，请您长按相机APP，点击应用信息-存储情况-清除数据；并将手机重启后再打开相机尝试。）操作，仍无法解决。在官...,已完成
70,江门市蓬江区OPPO售后服务中心！！是OPPO不是小米！！！！OPPO！！！！,2021-09-19,https://tousu.sina.com.cn/complaint/view/17355036222/,投诉,realme手机,给个合理的处理方案,真我手机后壳发现翘边，打电话给蓬莱路这边售后，然后那边工作人员让我去售后。购买时详细说明OPPO提供售后服务技术支持。我大老远跑过去，去了OPPO售后，售后人员态度恶劣不理睬。我是手机后壳翘边，那个售后人员就说手机都是这样的啦，不影响使用就行了。明明是后壳质量问题。结果就告诉我，不影响使用就行了。工作人...,已完成
71,恶意扰乱市场价格,2021-09-20,https://tousu.sina.com.cn/complaint/view/17355044608/,投诉,realme手机,要求补偿,卖劣质品手机，低价以次充好，坏了还不给修，让出检测报告也没有,已回复
72,前置摄像头黑屏不能用,2021-09-18,https://tousu.sina.com.cn/complaint/view/17355005533/,投诉,realme手机,前置摄像头黑屏,realme x手机正常使用，昨晚用的时候前置摄像头黑屏 不能使用，重启也不行，,已完成
73,前置摄像头无缘无故打不开，闪退，人脸也显示的是被占用,2021-09-17,https://tousu.sina.com.cn/complaint/view/17354998257/,投诉,realme手机,维修,前置摄像头无缘无故打不开，闪退，人脸也显示的是被占用,已完成
74,昨天系统更新，导致前置摄像头无法使用,2021-09-16,https://tousu.sina.com.cn/complaint/view/17354983486/,投诉,realme手机,15天内解锁,realmeX手机昨天我系统更新成ui2.0以后，导致我前置摄像头无法使用。没更新前一直能够好好使用,已完成
75,realme x手机升降摄像头无故闪退黑屏,2021-09-16,https://tousu.sina.com.cn/complaint/view/17354985816/,投诉,realme手机,帮我把摄像头弄好,realme x手机正常使用，每天正常用手机前置摄像头解锁，今晚上用的时候提示手机摄像头被占用，然后闪退，重启也不可以，人脸解锁提示摄像头被占用。希望realme能免费帮我处理了，,已完成
76,不履行消费者退货协议 无售后,2021-09-15,https://tousu.sina.com.cn/complaint/view/17354961734/,投诉,realme手机,退货退款,购买之前直播间说可以七天无理由退货 老人觉得信号差 申请退货退款 已激活电保卡为由 拒绝售后 并且电宝卡是在客户并不之情情况下强制激活 并不能以此为理由拒绝售后,已完成
77,手机前置摄像头用不了前后颠倒,2021-09-14,https://tousu.sina.com.cn/complaint/view/17354940140/,投诉,realme手机,15天内解锁,手机前后摄像头互相颠倒，前置摄像头用不了，变成后置摄像头颠倒过来的画面,已完成
78,手机有问题商家已各种理由拒绝退款,2021-09-13,https://tousu.sina.com.cn/complaint/view/17354917650/,投诉,realme手机,退款,2021.9.1号在平台购买了reilme真我x7 por手机 买之前特意问是否可以7天无理由退款退货 9.2号收到后老人使用信号不好 略微有些卡顿 9月6号申请退货提款商家以自动离激活了电保卡拒绝售后，而且是连网自动激活的 商家在购买之前并未出相关政策 明确告知消费者 有问题了拒绝退款。投诉了好多次距离退款已经过去了7天 没有...,已完成
79,realme商品在保修期内，用户没有任何人为因素导致屏幕开胶不给予保修（发烫）,2021-09-12,https://tousu.sina.com.cn/complaint/view/17354914720/,投诉,realme手机,"道歉,作出处罚,维修,更换全新原厂屏幕",联系真我客服态度消极，完全忽视消费者权益，他们不保修，要我出三百多，更换屏幕，手机根本没有其他问题，我已经和揽收快递师傅联系核实我手机是否存在人为不可逆的行为。并没有，快递师傅也有揽收照片,已回复
