序号,事件标题,日期,链接,数据来源,投诉对象,投诉要求,投诉内容,投诉进度
14,产品磕碰门板不齐,2021-10-21,https://tousu.sina.com.cn/complaint/view/17355527312/,投诉,卡萨帝高端家电,"退货退款,退/换新机",10月3号在潍坊新华路三联家电购买卡萨帝冰箱一台，消费12500元。本人要求于10月18号送货上门。因冰箱太大带着包装进不了电梯，所以运送人员给我搬回家，此段时间我并不在，但冰箱到家我就发现有磕碰。并且冷冻室两块门板并不对齐，后经安装人员调试也不齐。现在处理了四天了，我希望卡萨帝能尽快给我换货或者退货。,处理中
15,要求退货或换货，但西门子要求补折旧费1500元，协商无果，现要求退款,2021-10-12,https://tousu.sina.com.cn/complaint/view/17355381789/,投诉,西门子家电,退货退款,2019年12日在京东商城购买西门子冰箱一台，由于家里装修，12底2020年1月初才送的货，2021年8月27日冰箱报警，冷冻室不制冷，向西门子客户报障维修，西门子三天后送回已维修的冰箱，2021年9月20日又出现同样的问题，报京东售后，服务单号：1128025***经过半个月的时间，10月5日又维修后的冰箱送回来，插电1.5小时后又开始...,已回复
16,西门子冰箱内漏用了一年多 需要大修 我认为质量有问题,2021-10-28,https://tousu.sina.com.cn/complaint/view/17355631367/,投诉,西门子家电,退/换新机,"19年因新房下房，在淘宝西门子天猫旗舰店购买了洗衣机，和冰箱，当时购买的时候因本人在外地，委托朋友让送货师傅先送到了家里，因新房一直未入住，冰箱也一直未使用，用了不到一年时间，最近凌晨半夜报警，吓得我直害怕，冷冻室温度显示零下5度报警,不制冷，最近我老听见箱体有流水声，打电话给客服，客服说正常现象让...",已回复
17,西门子家电,2021-10-30,https://tousu.sina.com.cn/complaint/view/17355661797/,投诉,西门子家电,退/换新机,2018年6月购买的西门子洗碗机，碗篮仅用塑料包裹铁条，及其容易生锈，铁锈会滋生大量细菌，甚至引发破伤风，属于产品缺陷，不受保修期限制。和西门子售后客服联系，售后表示超过3年质保期，且存在使用问题。我表示生锈部位在底部背面，不存在碰擦，是产品本身缺陷。要求免费更换碗篮配件。,已回复
18,西门子冰箱右下冷冻门关闭与箱体碰撞,2021-10-26,https://tousu.sina.com.cn/complaint/view/17355595192/,投诉,西门子家电,换新机,购买的西门子多开门冰箱 右下冷冻门 关闭会与箱体摩擦碰撞不能直接关闭 经维修更换配件后还不能解决问题 现在又提出更换门子 不接受更换门子的处理方式 要求 更换整机 因为更换配件后导致 右上门关闭也有问题 现在要求更换整机,已回复
19,冰箱以次充好,2021-10-21,https://tousu.sina.com.cn/complaint/view/17355519164/,投诉,卡萨帝高端家电,退/换新机,去年12月底在太原体育馆海尔销售会场购买的卡萨帝价值15000元的冰箱，当时送货到家送货人员说通一下电试试有没有问题，通电后挺正常的没有问题。因为是新房装修好以后一直在开窗通风也没有入住。直到今年过了国庆正式入住，冰箱通电在保湿区放了几个梨，两三天后发现梨冻住了，保湿区后边也有结冰的情况出现。联系售后之...,已完成
20,使用后问题不断，且问题无法解决,2021-09-29,https://tousu.sina.com.cn/complaint/view/17355195215/,投诉,卡萨帝高端家电,"退货退款,退/换新机",冰箱于2021年8月初购买于文峰电器，由于新房装修未入住，所以一直搁置未使用。 然后于9月中旬入住，冰箱通电使用，发现冰箱触控板松动，属于做工问题，师傅上门调节卡扣，使用金属工具过程中，损坏了冰箱门漆面，协商更换门板。 更换门板后，发现门板吸力不够，门板上也无卡萨帝标识，且出现大量冷凝水，师傅上...,处理中
21,海尔卡萨帝冰箱严重质量问题,2021-09-29,https://tousu.sina.com.cn/complaint/view/17355191133/,投诉,卡萨帝高端家电,赔偿解释,2015年年底购买海尔卡萨帝冰箱，用了一年就出现问题，售后上门更换了电脑板，当时就质疑这个品牌质量怎么那么差。过了几年冰箱面板指示灯不亮，售后过来说冰箱门排线坏了，说要更换冰箱门，要另外收费。更换冰箱门价格挺贵，也就将就使用。直到今年冰箱速冻出现不制冷，售后把冰箱拉走修了十天，修好拉回来结果出现冷藏...,已完成
22,卡萨帝冰箱用了不到一年冷藏温度38度降不下来,2021-09-24,https://tousu.sina.com.cn/complaint/view/17355105861/,投诉,卡萨帝高端家电,退/换新机,9月22号的晚上打开冰箱，发现放在冷藏室的可乐爆了，爆的整个冰箱都是可乐，很愕然为什么好端端的可乐放在冷藏会爆呢？看了一下面板的温度显示冰箱温度是38度，然后还发现放在冰箱的饮料和水果都结了冰，之后马上联系销售网点派了售后上门检测，检测说是面板坏了要换，然后隔天来换了面板还是显示38度，售后说要拆机换传...,已完成
23,冰箱冷冻室结霜多次换货依然未解决,2021-09-09,https://tousu.sina.com.cn/complaint/view/17354864110/,投诉,博世家电,"退货退款,赔偿解释",购买博世冰箱一台，全新通电24h出现结霜。宣传为风冷无霜。申请换货后，再次结霜。,已完成
24,洗衣机水龙头安装不当导致家里墙面渗水,2021-09-19,https://tousu.sina.com.cn/complaint/view/17355030998/,投诉,西门子家电,赔偿解释,洗衣机水龙头安装不当导致家里墙面渗水 地板渗水 联系客服后未果说商家不承担后续赔偿责任,处理中
25,修洗衣机上门2次都没修好,2021-09-17,https://tousu.sina.com.cn/complaint/view/17354987388/,投诉,西门子家电,维修,第一次上门说不是这个问题 第二次上门说没零件 一个半星期了修洗衣机还没修好！修空调的还是6 70岁爷爷,处理中
26,卡萨帝双筒洗衣机严重质量问题,2021-09-17,https://tousu.sina.com.cn/complaint/view/17354987775/,投诉,卡萨帝高端家电,"维修,赔偿解释",2018年1月8日配送到家的卡萨帝洗衣机，购于国美，渠道正规。结果买后就一直存在噪声大的问题，给海尔打过多次电话，师傅说可能脚不平，有次上门调整过，有一次直接让我自己推推看能不能推得动。这个问题时有时无，今年是购买后的第三年，噪声越发无法忍受，上桶尤其噪音严重，甩干时人都无法站在旁边。8.9师傅上门，未听...,处理中
27,请卡萨帝冰箱厂家更换,2021-09-14,https://tousu.sina.com.cn/complaint/view/17354934139/,投诉,卡萨帝高端家电,"退货退款,退/换新机,维修,改善服务,延保,下架产品",卡萨帝冰箱自购买以来，平均每个季度都在维修，集中改造，一个冰箱质量问题太差了，每次都修不好，一直严重结冰，我以为买了个拖拉机杂声震惊整栋楼，靠拖过质保期来欺骗消费者吗？,已完成
28,博西华家用电器服务不给退换冰箱,2021-09-14,https://tousu.sina.com.cn/complaint/view/17354923666/,投诉,西门子家电,退/换新机,本人的西门子冰箱于2019年11月购买，于2020年2月开始使用，使用期间多次致电西门子售后服务请求修理冰箱，但售后服务委派的修理人员多次上门维修找不出问题原因，便不予维修，一直拖延，直到2021年2月才同意将西门子冰箱拉修处理，在拉修修理时未能发现问题产生的原因，无法维修，只进行管路清堵和加注制冷液，治标不治...,处理中
29,海尔高端品牌卡萨帝冰箱，一年内2次售后，产品有严重的质量问题,2021-09-13,https://tousu.sina.com.cn/complaint/view/17354925682/,投诉,卡萨帝高端家电,退/换新机,海尔高端品牌卡萨帝冰箱，购买不到1年2次售后 冷冻制冷效果差，冰箱底部流水，售后上门说问题很大，无法现场维修，告诉要拉走返厂 1.冰箱内食物。无法安放 2.售后拉走维修时间长，路途很大可能造成磕碰 3.高端高端，1万多的冰箱不到一年2次售后！ 百度后发现，卡萨帝冰箱遇到此类问题客户，超级多 十足的产品本身问题...,已完成
30,设备购买后还未使用 开机触控液晶屏坏了,2021-09-13,https://tousu.sina.com.cn/complaint/view/17354920422/,投诉,卡萨帝高端家电,退/换新机,申请退货 商家仅支持洗衣机 不让烘干机一起退货 但东西一套买的 肯定要一起退,已完成
31,硬盘损坏，寄回厂家维修后又原路返回,2021-09-03,https://tousu.sina.com.cn/complaint/view/17354763508/,投诉,东芝家电,维修,2020年2月在淘宝的苏宁易购上买了一个东芝硬盘，保修3年，结果在2021年8年硬盘突然读取错误，导致里边所有数据丢失，然后联系了淘宝的客服，得不到解决，让我联系东芝的厂家，联系后说是让我寄回厂家去检测，我在纸条上写上了购买日期，SN码，产品问题，并把地址联系人都标明了，结果七个工作日后厂家又原封不动将硬盘给...,已完成
32,卡萨帝冰箱质量问题要求换全新机,2021-09-12,https://tousu.sina.com.cn/complaint/view/17354906891/,投诉,卡萨帝高端家电,退/换新机,2021年2月左右买的卡萨帝b551冰箱，使用不到半年，发现两个问题：1、发现左下边的冷冻室漏水结冰，并且冰冻越结越多，水都流出冰箱门外了；2、冷藏室冰箱门左右不齐，关好后，左边比右边突出，不在一个平面。综上两点，严重怀疑冰箱有质量问题。因为使用期限很短，联系售后申请换全新机，但售后说我冰箱这样的问题不符合...,已完成
33,购买卡萨帝洗衣机不给发票,2021-09-11,https://tousu.sina.com.cn/complaint/view/17354883620/,投诉,卡萨帝高端家电,赶快开发票，和换冰箱,换货卡萨帝洗衣机都一周了，都不给发票。而且刚购买了6个月的卡萨帝的冰箱出现了开关门异响。一直说解决也不解决。,已完成
34,卡萨帝冰箱进虫子，保鲜层积水，内部发霉。,2021-09-10,https://tousu.sina.com.cn/complaint/view/17354874558/,投诉,卡萨帝高端家电,把问题解决，如果解决,2020年中旬购买，买冰箱第一年没用几个月就更换上门，就进虫子，客服让观察，今年又是，依旧处理不了，已经维修二十天了，客服推脱，不回复不处理,已完成
35,西门子洗衣机严重质量问题,2021-09-08,https://tousu.sina.com.cn/complaint/view/17354851257/,投诉,西门子家电,退/换新机,西门子洗衣机使用几个月异响并且自动进水，申请维修师傅说是进水阀问题，换完以后还是接着响！去年12月安装，新房装修完4月份才入住，才用了4个多月就出现这问题，淘宝西门子官方旗舰店买的，客服说错过了换机时间不予更换，我不想再修了要求更换新机！,已回复
36,恶意收费，要求退款,2021-10-11,https://tousu.sina.com.cn/complaint/view/17355364097/,投诉,啄木鸟家电,维修,洗衣机滚筒不转动，说是启动器问题，其实就是电容之类出现问题，换一个只要20块钱左右。不到半个小时就修好了，却收了238.9元。打着维修的幌子骗钱，就算随便在外面找一个师傅修理加上上门费什么的80元顶天了。,已完成
37,啄木鸟维修，只换了1个20元的水阀，收价288，漫天要价。,2021-10-16,https://tousu.sina.com.cn/complaint/view/17355451800/,投诉,啄木鸟家电,"取缔不良商家,改善服务,赔偿解释",在美团看到啄木鸟维修，宣传的是大平台，价格透明，30起。家里有个洗菜盆的出水有点小，于是在啄木鸟维修下了单，维修师傅过来一看，把水龙头和水阀拆下来说需要水阀坏了，需要换，然后我问水阀多少钱，说材料费才20一个，人工费比较贵，修好要288.着急用就没纠结，但是这种收费真的是漫天要价，只换个水阀，不到10分钟...,已完成
38,云米指纹锁安装售后服务态度差 投诉客服装死上门安装问题不解决,2021-10-09,https://tousu.sina.com.cn/complaint/view/17355334264/,投诉,云米全屋互联网家电,"赔偿,道歉,改善服务,换货,维修",2021年828第一次上门安装，安装过程中工人回复以缺向导片配件为由终止安装，并约定第二次安装时间。中间间隔一个月第二次9月安装，又以配件问题导致无法安装为由再次延期安装。时至今日联系售后各种推脱。服务态度差。故投诉,已回复
39,安装问题，机器脱落，无法使用,2021-10-07,https://tousu.sina.com.cn/complaint/view/17355308998/,投诉,云米全屋互联网家电,退货退款,云米洗衣机上门安装，安在了空心砖墙上，用了2次机器脱落无法使用，由于安装条件受限制，无法继续使用机器，现已经超出无理由退货时限，但当时如果安装告诉我这里不适合安装，当时我就会选择退货，不会产生后续这么多麻烦，现在云米客服，京东客服互相推诿，9月23号联系售后，到现在也不解决问题，只是拖延，而且欺骗消费者,已回复
40,智能门锁坏后售后暴力破门，没人处理,2021-10-20,https://tousu.sina.com.cn/complaint/view/17355505136/,投诉,云米全屋互联网家电,"退/换新机,改善服务,延保",2021年10月13日在京东购买在保修期内的云米门锁发生故障，售后上门后确认门锁故障，暴力破门而入，承诺售后换新，因暴力破解门锁，门无法正常使用，中间沟通数次催促，售后让耐心等待一下，最后等来了无货的结果，说只能退款，要不就一直等，确定不了时间。,已回复
41,上门维修燃气灶收费不合理,2021-10-21,https://tousu.sina.com.cn/complaint/view/17355519088/,投诉,啄木鸟家电,退款,没有使用他们师傅的任何配件，也没有维修任何的燃气灶部件。就收费109元,已回复
42,5月份维修455元，拖了10来天才修好，现在又是老问题，黑屏，有声音，,2021-10-25,https://tousu.sina.com.cn/complaint/view/17355573104/,投诉,啄木鸟家电,取缔不良商家,产品质量严重有问题，才用三个多月，又是老问题,已回复
43,空调存在异响，外机响动导致墙体震动，产生嗡鸣声，声音大的超人体能接受范围,2021-10-25,https://tousu.sina.com.cn/complaint/view/17355582583/,投诉,云米全屋互联网家电,"维修,改善服务,赔偿解释",空调存在异响，外机响动导致墙体震动，产生嗡鸣声，声音大的超人体能接受范围。已联系客服，客服不作为，推来推去,已回复
44,工单进度无进展，多次拨打投诉电话石沉大海,2021-10-26,https://tousu.sina.com.cn/complaint/view/17355589139/,投诉,云米全屋互联网家电,退/换新机,本人于2021年10月1号申请换货，并且云米客服也同意受理，但是于10月1号至今未见货物发出，也没有收到任何的物流信息订单号，于是本人从10月14号拨打投诉热线进行反馈，有专员回访也是粗略了解情况后说回给我回电话，但是也再无下文。然后本人开始多次拨打投诉热线进行询问工单进度，接线员每次都说会跟进进度和24小时内...,已回复
45,煤气阀坏了，要收226?没气阀要这么贵？,2021-10-23,https://tousu.sina.com.cn/complaint/view/17355547877/,投诉,啄木鸟家电,维修,说是师傅来了现场定价，我还没商量好要不要修，他就修了，这什么意思？226换个煤气阀,已回复
46,购买一年四个月的冰箱门体油漆起泡脱落,2021-09-30,https://tousu.sina.com.cn/complaint/view/17355204289/,投诉,云米全屋互联网家电,维修,近期在使用冰箱里突然发现门框边沿油漆有起泡掉漆的现象，联系云米客服回复我说是正常磨损，后又以过保为由拒绝。请问怎样的磨损是可以让油漆起泡脱落的？这难道不是质量问题吗？我希望云米方能承认其冰箱质量问题，提供免费维修。,已回复
47,买了不到3个月，压缩机坏了，氟利昂泄漏，2次，修不好,2021-09-30,https://tousu.sina.com.cn/complaint/view/17355202325/,投诉,云米全屋互联网家电,退货退款,6月10号收到货，9月20号左右冰箱有异常的爆炸声，伴随着类似汽油的臭味，申请维修，师傅上门后说是压缩机坏了，氟利昂泄漏，给冰箱换了一个压缩机，冲了氟利昂， 不到一周， 又出现相同的情况，核心零部件用了不到3个月就坏了。。。。。 下面是收货日期 和 拆下来的压缩机 以及第一次申请维修的记录,已回复
48,西门子进口洗碗机配件缺失,2021-09-30,https://tousu.sina.com.cn/complaint/view/17355200350/,投诉,西门子家电客户服务,"维修,改善服务",今年3月份更换的碗篮，使用不够五个月出现爆皮生锈的情况，申报西门子维修，却回复无法配备原厂配件，换了另一种不好用的碗篮给我，客服一直说原厂的配件已经不再生产，但是售卖中的新机器却能够继续沿用原厂配件，进口商品的配件供应问题暴露无遗。要求西门子提供原厂配件替换，维护消费者合法权益。,已回复
49,啄木鸟水电维修收费不合理，服务费过高,2021-10-09,https://tousu.sina.com.cn/complaint/view/17355337242/,投诉,啄木鸟家电,退款,本人于2021年10月9日通过支付宝找到啄木鸟家庭维修联系其上门维修水管问题。啄木鸟工程师上门后就指导进行了计价，整个过程中仅更换了一个三角阀，用时二十分钟左右，而这就需要179元的人工费，并另外收取了60元的材料费，对比了同款的材料，五金店却只需要二三十块钱。特此投诉。同时也希望该平台可以推出双方议价的模...,已回复
50,维修人员不专业，再事先没有任何告知的情况下胡乱收费并不给解释,2021-10-04,https://tousu.sina.com.cn/complaint/view/17355267631/,投诉,啄木鸟家电,"退货退款,改善服务,赔偿解释,延保",9月29日在京东下单了热水器上门维修，派单给啄木鸟。9月30号中午12点左右先来了一个维修人员，什么都不懂，工具也没带。私自转单给了詹姓师傅，该师傅事先仅告知118元的情况下更换了漏电开关后，要求支付194元。且不肯提供具体收费标准。加上30元的京东预付款，共支付224元。后查询啄木鸟公众号，该类维修价格129元。要...,已完成
51,恶意泄漏隐私，霸王条款不给注销账户,2021-10-26,https://tousu.sina.com.cn/complaint/view/17355595210/,投诉,啄木鸟家电,清空账户内容并注销,账号死活不给注销，合理怀疑有灰色地带信息业务，一礼拜了电话打过去永远石沉大海没有回音，只管接单然后收费死贵，就是不给通过注销，账户内没有任何待完成订单，绝对符合注册条件，客服连自己家公司有APP都不知道，非常不专业不严谨，各种踢皮球，这家维修公司太过恶心，泄漏顾客隐私，他们自己家的投诉就是个摆设，提...,已完成
52,啄木鸟上门价钱太贵了,2021-11-02,https://tousu.sina.com.cn/complaint/view/17355710768/,投诉,啄木鸟家电,退货退款,我是个学生租的房子吊灯不亮了打开发现有电线连着就不知道怎么换预约了啄木鸟上门换灯泡来了之后把灯泡连着线剪了下来说要换灯泡要169我看着很复杂就同意了因为自己也不会然后买了灯泡回来换的时候只要一转就下来了我就觉得这也太贵了吧五分钟都没换个灯泡买个灯泡就要了169灯泡钱也是我付的换完我就后悔了没想到这么简...,处理中
53,更换一个15元市场价的电容收费269元。完全是乱收费。技术服务费是什么？,2021-10-02,https://tousu.sina.com.cn/complaint/view/17355240174/,投诉,啄木鸟家电,退货退款,家里抽烟机抽不了油烟，网上约了重庆啄木鸟家庭维修，打电话说上门费30元起，有维修材料另外计算，没有告知需付技术服务费，过来检查一下，换个电容269元（包含技服费147元）。收费不是一般的咸滴滴。技术服务费147元。 一个全新该款抽烟机才400元，单换一个电容器收费269元，试问这种收费合理？？ 市场标准维修费用，上...,已完成
54,啄木鸟家庭维修,2021-10-08,https://tousu.sina.com.cn/complaint/view/17355320682/,投诉,啄木鸟家电,"退款,改善服务,解释",一直不提供装修产品的品牌价格，即使投诉也一直没有来电反馈。每次只有短信，说会联系。都只是自己去联系他们。,已回复
55,假冒方太燃气灶,2021-10-05,https://tousu.sina.com.cn/complaint/view/17355270355/,投诉,啄木鸟家电,"退货退款,赔偿解释,下架产品",9月28日啄木鸟家电上门维修，师傅说原有的燃气灶修了不值，声称可以换一个方太FOTILE燃气灶（实为假冒的“世纪方太FOTNLTE”），取走旧燃气灶并收取800元费用。事后沟通，预约电话踢皮球不解决问题。假冒伪劣产品性质恶劣，涉及到厨房及燃气安全，要求退货退款并道歉！！！,已完成
56,啄木鸟家电维修电路后 电费异常 两个月用了1200多的电费,2021-10-09,https://tousu.sina.com.cn/complaint/view/17355329694/,投诉,啄木鸟家电,赔偿解释,家里的电路请啄木鸟来修 自从维修后 家里的电费异常的高 8、9、10月份 电费用了1245元 尤其是9月几乎没有用电 却交了接近600元的电费 找啄木鸟投诉后 一直没人上门 于是重新请了一个电工 来检查电路后说 之前的电工线接错了 导致有一个回路一直在空转 于是电一直在流失 现在投诉啄木鸟家电 操作不当导致经济损失 且事后...,已完成
57,收费太贵,2021-10-21,https://tousu.sina.com.cn/complaint/view/17355523537/,投诉,啄木鸟家电,退款,请人来看插座无电的问题，但是其实就是跳闸，却收费两百多，也没有耗材什么的，这个收费是不是过于高了，可以支付上门费，两百多有点离谱吧,已完成
58,冰箱以次充好,2021-10-21,https://tousu.sina.com.cn/complaint/view/17355519164/,投诉,卡萨帝高端家电,退/换新机,去年12月底在太原体育馆海尔销售会场购买的卡萨帝价值15000元的冰箱，当时送货到家送货人员说通一下电试试有没有问题，通电后挺正常的没有问题。因为是新房装修好以后一直在开窗通风也没有入住。直到今年过了国庆正式入住，冰箱通电在保湿区放了几个梨，两三天后发现梨冻住了，保湿区后边也有结冰的情况出现。联系售后之...,已完成
59,啄木鸟家电维修师傅上门换了个水龙头花洒，水龙头报45元，收费170元，收费不合理,2021-10-23,https://tousu.sina.com.cn/complaint/view/17355554717/,投诉,啄木鸟家电,取缔不良商家,10月23号下午六点半打电话给啄木鸟家电维修说是家里洗衣机水龙头花洒坏了，他们说找人上门来修，问维修费多少钱，他们不说，晚上八点半师傅来修说是要换水龙头，直接说他们平台服务费是128，水龙头是45元，一共170元，这收费也太不合理，他们标价师傅上门费用是30，换个水龙头50元也接受，但是平白无故让我门要出这128的...,已完成
60,安装水管完成后一直有漏水问题，,2021-10-24,https://tousu.sina.com.cn/complaint/view/17355559031/,投诉,啄木鸟家电,维修,一开始以为是自己家洗衣机有漏水情况，最后隔了好久清理地上漏水的时候才发现水管边一直在漏水，并且都已经有漏水印记了，打客服电话，客服又给下了一单，过来维修还需要再次收费，为什么他们自己安装时候的问题，需要我承担维修费用？联系客服投诉，已经一个周了，都没有任何回应。,已完成
61,啄木鸟家庭维修收费太高,2021-10-11,https://tousu.sina.com.cn/complaint/view/17355367201/,投诉,啄木鸟家电,退款,10.2因家中洗手池漏水，网上找到啄木鸟家庭维修上门服务，我自己买了水龙头让他们换上，刚开始约定收120元维修费。后来维修人员说三角阀锈了也要换，换一个人工费120， 换两个三角阀加上安装水龙头一起要收费350， 没办法急着用，就约定付320.安装维修的人大约弄了个把小时，最后连边上的玻璃胶也没打就走了，还收320元...,处理中
62,云米烟灶套装，质量、售后差，一个多月家里做饭不能用油烟机，小米也不管第三方的服务,2021-10-06,https://tousu.sina.com.cn/complaint/view/17355270462/,投诉,云米全屋互联网家电,改善服务,买的云米烟灶套装，质量、售后差。首先灶面板碎裂、烟机开始就不能与灶互联（还是它的卖点）得换件。过了很长时间，换了个灶，烟机换了个件，可以用了。然后用着，烟机突然不起动了，8月20日打的云米售后维修电话，一直说安排师傅上门维修，一直没有售后来修。8月26日提交京东售后，京东也一直催，终于9月2日打电话问完...,已回复
63,云米水龙头质量问题,2021-10-06,https://tousu.sina.com.cn/complaint/view/17355293425/,投诉,云米全屋互联网家电,"取缔不良商家,退/换新机,维修,改善服务,下架产品",从买来半年发现有点渗水(不严重)，到今天2021.10.6号突然被水出脱，差点打到我，问客服说了半天反正最多给你修，不承认任何设计问题和质量问题，我看了他那个确实存在设计问题但公司就不承认，而且说要修还得我自己出运费+这东西不值钱+我就是不满意他们处理方式+存在严重设计问题+不整改不承认的态度,已回复
64,服务态度差。只管收钱，不处理问题,2021-10-31,https://tousu.sina.com.cn/complaint/view/17355675479/,投诉,啄木鸟家电,"退款,赔偿",十月十六号联系的师傅过来拉走的壁挂炉。说一周左右修好，26号了没动静。我们就开始打客服。打了三天。好不容易拉来了壁挂炉。也不知道修没修好。凑乎的安装了一下。然后我们联系客服。联系师傅。就是一个推一个。一直推脱。一直联系不上，而且。壁挂炉,已完成
