序号,事件标题,日期,链接,数据来源,投诉对象,投诉要求,投诉内容,投诉进度
1,树童英语，广州江南西校区,2021-10-08,https://tousu.sina.com.cn/complaint/view/17355317729/,投诉,树童,退款,群公告 亲爱的家长朋友们，相信大家多多少少有听到最近树童的负面消息，本着对家长负责的态度，有必要给家长们告知目前校区情况： 抱歉管理层这两天都在和政府以及街道和教育局和股东沟通，争取给家长们，同学们和老师们一个答复。 1. 由于租金压力过大，江南西校区暂时停电，本周课程暂停 2.积极和各方商讨...,待分配
2,童心童画儿童成长中心放心班退款问题,2021-09-01,https://tousu.sina.com.cn/complaint/view/17354726917/,投诉,童心童画儿童成长中心,"退款,本周一次性全额退款",在5月23日缴纳21年秋季放心班费用4480元。暑期教育改革，实行双减政策，学校推行5 2，不需要放心班服务，要求退款。对方不积极处理退款，告知要分分三个月退，但到现在也无任何具体方案。电话联系需要一次性退回，告知没有那么多金额，又以现在正忙挂掉微信语音通话。现在投诉必须一次性退回全部费用。,待分配
3,同程同美退款难，不给退款的问题,2021-10-15,https://tousu.sina.com.cn/complaint/view/17355429084/,投诉,童程童美少儿编程教育,"退款,解除合约",8月份就开始申请退款，现在都不给办理，一家垃圾公司，太坑了,已回复
4,服务差，诱导消费，后期没有服务，疫情比赛安排，强制消费,2021-09-23,https://tousu.sina.com.cn/complaint/view/17355095830/,投诉,童程童美少儿编程教育,"退款,解释,改善服务",缴费以后没有服务，赠送活动课没落实，比赛费用没有退，诱导买了比赛用具，3600元，结果疫情比赛家长不放心，再加上第二天就是童程童美夏令营，通知也晚了，没发安排时间，商家不给退款和退用具费用。联系多次，回电话协商后面又没消息了，将近半个月没人再联系我，国家有规定疫情期间退费必须全退，有规定。,已回复
5,退课退费,2021-09-16,https://tousu.sina.com.cn/complaint/view/17354970465/,投诉,童程童美少儿编程教育,退款,今天六月在童程童美办理退课手续，当时办理的老师说45个工作日内会退款到账，但是到时间以后继续问办理的老师，老师又说要到九月初，九月中旬问办理老师，老师的回复是最快9月底会退款到账，这样一天拖一天，作为一个培训机构，怎么去教育小朋友。,已完成
6,童程童美不退费,2021-09-23,https://tousu.sina.com.cn/complaint/view/17355091975/,投诉,童程童美少儿编程教育,退款,大概两年前在网上报名了童程童美编程课，学了一年多的时间，暑假因为眼睛的问题不适合在网上上课，就在今年8月下旬的时候申请了退款，退费资料都交了几次，中间也催了跟班班主任多次，班主任的回复是线上的已经到财务，马上就会到，线下的等中心主任确实，一个月过去了中心主任还没有确认，而且退费36节课上了16节课，还...,已回复
7,童程童美恶意拖欠应退课时费,2021-10-11,https://tousu.sina.com.cn/complaint/view/17355373213/,投诉,童程童美少儿编程教育,退款,2020年由该机构销售人员引导通过“度小满小额借款平台“消费20250元，报名为期两年编程课时！通过近半年的学习，孩子未达到相应的学习目的！故向机构申请办理剩余课时费！该机构未按合同约定按时退费！现要求该机构尽快合理合规的退费！,已回复
8,HABA儿童馆(龙岗中心城),2021-10-04,https://tousu.sina.com.cn/complaint/view/17355261829/,投诉,HABA儿童馆,退款,我是2019年12月31日办理的合同，才上了2节课，接着就是疫情不能上课一直到2020年6月才允许开课，可是此时我们必须搬离龙岗，去南山上小学。办理卡时我们只是考虑上小学前把课上完的。但是遇到了疫情。于是2020年9月就开始和客服沟通退费了。一开始说退费50%觉得我们太不合理，于是说帮忙转课，我也一直在等客服帮我们转...,待分配
9,童城童美申请退费后几个月了也不给退费,2021-10-13,https://tousu.sina.com.cn/complaint/view/17355393633/,投诉,童程童美少儿编程教育,退款,2021年7月18号在沈阳童城童美文峰大厦部申请退费，至今10月中旬以来一直都不给退，总是说需要走流程，本着相信大机构的机制，但是确大失所望。一拖再拖一推再推，到现在无人问津！,已回复
10,要求电小童退款处理,2021-09-05,https://tousu.sina.com.cn/complaint/view/17354799312/,投诉,电小童,退款,8月30号我在电小童租了充电宝，在要归还的时候我找了附近所有的点都是无法归还，然后我在8月31号下午在渭南西一路附近一家门店归还了，当时着急赶车走（我打车找的归还点），我看到机器的灯已经亮起来了，我自己也就离开了，但是在我9月2号不经意看了一下显示未归还，我就联系了客服，客服让我自己去联系商家核实，OK我...,待分配
11,童程童美少儿编程（西安高薪校区）,2021-09-06,https://tousu.sina.com.cn/complaint/view/17354819333/,投诉,童程童美少儿编程教育,退款,7月底接到童程童美营销电话，给孩子约了一节试听课，试听课结束，逼着我给孩子报班，我还在两家机构对比，童程童美工作人员和负责人员都承诺，可以先交订金，不上课，不满意都可以退款，我交了2800，过了几天经过和贝尔机器人对比，选择贝尔，跟童程童美协商退费，说半个月左右到账，结果等了一个月，我见还没退款又联系...,已完成
12,童趣儿童摄影,2021-09-04,https://tousu.sina.com.cn/complaint/view/17354762993/,投诉,童趣儿童摄影,退款,"山阳童趣儿童摄影不干了,可是我们的照片都没给,还有充值的钱,他说让我们把单据和地址发给他给处理退款和寄件(照片)过来,说10个工作日处理,现在半个月过去了微信不回复了,也不处理了,钱和照片也没见着。童趣是连锁的,总部在北京,照片都是北京弄好了发过来,山阳不干了,难道你总部也不千了么,不给解決,第一张是单据,299又补...",已完成
13,童程童美涉及退款事宜,2021-09-03,https://tousu.sina.com.cn/complaint/view/17354763190/,投诉,童程童美少儿编程教育,退款,2021年5月29日报名童程童美编程课，共计费用21000。当初机构承诺6月中旬开班，后期直到7月中旬一直都没有开班，于是申请退款。起初承诺提交资料后一个月左右收到退款的，合同上也是这么写的，但是至今为止，都没有收到退款。,已完成
14,商家迟迟不给开具发票,2021-10-09,https://tousu.sina.com.cn/complaint/view/17355341623/,投诉,PlayABC儿童教育,"赔偿,开具发票",北外滩来福士商场开业，我们7月10日在商家playabc报了一年的英语课程，付费金额14710元，期间多次找工作人员要求开具发票，始终是以流程，税务局不给开票为借口没有解决，时至今日3个多月过去了，正常的发票还是没给提供，商家给的回复是以个人名义开票要经税务局审批，问其期限1，普陀区税务局始终不给回复，这种懒政行...,处理中
15,play+abc上海少儿英语机构旗下托班柠檬苗经营不善倒闭+停课退款,2021-10-03,https://tousu.sina.com.cn/complaint/view/17355207485/,投诉,PlayABC儿童教育,退款,9月29号突然发布公告说是破产+十月一日起停课+。公告剩下三万多学费需要退款,处理中
16,童颜时光机自动扣费,2021-09-19,https://tousu.sina.com.cn/complaint/view/17355028230/,投诉,童颜时光机,退款,4月份在苹果商店里下载了一款软件童颜时光机照相用的软件并且没有扣费，用完当天卸载了，在8月份我发现支付宝的账单里有13笔48元的扣费，扣费方就是童颜时光机，扣费是通过支付宝的免密支付还可用花呗，在支付完成后无任何续费成功的通知。,待分配
17,童程童美编程网课迟迟不给退费，找不到负责人。与中央指示抗衡，希望速速解决。,2021-09-03,https://tousu.sina.com.cn/complaint/view/17354766459/,投诉,童程童美少儿编程教育,退款,本人是辽宁沈阳铁西区万达广场童程童美的学生家长。我们在7月初就已经跟学校老师沟通，要退费整年报名费。（报名费提交交的9980元，因为国家声明不让提前缴费所以申请退费）老师说每个月15号把材料递交给财务，然后45天内通过支付方式放款。我在7.15号的时候就已经跟老师沟通过，老师已经把退款意见转给财务了。知道8.31...,已完成
18,playabc退费,2021-10-15,https://tousu.sina.com.cn/complaint/view/17355428201/,投诉,PlayABC儿童教育,退款,希望退回英文培训费。先联系曼拓教育（playABC）总部精中教育，官方答复，playabc属于加盟店，精中教育只提供教学帮助，其他概不负责，退费可直接联系门店。后联系playabc百联店工作人员，其表示退费需要等，等到10月底可以申请退费，退费时间30天至45天。但是我希望可以尽快处理，也无法理解为何退费时效如此之久。,处理中
19,天童美语不退书本费,2021-10-18,https://tousu.sina.com.cn/complaint/view/17355470359/,投诉,天童美语黄荣,退款,5.16号交费，7.14号才排好班，期间等了2个月～然后上了3次课，问过老师，用不用带书，回复不用，所以书本和iPad是全新的，只有在第一次去取教材的时候，领取的工作人员拿出来给确认一下教材是否完整和iPad是否好用……因为国家推行双减政策，期间一直上的是线上，因为对国家政策的履行，同时也给市教育厅咨询过，教育厅的...,待分配
20,塘厦树童英语不按合同履行退款,2021-10-08,https://tousu.sina.com.cn/complaint/view/17355321984/,投诉,塘厦树童英语,退款,本人给在塘厦树童英语给小孩报的英语辅导班，当时李帅老师建议报两年的，总费用13960，老师说学不完可以转出或者，退款，退款一个月可以到账，合同也有明文规定，六月底因小孩回老家读书就说把课转出去，结果两个月没转出就申请了退款，八月底申请的退款到现在十月八号还没收到退款，联系老师总是各种敷衍,待分配
21,乐友售后速度极慢,2021-09-16,https://tousu.sina.com.cn/complaint/view/17354977331/,投诉,乐友孕婴童,退货退款,1：9.12到货，9.14晚上去拿的快递，箱子破损，洗衣液少了一瓶，拒收之后有联系客服，客服说15号会有人跟我联系 2:15号又去联系客服，说48h会有结果 3:16号上午拒收的快件已签收，下午联系客服，客服说已经反馈，让我耐心等待；迫不得已打了人工客服电话，问多长时间能有结果，回复说她们要等快递确认的结果，快递同意赔...,已完成
22,英语小神童霸王条款未开通课程不予退款,2021-09-21,https://tousu.sina.com.cn/complaint/view/17355052125/,投诉,英语小神童官方,退款,在一个推广上看到了英语小神童，加入他们的五天体验课，体验课中老师非常热情，冲动之下订了六年的课程，可是正式开课之后就不一样了，老师不再督促你学习，就算你不学也没人会说，七十多人的群每天最多十几个在活跃，陪伴师早中晚在群发一段激励的话，班主任是个摆设，而且放假了根本找不到工作人员。孩子也不感兴趣，...,处理中
23,360过保维修价格奇高,2021-09-22,https://tousu.sina.com.cn/complaint/view/17355073921/,投诉,360儿童手表,"维修,维修定义合理价格",19年在淘宝旗舰店买的360 8X手表（其中因质量问题换过显示屏）这个月孩子不小心把屏幕摔坏了，于13号寄到深圳某360指定维修中心维修！今天维修点给我致电说明要维修的内容：换屏幕、FPC、后壳、表带报价220元，我跟客服提出360旗舰店目前售价279，我手表买来160多元，维修就要这么贵我有点接受不了，况且我只是屏幕坏了...,处理中
24,虚假广告宣传，购买后不给退款，协商好多次踢气球,2021-09-22,https://tousu.sina.com.cn/complaint/view/17355065745/,投诉,乐友孕婴童,退款,乐友推出活动页面，购买后与页面宣传内容相差甚远，要求退款，联系客服，多次沟通无果！,已回复
25,playabc退费,2021-10-15,https://tousu.sina.com.cn/complaint/view/17355428201/,投诉,PlayABC儿童教育,退款,希望退回英文培训费。先联系曼拓教育（playABC）总部精中教育，官方答复，playabc属于加盟店，精中教育只提供教学帮助，其他概不负责，退费可直接联系门店。后联系playabc百联店工作人员，其表示退费需要等，等到10月底可以申请退费，退费时间30天至45天。但是我希望可以尽快处理，也无法理解为何退费时效如此之久。,处理中
26,天童美语不退书本费,2021-10-18,https://tousu.sina.com.cn/complaint/view/17355470359/,投诉,天童美语黄荣,退款,5.16号交费，7.14号才排好班，期间等了2个月～然后上了3次课，问过老师，用不用带书，回复不用，所以书本和iPad是全新的，只有在第一次去取教材的时候，领取的工作人员拿出来给确认一下教材是否完整和iPad是否好用……因为国家推行双减政策，期间一直上的是线上，因为对国家政策的履行，同时也给市教育厅咨询过，教育厅的...,待分配
27,塘厦树童英语不按合同履行退款,2021-10-08,https://tousu.sina.com.cn/complaint/view/17355321984/,投诉,塘厦树童英语,退款,本人给在塘厦树童英语给小孩报的英语辅导班，当时李帅老师建议报两年的，总费用13960，老师说学不完可以转出或者，退款，退款一个月可以到账，合同也有明文规定，六月底因小孩回老家读书就说把课转出去，结果两个月没转出就申请了退款，八月底申请的退款到现在十月八号还没收到退款，联系老师总是各种敷衍,待分配
28,乐友发货退回还不退款,2021-10-19,https://tousu.sina.com.cn/complaint/view/17355488214/,投诉,乐友孕婴童,"赔偿,退款",拼团买了个小奶粉，发货半路退回了，申请退款一直没到帐，1个多月了,已回复
29,盐城金色童年,2021-08-29,https://tousu.sina.com.cn/complaint/view/17354676604/,投诉,金色童年,退款,2018年4月在金色童年充值2000元储值卡用于宝宝啪照片，由于疫情剩下的一直未去拍摄，等我在想去啪的时候发现店铺没有了，我多次联系金色童年微信未果。2021年8月4日突然给我打电话说把我的卡转给乐咔摄影。我回复也是可以的，但是他们不承认我充2000块钱。我把我转钱的记录都发给他们了，他们说只认系统。还有200块钱是...,待分配
30,360电话手表续航短不充电质量问题，与宣传长续航不符；且后台未经允许监控客户信息,2021-09-09,https://tousu.sina.com.cn/complaint/view/17354868273/,投诉,360儿童手表,"退货退款,赔偿,更换",去年购买360 8x儿童手表，不到两个月即出现续航时间短、偶尔无法充电等质量问题，投诉客服无用，后返修。因平时偶尔出现死机或充不进电等故障，但勉强能用。到今年刚出一年保修期，手表即完全不能充电。投诉客服，告知此前手表一直有问题，保修期内一直未修好，现在已出保，按保内问题未修复，应该需要延保处理。但360客...,处理中
31,树童英语停课疑似跑路,2021-10-10,https://tousu.sina.com.cn/complaint/view/17355343742/,投诉,树童英语课程中心,退款,树童英语（江南西中心）国庆期间人去楼空，明知道经营不善已经拖欠租金和管理费，9月底还在兜售课程，我在9月底参加了新开的班。涉诉金额总了19780元。,处理中
32,清远树童英语拖延退费,2021-10-10,https://tousu.sina.com.cn/complaint/view/17355343622/,投诉,树童英语课程中心,退款,本人2021年8月19日向清远树童英语申请退费，从开始的30个工作日到至今仍未到帐，欺骗家长退费时间，甚至说要到11月分6-12期退。,处理中
33,佛山市禅城区树童英语培训同济校区,2021-10-10,https://tousu.sina.com.cn/complaint/view/17355343347/,投诉,树童英语课程中心,退款,今单方面宣布停课，没钱退费，不给上课也不退钱，9月12刚报的8200元和上期余下课程800多,处理中
34,树童英语停课疑似跑路,2021-10-09,https://tousu.sina.com.cn/complaint/view/17355335399/,投诉,树童英语课程中心,退款,本人于2021年7月10日在树童给小孩报了课程，但是一节课都没上，8月10号申请退费，15号提交退费资料。于今天都未收到退款，过来分校，分校就说总部跑路了，希望有关部门能跟进，保护消费者权益。,处理中
35,树童英语停课疑似跑路,2021-10-11,https://tousu.sina.com.cn/complaint/view/17355359634/,投诉,树童英语课程中心,退款,2018年3月25日打着6年游学的口号，时间到退90%缴款，中途不想学，随时退90%。骗取家长67600元。圈钱几年共3000万之多，现不上课不退钱,处理中
36,树童英语交费后不安排上课,2021-10-11,https://tousu.sina.com.cn/complaint/view/17355360116/,投诉,树童英语课程中心,退款,2020年12月24日交费11940报了两年小学加一年幼儿课，幼儿课已经上完，今年九月份本该上小学课，现在不安排上课。找到老师询问情况，树童老师说该机构面临倒闭，建议走法律途径解决退款问题！,处理中
37,杭州萧山树童英语拖延不退费,2021-10-09,https://tousu.sina.com.cn/complaint/view/17355330889/,投诉,树童英语课程中心,退款,5.30号在树童老师的强烈推销下购买了3年的英语课程15960元，购买的时候承诺随时可退费，后来协商一致退款在7.8收到但是只退回一半7980元，剩余一半7700元至今未退，沟通了两个多月了，一直推延推脱，希望平台帮助处理追回7700元课程款。,处理中
38,树童英语停课疑似跑路,2021-10-10,https://tousu.sina.com.cn/complaint/view/17355356539/,投诉,树童英语课程中心,退款,交了三年学费，说停课就停课，现在找退费，也不给退费,处理中
39,树童英语停课疑似跑路,2021-10-10,https://tousu.sina.com.cn/complaint/view/17355356982/,投诉,树童英语课程中心,退款,于2021年3月14日缴费2980至今上课23节其中包括网课。忽然停课。而后树童法定代表人李小静宣布，树童没钱了。停课。望有关部门调查,处理中
40,树童万科红校长国庆停办学校，无法退款,2021-10-09,https://tousu.sina.com.cn/complaint/view/17355327299/,投诉,树童英语课程中心,退款,2020年12月13日购买为期2年半价值RMB13960的英语培训，2021年10月8日被老师告知学校停课停办，树童万科红负责人刘小娇趁国庆放假关门停办，并以迁校区为由忽悠老师和家长们，希望政府部门能维护400号人民群众的合法权益,处理中
41,游学因疫情原因去不了，学校一直拖延不处理退费,2021-10-01,https://tousu.sina.com.cn/complaint/view/17355220378/,投诉,树童英语课程中心,"退款,立刻退款",我在7月1日支付给树童英语机构去北京游学费用共6980元，8月因疫情原因不能去，后来和学校沟通退款事宜，本来8月已经协商好一次性退回，并提交了退款申请。后来一直追问款项无果，直到9月中旬他们又以还要签补充协议的理由一直拖延退款，而且补充协议还是他们单方面霸王条款。对于树童英语机构这种单方面强制执行，不合理...,处理中
42,广东惠州树童创课中心商家拖延退款费用,2021-09-26,https://tousu.sina.com.cn/complaint/view/17355137582/,投诉,树童英语课程中心,退款,今年7月份在广东惠州树童创课帮小孩报名英语培训144节课时 今年9月份，因个人原因，要求合约，然后退还剩余费用预计9000左右，但是目前一直说要协商，或者分期。或者6个月以后， 签署时，有告知可以退费，按上后的课程退费，每节150多 按照目前情况，为了保证自己的合法权益，或者避免更多家庭遭受退费难的问题，恳求媒...,处理中
43,要求退款,2021-09-24,https://tousu.sina.com.cn/complaint/view/17355103509/,投诉,米兔儿童会员,退款,米兔儿童会员充值后还是不能观看，从新启动也不能看，也没有客服电话，联系不到客服，这不是欺骗消费者么，我要求退款,处理中
44,一直拖延退款,2021-10-07,https://tousu.sina.com.cn/complaint/view/17355300090/,投诉,树童英语课程中心,退款,本人在2021年8月5日申请退款，然而一个多月过去了，答应在30个工作日内退款到账，到目前为止一直没收到退款，老师也不给予答复！,处理中
45,树童英语坪山御景校区欺诈跑路,2021-10-08,https://tousu.sina.com.cn/complaint/view/17355310404/,投诉,树童英语课程中心,退款,今年三月份在坪山树童英语御景校区缴纳学费11700元，4月份才开课中间一直说要凑人数，在缴费过程中再三确认该校区的教学持续情况，余老师一再保证校区连锁性质，师资雄厚，忽悠我们缴费上课抛开暑假，仅仅上了四节课，购买三年课程，今天收到公告无法继续下去，请求给予退款。,处理中
46,树童英语停课疑似跑路,2021-10-08,https://tousu.sina.com.cn/complaint/view/17355313086/,投诉,树童英语课程中心,退款,我3月份给小孩报读了一个记忆课程，当时承诺暑假在黄埔附近开班的，后来却叫我去番禺，海珠区那边上课，因位太远了，而且早上要好早到，晚上9点才下课，所以我8月份申请了退款。当时老师说要一个来月才到账，所以一直没有催。一个月过后，我每隔几天就催一下，但还是没有结果。到了今天，我听同事说树童可能会破产了，我...,处理中
47,深圳坪山招商花园树童英语倒闲不退钱,2021-10-07,https://tousu.sina.com.cn/complaint/view/17355307358/,投诉,树童英语课程中心,退款,本人在2021年5月29日在招商花园树童英语交11280元 78次课，己上12节，现在无法正常上课，要求退款,处理中
48,树童英语停课疑似跑路,2021-10-08,https://tousu.sina.com.cn/complaint/view/17355323495/,投诉,树童英语课程中心,退款,树童英语多校区倒闭，老师欠发工资离职，不能为学生安排课程仍拒绝退款，6月已经出现经营问题并且拖欠工资9月还在哄骗家长付款报班,处理中
49,树童英语停课疑似跑路,2021-10-08,https://tousu.sina.com.cn/complaint/view/17355323875/,投诉,树童英语课程中心,退款,本人2021年7月29日在树童为小孩子报名英语培训费共计12560元，现联系学校老师，被告知退费无法处理。现培训机构近600儿童无法正常上课。希望能够通过贵平台正当合法的维护我们的权益。,处理中
50,树童英语停课疑似跑路,2021-10-08,https://tousu.sina.com.cn/complaint/view/17355323710/,投诉,树童英语课程中心,退款,9月15日缴费19800，之前还有两次缴费2980、ket报名费两千多，总共2.5万多，现树童因经营不善即将倒闭，并不予退费,处理中
51,树童英语停课疑似跑路,2021-10-08,https://tousu.sina.com.cn/complaint/view/17355325963/,投诉,树童英语课程中心,退款,本人女儿2020.9月开始在那上课 于2821.6.28 在老师的游说下 分别给儿子女儿续了5000费用,处理中
52,树童英语培训机构无征兆停课,2021-10-08,https://tousu.sina.com.cn/complaint/view/17355325885/,投诉,树童英语课程中心,退款,2020年11月30日交了英语培训机构19920元，2021年10月7日晚十点突然无征兆宣布停课。一个校区450多个学生，涉及金额高达至少500万以上。家长们退费无门，法人董事长直接一句话没钱。老师们也因拖欠工资无法管家长，请求媒体为民发声，为家长们讨回血汗钱……谢谢,处理中
53,树童英语停课疑似跑路,2021-10-08,https://tousu.sina.com.cn/complaint/view/17355323185/,投诉,树童英语课程中心,退款,全部连锁店倒闭跑路 现在所有店铺都没开门,处理中
54,树童英语恶意欺诈家长，拖欠退费,2021-10-08,https://tousu.sina.com.cn/complaint/view/17355326457/,投诉,树童英语课程中心,退款,在2021年6月29日，收到树童老师通知，本年度的课程马上学习完毕，继续学习需安排续缴，老师推荐选择普惠出境游学的项目，缴纳19880元的费用，在15岁以前选择普惠出境游或可自由选择退费，即可享受2980元一学年的学费政策优惠。经过两天的电话微信沟通被不断洗脑后，6月30日晚上缴纳5000元的诚意金预留课程资格，当时承诺...,处理中
55,树童英语停课疑似跑路,2021-10-09,https://tousu.sina.com.cn/complaint/view/17355329131/,投诉,树童英语课程中心,退款,因“双减”政策出台，学校疑似跑路，且本人一直担心学校经营不下去，申请退款。校区只收集申请，未有明确退费时间。,处理中
56,树童英语跑路，没有任何人做出解释,2021-10-09,https://tousu.sina.com.cn/complaint/view/17355328759/,投诉,树童英语课程中心,"退款,解释,赔偿,解除合约",负责人也没有，老师一问三不知，现在不知道找那里好,处理中
57,树童英语停课疑似跑路,2021-10-09,https://tousu.sina.com.cn/complaint/view/17355333751/,投诉,树童英语课程中心,退款,本人自2019年起，在广东树童英语培训机构华友校区分两次办理两个小孩金牌会员培训服务，分别缴纳69800、68800元学费，约定培训3年后，返还80%左右的学费，现在一夜之间机构突然通知关闭，无法联系任何人协商退费事项。,处理中
58,树童英语停课疑似跑路,2021-10-09,https://tousu.sina.com.cn/complaint/view/17355334967/,投诉,树童英语课程中心,退款,树童倒闭了，我们的学费怎么办呢？是不是说倒闭了就不用负责退款的问题？,处理中
59,树童英语大部分校区突然大规模普遍关店无工作人员出面退費解決,2021-10-09,https://tousu.sina.com.cn/complaint/view/17355338935/,投诉,树童英语课程中心,退款,树童英语突然停课，国庆刚过我们在树童英语的广州南华校区的课就无法上了，交钱后才上了4分一課大部分家长交的都是1万起到十多萬 涉及金额庞大。 董事长李小静还直播嘲讽学院家长，有本事你来告啊…那些家长，投资方，加盟商统统都措手不及！现在家长们钱退不了，课上不了，血本无归！树童这操作简直太损了！ 希望这...,处理中
60,树童英语停课疑似跑路,2021-10-08,https://tousu.sina.com.cn/complaint/view/17355320481/,投诉,树童英语课程中心,退款,本人于2021年4月30给孩子陈予诺在树童英语财富广场校区交了10080的学费，9月份至今才上了3节课，现机构跑路，请处理，谢谢！,处理中
61,树童英语停课疑似跑路,2021-10-09,https://tousu.sina.com.cn/complaint/view/17355335612/,投诉,树童英语课程中心,退款,自从2019年在树童参加培训，累计缴费约2.7万元。目前学校关门停课，索要退课费,处理中
62,树童英语停课疑似跑路,2021-10-09,https://tousu.sina.com.cn/complaint/view/17355335935/,投诉,树童英语课程中心,退款,树童英语培训机构南沙豪庭点无法正常上课，又不退款,处理中
63,树童英语停课疑似跑路,2021-10-09,https://tousu.sina.com.cn/complaint/view/17355336345/,投诉,树童英语课程中心,退款,校外培训机构树童英语东莞虎门步行街校区于10月8日关店停课，无工作人员出面退费，疑似卷款跑路。校区受害家长，已经通过当地派出所、司法局、教育局、街道办、市长热线等多方面途径反映退费诉求，但至今没有实质性进展。作为受害家长，恳求相关部门督促地方相关部门切实采取措施，责令树童英语及其法人代表履行社会责任...,处理中
64,树童英语停课疑似跑路,2021-10-09,https://tousu.sina.com.cn/complaint/view/17355337002/,投诉,树童英语课程中心,退款,2021年4月27日在佛山市南海区桂城树童英语校区为读六年级的孩子交了15960元两年的英语课程，可是十一过后人去楼空,处理中
65,广东树童英语，不上课，不退款！,2021-10-08,https://tousu.sina.com.cn/complaint/view/17355318409/,投诉,树童英语课程中心,退款,我报名的属于长沙市岳麓区的树童英语培训机构，据了解，长沙的这边的树于广东树童100％持股，所有钱全部打给了总部广东树童，昨天2021年10月7号，长沙树童这边老师告知我们停课，老师停工。据了解，老师工资也没发，光长沙市岳麓区的树童涉及未退款的培训费就有一百多万(保守估计，维权群有300多人，每个家庭一万加)！加...,处理中
66,要求尽快给出解决方案，时间限制,2021-10-08,https://tousu.sina.com.cn/complaint/view/17355319904/,投诉,树童英语课程中心,退款,树童这么大的机构说倒闭就倒闭，还能不能给我们消费者一个安全稳定的社会？,处理中
67,树童英语停课疑似跑路,2021-10-08,https://tousu.sina.com.cn/complaint/view/17355321613/,投诉,树童英语课程中心,退款,要求树童退费，维护我们自己的权利，信息法律。,处理中
68,树童英语停课疑似跑路,2021-10-08,https://tousu.sina.com.cn/complaint/view/17355323006/,投诉,树童英语课程中心,退款,本人于2021年的8月18日申请退款，树童核算退款金额为16533元。然而，一个多月过去，退款依然未到账。,处理中
69,树童英语停课疑似跑路,2021-10-08,https://tousu.sina.com.cn/complaint/view/17355322788/,投诉,树童英语课程中心,退款,本人2021年7月5在树童为小孩子报名英语培训费共计10800元（2年培训费，目前上课次数不到10次），目前学校已暂停上课，学校大门已关，联系学校老师，被告知退费无法处理。 现培训机构近500个小孩无法正常进行培训学习，对方卷款金额高达900万，都是家长们的血汗钱！很多报名后才上了几次课而已！ 希望能够通过贵平台正...,处理中
70,树童英语停课疑似跑路,2021-10-08,https://tousu.sina.com.cn/complaint/view/17355325662/,投诉,树童英语课程中心,退款,树童线下门店在没有给家长任何消息时，突然关闭！相关负责人没有出来协商和解决！ 涉及人数众多，涉及金额较大，恳请政府部门能够介入维护我们消费者的权益！,处理中
71,树童英语停课疑似跑路,2021-10-09,https://tousu.sina.com.cn/complaint/view/17355333751/,投诉,树童英语课程中心,退款,本人自2019年起，在广东树童英语培训机构华友校区分两次办理两个小孩金牌会员培训服务，分别缴纳69800、68800元学费，约定培训3年后，返还80%左右的学费，现在一夜之间机构突然通知关闭，无法联系任何人协商退费事项。,处理中
72,树童英语停课疑似跑路,2021-10-10,https://tousu.sina.com.cn/complaint/view/17355343884/,投诉,树童英语课程中心,退款,一次性绵缴费38800元，承诺8年级时退费,处理中
73,东莞市莞城河畔树童英语培训中心有限公司不退还培训费，7月份申请的退款至今没有下文,2021-10-10,https://tousu.sina.com.cn/complaint/view/17355345410/,投诉,树童英语课程中心,退款,东莞市莞城河畔树童英语培训中心有限公司不退还培训费，7月份申请的退款至今没有下文，写了申请单提供了身份证和银行卡号给机构，口头说一个月左右到帐，多次催促无果，希望有关部门可以帮助退款,处理中
74,树童维权退费,2021-10-10,https://tousu.sina.com.cn/complaint/view/17355353910/,投诉,树童英语课程中心,退款,我在2019年3月与树童英语培训中心签订合同约定，我支付16385元给树童，其中12800元为三年内不涨价押金，由树童英语提供英语培训服务，于2020年9月26日更改课程合同，将原来的押金12800，再补交5140元享受三年树童课程，今年10月9日树童东莞大朗中心提出停课，原因为总部发不了员工工资，无法给孩子上课，全部申请退款，...,处理中
75,树童英语停课疑似跑路,2021-10-08,https://tousu.sina.com.cn/complaint/view/17355322461/,投诉,树童英语课程中心,退款,我们在重庆弹子石校区也是交费了，现在找不到人当初是想着连锁店，我的血汗钱啊,处理中
76,树童英语停课疑似跑路,2021-10-08,https://tousu.sina.com.cn/complaint/view/17355323495/,投诉,树童英语课程中心,退款,树童英语多校区倒闭，老师欠发工资离职，不能为学生安排课程仍拒绝退款，6月已经出现经营问题并且拖欠工资9月还在哄骗家长付款报班,处理中
77,树童英语停课疑似跑路,2021-10-08,https://tousu.sina.com.cn/complaint/view/17355323875/,投诉,树童英语课程中心,退款,本人2021年7月29日在树童为小孩子报名英语培训费共计12560元，现联系学校老师，被告知退费无法处理。现培训机构近600儿童无法正常上课。希望能够通过贵平台正当合法的维护我们的权益。,处理中
78,树童英语停课疑似跑路,2021-10-08,https://tousu.sina.com.cn/complaint/view/17355323710/,投诉,树童英语课程中心,退款,9月15日缴费19800，之前还有两次缴费2980、ket报名费两千多，总共2.5万多，现树童因经营不善即将倒闭，并不予退费,处理中
79,树童英语停课疑似跑路,2021-10-08,https://tousu.sina.com.cn/complaint/view/17355325963/,投诉,树童英语课程中心,退款,本人女儿2020.9月开始在那上课 于2821.6.28 在老师的游说下 分别给儿子女儿续了5000费用,处理中
