序号,事件标题,日期,链接,数据来源,投诉对象,投诉要求,投诉内容,投诉进度
131,京东商家挂羊头卖狗肉，无货源无授权转卖淘宝商品挣取暴利,2020-04-02,https://tousu.sina.com.cn/complaint/view/17349301271/,投诉,京东客服,"退款,赔偿,作出处罚",我于2020.03.29在京东平台购买一款名字和图片都标着迪士尼品牌的儿童摩托车，收到后发现并不是迪士尼的，于是跑去问卖家，卖家说这个贝多奇的，查看卖家店铺也无贝多奇的品牌授权。且这个货居然也不是京东上发的，是一家名字叫童趣童车商城店的淘宝店铺发来的，在这家淘宝店里同款产品才三百多无，而京东商家一转后到京...,已完成
132,萌推平台做虚假活动欺诈消费者,2020-03-27,https://tousu.sina.com.cn/complaint/view/17349245865/,投诉,萌推商城,"赔偿,发货",萌推砍价活动，砍了一辆儿童车，上面规则说邀请一个新用户下单才能砍价，我邀请了11个新用户下单才砍成功，砍成功却要审核2天，最后来个失败，理由是邀请的新用户有个别退款了，太不公平了，我那知道别人有没有退款，不能因为有个别退款，就审核失败，辛苦忙活一天，邀请11个新用户下单，时间限制24小时砍价，却要邀请那...,已完成
133,拼多多店铺“小顽童车俱乐部” 。虚假发货！一直拖着不发货！等了又等！商家骗人！,2020-03-17,https://tousu.sina.com.cn/complaint/view/17349131569/,投诉,拼多多客户服务,作出处罚,12号在拼多多店铺“小顽童车俱乐部”拍了一件儿童电动车，一个星期都没有发货，物流是查不到。最后商家说 快递丢件了，（那么大的东西能丢件因为压根就没有发货）就让我重新拍，我相信了商家。重新拍以后，又是同一个套路，拖着不发货，真的很让生气，给孩子买个礼物，一直拖着不发货。拼多多店铺“小顽童车俱乐部” 。虚...,已完成
134,拼多多商家丛林的士童车不发货态度恶劣谎话连篇,2020-03-18,https://tousu.sina.com.cn/complaint/view/17349142699/,投诉,拼多多客户服务,"赔偿,道歉,改善服务,解释,发货",之前只在拼多多买过一次袜子，充过几次话费，这次购物让我对拼多多再没有好感，客服是自己贴钱上班吗问半天就回个嗯嗯啊啊，天天说发货，天天不发货我买个童车着急出门用，我说你发不了我退了买个能发货的，就告诉我能发，五天了就这么一直等，现在问上都不回复了，我心想等这几天了该发了，今天又没发客服吊炸天...,已回复
135,在淘宝上买的电动摩托车，现在承诺不了当时的售后质量,2020-02-19,https://tousu.sina.com.cn/complaint/view/17348757815/,投诉,阿里客服,"赔偿,道歉",2018.07.22号在淘宝恒达玩具童车商城买了一台儿童摩托车，在当时买的时候，店家承诺该商品保修三年，在2019.09.23号，摩托车不走了，当天联系了卖家，卖家当时也是爱理不理的，也不告诉我怎么检测是否开关坏了，后来发给他的信息，也不看了，放了几天后，又可以走了，过年回来，又拿出来玩，车又不走了，我自己把那开关...,处理中
136,拼多多客服专员不解决问题，敷衍,2020-02-17,https://tousu.sina.com.cn/complaint/view/17348732314/,投诉,拼多多客户服务,"退款,赔偿,作出处罚",本人在拼多多常旺童装专营店买的儿童车，商家发错货，联系过快递员核实，快递是按照商家地址发货的，商家联系不上电话也不接，过后又发现商品下架，联系拼多多客服介入，客服三番五次说联系专员处理，说会有专员打电话核实，可是等了快一个月了，拼多多没有任何人打电话来没有任何人问过，客服专员跟机器人一样只会说等...,已完成
137,郑州乐迪蓓蓓玩具童车,2019-08-28,https://tousu.sina.com.cn/complaint/view/17347701126/,投诉,拼多多客户服务,"退款,道歉,作出处罚,改善服务,退货,下架产品",7月31号购买的电动车 我8月3号签收的电动车 8月7号充就吱吱响了 然后没电的时候充也是绿灯 吱吱响 商家说补发个充电器 17号收到补发充电器 补发个充电器之后还是吱吱响 商家又说可能是充电口的问题 结果又说补发充电孔 根本不是补发配件能解决的问题 是电动车充不进去电电 正常一插充电是红灯 现在一插就是绿灯 就玩了...,已回复
138,中国联航客运损坏托运行李，客服推诿无结果,2018-06-25,https://tousu.sina.com.cn/complaint/view/17347224804/,投诉,中国联合航空有限公司,赔偿损坏行李，·公开道歉,6月21日，本人搭乘中国联航客机KN5927从北京到厦门，落地后一直看不到托运的儿童车，等乘客都走完了，才来了一个地勤说是把我的儿童车移放到另外的位置了。当时很奇怪为什么要单独处理我的行李，等看到之后，原来是儿童车被损坏了，估计是怕我现场起冲突，所以故意把我支开。 现场登记之后，致电中国联航客服，电话号码...,已回复
139,要求赔偿,2019-07-25,https://tousu.sina.com.cn/complaint/view/17347537801/,投诉,拼多多客户服务,"赔偿,改善服务,解释",我比较喜欢复古一点的东西，就在拼多多平台买了一个铁皮青蛙，结果收到货发现商品没有3c认证，就一个青蛙什么都没有。3C认证即国家强制性产品认证制度，第五批强制性认证产品目录包括童车类、电玩具、塑胶玩具、金属玩具、弹射玩具、娃娃玩具等。相关法律法规见《中华人民共和国认证认可条例》、《强制性产品认证管理规...,已完成
140,郑州乐迪蓓蓓玩具童车,2019-08-02,https://tousu.sina.com.cn/complaint/view/17347569230/,投诉,拼多多客户服务,"退款,作出处罚",在商家购买的玩具车 快递长时间没有物流信息咨询商家 商家一开始说不给退款 后来又说退款需要我自己承担运费 我联系顺风快递 快递说已经付过运费不用再付了 明明已经超过24小时楞说没超过24小时 说连12小时都不到 快递由石家庄发往天津中转站 商家楞说压根没有天津这条线 这些都不重要 主要商家强买强卖 我给顺风快递说...,已完成
141,苏宁易购买东西被骗,2019-07-30,https://tousu.sina.com.cn/complaint/view/17347555108/,投诉,苏宁客服中心,退款,用支付宝扫码购买童车，付款给苏宁易购，购买完找不到订单，联系苏宁易购客服，客服明知道金额不足，报警没用，还欺骗说订单不是苏宁易购的，推卸责任。关键付款给苏宁易购的账号的，看了有很多相同的骗局，z这么多人这么大金额被骗，延续了这么长时间，苏宁也不采取行动，就光光一句报警吧，让消费者自己解决问题，让骗...,已完成
142,商家虚假宣传，让消费者掉进陷阱，要求无条件全额退款，并对该商家进行惩罚,2019-05-18,https://tousu.sina.com.cn/complaint/view/17347401840/,投诉,阿里客服,全额退款,本人在淘宝一个店铺（上海凤凰童车店直销店2）看到一款儿童自行车，商家店铺广告页面，从标题到内容，都强调了该自行车有折叠功能（并无任何内容注明有的款式是不含折叠功能的）。于是我就直接到下单页面下单。收货后拆封并完成拼装，才发现原来所拍的这款车根本没有折叠功能跟商家理论，他说我没有看清楚就下单。而其...,处理中
143,无诚信，要堂堂正正经商,2019-04-24,https://tousu.sina.com.cn/complaint/view/17347375524/,投诉,阿里客服,马上顺丰发货并道歉，事后不可以打电话骚扰,周四12点十几分拍的儿童车，商家联系说没有货要我等4天才有货，我等了5天，又问他们，说是又货，可以发货，我晚上6点看看也没有物流记录，想着可能夜里发货，于是第6天早上又看，根本就没有发货，问了也不理，有聊天记录作证，没有就不要让我等这么久,已完成
144,拼多多三次虚假发货，擅自砍单,2019-09-24,https://tousu.sina.com.cn/complaint/view/17347825671/,投诉,拼多多客户服务,"赔偿,道歉,作出处罚,改善服务",8月16日在这个店里买纸尿裤，发虚假物流，拒不赔偿，投诉到拼多多，不予处理。9月20号购买了50台平衡车，花了2万多块钱，一直不发货。向商家反馈的时候还说拼多多平台48小时会发货。后来突然接到通知，说是平台介入，商家缺货，直接退款了，然后直接补偿8块钱优惠券了事。9月21号，购买50辆儿童车，又招到无理由砍单，上...,已回复
145,旭青童车专营店虚假发货,2019-11-21,https://tousu.sina.com.cn/complaint/view/17348122864/,投诉,拼多多客户服务,"作出处罚,发货,补发赠品","本人于2019.11.17号消费46.46元在旭青童车专营店购买一台儿童推土机，次日商家告知仓库问题让我退货，但是商品一直在正常售卖中，没有下架，就没有申请退款，11.19号商家再次代替消费者在平台申请退款，我还是没同意，商家11.19号就发货了，快递单号为YT4224696879***,11.21号显示签收后，我没收到快递，咨询派件员，...",已完成
146,双11赠品未发货,2019-11-29,https://tousu.sina.com.cn/complaint/view/17348171828/,投诉,京东客服,"赔偿,作出处罚,改善服务,发货,补发赠品",双11购买童车，包含赠品提篮1个。11月16日收到童车，联系客服安排赠品发货，当时承诺1-5天。至11月29日尚未发货，期间（全部）我主动联系客服5次，每次承诺本周发，1-2天发，明天发，均未能履行。 11月28日晚向京东客服投诉，要求赠品发货**并**尽快联系我告知解决方案，至29日1730仍未主动联系我。,已回复
147,购买一款号称是加拿大舒童乐的儿童车，存在虚假情况,2018-05-21,https://tousu.sina.com.cn/complaint/view/17347221111/,投诉,京东客服,证明本人所购买商品是正品,通过京东APP购买了品牌名称为舒童乐（Strolex）的儿童折叠便携车（店铺名称为捷童母婴专营店），收到货之后从包装箱到车辆本身，没有发现任何品牌标志，而且在箱子中有两份产品内容类似说明书，都未涉及到任何品牌名称，就是单一的说明书但是又不相同。随即我用另外一个账号登录京东进行询问，此家店铺客服咬定这款车...,已回复
148,淘宝客服包庇雅蓝国际以旧充新，要求退回继续骗别人。,2018-05-07,https://tousu.sina.com.cn/complaint/view/17347219873/,投诉,阿里客服,要求退款赔偿并移交工商局查处,恼火淘宝包庇欺诈行为淘宝卖家雅蓝国际卖Stokke Trailz童车以旧充新，淘宝小二既不封店也不要求卖家退一赔三，而是要求买家把货退回好让卖家继续骗人 冒充上海卖家实际地址在河南郑州，第一次发现卖家以旧充新（顺丰保价仅保4000元）给了卖家一次机会让换了个，卖家信誓旦旦有新的。结果换回来的还是以旧充新，而...,已完成
149,拼多多卖烂货，不签收就赔钱！,2019-09-05,https://tousu.sina.com.cn/complaint/view/17347736293/,投诉,拼多多客户服务,"退款,赔偿",本人以前是信任拼多多的，所以一直在拼多多上买东西，结果买了一个儿童车，658元，能乡镇送达，就下单了结果等快递到了却发现只能自取，不能送到家毕竟是大物件，我爸妈年纪大了不好拿，快递就按无人认领件退回去了结果拼多多售后让我赔付商家87元的运费这个我不认同毕竟不是我的过失还有一个跟商家联系，商...,已完成
150,天才宝贝童车店,2019-08-27,https://tousu.sina.com.cn/complaint/view/17347694463/,投诉,拼多多客户服务,补发商品或全额退款,买的电动车宝宝椅。 买了就放在家里。 宝宝刚开始用才刚2个月。 脚踩的地方坏了。 找商家。 商家让自己出邮费。 商品质量存在问题为什么我自己出邮费。 而且看着截口处都糟了。拼多多总是说协商处理。 时间太长了。,已回复
151,东西问题凭啥退货不退我全部运费,2019-08-23,https://tousu.sina.com.cn/complaint/view/17347676163/,投诉,拼多多客户服务,退款,我2018年8月15号在拼多多航宝宝精品童车店给我侄子买了辆儿童车，18号下午收到东西，东西拆开一看里面东西不够，他在商品页面明明写着买送贴纸等东西，其他都有，没有贴纸，我问他他骗我说贴车身上了，哄小孩啊，车上的是本来就有的谁看不出来，这不是几块钱的问题，是诚信问题，后来他又说我要的话可以给我补发，晚上我...,已完成
152,在孩子王app购买优贝儿童车，但是质量很差，跟实物差别很大，退货遭拒绝,2019-05-29,https://tousu.sina.com.cn/complaint/view/17347419353/,投诉,孩子王kidswant,退货退款,本人先在实体店看中优贝儿童山地车，性能比较满意，但是考虑到app的满减活动力度较大，就在app上下单。但是到货到，发现自行车与实体店质量差别很大。同时，问题较多，如后轮偏摆角度大，踏板转动阻力较大，踏板转动噪音大，不顺畅。于是向app客服人员反应质量问题，并拍摄了相关视频，孩子王工作人员，只会说向商家反映...,已完成
153,一款商品存在虚假宣传，收到货品与事实不符,2018-06-15,https://tousu.sina.com.cn/complaint/view/17347223726/,投诉,阿里客服,全额退款，页面整改,2018年6月8日，在该店铺买了一款童车，产品宣传视频以及图片上全部有保时捷logo，但是收到实物与图片视频不符。然后和商家沟通，商家说该款车型并非授权车，所以上面的贴纸是需要自己贴上去的，我对此提出质疑并申请全额退款并对商家提出必须整改页面，标注非授权车型以及需要自己贴车标等诉求，无果。,已完成
154,买10台小米儿童车30天，多次投诉沟通，无发票,2018-07-05,https://tousu.sina.com.cn/complaint/view/17347226128/,投诉,小米客服那些事,小米道歉，立即补发票，依法承担经营却不开发票，欺骗消费者的法律责任。,5月30日当天陆续在小米有品APP上购买10台小米儿童车，并选择电子发票。时至今天，订单发票一栏持续无法打开查看。中途不下5次跟客服沟通投诉，先是说等待，可能是系统延后，后来又说反馈商户（注明我买的小米自营产品，难道是小米卖的的是贴牌产品），再后来说查询，就没影了，到今天小米有品依旧没有解决发票问题。...,已回复
155,购买童车质量问题返退货运费,2019-05-26,https://tousu.sina.com.cn/complaint/view/17347413540/,投诉,唯品会客户服务,"退款,改善服务,监督货品质量",我是唯品会超级会员，会员权限免费退换货，这次购买童车属于质量问题唯品会已同意退货，运费由买家家垫付之后退还买家，昨日联系客服，客服说24小时解决，而且客服把童车四个问题做记录了，并告诉我已做好备注申请退运费。今天又一次联系客服客服解释说昨天的客服没有记录退运费事宜登记的是退货事宜，让我投诉昨天的客...,已完成
156,京东购买cybex童车不到半年。车架子就出问题，滑轮卡顿严重，伤害儿童健康。,2019-10-27,https://tousu.sina.com.cn/complaint/view/17347982053/,投诉,京东客服,"改善服务,换新退货",京东购买cybex童车，几千块，质量不出半年就暴露问题。车架子出现问题，车轮卡顿。伤害儿童。目前还在双11大卖中。商家不作为，售后直接关闭服务单不处理。京东监管不到位，认其持续多次关闭服务单不处理。回电工作人员态度蛮横要求加微信，让涂洗涤灵自行解决。把消费者当傻子，试问，还有多少家庭受害。昂贵的童车背后...,已回复
157,电动童车使用年龄与国标不符，造成儿童摔伤，不承担运费,2019-10-01,https://tousu.sina.com.cn/complaint/view/17347858993/,投诉,小米客服那些事,退货并承担运费,在小品有品买的电动儿童挖掘机，使用年龄与国标不符，造成幼儿严重摔伤，没有任何问候，且退货还要买家承担运费，消费者将维权到底，消费者向小米有品投诉多次不予处理，包庇第三方卖家，坚称产品没有任何问题，睁眼说瞎话，国标根本不看。而且无任何同情心，没有任何售后，单方面结束投诉服务单，出事到现在厂家没有一...,已回复
158,虚假宣传和欺骗,2019-11-11,https://tousu.sina.com.cn/complaint/view/17348060841/,投诉,阿里客服,"作出处罚,下架产品",这个商家叫平湖童车城连锁猫咪铺。我在他们家买了一个四轮玩具车，宣传写的终生保修，结果车子电瓶坏了，客服态度极度的恶劣，让我寄回去修，邮费自己掏，首先这个东西比较重，邮回去都要一两百快递费，车子本身也就四百多。这个商家就是算着多数人不愿意这样做就做虚假宣传，态度特别差，车子本身是三月多买的。东西本...,处理中
159,商家误导消费者。京东客服多番假释商家,2019-10-28,https://tousu.sina.com.cn/complaint/view/17347987978/,投诉,京东客服,"退款,赔偿,道歉,下架产品,修改宣传内容",我于今年10月16日购买奔驰儿童车。商家界面写的是奔驰正版授权，发给我的是SMT-7188型号。下附图。因不灵活且本身存在问题怀疑是否为奔驰正品授权。 商家第一次出示过期证明，我提醒了他，证明已过期。给予其时间去拿正品授权。第二次第三次依旧是给出相同的过期证明。故意敷衍我。 于是我申请京东客服介入。申请退货理...,已完成
160,承诺退还邮费未退并注册小号辱骂客户,2018-07-31,https://tousu.sina.com.cn/complaint/view/17347229709/,投诉,lecoco乐卡,退还邮费赔礼道歉,宁波乐峰儿童用品有限公司，微博和天猫叫lecoco，我在6月购买一台lecoco童车，一直有质量问题，经过沟通寄回去工厂 邮费承诺卖家出，但是后续邮费一直不赔偿，而且拉黑微信，解除售后群，拒绝接听电话，我后来微博投诉，他们还注册小号来辱骂我。现在要求赔偿承诺的邮费并且赔礼道歉,处理中
161,拼多多（乐的童车玩具店）买家调包后申请退款退货,2019-12-24,https://tousu.sina.com.cn/complaint/view/17348323396/,投诉,拼多多客户服务,拒绝买家退款退货,买家故意调换商品，用假货换我们的正品，因核实买家准备退回的货品重量2.1kg与我们发货重量不一致，我们发货重量为2.72kg，货物也不一致、我们发的是1006正品平衡车，买家调包后以假换真，快递发货重量为证、包装有明显重贴痕迹。,已完成
162,我购买的是以上广告中的捷安特成人山地车，可是收到的货却是河北邢台出产的银凌儿童车,2019-08-27,https://tousu.sina.com.cn/complaint/view/17347697527/,投诉,拼多多客户服务,"退款,赔偿,道歉,作出处罚,重罚售假者并清出平台",我在拼多多上购买的是广告中的捷安特成人山地车，可是收到的货却是河北邢台出产的银凌儿童车，货与所购不符，我于是拒收，询问卖家他们说是我下的单，他们是自主品牌，没有打捷安特的广告。可到现在页面还是捷安特官方旗舰店的售卖广告。于是我就投诉到拼多多官方客服，他们按程序说重视，已反应到专员处，三天内给解决...,已完成
163,在转转上购物，发的货品不一致，还不退款，卖家态度恶劣，已被转转永久封号！,2019-06-27,https://tousu.sina.com.cn/complaint/view/17347472069/,投诉,转转客服中心,"退款,道歉,退货",买的是儿童车，发的是手链，还告知转转平台是随机发货，也不提前告知我，当没发货钱申请退款，一直不同意，第二天坚持发还告知转转平台已发货,已完成
