召回时间,召回地区,召回公司,召回产品,召回内容,标题内容,页面地址
20211014,欧盟,宝马汽车,,召回发布日期：2021/10/8 召回发布国家或地区：欧盟 制造商：宝马 车型：3 召回数量：不详 缺陷及后果：NADI（非叠氮化物驱动器充气机）型安全气囊可能密封不当，会导致湿气进入推进剂。如果推进剂随后变干，可能会导致密度降低，从而造成燃烧速率过高。因此，安全气囊可能无法按设计展开，提供的防护不足，增加受伤的风险。 版权所有：国家市场监督管理总局缺陷产品管理中心 京ICP备10046988号-35 备案号：京公海网安备110108001691号,【欧盟】宝马汽车召回,https://dpac.samr.gov.cn/qczh/gwzh/oum/202110/t20211014_100544.html
20211014,欧盟,起亚汽车,,召回发布日期：2021/10/8 召回发布国家或地区：欧盟 制造商：起亚 车型：Soul EV (SK3) Niro EV (DE) 召回数量：不详 缺陷及后果：汇流条开路导致车辆故障，产生 DTC。汇流条是用螺丝固定在喷油计算机（ECU）上的大插座，插头松动会导致喷油故障，从而有排放污染的风险。 版权所有：国家市场监督管理总局缺陷产品管理中心 京ICP备10046988号-35 备案号：京公海网安备110108001691号,【欧盟】起亚汽车召回,https://dpac.samr.gov.cn/qczh/gwzh/oum/202110/t20211014_100543.html
20211014,欧盟,Braun-Ability汽车座椅,,召回发布日期：2021/10/8 召回发布国家或地区：欧盟 制造商：Braun-Ability 车型：Turny Evo Bis 召回数量：不详 缺陷及后果：座椅支撑架可能有缺陷，从而引发故障。这可能会增加事故中人员受伤风险。 版权所有：国家市场监督管理总局缺陷产品管理中心 京ICP备10046988号-35 备案号：京公海网安备110108001691号,【欧盟】Braun-Ability汽车座椅召回,https://dpac.samr.gov.cn/qczh/gwzh/oum/202110/t20211014_100542.html
20211014,欧盟,现代汽车,,召回发布日期：2021/10/8 召回发布国家或地区：欧盟 制造商：现代 车型：Geness 召回数量：不详 缺陷及后果：液压电子控制单元 (HECU) 外壳中可能发生短路。这可能会导致发动机舱起火。 版权所有：国家市场监督管理总局缺陷产品管理中心 京ICP备10046988号-35 备案号：京公海网安备110108001691号,【欧盟】现代汽车召回,https://dpac.samr.gov.cn/qczh/gwzh/oum/202110/t20211014_100540.html
20211014,欧盟,保时捷汽车,,召回发布日期：2021/10/8 召回发布国家或地区：欧盟 制造商：保时捷 车型：Macan (S. GTS.Turbo) 召回数量：不详 缺陷及后果：耐受性不良加上外力可能会导致维护阀盖的下部与燃料输送装置法兰上的燃料入口连接器接触。因此，燃料入口连接器可能会损坏，导致燃料泄漏，增加了火灾风险。 版权所有：国家市场监督管理总局缺陷产品管理中心 京ICP备10046988号-35 备案号：京公海网安备110108001691号,【欧盟】保时捷汽车召回,https://dpac.samr.gov.cn/qczh/gwzh/oum/202110/t20211014_100541.html
20211014,韩国,梅赛德斯-奔驰汽车,,"召回发布日期：2021/10/8 召回发布国家或地区：韩国 制造商：梅赛德斯-奔驰汽车（韩国）有限公司 车型：S 500 4MATIC, S 580 4MATIC, Maybach S 580 4MATIC 召回数量：331 缺陷及后果：召回原因为供应商生产工艺错误使得燃油箱内吸入式喷射泵 (suction jet pump) 的喷嘴固定不良，喷嘴从泵内脱离，导致仪表盘的油表虽然显示燃油箱剩油，但油箱内备用油箱无法向主油箱输送燃油，行驶中发动机停止可能增加碰撞风险 版权所有：国家市场监督管理总局缺陷产品管理中心 京ICP备10046988号-35 备案号：京公海网安备110108001691号",【韩国】梅赛德斯-奔驰汽车召回,https://dpac.samr.gov.cn/qczh/gwzh/hangg/202110/t20211014_100539.html
20211014,韩国,梅赛德斯-奔驰汽车,,召回发布日期：2021/10/8 召回发布国家或地区：韩国 制造商：梅赛德斯-奔驰汽车（韩国）有限公司 车型：EQC 400 4MATIC 召回数量：714 缺陷及后果：召回原因为装配工艺中电动式动力转向的接线包覆损坏处受潮，使得电动式动力转向控制单元内部受潮而无法正常工作，进而导致方向盘沉重，电动式动力转向功能失效，增加碰撞风险。 版权所有：国家市场监督管理总局缺陷产品管理中心 京ICP备10046988号-35 备案号：京公海网安备110108001691号,【韩国】梅赛德斯-奔驰汽车召回,https://dpac.samr.gov.cn/qczh/gwzh/hangg/202110/t20211014_100538.html
20211014,韩国,梅赛德斯-奔驰汽车,,召回发布日期：2021/10/8 召回发布国家或地区：韩国 制造商：梅赛德斯-奔驰汽车（韩国）有限公司 车型：CLA 250 4MATIC Coupe 等 124 个车型 召回数量：6602 缺陷及后果：召回原因为紧急通信系统 (eCall) 的通信模块软件不符合配置，车辆碰撞导致通信模块暂时性断电时无法传送车辆定位，导致延迟救助时间，对乘客安全造成影响（自动和手动紧急通话功能正常）。各问题车辆的生产日期可能不同，详情请咨询制造商客服中心。 版权所有：国家市场监督管理总局缺陷产品管理中心 京ICP备10046988号-35 备案号：京公海网安备110108001691号,【韩国】梅赛德斯-奔驰汽车召回,https://dpac.samr.gov.cn/qczh/gwzh/hangg/202110/t20211014_100537.html
20211014,韩国,梅赛德斯-奔驰汽车,,"召回发布日期：2021/10/8 召回发布国家或地区：韩国 制造商：梅赛德斯-奔驰汽车（韩国）有限公司 车型：GLE 350 e 4MATIC, GLE 350 e 4MATIC Coupe 召回数量：661 缺陷及后果：召回原因为生产工艺错误使得充电模式（单相）的充电电流（标准值：16A，实际值：最大 32A）超过标准值，车辆电磁波干扰电压增加，电磁波强度升高，妨碍接收车辆附近的 CB 广播，不符合《汽车及汽车零部件性能和标准的有关规定》的第 107 条（电磁波适当性）规定。 版权所有：国家市场监督管理总局缺陷产品管理中心 京ICP备10046988号-35 备案号：京公海网安备110108001691号",【韩国】梅赛德斯-奔驰汽车召回,https://dpac.samr.gov.cn/qczh/gwzh/hangg/202110/t20211014_100536.html
20211014,韩国,大众奥迪汽车,,召回发布日期：2021/10/8 召回发布国家或地区：韩国 制造商：韩国大众奥迪汽车有限公司 车型：Arteon 2.0 TDI 召回数量：1 缺陷及后果：召回原因为在某特定时间内生产的车辆有制造工艺错误，使得制动伺服系统（助力器）连接的传压杆未达到扭矩，可能造成传压杆从制动真空助力器脱离，制动踏板无法正常工作，导致制动功能失效，增加事故风险。 版权所有：国家市场监督管理总局缺陷产品管理中心 京ICP备10046988号-35 备案号：京公海网安备110108001691号,【韩国】大众奥迪汽车召回,https://dpac.samr.gov.cn/qczh/gwzh/hangg/202110/t20211014_100535.html
20211014,日本,吉普汽车,,召回发布日期：2021/10/7 召回发布国家或地区：日本 制造商：FCA日本株式会社 车型：Wrangler Unlimited（牧马人） 召回数量：462 缺陷及后果：由于燃油系统的燃油供给管道接头的制造管理不当，燃料供给管道接头的强度可能不够。因此，在使用过程中，燃料供给管道接头开裂导致燃油泄漏，严重情况下，可能会导致火灾。 版权所有：国家市场监督管理总局缺陷产品管理中心 京ICP备10046988号-35 备案号：京公海网安备110108001691号,【日本】吉普汽车召回,https://dpac.samr.gov.cn/qczh/gwzh/rb/202110/t20211014_100547.html
20211014,日本,日产MT汽车,,召回发布日期：2021/10/7 召回发布国家或地区：日本 制造商：日产汽车株式会社 车型：劲客 召回数量：35111 缺陷及后果：由于用于固定后排右座中心侧的儿童安全座椅的ISOFIX下侧固定支架的成型不正确，支架嵌合部分的尺寸比规定尺寸小，严重情况下，可能无法安装儿童安全座椅。 版权所有：国家市场监督管理总局缺陷产品管理中心 京ICP备10046988号-35 备案号：京公海网安备110108001691号,【日本】日产MT汽车召回,https://dpac.samr.gov.cn/qczh/gwzh/rb/202110/t20211014_100548.html
20211014,日本,宾利汽车,,召回发布日期：2021/10/7 召回发布国家或地区：日本 制造商：大众集团日本株式会社 车型：欧陆GT、欧陆GT V8、欧陆GT敞篷版、欧陆GT V8敞篷版 召回数量：795 缺陷及后果：由于主驾驶和副驾驶的电动座椅控制电脑的程序不正确，当使用自动移动模式时，前排座椅的靠背下部和后排座椅的之间的间距会变窄。因此，当乘客使用座椅自动移动模式时，严重情况下，后排乘客的小腿被前排座椅夹住，可能会受伤。 版权所有：国家市场监督管理总局缺陷产品管理中心 京ICP备10046988号-35 备案号：京公海网安备110108001691号,【日本】宾利汽车召回,https://dpac.samr.gov.cn/qczh/gwzh/rb/202110/t20211014_100546.html
20211014,德国,保时捷汽车,,召回发布日期：2021/10/7 召回发布国家或地区：德国 制造商：保时捷汽车公司 车型：Cayman、Boxster 召回数量：2255 缺陷及后果：可能安装了制造不当的后桥支架部件。有缺陷的部件可能会影响车轮控制并导致卡嗒卡嗒的噪音。 版权所有：国家市场监督管理总局缺陷产品管理中心 京ICP备10046988号-35 备案号：京公海网安备110108001691号,【德国】保时捷汽车召回,https://dpac.samr.gov.cn/qczh/gwzh/deg/202110/t20211014_100534.html
20211013,德国,福特汽车,,召回发布日期：2021/10/6 召回发布国家或地区：德国 制造商：福特汽车公司 车型：Galaxy、S-MAX、Mondeo 召回数量：141156 缺陷及后果：某些Takata安全气囊充气机（驾驶员侧）中的推进剂在暴露于某些气候条件时会随时间变化。时间、高温波动和湿度的组合有助于推进剂在这些气囊气体发生器中的降解。这种降解可导致推进剂在发生意外时燃烧过快，其结果是在气体发生器的内部产生高压，这在极端情况下会导致气体发生器在需要安全气囊的碰撞事件中破裂。破裂的安全气囊会将部分安全气囊抛向车辆乘员，从而导致严重伤害或死亡。 版权所有：国家市场监督管理总局缺陷产品管理中心 京ICP备10046988号-35 备案号：京公海网安备110108001691号,【德国】福特汽车召回,https://dpac.samr.gov.cn/qczh/gwzh/deg/202110/t20211013_100433.html
20211013,澳大利亚,杜卡迪摩托车,,召回发布日期：2021/10/5 召回发布国家或地区：澳大利亚 制造商：杜卡迪汽车控股公司 车型：HYPERMOTARD 950 SP 召回数量：11 缺陷及后果：随着时间的推移，侧撑安装支架可能会损坏，在停放摩托车时失效。如果发生这种情况，摩托车可能会歪倒，这可能会增加骑手和/或乘客或旁观者受伤的风险。 版权所有：国家市场监督管理总局缺陷产品管理中心 京ICP备10046988号-35 备案号：京公海网安备110108001691号,【澳大利亚】杜卡迪摩托车召回,https://dpac.samr.gov.cn/qczh/gwzh/adly/202110/t20211013_100485.html
20211013,澳大利亚,丰田汽车,,召回发布日期：2021/10/5 召回发布国家或地区：澳大利亚 制造商：丰田汽车澳大利亚有限公司 车型：普锐斯 召回数量：7 缺陷及后果：由于车辆电子控制单元（ECU）中的软件故障，行驶时可能会出现动力损失。如果发生这种情况，警告灯将亮起，车辆的混合动力系统将关闭。失去动力可能会增加事故造成车辆乘员和/或其他道路使用者受伤或死亡的风险。 版权所有：国家市场监督管理总局缺陷产品管理中心 京ICP备10046988号-35 备案号：京公海网安备110108001691号,【澳大利亚】丰田汽车召回,https://dpac.samr.gov.cn/qczh/gwzh/adly/202110/t20211013_100484.html
20211013,德国,西雅特汽车,,召回发布日期：2021/10/5 召回发布国家或地区：德国 制造商：西雅特汽车公司 车型：Cupra Leon、Formentor 召回数量：1250 缺陷及后果：前排安全带的固定错误。在发生事故或急刹车时，车辆乘员得不到保护，存在受伤的风险。 版权所有：国家市场监督管理总局缺陷产品管理中心 京ICP备10046988号-35 备案号：京公海网安备110108001691号,【德国】西雅特汽车召回,https://dpac.samr.gov.cn/qczh/gwzh/deg/202110/t20211013_100432.html
20211013,欧盟,沃尔沃汽车,,"召回发布日期：2021/10/1 召回发布国家或地区：欧盟 制造商：沃尔沃 车型：S60,V60, XC60, V60CC, S90, V90, XC90, S90L, V90CC, XC40 召回数量：不详 缺陷及后果：电机转子轴与制动系统液压单元中的磁体组件之间的焊接连接可能会部分或全部缺失。因此，制动助力、防抱死制动系统 (ABS) 和电子稳定控制 (ESC) 可能会被禁用，导致减速低于正常水平，从而增加发生事故的风险。 版权所有：国家市场监督管理总局缺陷产品管理中心 京ICP备10046988号-35 备案号：京公海网安备110108001691号",【欧盟】沃尔沃汽车召回,https://dpac.samr.gov.cn/qczh/gwzh/oum/202110/t20211013_100478.html
20211013,欧盟,三菱汽车,,召回发布日期：2021/10/1 召回发布国家或地区：欧盟 制造商：三菱 车型：Eclipse Cross 召回数量：不详 缺陷及后果：高速行驶时，右前轮拱饰条上的夹子可能会脱落。因此，轮拱饰条可能会完全脱落，增加事故风险。 版权所有：国家市场监督管理总局缺陷产品管理中心 京ICP备10046988号-35 备案号：京公海网安备110108001691号,【欧盟】三菱汽车召回,https://dpac.samr.gov.cn/qczh/gwzh/oum/202110/t20211013_100477.html
20211013,欧盟,保时捷汽车,,召回发布日期：2021/10/1 召回发布国家或地区：欧盟 制造商：保时捷 车型：Cayman / Boxster (981) 召回数量：不详 缺陷及后果：后轴上的支架侧板可能有缺陷，这可能导致支架侧板上用于悬架叉杆的两个槽之一断裂。这可能会影响车轮的控制，导致车辆失控，增加事故风险。 版权所有：国家市场监督管理总局缺陷产品管理中心 京ICP备10046988号-35 备案号：京公海网安备110108001691号,【欧盟】保时捷汽车召回,https://dpac.samr.gov.cn/qczh/gwzh/oum/202110/t20211013_100476.html
20211013,欧盟,奥迪汽车,,召回发布日期：2021/10/1 召回发布国家或地区：欧盟 制造商：奥迪 车型：A3、Q3 召回数量：不详 缺陷及后果：机电制动助力器和制动踏板之间的压力输入轴螺栓可能松动。因此，制动踏板和制动助力器之间的机械连接 将不再得到保证，从而增加了发生事故的风险。在紧急情况下，可以通过激活电子驻车制动器使车辆停止移动。 版权所有：国家市场监督管理总局缺陷产品管理中心 京ICP备10046988号-35 备案号：京公海网安备110108001691号,【欧盟】奥迪汽车召回,https://dpac.samr.gov.cn/qczh/gwzh/oum/202110/t20211013_100474.html
20211013,欧盟,西雅特汽车,,"召回发布日期：2021/10/1 召回发布国家或地区：欧盟 制造商：西雅特 车型：Leon, CUPRA 召回数量：不详 缺陷及后果：由于制造错误，前排座椅的安全带锚固点可能不足。发生碰撞或突然制动时会影响安全带的保护作用，增加受伤的风险。 版权所有：国家市场监督管理总局缺陷产品管理中心 京ICP备10046988号-35 备案号：京公海网安备110108001691号",【欧盟】西雅特汽车召回,https://dpac.samr.gov.cn/qczh/gwzh/oum/202110/t20211013_100475.html
20211013,欧盟,Can-Am四轮全地形车,,"召回发布日期：2021/10/1 召回发布国家或地区：欧盟 制造商：Can-Am 车型：Traxter, Defender 召回数量：不详 缺陷及后果：CVT 进气口可能会被雪完全阻塞。这种情况下，如果是高负载，传动皮带可能会过热、碎裂并从 CVT 外壳处起火。 版权所有：国家市场监督管理总局缺陷产品管理中心 京ICP备10046988号-35 备案号：京公海网安备110108001691号",【欧盟】Can-Am四轮全地形车召回,https://dpac.samr.gov.cn/qczh/gwzh/oum/202110/t20211013_100473.html
20211013,欧盟,斯柯达汽车,,召回发布日期：2021/10/1 召回发布国家或地区：欧盟 制造商：斯柯达 车型：速派 召回数量：不详 缺陷及后果：制动踏板和制动助力器之间推杆的螺纹连接可能会脱落。因此，脚制动踏板将不起作用，增加了发生事故的风险。 版权所有：国家市场监督管理总局缺陷产品管理中心 京ICP备10046988号-35 备案号：京公海网安备110108001691号,【欧盟】斯柯达汽车召回,https://dpac.samr.gov.cn/qczh/gwzh/oum/202110/t20211013_100472.html
20211013,欧盟,梅赛德斯-奔驰汽车,,召回发布日期：2021/10/1 召回发布国家或地区：欧盟 制造商：梅赛德斯-奔驰 车型：GLB 召回数量：不详 缺陷及后果：安全气囊控制单元中的软件可能无法正确识别安全带负载限制器（驾驶员和乘客座椅）的触发点。如果发生正面碰撞触发约束系统，这可能会增加车辆乘员受伤的风险。 版权所有：国家市场监督管理总局缺陷产品管理中心 京ICP备10046988号-35 备案号：京公海网安备110108001691号,【欧盟】梅赛德斯-奔驰汽车召回,https://dpac.samr.gov.cn/qczh/gwzh/oum/202110/t20211013_100471.html
20211013,欧盟,曼恩巴士/客车,,召回发布日期：2021/10/1 召回发布国家或地区：欧盟 制造商：曼恩 车型：Lions City 召回数量：不详 缺陷及后果：由于连接错误，内部铰链门可能很容易打开。这可能导致乘客摔倒在路上。 版权所有：国家市场监督管理总局缺陷产品管理中心 京ICP备10046988号-35 备案号：京公海网安备110108001691号,【欧盟】曼恩巴士/客车召回,https://dpac.samr.gov.cn/qczh/gwzh/oum/202110/t20211013_100469.html
20211013,欧盟,ABT e-Line汽车,,"召回发布日期：2021/10/1 召回发布国家或地区：欧盟 制造商：ABT e-Line 车型：ABT e-Transporter, ABT e-Caravelle, ABT e-Transporter 6.1, ABT e-Caravelle 6.1 召回数量：不详 缺陷及后果：电源可能会出现故障，这可能导致车辆电气系统出现故障。这将关闭驱动器、灯光和动力转向辅助系统，增加发生事故的风险。 版权所有：国家市场监督管理总局缺陷产品管理中心 京ICP备10046988号-35 备案号：京公海网安备110108001691号",【欧盟】ABT e-Line汽车召回,https://dpac.samr.gov.cn/qczh/gwzh/oum/202110/t20211013_100470.html
20211013,欧盟,福特汽车,,"召回发布日期：2021/10/1 召回发布国家或地区：欧盟 制造商：福特 车型：S-MAX, Galaxy, Mondeo 召回数量：不详 缺陷及后果：由于发动机没有足够的冷却剂，因此，发动机气缸盖可能会局部过热。这可能会导致气缸盖破裂，造成增压油泄漏，进而导致发动机室起火。 版权所有：国家市场监督管理总局缺陷产品管理中心 京ICP备10046988号-35 备案号：京公海网安备110108001691号",【欧盟】福特汽车召回,https://dpac.samr.gov.cn/qczh/gwzh/oum/202110/t20211013_100468.html
20211013,欧盟,保时捷汽车,,召回发布日期：2021/10/1 召回发布国家或地区：欧盟 制造商：保时捷 车型：Macan 召回数量：不详 缺陷及后果：乘客座椅上占用传感器垫的导电材料可能会撕裂。这可能会导致乘客侧前排安全气囊因错误的座位占用检测而停用，从而增加发生事故时受伤的风险。 版权所有：国家市场监督管理总局缺陷产品管理中心 京ICP备10046988号-35 备案号：京公海网安备110108001691号,【欧盟】保时捷汽车召回,https://dpac.samr.gov.cn/qczh/gwzh/oum/202110/t20211013_100466.html
20211013,欧盟,奥迪汽车,,召回发布日期：2021/10/1 召回发布国家或地区：欧盟 制造商：奥迪 车型：e-tron 召回数量：不详 缺陷及后果：制动助力器上的焊接可能有缺陷，这可能导致制动助力器、ABS和ESP失效。造成制动距离增加，降低车辆在制动时的机动性，从而增加发生事故的风险。 版权所有：国家市场监督管理总局缺陷产品管理中心 京ICP备10046988号-35 备案号：京公海网安备110108001691号,【欧盟】奥迪汽车召回,https://dpac.samr.gov.cn/qczh/gwzh/oum/202110/t20211013_100467.html
20211013,欧盟,保时捷汽车,,召回发布日期：2021/10/1 召回发布国家或地区：欧盟 制造商：保时捷 车型：Cayenne S 柴油 召回数量：不详 缺陷及后果：由于默认的发动机控制单元的数据版本，受影响的车辆可能不符合规定的排放限制。 版权所有：国家市场监督管理总局缺陷产品管理中心 京ICP备10046988号-35 备案号：京公海网安备110108001691号,【欧盟】保时捷汽车召回,https://dpac.samr.gov.cn/qczh/gwzh/oum/202110/t20211013_100465.html
20211013,欧盟,保时捷汽车,,召回发布日期：2021/10/1 召回发布国家或地区：欧盟 制造商：保时捷 车型：Cayenne S 柴油 召回数量：不详 缺陷及后果：由于默认的发动机控制单元的数据版本，受影响的车辆可能不符合规定的排放限制。 版权所有：国家市场监督管理总局缺陷产品管理中心 京ICP备10046988号-35 备案号：京公海网安备110108001691号,【欧盟】保时捷汽车召回,https://dpac.samr.gov.cn/qczh/gwzh/oum/202110/t20211013_100463.html
20211013,欧盟,保时捷汽车,,"召回发布日期：2021/10/1 召回发布国家或地区：欧盟 制造商：保时捷 车型：718 Cayman / Boxster (Spyder, GT4, GTS4,0) 召回数量：不详 缺陷及后果：由于制造缺陷，气缸组2上的高压燃料管上的密封可能有缺陷。这可能导致燃料从高压传感器上的螺钉连接处泄漏，增加火灾风险。 版权所有：国家市场监督管理总局缺陷产品管理中心 京ICP备10046988号-35 备案号：京公海网安备110108001691号",【欧盟】保时捷汽车召回,https://dpac.samr.gov.cn/qczh/gwzh/oum/202110/t20211013_100464.html
20211013,欧盟,雷克萨斯、丰田汽车,,"召回发布日期：2021/10/1 召回发布国家或地区：欧盟 制造商：雷克萨斯、丰田 车型：Corolla, Yaris, Highlander, RAV4, UX200, UX300e 召回数量：不详 缺陷及后果：由于特定软件更新错误，可能导致突然重置，造成数据通信模块 (DCM) 损坏。因此，将无法再使用 eCall 系统发起紧急呼叫。 版权所有：国家市场监督管理总局缺陷产品管理中心 京ICP备10046988号-35 备案号：京公海网安备110108001691号",【欧盟】雷克萨斯、丰田汽车召回,https://dpac.samr.gov.cn/qczh/gwzh/oum/202110/t20211013_100462.html
20211013,欧盟,现代汽车,,召回发布日期：2021/10/1 召回发布国家或地区：欧盟 制造商：现代 车型：途胜 (Tucson) 召回数量：不详 缺陷及后果：帘式安全气囊可能无法按预期展开。这可能会增加事故中受伤的风险。 版权所有：国家市场监督管理总局缺陷产品管理中心 京ICP备10046988号-35 备案号：京公海网安备110108001691号,【欧盟】现代汽车召回,https://dpac.samr.gov.cn/qczh/gwzh/oum/202110/t20211013_100461.html
20211013,欧盟,梅赛德斯-奔驰皮卡车,,召回发布日期：2021/10/1 召回发布国家或地区：欧盟 制造商：梅赛德斯-奔驰 车型：X 级 召回数量：不详 缺陷及后果：顶篷上的后窗可能会破裂。 版权所有：国家市场监督管理总局缺陷产品管理中心 京ICP备10046988号-35 备案号：京公海网安备110108001691号,【欧盟】梅赛德斯-奔驰皮卡车召回,https://dpac.samr.gov.cn/qczh/gwzh/oum/202110/t20211013_100460.html
