序号,事件标题,日期,链接,数据来源,投诉对象,投诉要求,投诉内容,投诉进度
14,台铃电动车服务态度差骗消费者买车后不顾消费者权益,2021-10-19,https://tousu.sina.com.cn/complaint/view/17355488970/,投诉,台铃电动车,"赔偿解释,道歉,改善服务,费用赔偿,维修,延保",在台铃买到一台国标新款电动车，一个月修车修了三次 救援6次 台铃师傅打电话给我说叫我去拿车，拿车的时候客服什么都不会，车找不见 一问三不知 还要我打电话给师傅问我的车在哪里，我不懂客服的作用是什么拿车之后开到售后旁边就开始出问题了，师傅叫我自己推上去 第一我是女生 第二我不懂什么叫道路救援了，师傅叫我...,处理中
15,电动座椅打不开 客服承诺报销费用 要求报销118元 以及赔偿100元,2021-10-19,https://tousu.sina.com.cn/complaint/view/17355495533/,投诉,小刀电动车官方,"赔偿解释,道歉,费用赔偿",在小刀骑行旗舰店购买的电动车48V12A 3C 拼装轮胎后发现座椅打不开，联系客服发视频说要我捅一下就开了，我试了两天，然后实在打不开，客服承诺报销费用，我说可以，叫师傅维修，打开后发现，里面的钢丝绳是脱落的，根本就不符合出厂质检的标准，对我造成了时间上和精神上的损失，要求商家报销118元费用 同时补偿100元,处理中
16,京东的爱玛电动车官方旗舰店存在虚假宣传，高价低配的情况,2021-10-15,https://tousu.sina.com.cn/complaint/view/17355437988/,投诉,爱玛电动车,"赔偿,作出处罚,修改宣传内容",我在2021年8月15号在京东上爱玛官方旗舰店购买了一款爱玛（AIMA）壹号A500石墨烯电池时尚长续航电动车摩托车电瓶车，介绍里面说的是百公里，实际续航只能存在40-55公里左右，我试驾了两个多月发现这辆电动车远远不值这个价格，不仅售后问题比较严重，而且我过去指定运维点让保养的时候他们说这辆车都没有进行官方app绑定...,处理中
17,售后不积极解决问题,2021-10-16,https://tousu.sina.com.cn/complaint/view/17355433792/,投诉,台铃电动车,维修,3599买的电动车，在买之前口口声声什么都说好，号称售后多么多么好，但是买完车之后，态度冷淡，实际上一些小配件都“没有”。 图1零件不知道什么时候掉了，去到售后处答复说一车只有一块，没有配，也没有卖。 希望商家补发零件。,已回复
18,保修期内报警器坏，不给更换,2021-09-19,https://tousu.sina.com.cn/complaint/view/17355026818/,投诉,绿源电动车,"维修,保修期内报警器坏不换",保修期内，报警器坏少一个遥控器，不给更换报警器我要求只换回一个遥控器就可以，售后服务态度非常差，400电话拨打几十分钟接不通售后互相推诿,已回复
19,虚假宣传，续航里程虚假宣传,2021-09-21,https://tousu.sina.com.cn/complaint/view/17355056862/,投诉,绿源电动车,赔偿解释,续航里程虚假宣传，房间内空转也只能60左右，标题虚假宣传，而且买之前还问他618会不会掉价，说的不会结果618当晚降100，联系客服无人回答,已回复
20,买车的时候承诺三年内可换新电池，现在又变成两年内，超过两年不换,2021-09-25,https://tousu.sina.com.cn/complaint/view/17355124958/,投诉,爱玛电动车,更换新的电动车电池,2019年8月5日去买车的时候店家承诺三年内可免费更换新的电池，两年一个月（2021年9月）的时候去换电池，店家说是两年内可以换电池，并且换的不是新的，是二次使用的电池，说之前卖车的口误了，说已经超过两年，没办法更换，拒不解决。有录音，店里老板承认，卖车的时候是承诺三年，但是当时说错了。,处理中
21,台铃电动车中“铃行保服务”中的丢车24小时内报险服务并未让本人知情,2021-10-02,https://tousu.sina.com.cn/complaint/view/17355227332/,投诉,台铃电动车,同意理赔,本人与于2021年8月18日在线下购入一辆台铃电动车，同时购买了“铃行保服务”。在本人购买“铃行保”之后，并未给本人知情有关于“铃行保”任何的条款和注意事项。于2021年9月28日丢车后，询问过售车员，购买“铃行保”后有没有注意事项的单子，售车人的回答是没有，在2021年9月30日拿到受案回执再去询问售车员该怎么处理，售车员...,已回复
22,锦州小刀电动车服务敷衍，电动车质量差,2021-10-11,https://tousu.sina.com.cn/complaint/view/17355353000/,投诉,小刀电动车,"作出处罚,换货",刚到家，不到3天去了，售后2次，一次找店长，服务敷衍，不解决问题，骑着前轮异响，后轮特别晃，找当地修车看了后轮有毛病，不敢快骑. 新电动车质量差,已完成
23,台铃电动车,2021-09-12,https://tousu.sina.com.cn/complaint/view/17354901888/,投诉,台铃电动车,"赔偿解释,维修",佛山市南海区丹灶镇曹承珍摩托车经营部，做为台铃电动车丹灶镇授权经销商 1.欺诈顾客，以2020年5月份翻新旧电池装新车销售损害消费者生命安全 2.新车使用过程中不到一个月，电池就出现严重发热、鼓包现象，幸亏及时发现才未出现着火、爆炸伤害到骑车人 3.虚开发票，偷税漏水，原价1960元电动车只开400元发票,处理中
24,补电动车轮胎被敲诈58元修补费,2021-09-05,https://tousu.sina.com.cn/complaint/view/17354715290/,投诉,小鸟电动车,赔偿,去年在小鸟电动车店铺购买的电动车，当时说的挺好，终身免费保修，今天下雨天后轮胎被扎去补胎收我58，典型的敲诈,待分配
25,台铃铃行保丢车后索要派出所无法出具的证明，增加免赔20%,2021-09-13,https://tousu.sina.com.cn/complaint/view/17354918073/,投诉,台铃电动车,"费用赔偿,退款",我于2020年9月份购买台铃电动车一辆，附赠丢失包赔险。2021年7月23日车辆丢失，报保险后，理赔后台负责人一次次刁难，需要各种证明，发票格式不正确等，过程反复两个多月。并且强调必须有警方车辆未找到证明，一次次的去和当地派出所沟通，派出所明确说，证明属于不合理证明，保险部门如不相信车辆是否未找到，可以随时...,处理中
26,充电器爆炸,2021-09-08,https://tousu.sina.com.cn/complaint/view/17354850242/,投诉,台铃电动车,"道歉,退款",昨天刚买的，电车，骑了一天用来买菜，今天第一次充电，充电器就炸了，找老板不予以解释，就说换一个充电器，还承认了质量问题，那换一个新的，都是同一批货难道不会有质量问题吗,处理中
27,服务不好更换零件要收费不应该在保险内吗？质量问题保险到低那些,2021-09-08,https://tousu.sina.com.cn/complaint/view/17354840001/,投诉,台铃电动车,"费用赔偿,维修",不知道她们的保险流程和更换要收费服务不好敷衍了事，提问不给回复质量有问题,处理中
28,锂电池充电器被换成铅氯电充电器,2021-09-07,https://tousu.sina.com.cn/complaint/view/17354826175/,投诉,台铃电动车,"赔偿解释,道歉,改善服务,维修,延保","于2019年8月在太原顶好2店购入台铃小酷豆l-g电动车,随后于8月底因私出国。之后一直都没有怎么使用电动车。2021年上半年开始出现动力不足，充电不满的情况，遂2021年9月7日上午前去检修。到店后由店员提示才发现原应配备的锂电池充电器被错误拿成铅氯酸电池。去售后咨询之后售后店员也没有丝毫道歉之意，一直在不断诉说他...",处理中
29,新日电动车燕郊行宫西大街店,2021-09-08,https://tousu.sina.com.cn/complaint/view/17354850390/,投诉,新日电动车,"道歉,改善服务,维修,退款",于9.3提车，当日出现颠簸异响，店内人员通过加紧螺丝解决，9.7发现前右侧转向灯不亮，车辆颠簸再次异响，于当日晚到店提出维修申请，店家于今日较晚，明日再开维修为由将我推走，并当日留下车辆信息（拍照），次日9.8晚，1930分左右到店再次申请维修，并未得到回复，并且店员以看见你都怕了，都跑了，来我们这比上班...,处理中
30,云南曲靖市台铃电动车（麒麟西路店）欺诈行为,2021-09-06,https://tousu.sina.com.cn/complaint/view/17354803754/,投诉,台铃电动车,赔偿解释,9月1日在麒麟西路店买了一辆台铃可耀电动车，付了款老板帮上牌需要身份证，说第二天过来，第二天去说没搞好，第三天去又说还没下来，9月4日说牌上好了。我9月5日去提车，一开出来看显示屏已经开了333公里，打电话问他他说没事的，让我开回去把数字清零就可以了，我说你这不是作假吗他也不给我解释。我对车不懂，这车是...,已回复
31,台铃电动车铃行宝虚假宣传，拖延理赔时间，拒绝理赔,2021-09-08,https://tousu.sina.com.cn/complaint/view/17354843490/,投诉,台铃电动车,"赔偿解释,铃行宝理赔",本人购买的台铃电动车（附有电动车资料图片）被盗窃（附有报案图片），根据“铃行保”保险告知书，按照保险合同约定资料邮寄后可负责赔偿（附有告知书图片）。本人根据客服提示，将保险资料邮寄给保险公司，并于2021年8月13日到达指定地点（附有快递信息截图）。然打电话询问说告知书只是大概，具体需要十五个工作日才能完...,处理中
32,台铃电动车强卖展车，电动车行驶中断电不解决。售后无人接听,2021-09-02,https://tousu.sina.com.cn/complaint/view/17354746613/,投诉,台铃电动车,"赔偿解释,召回,退款",8月4日购买台铃n8电动车，购买的时候知道是展车不想要，跟老板说再发一辆新的，老板说车辆没有问题，如果有问题找他换车，购买时一直没给我看已跑多少公里。回到家发现车辆已跑200多公里，但是因为已经买了，也懒得多纠缠。官方宣传能跑160公里其实只有60公里左右，宣传离车辆近自动解锁离车辆远自动上锁功能也没有。8月...,已回复
33,虚假宣传，续航里程虚假宣传,2021-09-21,https://tousu.sina.com.cn/complaint/view/17355056862/,投诉,绿源电动车,赔偿解释,续航里程虚假宣传，房间内空转也只能60左右，标题虚假宣传，而且买之前还问他618会不会掉价，说的不会结果618当晚降100，联系客服无人回答,已回复
34,买车的时候承诺三年内可换新电池，现在又变成两年内，超过两年不换,2021-09-25,https://tousu.sina.com.cn/complaint/view/17355124958/,投诉,爱玛电动车,更换新的电动车电池,2019年8月5日去买车的时候店家承诺三年内可免费更换新的电池，两年一个月（2021年9月）的时候去换电池，店家说是两年内可以换电池，并且换的不是新的，是二次使用的电池，说之前卖车的口误了，说已经超过两年，没办法更换，拒不解决。有录音，店里老板承认，卖车的时候是承诺三年，但是当时说错了。,处理中
35,爱玛京东自营旗舰店不退款,2021-10-02,https://tousu.sina.com.cn/complaint/view/17355238918/,投诉,爱玛电动车,退款,因为收到的电动车前车轮歪，前叉一高一低，车把下方螺母损坏，申请退款，开始是拒绝退换货，只给补发配件，找了京东客服才同意退货，9月30晚上爱玛客服找的物流公司前来将电动车取走，10月1日询问能否退款，客服说需要物流将物流信息上传才能退款，10月2日上午询问能否退款，上午11点26分回复可以退款已收到物流信息，下...,处理中
36,爱玛电动车刹车系统故障,2021-10-06,https://tousu.sina.com.cn/complaint/view/17355290131/,投诉,爱玛电动车,"赔偿解释,改善服务,维修",2020年9月16号到爱玛门店买的电动三轮车，然后半年时间不到，2020年12月20号，电动车出现质量问题，刹车异响故障，到2021年9月16号之前，维修过三次，每次维修后好不到一星期，又开始异响，然后门店人说他们也没办法，打爱玛客服电话，不承认质量问题，态度强硬，售后不明确,已完成
37,电动车连锁商家只骗顾客购买，其他问题都不关他们的事,2021-09-25,https://tousu.sina.com.cn/complaint/view/17355124279/,投诉,小刀电动车官方,"赔偿解释,开票",我在2020年12月陪残疾的爸爸去买电动三轮车，当时前往的成都市锦江区经华南路小刀电动车店看车，第一次购车3800元购买了一辆无电池的三轮车，之后由于车辆问题，于2021年7月加价1000元更换了另一辆车。2次购买都没有一个正规发票，并且车辆多次出现问题。现在9月份，因为新下达的新国标电动车的法规，我们前往店里更换发...,处理中
38,绿源电动车上路三天出现问题,2021-09-22,https://tousu.sina.com.cn/complaint/view/17355080610/,投诉,绿源电动车,换新,京东旗舰店买的车子，车座是破损的，我没说什么，同意换零件，喇叭只使用过一次，今天第三天就不响了，后车骑行时会有异响，去了两个修车铺都维修成功，要求京东旗舰店换新，不给换，让我去检测，有重大质量问题才给换，才三天车子就有问题，严重怀疑车子质量，怕自己我行时出现事故,已回复
39,电动座椅打不开 客服承诺报销费用 要求报销118元 以及赔偿100元,2021-10-19,https://tousu.sina.com.cn/complaint/view/17355495533/,投诉,小刀电动车官方,"赔偿解释,道歉,费用赔偿",在小刀骑行旗舰店购买的电动车48V12A 3C 拼装轮胎后发现座椅打不开，联系客服发视频说要我捅一下就开了，我试了两天，然后实在打不开，客服承诺报销费用，我说可以，叫师傅维修，打开后发现，里面的钢丝绳是脱落的，根本就不符合出厂质检的标准，对我造成了时间上和精神上的损失，要求商家报销118元费用 同时补偿100元,处理中
40,虚假宣传，偷梁换柱，问题车,2021-10-06,https://tousu.sina.com.cn/complaint/view/17355290116/,投诉,绿源电动车,"赔偿解释,改善服务,维修",2021年5月11日晚购买，看的是小龟王那款，店主推荐的是48v 24a 400瓦电机这款，骑了3天，跟老板反馈动力太小，老板答复国标车就是这样。还有就是这个零时支架松动，造成翻车。左边车把中控喇叭接触不良，维修要收80，昨天400客服说可以免费修，今天的400客服跟店主一样，以各种理由拒绝维修。我们现在跟爱玛合作的同款电...,已回复
41,新郑市华南城小刀，服务问题,2021-10-16,https://tousu.sina.com.cn/complaint/view/17355452233/,投诉,小刀电动车官方,"改善服务,维修",刚买，没三个月就，好像是哪里烧掉了，车也没法骑 让他来修，他说远，让自己去，现在刚开学，车子买了七个月不到，还在保修期，电池有问题，也不看，一口认定是个人问题，现在让来换电池，三番四次不接电话，定好几回时间等人来，又往后推。,处理中
42,爱玛质量问题,2021-10-16,https://tousu.sina.com.cn/complaint/view/17355449706/,投诉,爱玛电动车,"赔偿,解释,维修",9月份购买电动车 之前完全没有症状 刚超出一年就没有办法行驶了 说电瓶坏了 爱玛电动车不止我一个这样情况,处理中
43,购买未满一年的爱玛电动车正常使用情况下电池鼓包，商家给换了一个二手电池。要求更换,2021-10-17,https://tousu.sina.com.cn/complaint/view/17355456251/,投诉,爱玛电动车,"维修,延保",购买未满一年的爱玛电动车正常使用情况下锂电池鼓包，商家以不在三包范围内给换了一个二手电池，想问怎么才算三包内的,已回复
44,京东的爱玛电动车官方旗舰店存在虚假宣传，高价低配的情况,2021-10-15,https://tousu.sina.com.cn/complaint/view/17355437988/,投诉,爱玛电动车,"赔偿,作出处罚,修改宣传内容",我在2021年8月15号在京东上爱玛官方旗舰店购买了一款爱玛（AIMA）壹号A500石墨烯电池时尚长续航电动车摩托车电瓶车，介绍里面说的是百公里，实际续航只能存在40-55公里左右，我试驾了两个多月发现这辆电动车远远不值这个价格，不仅售后问题比较严重，而且我过去指定运维点让保养的时候他们说这辆车都没有进行官方app绑定...,处理中
45,新车自然无人管,2021-09-25,https://tousu.sina.com.cn/complaint/view/17355120220/,投诉,宝岛电动车品牌,"退款,换车",车在正常行驶中突然起火燃烧刚刚购买三个月的新车行驶中突然起火燃烧售后没人管 打电话不接。根本无人受理。欺骗消费者,处理中
46,保修期内报警器坏，不给更换,2021-09-19,https://tousu.sina.com.cn/complaint/view/17355026818/,投诉,绿源电动车,"维修,保修期内报警器坏不换",保修期内，报警器坏少一个遥控器，不给更换报警器我要求只换回一个遥控器就可以，售后服务态度非常差，400电话拨打几十分钟接不通售后互相推诿,已回复
47,绿源速充乱扣费,2021-09-28,https://tousu.sina.com.cn/complaint/view/17355165696/,投诉,绿源电动车,退款,绿源速充乱扣费从8月一号开始每月扣费25元我根本没用过车,已回复
48,爱玛电动车（兰雁大道店）,2021-10-07,https://tousu.sina.com.cn/complaint/view/17355306798/,投诉,爱玛电动车,"道歉,改善服务,解释,守候态度太差",一个小毛病 让等了一个小时 早就去排队了 已老板说法 先修挣钱的 让我们等着 我想不应该按排队先后来吗,已完成
49,新买绿源旗舰店电动车锂电池出现裂痕官方不处理,2021-10-03,https://tousu.sina.com.cn/complaint/view/17355249178/,投诉,绿源电动车,"费用赔偿,退款,换新",九月十三号购买冲过一回电，6小时不敢冲满十月三号半路显示屏熄灭，可能没电推回家后提起电池发现电池出现裂痕 这是明显质量问题，厂里选择发外壳让我自己找维修店处理这太危险完全不把安全当回事,已回复
50,京东绿源电动车官方旗舰店第一名返现附加不合理规则,2021-10-14,https://tousu.sina.com.cn/complaint/view/17355417787/,投诉,绿源电动车,"退款,原价退款/恢复活动",10月3日在京东绿源电动车官方旗舰店下单一辆电瓶车，当天有第一名下单返1000元的活动，特意提前咨询客服怎么参与活动，只告知第一名返1000元，并不详细说明活动规则，实际上附加了好几条规则，特别是付款0-3秒订单直接取消活动资格，直接导致我的订单不仅不参加返现活动，赠品都没有，公布活动名单客服直接回复0-3秒订单...,已回复
51,三天内购买的新车，质量存在严重问题，不于退货,2021-09-17,https://tousu.sina.com.cn/complaint/view/17354998471/,投诉,小刀电动车官方,召回,新购买的车子不超过三天的情况下，里程不超过50公里，在使用过程中，车子自动断电超过10次，极其危险，反馈店家，说在使用过程中断电时正常行为，我觉得是严重质量问题，要求退货，但店家不予以实行三包政策，视消费者权益为粪土，服务态度极差，售后服务极差,处理中
52,霸王条款,2021-08-27,https://tousu.sina.com.cn/complaint/view/17354652079/,投诉,台铃电动车,费用赔偿,台铃电动车购买一个多月后被盗窃，根据购买时赠送的铃行保，第一时间报案，并在后续时间内补齐材料并邮寄到台铃中心理赔。期间一直在微信催理赔(人工热线客户电话一直打不通)，今日理赔中心说审核通过，处理了两个多月，铃行保做的宣传都是十个工作日理赔，今天去门店提车又告知我还需补交200元才可以提车，我当时就无语...,已回复
53,3月份换的新电池亏电,2021-09-28,https://tousu.sina.com.cn/complaint/view/17355174989/,投诉,爱玛电动车,换货,今年3月份换的新电瓶亏电怀疑是翻新店家口头应着换新的迟迟不给换货还拖拉,已回复
54,爱玛电动车刚买几天启动不了，车子充电一晚上显示没电,2021-10-01,https://tousu.sina.com.cn/complaint/view/17355219193/,投诉,爱玛电动车,退款,2021年9月23日我在福建省莆田市荔城区新度兄弟车行买了一辆爱玛电动车（悦豆二代），买回来之后发现车子有三个问题1.车子在10月1日发现启动不了，开了油门还是启动不了，并不是没充电，前天晚上充了晚上的电。2.充了一晚上的电，车子只显示一格电。3.前车灯、后车灯一闪一闪的，有故障。咨询了爱玛售后服务，商家态度...,已回复
55,爱玛电动车电池质保问题存在问题,2021-10-13,https://tousu.sina.com.cn/complaint/view/17355396916/,投诉,爱玛电动车,"赔偿解释,延保",于2019年9月份买的，去年有出现过电池充不满，骑一会儿就没电有反应过，但因为疫情没有过去，今年又出现过这种情况，过去检测，说电池坏了，电池膨胀，今天说因为充爆，反正各种说法，问正常充一次需要多久，刚刚开始都不正面回答 购买电动车的时候经销商那边的销售员也没交代怎么保养电池，注意安全事项等等 而且当初说...,已回复
56,绿源电动车有问题不维修不理人,2021-10-17,https://tousu.sina.com.cn/complaint/view/17355455283/,投诉,绿源电动车,换新或退款,我7.31号买车，南京还是疫情刚刚好转的时间准备买个车留着上班，买了inno7，说是可以用手机APP开关电，只到了9.22号APP就用不了了，一直让我打电话，一直到现在10.15没人和我联系，打了电话客服说有人给我处理好了。但是现在既没人给我打电话处理，我APP也用不了，就让我一直等，还在保修期内。客服也爱理不理的不处理事...,已回复
57,小白超人客服不予回复。,2021-09-12,https://tousu.sina.com.cn/complaint/view/17354913330/,投诉,小白超人共享电动车,"退款,恢复账号",9月8号使用小白超人共享电动车，我要做的事不会超过20分钟。使用约3分钟后我临时锁车，使用七分钟时我处理完了我的事情开始开锁，但是小程序一片空白，别人扫码试了也用不了这辆车。我等了很久还是不见好，而且也不早了客服估计不上班，于是把这个情况录了屏，又等了一会还是没好尝试打客服电话，客服接通后说系统正在重...,待分配
58,新买绿源电动车仪表盘有问题,2021-09-19,https://tousu.sina.com.cn/complaint/view/17355025149/,投诉,绿源电动车,"道歉,作出处罚,改善服务,解释",2021.3月买的绿源电动车，5月仪表盘有问题，当时没注意，后来严重与实际电量不符，就去了西安绿源售后两次，那边工作人员不管，说好着，回去骑骑再看，后来与绿源售后总部沟通几天，提供视频，照片，差评后才处理，西安售后回电说给更换仪表盘，8.25号去还是不管，我说你们打电话让来的，就立马让我填了个单子，9.11号我...,已回复
59,天猫爱玛官方旗舰店，请不专业的安装师傅安装，行驶安全无保障,2021-09-17,https://tousu.sina.com.cn/complaint/view/17355000898/,投诉,爱玛电动车,退货退款承担退回运费,2021年9月9日在淘宝天猫店铺“爱玛官方旗舰店”购买电动车并支付1990.58元 卖家通过物流配送并安装，期间咨询过卖家告知安装人员是专业人员，但是物流人员并非专业安装人员，电动车把手一个多小时无法完成安装。便离开了，我觉得卖家提供的安装服务不专业。 电动车是道路交通工具，安全问题很重要。一个不专业的人员安装无...,处理中
60,绿源京东自营,2021-09-24,https://tousu.sina.com.cn/complaint/view/17355107115/,投诉,绿源电动车,"赔偿,道歉,作出处罚,改善服务",一个月前在绿源京东自营店上购买了电动车（含装车），结果在装车过程发现一些零件螺丝，联系客服补发，多次推脱让我自己找店维修，我提出补发螺丝，后期我自己装上去，缺少这螺丝已给我带来非常大的麻烦，我依旧做出了最大程度的让步提出提出补发螺丝再自己装上去，然而商家客服口头敷衍答应了根本就没发，半个月了还没...,已回复
61,我在爱玛买的电车 当时承诺终身维修,2021-09-14,https://tousu.sina.com.cn/complaint/view/17354947405/,投诉,爱玛电动车,维修,我买了一俩爱玛电车 当时承诺终身维修，现在电车突然就没气了，已经不是1次两次 确一直解决不了，现在又没气了电动车在马路牙子上 没法打气。用打气筒也打不上希望马上解决,已完成
62,质量问题,2021-09-14,https://tousu.sina.com.cn/complaint/view/17354935933/,投诉,爱玛电动车,召回,购买第二天都有异响，维修4次没有解决问题,已完成
63,台铃铃行保丢车后索要派出所无法出具的证明，增加免赔20%,2021-09-13,https://tousu.sina.com.cn/complaint/view/17354918073/,投诉,台铃电动车,"费用赔偿,退款",我于2020年9月份购买台铃电动车一辆，附赠丢失包赔险。2021年7月23日车辆丢失，报保险后，理赔后台负责人一次次刁难，需要各种证明，发票格式不正确等，过程反复两个多月。并且强调必须有警方车辆未找到证明，一次次的去和当地派出所沟通，派出所明确说，证明属于不合理证明，保险部门如不相信车辆是否未找到，可以随时...,处理中
64,质保维修电池一拖再拖,2021-09-12,https://tousu.sina.com.cn/complaint/view/17354906594/,投诉,爱玛电动车,维修,本人2020年7月份于钟村爱玛电动车专卖店购买电动车，2021年8月份电池坏了无法使用，在2021年8月20日回到专卖店售后点进行质保，店员登记手机号码后表示一般半个月能下来，半个月后前往店里询问，店员找不到登记记录，等我展示自己的微信聊天记录才说疫情影响，得等几天，于是我等多一个星期过去，然后店员又是完全找不到...,处理中
65,充电器爆炸,2021-09-08,https://tousu.sina.com.cn/complaint/view/17354850242/,投诉,台铃电动车,"道歉,退款",昨天刚买的，电车，骑了一天用来买菜，今天第一次充电，充电器就炸了，找老板不予以解释，就说换一个充电器，还承认了质量问题，那换一个新的，都是同一批货难道不会有质量问题吗,处理中
66,服务不好更换零件要收费不应该在保险内吗？质量问题保险到低那些,2021-09-08,https://tousu.sina.com.cn/complaint/view/17354840001/,投诉,台铃电动车,"费用赔偿,维修",不知道她们的保险流程和更换要收费服务不好敷衍了事，提问不给回复质量有问题,处理中
67,"小刀电动车霸王条款,收到车为轻型摩托车不能上牌,刚拿到车就不支持退货退款",2021-09-12,https://tousu.sina.com.cn/complaint/view/17354909986/,投诉,小刀电动车官方,"召回,退款,退货退款","我骑着小刀电动车去上牌,但是车管所告知这个车为轻型摩托车,不能上牌,超过了50kg,实际为92kg.才拿到车然后骑了去上牌,就告知骑车了,磨损了,不支持七天无理由.天底下哪有这样的霸王条款.又不是系统.没有唯一激活码吧.车保证没有磨损.",处理中
68,私自扣出邀请人积分,2021-09-08,https://tousu.sina.com.cn/complaint/view/17354836654/,投诉,爱玛电动车,"赔偿解释,道歉,发货",微信小程序爱玛会员小程序邀请人活动 拉了很多新人 这些是部分截图了 商家竟然扣我积分说我违规，货也不发在踢皮球。,处理中
