发微博时间,召回内容
Tue Sep 07 18:52:59 +0800 2021,【一汽大众召回部分进口和国产奥迪汽车 】有问题不要慌，解决方法看这里对于本次召回范围(一）内的车辆，一汽-大众汽车有限公司将委托奥迪授权经销商，为召回范围内车辆免费更换质量合格的机电式制动助力器，以消除安全隐患。对于本次召回范围(二）内的车辆，一汽-大众汽车有限公司将委托奥迪授权经销商，为召回范围内车辆免费更换全新开发的气体发生器，以消除安全隐患。对于本次召回范围(三）内的车辆，一汽-大众汽车有限公司将委托奥迪授权经销商，免费为召回范围内的车辆检查仪表板副驾驶前气囊盖板弱化线位置的织物切割情况。如没有切割或没有完全切割，则按照维修指导进行切割，以确保车辆发生事故时安全气囊可以完全展开，消除安全隐患。本次召回属于2021年4月16日发布的《一汽-大众汽车有限公司召回部分进口奥迪汽车》召回活动的扩大召回。扩大召回原因为通过备件装车情况排查，发现有部分车辆可能在维修过程中更换了有问题的仪表板。
Tue Sep 07 18:52:13 +0800 2021,【一汽大众召回部分进口和国产奥迪汽车 】敲黑板，召回原因概要说明本次召回范围(一）内的车辆由于供应商制造过程中的偏差，导致机电式制动助力器的电机组件（电机转子和电机轴之间）存在焊接缺陷。在车辆紧急制动的极端情况下，可能造成制动助力功能减弱以及ABS功能和ESC功能失效，存在安全隐患。本次召回范围（二）内的车辆因供应商制造缺陷，致使驾驶员安全气囊的含非叠氮化物气体发生器（NADI型）密封不足，可能有湿气侵入的风险，进而导致车辆发生碰撞事故时安全气囊展开缓慢，降低了安全气囊的保护能力，存在安全隐患。本次召回范围（三）内的车辆由于供应商制造过程中的偏差，仪表板上副驾驶前气囊盖板的弱化线未完全弱化。在车辆发生碰撞事故时可能导致副驾驶前气囊不能完全展开，极端情况下可能会导致气囊带异物弹出，存在安全隐患。
Tue Sep 07 18:46:44 +0800 2021,【宝马召回部分进口汽车 】敲黑板，召回原因概要说明本次召回范围内车辆因燃油箱制造工艺波动和设计容错性不足，在使用一段时间后可能引发燃油箱上部的加工口盖板开裂，导致车辆加满燃油时发生燃油泄漏，存在安全隐患。有问题不要慌，解决方法看这里宝马（中国）汽车贸易有限公司将对召回范围内的车辆使用专用工具（泄漏探测仪）进行燃油箱压力损失测试，并免费更换未通过测试的燃油箱，以消除安全隐患。应急处置措施在得到召回检修前，建议车主加注燃油时不要超过油量表的3/4，以免增加油箱负荷诱发损坏。如果在车内闻到燃油气味或在车外观察到燃油泄漏，应尽快联系宝马授权经销商进行维修。本次召回活动是在国家市场监督管理总局启动缺陷调查情况下开展的。受调查影响，宝马（中国）汽车贸易有限公司决定采取召回措施，消除安全隐患。
Tue Sep 07 14:03:55 +0800 2021,"【高尔夫/奥迪A3等4车熄火隐患】从国家质检总局缺陷产品管理中心了解到，因燃油泵故障导致车辆存在熄火隐患，大众汽车、一汽大众将联合对高尔夫旅行版、奥迪A3等车实施召回。据统计，将有5,869辆车受到影响。 "
Tue Sep 07 11:50:03 +0800 2021,#14万辆进口宝马将召回#宝马（中国）汽车贸易有限公司宝马（中国）决定召回2011年9月7日至2016年4月30日期间生产的部分进口宝马116i、118i、120i、125i、218i、220i、320i、325i、328i、330i、340i、420i、428i、430i、435i、440i、M135i、M2、M235i、M3、M4以及ActiveHybrid 3车辆，共计142754辆。本次召回范围内车辆因燃油箱制造工艺波动和设计容错性不足，在使用一段时间后可能引发燃油箱上部的加工口盖板开裂，导致车辆加满燃油时发生燃油泄漏，存在安全隐患。宝马（中国）建议车主，在得到召回检修前，加注燃油时不要超过油量表的3/4，以免增加油箱负荷诱发损坏。如果在车内闻到燃油气味或在车外观察到燃油泄漏，应尽快联系宝马授权经销商进行维修。老板联播的微博视频
Tue Sep 07 09:47:38 +0800 2021,【汽车召回】一汽-大众汽车有限公司因制动助力器存在安全隐患，自2021年9月25日起，召回生产日期在2020年11月3日至2021年3月26日期间的部分进口和国产e-tron车辆，共计74辆。
Tue Sep 07 09:21:38 +0800 2021,【因漏油风险，#宝马在华召回14万辆进口车#涉22种车型】9月6日，国家市场监督管理总局官网发布消息显示，宝马（中国）汽车贸易有限公司因漏油风险，宝马在华召回14万辆进口车涉22种车型 
Tue Sep 07 06:46:48 +0800 2021,【汽车召回】一汽-大众汽车有限公司因气体发生器存在安全隐患，自2021年9月25日起，召回生产日期在1997年5月15日至2001年6月1日期间的部分进口A4、A6、A8、TT车辆，共计1157辆。
Mon Sep 06 17:57:55 +0800 2021,因存安全隐患 一汽-大众召回部分进口和国产奥迪汽车数据来源苗建信息媒体监测/舆情监测平台 日前从国家市场监督管理总局获悉，一汽-大众汽车有限公司近日根据《缺陷汽车产品召回管理条例》和《缺陷汽车产品召回管理条例实施办法》的要求，向国家市场监督管理总局备案了召回计划因存安全隐患 一汽-大众召回部分进口和国产奥迪汽车
Mon Sep 06 17:55:50 +0800 2021,#汽车召回# 【一汽-大众汽车有限公司召回部分进口和国产奥迪汽车】一汽-大众汽车有限公司计划召回以下车辆 　　（一）自2021年9月25日起，召回生产日期在2020年11月3日至2021年3月26日期间的部分进口和国产e-tron车辆，共计74辆。 　　本次召回范围内的车辆由于供应商制造过程中的偏差，导致机电式制动助力器的电机组件（电机转子和电机轴之间）存在焊接缺陷。在车辆紧急制动的极端情况下，可能造成制动助力功能减弱以及ABS功能和ESC功能失效，存在安全隐患。 　　一汽-大众汽车有限公司将委托奥迪授权经销商，为召回范围内车辆免费更换质量合格的机电式制动助力器，以消除安全隐患。 　　（二）自2021年9月25日起，召回生产日期在1997年5月15日至2001年6月1日期间的部分进口A4、A6、A8、TT车辆，共计1157辆。 　　本次召回范围内的车辆因供应商制造缺陷，致使驾驶员安全气囊的含非叠氮化物气体发生器（NADI型）密封不足，可能有湿气侵入的风险，进而导致车辆发生碰撞事故时安全气囊展开缓慢，降低了安全气囊的保护能力，存在安全隐患。 #奥迪召回# 　　一汽-大众汽车有限公司将委托奥迪授权经销商，为召回范围内车辆免费更换全新开发的气体发生器，以消除安全隐患。 　　（三）2021年9月6日起，扩大召回生产日期在2019年11月21日至2020年1月17日期间的部分进口A6 Avant、A7车辆，共计4辆。 　　本次召回范围内的车辆由于供应商制造过程中的偏差，仪表板上副驾驶前气囊盖板的弱化线未完全弱化。在车辆发生碰撞事故时可能导致副驾驶前气囊不能完全展开，极端情况下可能会导致气囊带异物弹出，存在安全隐患。 　　一汽-大众汽车有限公司将委托奥迪授权经销商，免费为召回范围内的车辆检查仪表板副驾驶前气囊盖板弱化线位置的织物切割情况。如没有切割或没有完全切割，则按照维修指导进行切割，以确保车辆发生事故时安全气囊可以完全展开，消除安全隐患。 　　本次召回属于2021年4月16日发布的《一汽-大众汽车有限公司召回部分进口奥迪汽车》召回活动的扩大召回。扩大召回原因为通过备件装车情况排查，发现有部分车辆可能在维修过程中更换了有问题的仪表板。
Mon Sep 06 16:59:05 +0800 2021,【汽车召回】克莱斯勒（中国）汽车销售有限公司向国家市场监督管理总局备案了召回计划。因高压充电接口存在安全隐患，决定自2021年9月6日起，召回2021年1月21日至2021年5月6日期间生产的部分2.0T 4xe Rubicon 四门版2021年款牧马人电动汽车，共计41辆2021年1月20日至2021年6月2日期间生产的部分2.0T 4xe Sahara 四门版2021年款牧马人电动汽车，共计1119辆。
Mon Sep 06 16:51:14 +0800 2021,【汽车召回】丰田汽车（中国）投资有限公司因控制程序存在安全隐患，决定自即日起，召回2021年3月1日至2021年6月21日期间生产的部分进口TOYOTA SUPRA汽车，共计124辆。 
Mon Sep 06 15:30:47 +0800 2021,【存燃油泄漏安全隐患 142754辆进口宝马116i、320i、M2等车型被召回】#汽车召回##中国网汽车质量投诉平台# 宝马(中国)汽车贸易有限公司近日决定召回2011年9月7日至2016年4月30日期间生产的部分进口宝马116i、118i、120i、125i、218i、220i、320i、325i、328i、330i、340i、420i、428i、430i、435i、440i、M135i、M2、M235i、M3、M4以及ActiveHybrid 3车辆，共计142754辆。因配件供应原因，3系车辆的召回活动将于2021年9月6日开始实施，其它型号车辆的召回活动将于2021年10月29日开始实施。应急处置措施在得到召回检修前，建议车主加注燃油时不要超过油量表的3/4，以免增加油箱负荷诱发损坏。如果在车内闻到燃油气味或在车外观察到燃油泄漏，应尽快联系宝马授权经销商进行维修。存燃油泄漏安全隐患 142754辆进口宝马116i、320i、M2等车型被召回
Mon Sep 06 15:29:01 +0800 2021,【#宝马召回Z4等车型#系发动机电子模块缺陷】决定自即日起，召回2018年6月19日至2021年5月28日生产的进口540i及Z4汽车，共计3561辆。本次召回范围内车辆的DME（发动机电子控制模块）中控制串联泵的相关软件程序存在缺陷。当在特定的发动机起动情况下（例如快速两次按下点火开关），可能造成串联泵内部的真空泵损坏，损坏的真空泵不能有效为制动提供真空助力。在最坏的情况下，会导致制动踏板变硬，制动距离变长，存在安全隐患。
Mon Sep 06 14:51:37 +0800 2021,【宝马在华召回部分进口汽车，共计142754辆】据界面消息，宝马在华召回部分进口汽车，共计142754辆。本次召回范围内车辆因燃油箱制造工艺波动和设计容错性不足，在使用一段时间后可能引发燃油箱上部的加工口盖板开裂，导致车辆加满燃油时发生燃油泄漏，存在安全隐患。宝马在华召回部分进口汽车，共计142754辆 
Mon Sep 06 14:30:38 +0800 2021,【#丰田在华召回部分进口TOYOTASUPRA汽车# 】 丰田汽车（中国）投资有限公司将免费对召回范围内车辆的发动机控制电脑程序进行升级，以消除安全隐患。 
Mon Sep 06 14:13:22 +0800 2021,#汽车新星共创季# 连宾利欧陆GT都召回了，你这回心理平衡了吧。大众汽车（中国）销售有限公司决定自即日起，召回2019年9月20日至2021年6月28日期间生产的部分进口2020-2021年款宾利欧陆GT汽车，共计1622台。本次召回范围内的车辆由于座椅控制模块的软件设计原因，前排座椅在自动调节模式下（便捷上/下车功能）运行时，如需要调低座椅高度时座椅将同时向后方移动，造成可能由于过度后移而挤压到后排乘客腿部，存在安全隐患。#开启汽车新世界#
Mon Sep 06 11:48:40 +0800 2021,#撩妹不如撩车# 【大众就气囊问题和解，赔偿4200万美元，35%车辆未维修】近日，据外媒报道，大众与美国车主就高田气囊达成和解，并同意支付4200万美元和解金，用来赔偿美国135万辆装有高田气囊的汽车，其中大部分资金将用于召回。关于类似的事件，此前本田已经与车主达成了价值6.05亿美元的和解，与大众汽车的和解非常相似。在提交给迈阿密美国地方法院的文件称，召回涉及的大众汽车和奥迪汽车约有35%的充气机尚未维修。除大众外，其他7家主要汽车制造商已经同意达成总额约15亿美元、涉及数千万辆汽车的和解协议。据了解，高田安全气囊缺陷“在极少数情况下”会导致安全气囊充气机破裂并将金属碎片抛入汽车内部，导致400多人受伤，全球至少有28人死亡。大众这项和解包括租车和自付费用、工资损失和育儿费用以及车主在修理车辆时被迫承担的其他费用。
Sat Sep 04 13:00:03 +0800 2021,【#大众同意向车主赔偿4200万美元#】据报道大众汽车美国公司周三与美国安装高田气囊的135万辆汽车的车主达成和解，同意支付4200万美元，以补偿他们因这些车辆的召回造成的损失，包括租车和自付费用，工资损失和儿童保育费用，已经或可能面临的汽车维修费用等。到目前为止，受高田气囊事件影响的其他七家主要汽车制造商已同意达成了价值约15亿美元的和解协议，涉及数千万辆汽车。高田公司的气囊充气器故障也导致全球400多人受伤，至少28人死亡。
Fri Sep 03 17:45:03 +0800 2021,#关注交通安全# 【召回部分进口森林人汽车】由于在低压燃油泵叶轮的制造过程中树脂成型条件不完善，造成叶轮树脂密度不足。叶轮可能会受燃油影响而发生膨润变形，并与燃油泵壳体发生干涉、卡滞，导致低压燃油泵无法正常工作，极端情况下可能造成车辆行驶中发动机熄火，存在安全隐患。斯巴鲁汽车（中国）有限公司自2021年9月24日起，召回2018年4月23日至2018年6月21日期间生产的部分进口2018年款森林人系列汽车，共计8辆。网页链接
Fri Sep 03 17:30:03 +0800 2021,#关注交通安全# 【召回部分专用汽车】程力专用汽车股份有限公司自2021年8月30日起召回以下车辆。（一）由于制造环节把控不严，导致后下部防护装置不符合国家标准要求。发生后车追尾事故时可能无法起到有效防护作用，增加后车驾乘人员受伤的风险，存在安全隐患。2018年3月19日至2018年3月20日生产的部分绿化喷洒车，共计10辆。（二）由于制造环节把控不严，导致侧防护装置不符合国家标准要求。在车辆发生碰撞时可能无法起到有效防护作用，增加行人等受伤的风险，存在安全隐患。2018年10月13日至2018年11月2日生产的部分清障车，共计6辆。（三）由于制造环节把控不严，导致后下部防护装置两端未倒圆角，不符合国家标准要求，可能造成锐角划伤人员，存在安全隐患。2018年11月9日至2018年11月12日生产的部分绿化喷洒车9辆、2018年11月26日至2018年12月5日生产的部分扫路车9辆，共计18辆。网页链接
