序号,事件标题,日期,链接,数据来源,投诉对象,投诉要求,投诉内容,投诉进度
80,误开了一个会员找不到会员取消界面,2021-09-03,https://tousu.sina.com.cn/complaint/view/17354761595/,投诉,文档手机版APP,退款,前几天下载了一个准备改个东西的 界面显示要开会员可以试用3天本想着当时改好就不用了 准备取消会员的时候怎么找都找不到界面 会员中心啥的都没有 买了以后就没法取消 这APP太黑了 会员中心点都点不开,待分配
81,在我不知道的情况下乱扣费，投诉了不给退款,2021-08-28,https://tousu.sina.com.cn/complaint/view/17354669210/,投诉,手机清理大师,"退款,作出处罚",在我半夜三更睡觉不知道的情况下，扣费我198，要求退款给我,待分配
82,下载了软件之后 说免费试用 但是直接在我不知情的情况下扣除我298费用,2021-08-24,https://tousu.sina.com.cn/complaint/view/17354598089/,投诉,Magic手机助手,"退款,解释",而且我并没有使用过这个软件 扣除费用也没有经过我的同意 属于欺诈消费者行为 给软件客服发送了邮件并没有受理 软件我一次也没有使用过 我要求退回我的费用,处理中
83,前隆科技手机贷高利息，砍头息,2021-08-26,https://tousu.sina.com.cn/complaint/view/17354632528/,投诉,手机贷,"停止骚扰,处罚,调整利率",2017年在手机贷借款2600元，到账2000元，现在催收，收到催收短信，可是联系不到他们，要求他们主动联系我解决，并且要求重新核算利息，退回前几期多扣利息，最后我处理最后一期本金,处理中
84,苹果手机优化大师,2021-08-29,https://tousu.sina.com.cn/complaint/view/17354675533/,投诉,手机优化大师,退款,恶意扣费 在不知情情况下被扣费，一个什么清理大师3个月就要268元？什么流氓软件！,处理中
85,宣传虚假广告,2021-08-23,https://tousu.sina.com.cn/complaint/view/17354581658/,投诉,手机优化大师,退款,商家抖音宣传广告，免费下载，在买家毫无告知的情况下密码我都没有输，,处理中
86,在我不知道的情况下，自动就扣费啦……手机优化大师我手机上都没有，我希望退款,2021-08-29,https://tousu.sina.com.cn/complaint/view/17354681422/,投诉,手机优化大师,退款,我根本就没有优化大师，怎么会就扣啦我268块钱，我希望退款，取消自动续费,处理中
87,糊里糊涂不知道就被扣款了！现在手机上还没有这个软件,2021-09-06,https://tousu.sina.com.cn/complaint/view/17354809723/,投诉,手机优化大师,退款,糊里糊涂不知道就被扣款了！现在手机上还没这个软件。我是老年人也不会用！,处理中
88,手机优化大师自动扣款,2021-09-10,https://tousu.sina.com.cn/complaint/view/17354878378/,投诉,手机优化大师,退款,手机优化大师在不知情的情况下，自动扣款，我不需要这样的服务，要求全额退款,处理中
89,手机优化大师恶意扣费,2021-09-10,https://tousu.sina.com.cn/complaint/view/17354874030/,投诉,手机优化大师,退款,手机优化大师恶意扣取季度高级会员费，没经过我本人同意，恶意骗费。要求退款268元，停止服务。,处理中
90,手机优化大师自动续费,2021-09-13,https://tousu.sina.com.cn/complaint/view/17354922812/,投诉,手机优化大师,退款,我下来看了哈，要支付286我就卸载了，今天看到给我自动续费了,处理中
