序号,事件标题,日期,区域,产品大类,具体产品,伤害事件,危害源,伤害类别,伤害类型,链接,,
85,"昔阳一居民在做饭时,油烟机突然起火",2021/6/21,山西,家用电器及电器附件,抽油烟机,6月21日，昔阳县教师公寓一居民家中油烟机起火。,电气危害,财产损失,财产损失,https://www.toutiao.com/w/i6976179438299972109/,,
86,清远一民宅发生火警，初步分析起火原因是屋主在家中对电动车充电……,2021/6/22,广东,交通用具及相关产品,电动自行车,6月19日，清远市清新区一居民楼发生火灾，原因为屋主在家中对电动车充电引发。,电气危害,财产损失,财产损失,https://www.163.com/news/article/GD3DQSDE00019K82.html,,
87,华帝天猫旗舰店购买的消毒柜发生爆炸,2021/6/22,不详,家用电器及电器附件,消毒柜,消费者投诉在华帝天猫旗舰店购买的消毒柜，发生了爆炸。,电气危害,财产损失,财产损失,https://tousu.sina.com.cn/complaint/view/17353731658,,
88,格力空调安装一年后不制冷，售后不发配件维修，投诉售后无人回应解决,2021/6/22,不详,家用电器及电器附件,空调,消费者投诉格力空调刚安装一年就不制冷了，维修人员称外机冷凝器坏了，售后不发配件维修，投诉售后无人回应解决。,故障,财产损失,财产损失,https://www.xfb315.com/tousu/94852010,,
89,郴州一门店洗衣机突发自燃,2021/6/23,湖南,家用电器及电器附件,洗衣机,6月22日，资兴市矿工南路附近一门店内洗衣机发生自燃，所幸发现及扑救及时，未造成火势蔓延。,电气危害,财产损失,财产损失,https://new.qq.com/omn/20210623/20210623A0D15Z00.html,,
90,4岁男童误吞13颗磁力珠，胃壁都穿孔了！,2021/6/23,陕西,儿童用品,磁力珠,6月22日，西安一4岁男孩误吞了13颗磁力珠，导致胃穿孔。,小零件和磁通量,胃肠道穿孔或阻塞,受伤,https://www.sohu.com/a/473703346_355330,,
91,宜宾一电瓶车突然起火,2021/6/23,四川,交通用具及相关产品,电动自行车,6月22日，宜宾市叙州区山水原著一期停车棚内一电瓶车突然起火，随即火势向整个车棚蔓延开来，现场火光冲天。,电气危害,财产损失,财产损失,https://www.163.com/dy/article/GD62ORJU05149FGH.html,,
92,浦东一小区非机动车棚起火，近10辆电瓶车烧毁,2021/6/23,上海,交通用具及相关产品,电动自行车,6月21日，浦东新区周康四村内，一处露天非机动车停车棚发生火灾，近10辆电瓶车被烧毁。,电气危害,财产损失,财产损失,http://k.sina.com.cn/article_7494521253_1beb551a500100y2b0.html,,
93,四川成都一小区上百辆电动车起火，车棚跟车子半小时之内烧成废铁,2021/6/24,四川,交通用具及相关产品,电动自行车,6月23日，四川成都上善清波小区，一处停放200多台电动车的车棚起火，仅仅半个小时，就直接把停放的200多台电动车烧成了废铁。,电气危害,财产损失,财产损失,https://www.163.com/dy/article/GD8FT8V00534VALK.html,,
94,深圳一小区充电桩起火，浓烟滚滚火势凶猛，多辆电单车被烧成车架,2021/6/24,广东,交通用具及相关产品,电动自行车,6月23日，深圳龙岗布吉街道一个小区的架空层里又发生了一起火灾，起火原因为电单车充电引发。,电气危害,财产损失,财产损失,https://www.163.com/dy/article/GD8CI2C50545V8LM.html,,
95,黑猫投诉：苏泊尔夏美专卖店购买的燃气灶发生台面爆炸,2021/6/24,不详,家用电器及电器附件,燃气灶,消费者投诉，2018年1月7日从天猫（苏泊尔夏美专卖店）购买的燃气灶，6月24日煮粥的时候突然爆裂了，玻璃飞溅。,玻璃应力,财产损失,财产损失,https://tousu.sina.com.cn/complaint/view/17353755505/,,
96,女子家中洗澡 电热水器起火,2021/6/24,广西,家用电器及电器附件,电热水器,6月15日，柳州市北雀路品尚小区，徐女士在家中洗澡时，电热水器突然冒烟起火，把她吓得不轻，所幸火势被巡警和物业人员及时扑灭。,电气危害,财产损失,财产损失,https://emwap.eastmoney.com/a/202106241972452882.html,,
97,绍兴男子骑电动车半路突然起火，路人赶紧做了这事！,2021/6/24,浙江,交通用具及相关产品,电动自行车,6月23日，男子章某骑电动车通过嵊州市区富民街时，突然起火。,电气危害,财产损失,财产损失,http://cdn.m.api.shaoxing.com.cn/v2/article?areas=&clientid=1&contentid=2874479&modules=common:3&sharesiteid=10001&siteid=&type=android,,
98,南京新街口一电动车发生自燃 无人员受伤,2021/6/25,江苏,交通用具及相关产品,电动自行车,6月24日，南京新街口一辆停放在这里的电动车发生燃烧，波及停放在一起的另两辆电动车，所幸明火很快被扑灭，无人员受伤。,电气危害,财产损失,财产损失,http://m.people.cn/n4/2021/0625/c1549-15061068.html,,
99,西安交大一附院矿泉水和口罩捆绑销售: 口罩为“三无”产品,2021/5/29,陕西,疫情相关产品,口罩,自媒体账号“西安讯点”5月29日在新浪微博发帖称，交大一附院的门诊大厅的自动售货机里，售卖3.5元一瓶550ml的“太极之源”矿泉水，水瓶外面用胶带包有一个口罩，水的生产企业为宝鸡天海山泉饮品有限公司，此款矿泉水在网上没有相关零售价等信息，当事企业在2021年1月5日生产的相关产品因不符合食品安全标准被宝鸡市市场监督管理局处罚过。口罩正反面并没有相关生产等信息，明显为“三无”产品。,假冒伪劣,影响健康,影响健康,https://weibo.com/3151530492/KhLdz71Me?type=comment#_rnd1622424509382,,
100,断好多次了旺旺口罩真滴不行 ​,2021/5/30,不详,疫情相关产品,口罩,网友“-奶橘啵啵酱白菜”5月30日在新浪微博发帖称，旺旺口罩质量差，耳挂绳经常断掉。,假冒伪劣,影响健康,影响健康,https://weibo.com/5138986897/KhR5DecWb?refer_flag=1001030103_&type=comment#_rnd1622427180907,,
101,这不是疫情初期好口罩断货的时候买来应急的劣质口罩吗……薄得像纸一样 ​​​​,2021/5/30,不详,疫情相关产品,口罩,网友“别动咖啡机_ ”5月30日在新浪微博发帖称，淘宝店销售两层超薄民用口罩为劣质产品，薄得像纸一样。,假冒伪劣,影响健康,影响健康,https://weibo.com/1685784964/KhMmWpkw6?refer_flag=1001030103_&type=comment#_rnd1622427371893,,
102,买了100个口罩 很薄 褶皱线也乱钉的,2021/6/1,不详,疫情相关产品,口罩,网友“我今天下班了吗”6月1日在新浪微博发帖称，买了100个口罩，很薄，褶皱线也乱钉的。,假冒伪劣,影响健康,影响健康,https://weibo.com/5842635385/Ki7iLz3JP?refer_flag=1001030103_&type=comment,,
103,在都是人的地铁里突然口罩在你脸上缓缓的断了是什么体验,2021/6/2,不详,疫情相关产品,口罩,网友“七饱啦”6月2日在新浪微博发帖称，坐地铁的时候口罩绳断了。,假冒伪劣,影响健康,影响健康,https://weibo.com/6257007888/KikTBC87E?refer_flag=1001030103_&type=comment#_rnd1622700984585,,
104,"在我快步行到地铁站的时候
口罩绳子断了",2021/6/2,不详,疫情相关产品,口罩,网友“嘬一口旺仔牛奶”6月2日在新浪微博发帖称，走到地铁站的时候口罩绳断了。,假冒伪劣,影响健康,影响健康,https://weibo.com/1877941441/KikSof446?refer_flag=1001030103_&type=comment,,
105,每一个口罩都因为绳子断掉，这个质量也是醉了,2021/6/4,不详,疫情相关产品,口罩,网友“aegean41258_LL”6月4日在小红书发帖称，购买的晟航口罩，耳挂绳都断了。,假冒伪劣,影响健康,影响健康,https://www.xiaohongshu.com/discovery/item/60b97637000000002103962b,,
106,你们地铁站里面卖的口罩质量太差了吧,2021/6/4,成都,疫情相关产品,口罩,网友“隔壁热心王叔叔”6月4日在新浪微博发帖称，成都地铁站里面卖的口罩质量太差，口罩绳一拉就断。,假冒伪劣,影响健康,影响健康,https://weibo.com/5332169305/KiADtiYaK?refer_flag=1001030103_&type=comment#_rnd1623226199408,,
107,疑似买到假货,2021/6/6,不详,疫情相关产品,口罩,网友“伊雪姐姐是好人”6月6日在黑猫投诉平台反映，在淘宝心选买的口罩没有比亚迪钢印。收到的质量很差。跟比亚迪发的口罩质量明显不一样。,假冒伪劣,影响健康,影响健康,https://tousu.sina.com.cn/complaint/view/17353528416/,,
108,马上就要进超市但是口罩断了,2021/6/7,不详,疫情相关产品,口罩,网友“-宋夭零-”6月7日在新浪微博发帖称，去超市的时候口罩绳断了。,假冒伪劣,影响健康,影响健康,https://weibo.com/1340627343/Kj3kRCqHr?refer_flag=1001030103_&type=comment#_rnd1623227301192,,
109,卖假货 掉色严重 拒不赔偿,2021/6/9,不详,疫情相关产品,口罩,匿名网友6月9日在黑猫投诉平台反映，购买了名创优品的口罩，掉色严重，将透明眼镜染成了黑紫色，质疑该商家自制假冒伪劣口罩。,假冒伪劣,影响健康,影响健康,https://tousu.sina.com.cn/complaint/view/17353564317/,,
110,口罩断了，可是我还要坐地铁,2021/6/9,不详,疫情相关产品,口罩,网友“向日葵姑凉”6月9日在新浪微博发帖称，准备坐地铁的时候口罩绳断了。,假冒伪劣,影响健康,影响健康,https://weibo.com/2985567195/KjnDKAVic?refer_flag=1001030103_&type=comment#_rnd1623227158571,,
111,我恨死miniso了！口罩偷工减料！ ​​​​,2021/6/13,不详,疫情相关产品,口罩,网友“陀螺跑跑”6月13日在新浪微博发帖称，miniso口罩偷工减料。,假冒伪劣,影响健康,影响健康,https://weibo.com/6527046658/KjWeOpnNy?type=comment,,
112,最近这批口罩大概是假冒伪劣的吧 时不时脸就过敏了,2021/6/13,不详,疫情相关产品,口罩,网友“Melodyypw”6月13日在新浪微博发帖称，一天换了两个口罩，脸上出现过敏症状，质疑口罩是假冒伪劣的。,假冒伪劣,影响健康,影响健康,https://weibo.com/5013932347/Kk24pojtU?refer_flag=1001030103_&type=comment,,
113,在这家店买口罩被口罩的质量划伤了,2021/6/14,不详,疫情相关产品,口罩,匿名网友6月14日在黑猫投诉平台反映，在天猫allforvita旗舰店购买的口罩，佩戴中被金属鼻梁条划伤。,假冒伪劣,影响健康,影响健康,https://tousu.sina.com.cn/complaint/view/17353625646/,,
114,戴三无劣质口罩过敏 闷出了一脸的红疹子,2021/6/14,不详,疫情相关产品,口罩,网友“钮钴禄氏小白猪”6月14日在新浪微博发帖称，戴三无劣质口罩过敏，脸上出红疹。,假冒伪劣,影响健康,影响健康,https://weibo.com/2990588053/Kk5E5jUxx?type=comment,,
115,口罩内有异物,2021/6/15,不详,疫情相关产品,口罩,网友“3564235412”6月15日在黑猫投诉平台反映，在天猫嘉岳旗舰店购买的口罩里有金属异物。,假冒伪劣,影响健康,影响健康,https://tousu.sina.com.cn/complaint/view/17353638263/,,
116,一上地铁 口罩被我拉断 ,2021/6/15,不详,疫情相关产品,口罩,网友“卡拉巴拉消灭你”6月15日在新浪微博发帖称，坐地铁的时候口罩绳断了。,假冒伪劣,影响健康,影响健康,https://weibo.com/3799935936/Kkffbll5U?refer_flag=1001030103_&type=comment,,
117,从包里掏出口罩 挂上一个耳朵 另一根口罩绳断了,2021/6/16,不详,疫情相关产品,口罩,网友“你怎么还不来呀”6月16日在新浪微博发帖称，上班路上准备做公交车时，口罩绳断了。,假冒伪劣,影响健康,影响健康,https://weibo.com/5414494730/KkpeWjMyc?refer_flag=1001030103_&type=comment,,
118,阿里健康大药房出售劣质口罩，异味特别重致人脸发红过敏！,2021/6/17,不详,疫情相关产品,口罩,匿名网友6月17日在黑猫投诉平台反映，在天猫阿里健康大药房购买了可孚200支无菌医用口罩，到货使用后脸颊发红发痒过敏，真假掺合，异味特别重。无良商家虚假宣传说该口罩为医用外科无菌口罩，实际口罩质量很差很薄，根本不属于医用级别。,假冒伪劣,影响健康,影响健康,https://tousu.sina.com.cn/complaint/view/17353662254,,
119,京东商城疫情期间售卖过期的医用口罩,2021/6/19,不详,疫情相关产品,口罩,网友“小岛正义使者”6月19日在黑猫投诉平台反映，6月15日在京东商城下单一件口罩产品，商品名称“君霖医用外科一次性医用三层防护透气舒适成人医用外科口罩 医用外科口罩拉新优惠五十片”，订单金额9.9元，收到货后发现商品失效期写的是2021年4月28日，已经过期，联系客服没人回复。,假冒伪劣,影响健康,影响健康,https://tousu.sina.com.cn/complaint/view/17353694107,,
120,长东生产的这个口罩质量太差，还没用侧边就开了,2021/6/19,不详,疫情相关产品,口罩,网友“桃李天下东方彦”6月19日在新浪微博发帖称，长东集团生产的口罩质量太差，还没用侧边压褶就开了。,假冒伪劣,影响健康,影响健康,https://weibo.com/2073871677/KkTLFEzV9?refer_flag=1001030103_&type=comment#_rnd1624415635362,,
121,我买的口罩都是不合格的，带子老断,2021/6/22,不详,疫情相关产品,口罩,网友“璇转超人_qfse ”6月22日在新浪微博发帖称，其购买的口罩不合格，耳挂绳经常断。,假冒伪劣,影响健康,影响健康,https://weibo.com/6753401190/Klpx1mzYO?type=comment#_rnd1624413484876,,
122,我之前买过一包，10个有3个断了……断了……,2021/6/22,不详,疫情相关产品,口罩,网友“秋天和冬天相爱了”6月22日在新浪微博发帖称，买了一包口罩，一共10个，有3个口罩绳断了。,假冒伪劣,影响健康,影响健康,https://weibo.com/2676838301/KloocBhy7?refer_flag=1001030103_&type=comment#_rnd1624416639517,,
123,带了劣质口罩，好多丝,2021/6/22,不详,疫情相关产品,口罩,网友“人间娇气精”6月22日在新浪微博发帖称，口罩质量差，容易起毛。,假冒伪劣,影响健康,影响健康,https://weibo.com/5648423369/Klolq3uGM?type=comment,,
124,简直不敢相信在smfk官方店买的口罩怎么会质量这么差,2021/6/22,不详,疫情相关产品,口罩,网友“Misire_ ”6月22日在新浪微博发帖称，在smfk官方店买的口罩质量差，耳挂绳总是断。,假冒伪劣,影响健康,影响健康,https://weibo.com/5238578907/KljHvkDtZ?refer_flag=1001030103_&type=comment,,
125,全棉时代这两包口罩，一股劣质化工品味道,2021/6/23,不详,疫情相关产品,口罩,网友“古又古”6月23日在新浪微博发帖称，其购买的全棉时代口罩，有一股劣质化工品味道，质疑口罩有质量问题。,假冒伪劣,影响健康,影响健康,https://weibo.com/1768310161/Kltq2ADMH?type=comment,,
126,但是接口处有点点容易断了，在坐公交车前断了真的有点社死,2021/6/23,不详,疫情相关产品,口罩,网友“-NZh7”6月23日在新浪微博发帖称，准备坐公交车的时候口罩绳断了。,假冒伪劣,影响健康,影响健康,https://weibo.com/5391766533/KlpZlpMAP?refer_flag=1001030103_&type=comment,,
